Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
66.6402435,1.100210,0.176453,-0.007322,1.114294,90.376480,9.111590
66.6422272,1.115098,0.263094,0.101040,1.150161,84.960167,13.275461
66.6442108,1.085811,0.322400,0.218187,1.153487,79.096558,16.537241
66.6461639,1.111193,0.361693,0.278957,1.201411,76.573868,18.030050
66.6481476,1.093132,0.285791,-0.006834,1.129894,90.346527,14.651594
66.6501007,1.072143,0.308732,0.089813,1.119318,85.397690,16.064186
66.6520844,1.055059,0.340216,0.363157,1.166525,71.861481,17.872501
66.6540680,1.022112,0.273344,0.311417,1.102910,73.598923,14.972281
66.6560516,0.924977,0.383902,0.308244,1.047844,72.892227,22.540384
66.6580658,0.804901,0.383170,0.132767,0.901283,81.528992,25.456600
66.6600494,0.735589,0.367306,0.090301,0.827139,83.732361,26.534628
66.6620331,0.537414,0.322644,0.208669,0.660648,71.587563,30.979061
66.6640472,0.240152,0.269683,0.212574,0.419034,59.516216,48.315006
66.6660004,0.023674,0.166935,0.132767,0.214604,51.781582,81.928543
66.6680145,-0.289696,0.159857,0.060038,0.336278,79.715431,151.109589
66.6699677,-0.374384,0.197686,0.264802,0.499363,57.975628,152.164551
66.6719818,-0.242105,0.321912,0.643579,0.759234,32.040939,126.946274
66.6739349,0.076634,0.402939,0.150095,0.436762,69.900307,79.231651
66.6759186,0.299946,0.377801,0.071997,0.487734,81.511261,51.552967
66.6778717,0.797091,0.290672,0.133011,0.858799,81.090141,20.035208
66.6798553,1.000391,0.280910,0.221604,1.062450,77.960953,15.684752
66.6818085,1.220774,0.200371,0.505443,1.336380,67.776665,9.321095
66.6837921,1.376239,0.115683,0.312393,1.415982,77.254578,4.804842
66.6858063,1.468248,0.161322,0.374140,1.523732,75.786148,6.270146
66.6877899,1.625665,0.128374,0.476888,1.699026,73.699020,4.515113
66.6898041,1.583932,-0.051008,0.061746,1.585955,87.768723,358.155518
66.6917877,1.457998,-0.124713,-0.014155,1.463391,90.554230,355.110962
66.6937714,1.451897,-0.223800,0.014155,1.469112,89.447929,351.237183
66.6957550,1.556841,-0.303363,0.137160,1.592041,85.057632,348.973633
66.6977081,1.578318,-0.222580,0.577195,1.695224,70.093681,351.972870
66.6997223,1.406014,-0.214282,0.393176,1.475595,74.546707,351.334564
66.7016754,1.363304,-0.141553,0.169620,1.381088,82.945351,354.072174
66.7036591,1.244936,-0.108361,-0.209401,1.267066,99.512604,355.025421
66.7056427,1.228096,-0.127398,0.145946,1.243282,83.258629,354.077545
66.7076263,1.247865,-0.114951,0.280178,1.284087,77.397125,354.736877
66.7096100,1.257871,-0.001952,0.631864,1.407656,63.328354,359.911072
66.7115936,1.232489,0.078830,0.666764,1.403502,61.635971,3.659676
66.7136078,1.111193,0.136916,0.056621,1.121027,87.104851,7.024321
66.7155914,0.934007,0.099575,-0.052960,0.940792,93.227081,6.085370
66.7176056,0.864451,0.099331,0.015376,0.870275,88.987671,6.554927
66.7195892,0.780251,0.159369,0.238932,0.831432,73.299179,11.544101
66.7215729,0.674086,0.087128,0.435154,0.807058,57.371777,7.364885
66.7235870,0.638210,0.031727,0.184019,0.664967,73.934608,2.846013
66.7255402,0.619173,0.072973,0.000488,0.623459,89.955139,6.721630
66.7275238,0.632108,0.052960,0.082247,0.639633,82.612160,4.789271
66.7294769,0.680920,0.023918,0.253575,0.726997,69.586151,2.011713
66.7314606,0.627471,-0.007078,0.255528,0.677543,67.843422,359.353760
66.7334442,0.598916,-0.023918,0.121052,0.611495,78.582237,357.713135
66.7354279,0.595256,-0.081515,0.145214,0.618111,76.412384,352.202332
66.7374115,0.597696,-0.073461,0.291892,0.669207,64.139824,352.993073
66.7393951,0.578660,-0.077610,0.260897,0.639482,65.921883,352.361053
66.7413788,0.583053,-0.121785,0.053693,0.598051,84.849091,348.202026
66.7433929,0.585249,-0.122517,0.132523,0.612445,77.503296,348.176392
66.7453461,0.617953,-0.132767,0.316054,0.706670,63.432999,347.874329
66.7473602,0.754625,-0.095914,0.354127,0.839086,65.036598,352.756409
66.7493134,0.861034,-0.031483,0.329477,0.922457,69.073273,357.905945
66.7513275,1.075560,-0.072485,0.309709,1.121607,73.970680,356.144501
66.7532806,1.185630,-0.037585,0.330698,1.231459,74.422523,358.184326
66.7552948,1.390394,0.204520,0.362913,1.451458,75.520500,8.367913
66.7572479,1.470933,0.335091,0.367306,1.552689,76.316322,12.833436
66.7592621,1.455557,0.363401,0.407332,1.554551,74.809731,14.018159
66.7612152,1.306438,0.355835,0.235027,1.374277,80.152946,15.236098
66.7632294,1.186118,0.158881,0.053204,1.197894,87.454369,7.629391
66.7651825,1.145849,0.073705,-0.086396,1.151463,94.303047,3.680409
66.7671967,1.170743,-0.083224,-0.005613,1.173710,90.274017,355.933899
66.7691498,1.299361,-0.065163,0.165715,1.311505,82.741005,357.128998
66.7711639,1.439206,0.020257,0.594768,1.557393,67.548607,0.806382
66.7731171,1.517304,-0.190365,0.194270,1.541490,82.759926,352.848907
66.7751312,1.484844,-0.209645,-0.000488,1.499571,90.018646,351.963531
66.7770844,1.449700,-0.192805,0.056865,1.463570,87.773277,352.424316
66.7790985,1.384781,-0.305316,0.642847,1.556948,65.613556,347.566376
66.7810516,1.382340,-0.215747,0.669449,1.550991,64.429169,351.129211
66.7830353,1.238835,-0.100063,0.470786,1.329046,69.253815,355.382111
66.7850189,1.176600,-0.009274,0.377313,1.235653,72.220490,359.548401
66.7870026,1.074828,0.123005,-0.072729,1.084286,93.846031,6.528608
66.7889862,1.062137,0.277981,0.337043,1.148480,72.934258,14.666419
66.7909698,1.069947,0.436130,0.523259,1.268383,65.635513,22.176723
66.7929535,1.045297,0.373652,0.309953,1.152533,74.399292,19.669926
66.7949371,1.049934,0.318495,0.506663,1.208515,65.213120,16.875032
66.7969513,0.970860,0.235027,0.210621,1.020866,78.093430,13.608442
66.7989349,0.886904,0.242105,0.254308,0.953879,74.537743,15.268459
66.8009186,0.831259,0.252355,0.433446,0.970850,63.483215,16.887342
66.8029327,0.689218,0.219896,0.316542,0.789667,66.368340,17.695335
66.8048859,0.553766,0.241373,0.266511,0.660262,66.193825,23.551176
66.8069000,0.492263,0.185484,0.093474,0.534289,79.924248,20.646271
66.8088531,0.383414,-0.035876,0.041490,0.387317,83.850632,354.654358
66.8108673,0.375848,-0.068336,0.286523,0.477522,53.128597,349.695160
66.8128204,0.131547,-0.163274,0.471519,0.516036,23.973635,308.857697
66.8148346,0.317518,-0.097379,0.626251,0.708866,27.938044,342.949890
66.8167877,0.493484,0.093718,0.458584,0.680153,47.605160,10.753044
66.8188019,0.667252,0.119588,-0.303119,0.742569,114.092026,10.160934
66.8207245,0.709718,0.139357,0.196954,0.749608,74.767113,11.108975
66.8227386,0.783912,0.280422,0.181579,0.852130,77.696625,19.683199
66.8246918,0.719969,0.187924,0.071509,0.747519,84.510605,14.628781
66.8267059,0.736321,0.122273,0.080783,0.750763,83.822945,9.428443
66.8286591,0.795139,0.117636,-0.017572,0.803985,91.252373,8.415496
66.8306732,0.906673,0.171816,0.059550,0.924728,86.307755,10.730426
66.8326263,0.979646,0.207693,0.030995,1.001900,88.227188,11.969923
66.8346405,1.092400,0.238688,-0.003661,1.118179,90.187584,12.325344
66.8365936,1.200274,0.234295,-0.075658,1.225265,93.540154,11.045321
66.8386078,1.227120,0.318495,0.079807,1.270288,86.397980,14.549878
66.8405609,1.203202,0.373896,0.161810,1.270306,82.681854,17.262659
66.8425751,1.160980,0.366086,0.140333,1.225393,83.424019,17.501354
66.8445282,1.066530,0.347782,0.062723,1.123554,86.799782,18.060471
66.8465424,0.993557,0.187192,0.039293,1.011801,87.774361,10.669783
66.8484955,1.010397,0.202568,0.097867,1.035139,84.574883,11.336545
66.8505096,1.027725,0.254796,0.068824,1.061073,86.281029,13.924137
66.8524628,1.073608,0.242349,-0.039781,1.101340,92.070023,12.720359
66.8544769,1.223947,0.360961,-0.023674,1.276284,91.062828,16.431591
66.8564301,1.314736,0.375604,-0.104701,1.371340,94.378746,15.943992
66.8584442,1.348904,0.337775,-0.116659,1.395437,94.795555,14.058194
66.8603973,1.345243,0.348270,-0.047591,1.390409,91.961510,14.514614
66.8623810,1.291795,0.323132,0.010739,1.331640,89.537956,14.043885
66.8643341,1.259335,0.379509,0.077366,1.317550,86.633675,16.770527
66.8663483,1.109484,0.475668,0.007322,1.207174,89.652489,23.206198
66.8683014,1.026993,0.470786,-0.061746,1.131445,93.128365,24.627314
66.8703156,0.880070,0.416362,0.033924,0.974183,88.004387,25.318848
66.8722687,0.782936,0.372431,0.012691,0.867095,89.161377,25.439768
66.8742828,0.760726,0.373408,0.109582,0.854486,82.631935,26.144419
66.8762360,0.681652,0.295309,0.238200,0.780126,72.221664,23.423512
66.8782501,0.612096,0.254308,0.121541,0.673873,79.609207,22.561445
66.8801727,0.538146,0.215503,-0.076634,0.584735,97.530708,21.823807
66.8821869,0.764631,0.210621,0.002197,0.793112,89.841316,15.400476
66.8841400,0.868112,0.401718,0.130327,0.965391,82.241455,24.832317
66.8861542,1.001123,0.323132,-0.159613,1.064020,98.627502,17.888491
66.8881073,1.064822,0.199639,0.157905,1.094822,81.707367,10.618863
66.8901215,1.068971,0.262362,0.134720,1.108910,83.021996,13.789743
66.8920746,0.952800,0.113731,-0.067360,0.961925,94.015488,6.806890
66.8940887,0.913018,0.064431,0.035632,0.915982,87.770592,4.036634
66.8961029,0.886416,0.225997,0.117636,0.922305,82.672234,14.303182
66.8980865,0.870064,0.311905,0.256504,0.959214,74.489746,19.722008
66.9000702,0.842242,0.310929,0.274564,0.938847,72.995392,20.262548
