Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
72.4990692,0.435154,-0.358032,-0.383414,0.681581,124.231392,320.553467
72.5010223,0.428320,-0.704349,-0.105677,0.831104,97.305069,301.304138
72.5030289,0.460536,-0.619905,0.091766,0.777687,83.223419,306.609161
72.5049896,0.475912,-0.670425,-0.176941,0.840994,102.145546,305.369629
72.5069733,0.647484,-0.402450,-0.322156,0.827639,112.907631,328.136536
72.5089569,0.772929,-0.097379,-0.169376,0.797239,102.266136,352.819336
72.5109406,0.897154,-0.085664,-0.202812,0.923773,102.682426,354.545685
72.5129547,1.094841,0.160102,-0.477864,1.205265,113.358353,8.319551
72.5149384,1.192952,0.376580,-0.497877,1.346413,111.702057,17.519398
72.5169144,1.402353,0.697760,-0.435398,1.625741,105.534302,26.453264
72.5189056,1.457022,0.680676,0.064431,1.609467,87.705688,25.040531
72.5208588,1.415776,0.691658,0.169376,1.584772,83.864677,26.037195
72.5228424,1.280080,0.728511,-0.083468,1.475229,93.243492,29.644789
72.5247955,1.225900,0.710451,-0.242593,1.437505,99.715714,30.093756
72.5268021,1.236150,0.802216,0.071265,1.475363,87.231354,32.982098
72.5287628,1.121199,0.737541,0.031971,1.342414,88.635292,33.337502
72.5307465,1.144873,0.634305,-0.133743,1.315661,95.834473,28.988192
72.5327301,1.137551,0.226485,0.005613,1.159892,89.722717,11.260281
72.5347137,1.123640,-0.134476,0.113487,1.137334,84.273323,353.175385
72.5366898,1.037975,-0.193781,0.159369,1.067868,81.417076,349.425079
72.5387115,0.944502,-0.144726,0.068580,0.957983,85.894798,351.288330
72.5406647,0.892761,-0.236491,0.143750,0.934674,81.152985,345.163177
72.5426483,0.978914,-0.273344,0.159857,1.028855,81.061508,344.398560
72.5446014,0.982086,-0.087861,0.341680,1.043532,70.887337,354.887756
72.5465775,1.012838,0.084932,0.111046,1.022440,83.764877,4.793348
72.5485382,0.949627,0.098111,-0.249427,0.986727,104.642181,5.898605
72.5505524,0.997218,0.104945,-0.181335,1.018989,100.250687,6.007545
72.5525055,0.920828,0.161810,0.232831,0.963492,76.015884,9.966392
72.5545197,0.994289,0.367794,-0.144482,1.069934,97.760826,20.299772
