Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
63.1796761,0.467614,-0.432469,0.451506,0.780737,54.668415,317.235992
63.1816597,0.834676,-0.388539,0.661883,1.133903,54.287289,335.038147
63.1836395,0.970372,-0.115439,0.801484,1.263853,50.642342,353.215759
63.1855965,1.169766,0.147411,0.360961,1.233035,72.977837,7.182389
63.1876106,1.248109,0.304339,0.209645,1.301672,80.731667,13.703609
63.1895638,1.233709,0.514961,0.073949,1.338915,86.833893,22.656071
63.1915474,1.070679,0.464441,0.328501,1.212424,74.279449,23.450315
63.1935616,0.986723,0.446381,0.471763,1.181287,66.461617,24.341372
63.1955452,0.802216,0.369503,0.436130,0.985034,63.720116,24.730909
63.1975250,0.725582,0.314102,0.366086,0.871291,65.155006,23.407597
63.1995125,0.698004,0.357300,0.094206,0.789777,83.149338,27.107368
63.2015228,0.484454,0.285791,-0.197198,0.596036,109.320343,30.537392
63.2035103,0.399278,0.131059,-0.251379,0.489684,120.887184,18.171885
63.2055206,0.319959,0.007810,-0.189388,0.371891,120.614433,1.398246
63.2075081,0.330209,-0.146678,0.159613,0.395005,66.166565,336.049286
63.2094612,0.422951,-0.250159,0.124469,0.506912,75.786011,329.397400
63.2114716,0.627227,-0.208181,-0.156929,0.679249,103.357880,341.638641
63.2134285,0.765852,-0.175477,-0.252355,0.825230,107.806297,347.094757
63.2154427,1.111437,-0.176453,-0.122761,1.132033,96.225555,350.978912
63.2173958,1.366477,0.069312,0.212330,1.384611,81.178894,2.903745
63.2194061,1.383317,0.113487,0.230390,1.406955,80.575325,4.690015
63.2213593,1.382828,0.212330,0.070288,1.400799,87.123840,8.729444
63.2233467,1.396496,0.260409,0.040025,1.421131,88.386086,10.562815
63.2252960,1.367209,0.399766,-0.051740,1.425394,92.080223,16.298685
63.2273140,1.267145,0.826866,-0.154732,1.520956,95.839005,33.126148
63.2292328,1.140235,0.905940,-0.293845,1.485668,101.407539,38.467865
63.2312469,0.952555,0.670913,-0.400254,1.231946,108.959259,35.158184
63.2332039,0.751940,0.443696,-0.007322,0.873117,90.480469,30.543501
63.2352180,0.725338,0.395861,0.112022,0.833889,82.279701,28.623964
63.2372322,0.675062,0.208669,-0.192073,0.732219,105.207565,17.176933
63.2392159,0.794650,0.180358,-0.068580,0.817742,94.810776,12.787533
63.2412300,0.797579,0.039049,0.254796,0.838199,72.303200,2.802941
63.2432137,0.811002,-0.138136,-0.005125,0.822698,90.356941,350.333679
63.2452278,0.833700,-0.100308,-0.036120,0.840489,92.463074,353.139374
63.2472115,0.960365,-0.104945,0.105189,0.971792,83.786018,353.763702
63.2491951,1.102895,-0.163274,0.095182,1.118971,85.120384,351.579010
63.2512093,1.185142,-0.123249,-0.054913,1.192798,92.638657,354.062866
63.2531624,1.257139,0.081759,-0.109338,1.264530,94.960274,3.721043
63.2551727,1.364280,0.052228,-0.420267,1.428500,107.109650,2.192363
63.2571259,1.366721,0.095426,-0.358520,1.416181,104.664574,3.993991
63.2591438,1.274223,0.102260,0.072485,1.280373,86.754616,4.588315
63.2610970,1.253234,0.012447,-0.053693,1.254445,92.453117,0.569034
63.2631111,1.374042,0.224289,0.179138,1.403705,82.668037,9.270782
63.2650604,1.430908,0.434910,0.278225,1.521201,79.461372,16.906124
63.2670746,1.390150,0.449065,0.019769,1.461016,89.224724,17.902205
63.2690010,1.297652,0.486894,-0.207205,1.401393,98.502708,20.566673
