Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
31.2062721,1.177820,-0.012447,-0.065407,1.179701,93.178337,359.394531
31.2082844,1.220286,0.071997,-0.116659,1.227962,95.451454,3.376537
31.2102394,1.257627,0.145214,-0.156441,1.275612,97.044472,6.586587
31.2122211,1.259824,0.144970,-0.241129,1.290858,100.765923,6.564250
31.2142067,1.245424,0.104945,-0.225753,1.270063,100.238701,4.816602
31.2162189,1.232245,0.087372,-0.183531,1.248898,98.450470,4.055777
31.2181740,1.205399,0.036365,-0.057109,1.207299,92.711304,1.727978
31.2201576,1.194904,0.002685,0.001708,1.194908,89.918083,0.128728
31.2221088,1.154635,-0.030019,-0.027578,1.155354,91.367790,358.510712
31.2240944,1.105823,-0.045151,-0.126666,1.113970,96.529030,357.661926
31.2260475,1.079709,-0.056865,-0.168399,1.094241,98.852783,356.985168
31.2280293,1.052131,-0.080783,-0.122273,1.062288,96.609573,355.609436
31.2299843,1.053107,-0.067116,-0.036365,1.055870,91.973679,356.353394
31.2319965,1.040904,-0.074682,-0.029287,1.043991,91.607521,355.896240
31.2339516,1.069703,-0.056621,-0.066140,1.073240,93.533150,356.970062
31.2359638,1.102162,-0.025870,-0.123005,1.109307,96.366302,358.655396
31.2379169,1.120223,0.007810,-0.127642,1.127498,96.500282,0.399441
31.2399330,1.193440,0.076146,-0.149607,1.205189,97.130852,3.650733
31.2418842,1.234442,0.097379,-0.124713,1.244541,95.751160,4.510434
31.2439308,1.311076,0.141065,-0.029531,1.318973,91.282921,6.141110
31.2458515,1.336702,0.155220,-0.024650,1.345909,91.049408,6.623633
31.2478676,1.345243,0.157417,-0.015864,1.354515,90.671051,6.674252
31.2498207,1.324987,0.112999,-0.071265,1.331705,93.067589,4.874547
31.2518349,1.230049,0.027578,-0.024406,1.230600,91.136383,1.284393
31.2537880,1.188315,-0.018060,0.031971,1.188882,88.459015,359.129272
31.2558002,1.085078,-0.092742,0.093230,1.093018,85.106964,355.114807
31.2577858,1.062381,-0.103480,0.102992,1.072366,84.488708,354.436707
31.2597675,0.966711,-0.129594,0.078586,0.978519,85.393524,352.364624
31.2617836,0.864939,-0.182311,0.030507,0.884470,88.023361,348.097504
31.2637653,0.851516,-0.186460,-0.024162,0.872026,91.587723,347.648682
31.2657509,0.792210,-0.181090,-0.065163,0.815252,94.584557,347.124054
31.2677631,0.775858,-0.154976,-0.020257,0.791444,91.466629,348.703918
31.2697163,0.786108,-0.136184,-0.016108,0.797980,91.156631,350.171722
31.2717323,0.815395,-0.078830,-0.060038,0.821394,94.191650,354.477936
31.2736835,0.840777,-0.051252,-0.033924,0.843021,92.306259,356.511688
31.2756996,0.891297,0.009518,-0.023429,0.891656,91.505699,0.611843
31.2776508,0.918876,0.086396,-0.008542,0.922968,90.530273,5.371382
31.2796535,0.931078,0.116659,-0.012447,0.938441,90.759956,7.141651
31.2816200,0.918631,0.144970,-0.004637,0.930012,90.285683,8.967937
31.2836018,0.890565,0.163518,0.029531,0.905934,88.131989,10.404302
31.2855873,0.875921,0.183287,0.009030,0.894938,89.421860,11.818644
31.2875996,0.871040,0.223312,0.012935,0.899304,89.175865,14.379463
31.2895546,0.852004,0.246742,-0.116415,0.894620,97.477005,16.151114
31.2915668,0.774882,0.087861,-0.051496,0.781545,93.777962,6.468901
31.2935219,0.804901,0.094938,0.163762,0.826860,78.576843,6.726972
31.2955360,0.785376,0.064431,0.105433,0.795037,82.379349,4.689958
31.2974873,0.754869,0.054669,-0.040269,0.757917,93.045662,4.142220
31.2995033,0.712159,0.015620,-0.023674,0.712724,91.903465,1.256457
31.3014545,0.703129,-0.053204,0.102504,0.712550,81.729012,355.672791
31.3034706,0.676283,-0.107385,0.289452,0.743419,67.085808,350.977478
31.3054237,0.648460,-0.117880,0.245766,0.703418,69.550125,349.697052
31.3074379,0.588666,-0.116415,0.020745,0.600425,88.020020,348.813477
31.3094501,0.557915,-0.092254,-0.011959,0.565617,91.211494,350.610840
31.3114357,0.554498,-0.082979,0.022453,0.561122,87.706703,351.488953
31.3134499,0.547176,-0.113731,0.148631,0.578297,75.107002,348.258240
31.3154335,0.574267,-0.112510,0.223800,0.626520,69.070923,348.915009
31.3174171,0.604530,-0.068824,0.174989,0.633099,73.954491,353.504974
31.3193989,0.649192,-0.004149,0.073705,0.653376,83.522858,359.633820
31.3213539,0.655050,0.017328,0.065895,0.658584,84.257584,1.515295
31.3233356,0.669693,0.054181,0.038317,0.672973,86.735992,4.625372
31.3252888,0.667008,0.041734,0.075414,0.672554,83.561867,3.580250
31.3273048,0.664324,0.027823,0.111046,0.674115,80.518532,2.398201
31.3292561,0.676527,0.020745,0.096891,0.683745,81.853424,1.756355
31.3312721,0.680676,0.022453,0.033680,0.681878,87.168846,1.889315
31.3332233,0.696295,0.006345,-0.086640,0.701694,97.092590,0.522134
31.3352394,0.742910,-0.005857,-0.030263,0.743550,92.332634,359.548279
31.3371925,0.768292,-0.020257,-0.002441,0.768563,90.181946,358.489685
31.3391743,0.835896,-0.030263,0.014155,0.836564,89.030464,357.926544
31.3411293,0.900083,-0.049056,0.019036,0.901620,88.790192,356.880402
31.3431110,0.941085,-0.054913,-0.015864,0.942819,90.964096,356.660553
31.3450642,0.993801,-0.059062,-0.031971,0.996068,91.839378,356.598907
