
Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
35.9788132,1.138527,0.186460,0.047103,1.154656,87.662025,9.300920
35.9807320,1.050666,0.174013,0.056865,1.066496,86.943550,9.404040
35.9827499,1.006004,0.150583,0.046615,1.018279,87.376190,8.513093
35.9846687,0.888368,0.041490,0.043198,0.890385,87.219131,2.673959
35.9866867,0.774150,-0.068824,0.123493,0.786953,80.971512,354.919586
35.9886398,0.740226,-0.109338,0.172793,0.767949,76.996819,351.597687
35.9906540,0.694587,-0.170840,0.198174,0.742233,74.514320,346.181854
35.9925766,0.694587,-0.181335,0.165715,0.736746,77.001350,345.368469
35.9945908,0.711183,-0.162786,0.063455,0.732330,85.029205,347.107391
35.9965096,0.730707,-0.161566,-0.012203,0.748456,90.934196,347.531982
35.9985275,0.742178,-0.162542,-0.022697,0.760107,91.711143,347.646881
36.0004807,0.770489,-0.126422,0.037341,0.781684,87.261955,350.681946
36.0024643,0.782692,-0.102260,0.048567,0.790836,86.479095,352.556366
36.0043831,0.836628,-0.020501,-0.022453,0.837180,91.536865,358.596313
36.0063705,0.875677,0.058330,-0.106165,0.884016,96.897522,3.810895
36.0083199,0.889833,0.096647,-0.125445,0.903814,97.978165,6.198720
36.0103073,0.877874,0.136916,-0.091521,0.893188,95.881195,8.864623
36.0122871,0.863230,0.128374,-0.084932,0.876847,95.558418,8.458669
36.0142708,0.836140,0.090057,-0.075414,0.844351,95.124237,6.147388
36.0162239,0.875677,0.053937,-0.076878,0.880699,95.007843,3.524635
36.0182076,0.872749,0.047591,-0.074682,0.877230,94.883690,3.121259
36.0201607,0.828330,0.086396,-0.083956,0.837045,95.756454,5.954517
36.0221786,0.690438,0.043930,-0.175477,0.713741,104.232391,3.640635
36.0241318,0.666032,-0.064675,-0.214770,0.702786,107.794182,354.453674
36.0261116,0.702153,-0.137892,0.095182,0.721867,82.423157,348.889343
36.0280952,0.674330,-0.180602,0.095914,0.704655,82.176865,345.006653
36.0300827,0.648704,-0.247962,0.063943,0.697417,84.739426,339.081024
36.0320358,0.701421,-0.244545,0.069556,0.746077,84.650581,340.779236
36.0340195,0.780007,-0.192317,0.027334,0.803831,88.051270,346.149506
36.0359993,0.935471,-0.124225,-0.073461,0.946539,94.451225,352.435699
36.0379829,1.021868,-0.123737,-0.056377,1.030875,93.134995,353.095734
36.0399704,1.245668,-0.181823,-0.153024,1.268134,96.930687,351.695526
36.0420151,1.470445,-0.120320,-0.067116,1.476885,92.604652,355.322144
36.0439339,1.560014,-0.083468,-0.035876,1.562657,91.315544,356.937347
36.0459213,1.826280,0.037097,-0.244545,1.842954,97.625183,1.163673
36.0478706,2.011276,0.123737,-0.338019,2.043232,99.522423,3.520494
36.0498581,2.094499,0.161810,-0.332162,2.126838,98.985031,4.417594
36.0518417,2.228243,0.218675,-0.308244,2.260066,97.838844,5.604946
36.0538216,2.234832,0.242105,-0.254796,2.262302,96.466759,6.182879
36.0557747,2.177723,0.246986,-0.216235,2.202325,95.634651,6.470539
36.0577583,2.006395,0.224533,-0.100063,2.021397,92.837425,6.385319
36.0597115,1.932933,0.213062,-0.034900,1.944954,91.028168,6.290164
36.0617294,1.745497,0.151071,-0.131547,1.756954,94.293877,4.946578
36.0636826,1.665691,0.174989,-0.040269,1.675341,91.377327,5.997206
36.0656967,1.460194,0.211110,0.027090,1.475625,88.948074,8.226609
36.0676804,1.237370,0.164739,-0.068824,1.250184,93.155800,7.583539
36.0696602,1.126324,0.127154,-0.124225,1.140266,96.254448,6.441007
36.0716171,0.944502,0.065407,-0.279446,0.987143,106.444427,3.961445
36.0735970,0.969151,0.119100,-0.086396,0.980257,95.056404,7.006006
36.0755844,1.051887,0.152780,0.016840,1.063057,89.092339,8.264056
36.0775681,1.271050,0.197198,-0.081271,1.288821,93.615379,8.818897
36.0795212,1.380388,0.206961,-0.127398,1.401618,95.215004,8.526803
36.0815315,1.625909,0.213794,-0.203056,1.652429,97.058525,7.490963
36.0834846,1.776493,0.193781,-0.192073,1.797323,96.134697,6.225263
36.0854683,1.893152,0.176941,-0.034412,1.901714,91.036842,5.339579
36.0873947,1.900230,0.166447,0.125689,1.911642,86.230110,5.005939
36.0894089,1.776249,0.150583,0.022697,1.782765,89.270515,4.845723
36.0913582,1.274223,0.145702,-0.121541,1.288272,95.413551,6.523207
36.0933456,0.738517,0.098355,0.068092,0.748143,84.778015,7.585961
36.0952988,0.505198,0.079075,0.115439,0.524218,77.278519,8.895857
36.0972824,0.155220,0.064431,0.266755,0.315282,32.211895,22.543060
36.0992622,0.204032,0.017572,0.228194,0.306611,41.905674,4.922419
36.1012802,0.391712,0.002685,0.115439,0.408377,73.579910,0.392675
36.1032600,0.591107,-0.142041,-0.017328,0.608180,91.632675,346.488159
36.1052437,0.712159,-0.074926,0.010006,0.716160,89.199425,353.994049
36.1071968,0.880070,-0.080539,0.128862,0.893094,81.703979,354.771179
36.1091843,1.108752,0.004149,0.035388,1.109324,88.171913,0.214401
36.1111336,1.167082,0.067848,0.008054,1.169080,89.605278,3.327126
36.1131210,1.335725,0.196466,-0.085176,1.352781,93.609940,8.367393
36.1151009,1.385513,0.211354,-0.244789,1.422757,99.907196,8.673342
36.1171188,1.456290,0.221360,-0.314590,1.506236,102.055450,8.642953
36.1190376,1.491190,0.271880,-0.209645,1.530202,97.874573,10.332901
36.1210556,1.482648,0.225265,-0.182311,1.510704,96.931313,8.639114
36.1230087,1.387465,0.179870,-0.185972,1.411382,97.571632,7.386594
36.1249924,1.363060,0.382682,-0.178894,1.427018,97.201668,15.682193
36.1269112,1.257871,0.459072,-0.141553,1.346486,96.034531,20.050020
36.1289253,1.034803,0.369747,-0.195734,1.116172,100.099709,19.662386
36.1309090,0.963050,0.282618,-0.184751,1.020525,100.430084,16.354944
36.1328964,0.939376,0.319471,-0.031971,0.992729,91.845566,18.782570
36.1348495,0.871040,0.308000,-0.009762,0.923943,90.605392,19.473618
36.1368332,0.828574,0.280422,-0.042466,0.875771,92.779350,18.697817
36.1388130,0.692146,0.143750,-0.256992,0.752181,109.978226,11.732787
36.1407967,0.673598,0.104701,-0.348758,0.765721,117.094749,8.835058
36.1427498,0.654806,0.013667,-0.241373,0.698010,110.230705,1.195713
36.1447372,0.774638,0.045883,-0.034900,0.776780,92.575127,3.389741
36.1467209,0.826622,0.045639,0.000244,0.827881,89.983109,3.160155
36.1487007,0.952067,-0.003417,-0.143262,0.962792,98.557281,359.794373
36.1506577,1.045785,-0.027090,-0.355835,1.104998,108.785362,358.516113
36.1526375,1.100942,-0.016108,-0.316542,1.145658,106.039345,359.161774
36.1546249,1.162445,0.053204,-0.005613,1.163675,90.276382,2.620569
36.1566086,1.181725,0.080783,0.062479,1.186130,86.980583,3.910666
36.1585884,1.188803,0.117880,-0.147411,1.203693,97.034401,5.662839
36.1606064,1.149754,0.164251,-0.286035,1.196130,103.835419,8.130102
36.1625595,1.106800,0.176453,-0.278225,1.154795,103.941467,9.058245
36.1645432,0.978914,0.167179,-0.180114,1.009288,100.279884,9.691495
36.1664963,0.916191,0.153024,-0.107629,0.935097,96.609367,9.482121
36.1684761,0.793186,0.122761,-0.072973,0.805940,95.194908,8.797820
36.1704597,0.662859,0.043686,-0.189632,0.690834,105.932091,3.770668
36.1724739,0.629912,0.015620,-0.253575,0.679215,111.921501,1.420449
36.1744308,0.666032,0.018548,-0.291160,0.727129,113.604706,1.595220
36.1764107,0.742178,0.044418,-0.207693,0.771970,105.607300,3.424994
36.1783371,0.770489,0.048567,-0.154488,0.787323,101.315971,3.606840
36.1803818,0.802704,0.035876,-0.241617,0.839047,106.736198,2.559100
36.1823006,0.823937,0.032216,-0.299946,0.877427,109.989479,2.239097
36.1843185,0.819544,0.038073,-0.290916,0.870479,109.524040,2.659833
36.1862717,0.812711,0.052960,-0.211842,0.841534,104.580063,3.728417
36.1882820,0.821985,0.088349,-0.172304,0.844484,101.773026,6.134725
36.1902084,0.846879,0.123493,-0.119588,0.864150,97.954582,8.296473
36.1922226,0.853712,0.127886,-0.164983,0.878862,100.819931,8.519551
36.1941414,0.829795,0.120564,-0.205008,0.863205,103.738823,8.266891
36.1961594,0.801972,0.076878,-0.145702,0.818718,100.251183,5.475712
36.1981125,0.793186,0.049056,-0.125689,0.804580,98.987419,3.539016
36.2000961,0.840533,0.069312,-0.109582,0.850475,97.403008,4.714074
36.2029610,0.914483,0.158881,-0.068580,0.930712,94.225708,9.856128
36.2040596,0.914971,0.192073,-0.075170,0.937931,94.596848,11.855534
36.2060127,0.897154,0.160590,-0.208913,0.935051,102.910233,10.148405
36.2080269,0.848099,0.115195,-0.252111,0.892245,106.412941,7.734997
36.2099838,0.765608,0.001220,-0.092498,0.771176,96.888855,0.091322
36.2119980,0.725338,-0.100796,0.068580,0.735512,84.649902,352.088623
36.2139473,0.733148,-0.097867,0.102992,0.746787,82.072861,352.396606
36.2159348,0.779275,-0.079807,0.050520,0.784978,86.309990,354.152649
36.2178879,0.803681,-0.054913,-0.005857,0.805576,90.416603,356.091248
36.2198715,0.811734,-0.029775,-0.054181,0.814085,93.816093,357.899292
36.2218513,0.768780,-0.081759,-0.024162,0.773493,91.790047,353.929443
36.2238693,0.742666,-0.107385,0.012691,0.750497,89.031075,351.772400
36.2265854,0.689706,-0.150583,-0.054913,0.708085,94.447823,347.683899
36.2278328,0.702153,-0.132035,-0.079075,0.718822,96.315651,349.350281
36.2298203,0.704349,-0.108850,-0.089569,0.718317,97.163025,351.215057
36.2318306,0.727047,-0.043198,-0.195734,0.754171,105.042473,356.599731
36.2337837,0.702641,-0.034900,-0.245766,0.745200,109.256531,357.156464
36.2357712,0.803681,-0.049544,-0.189632,0.827235,103.252129,356.472412
36.2377205,0.946210,-0.037829,-0.189388,0.965719,101.309654,357.710571
