Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
35.6638908,1.208327,-0.200859,-0.020745,1.225084,90.970261,350.562073
35.6658783,1.149266,-0.176453,0.028067,1.163071,88.617233,351.271210
35.6678619,1.142676,-0.159125,0.100063,1.158034,85.042999,352.072174
35.6698761,1.170987,-0.109338,0.123005,1.182495,84.029213,354.665619
35.6718292,1.309123,-0.045395,0.034900,1.310375,88.473816,358.014038
35.6738129,1.322790,-0.008542,-0.053693,1.323907,92.324333,359.630005
35.6757317,1.213697,-0.002197,-0.199639,1.230008,99.340820,359.896301
35.6777496,1.130473,-0.004149,0.104212,1.135274,84.733124,359.789703
35.6797028,1.136819,-0.019769,0.074437,1.139425,86.254257,359.003754
35.6817169,1.128033,-0.032216,-0.163274,1.140243,98.232628,358.364136
35.6836662,1.098014,-0.089325,-0.129350,1.109209,96.696785,355.349152
35.6856804,1.095573,-0.093962,-0.019036,1.099760,90.991821,355.098022
35.6876373,1.083858,-0.103236,-0.041002,1.089535,92.156677,354.559052
35.6896515,1.058476,-0.141309,-0.026114,1.068187,91.400856,352.395844
35.6916046,1.014546,-0.115439,-0.134476,1.029909,97.502548,353.508575
35.6935883,0.977937,-0.106897,-0.155953,0.996047,99.007950,353.761841
35.6955414,0.970128,-0.140577,-0.035388,0.980898,92.067535,351.754913
35.6975479,0.946454,-0.123737,-0.001464,0.954509,90.087898,352.551544
35.6995049,0.933519,-0.097379,-0.055401,0.940218,93.378029,354.044800
35.7015228,0.907405,-0.070777,-0.093962,0.914998,95.894150,355.540009
35.7034760,0.894226,-0.027578,-0.131059,0.904199,98.334068,358.233521
35.7054901,0.887880,0.003173,-0.096403,0.893104,96.196640,0.204739
35.7074394,0.867868,0.017084,-0.073217,0.871118,94.821381,1.127724
35.7094269,0.859570,0.022453,-0.106409,0.866422,97.054550,1.496312
35.7113800,0.860790,0.048079,0.016352,0.862287,88.913414,3.196924
35.7133636,0.859570,0.032948,0.016108,0.860352,88.927231,2.195101
35.7153168,0.848343,0.030995,-0.088837,0.853545,95.974159,2.092442
35.7173004,0.810758,-0.001464,-0.177186,0.829895,102.327751,359.896515
35.7192535,0.787817,-0.039537,-0.163274,0.805529,101.694427,357.126984
35.7212372,0.777078,-0.099819,-0.098843,0.789674,97.190552,352.680176
35.7231903,0.761947,-0.140577,-0.029043,0.775350,92.146667,349.546631
35.7251701,0.754869,-0.156929,-0.056377,0.773067,94.182106,348.256134
35.7271271,0.765852,-0.156441,-0.101284,0.788201,97.382919,348.455017
35.7291412,0.774150,-0.146922,-0.106165,0.795088,97.673393,349.253876
35.7311554,0.771221,-0.144970,-0.114219,0.792997,98.281364,349.354065
35.7331390,0.776834,-0.141797,-0.123981,0.799343,98.922813,349.655548
35.7350578,0.781471,-0.145702,-0.092742,0.800330,96.654350,349.438690
35.7370758,0.800020,-0.135940,0.026114,0.811907,88.156822,350.356384
35.7390900,0.820520,-0.088593,0.053693,0.827034,86.277634,353.837555
35.7410736,0.824181,-0.064919,-0.011959,0.826821,90.828735,355.496216
35.7430878,0.823937,-0.027823,-0.135696,0.835500,99.346970,358.065979
35.7450714,0.827598,0.000488,-0.109094,0.834758,97.509407,0.033793
35.7470512,0.818324,-0.001220,-0.088837,0.823133,96.195732,359.914551
35.7490692,0.803436,-0.014643,-0.023918,0.803926,91.704857,358.955841
35.7510223,0.797579,-0.024406,0.007322,0.797986,89.474289,358.247314
35.7530022,0.788061,-0.028799,0.026358,0.789027,88.085625,357.907135
35.7549591,0.726070,-0.048079,-0.080051,0.732050,96.277931,356.211487
