
Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
39.1989288,1.735979,0.152048,0.084444,1.744670,87.225739,5.005541
39.2009430,1.728902,0.071997,0.100063,1.733291,86.690453,2.384598
39.2028923,1.704496,0.028555,0.095914,1.707431,86.779732,0.959762
39.2048798,1.664470,-0.114951,0.033436,1.668770,88.851929,356.049347
39.2068329,1.644458,-0.131547,0.067116,1.651076,87.670303,355.426422
39.2088432,1.629814,-0.101528,0.127398,1.637935,85.539055,356.435425
39.2107964,1.647874,0.005613,0.184995,1.658236,83.594658,0.195171
39.2128143,1.641773,0.065895,0.143750,1.649371,85.000084,2.298434
39.2147942,1.682531,0.189877,0.053693,1.694062,88.183731,6.438688
39.2167778,1.700347,0.325816,0.022697,1.731430,89.248886,10.847394
39.2187653,1.693513,0.384390,0.058818,1.737585,88.060150,12.788205
39.2207489,1.604188,0.457851,0.094938,1.670946,86.742867,15.929276
39.2227631,1.536829,0.488359,0.060038,1.613673,87.867767,17.628714
39.2247467,1.510470,0.561820,0.065651,1.612908,87.667206,20.402695
39.2267265,1.400156,0.694099,0.197686,1.575212,82.790466,26.368971
39.2287407,1.303510,0.683848,0.181090,1.483098,82.986519,27.682440
39.2306976,1.082638,0.686045,0.103480,1.285874,85.384148,32.361576
39.2327118,0.857373,0.522282,0.005857,1.003943,89.665710,31.348349
39.2346611,0.785864,0.409040,-0.002441,0.885947,90.157837,27.496838
39.2366486,0.712647,0.332650,0.237468,0.821531,73.198601,25.022264
39.2386322,0.631376,0.268951,0.265046,0.735677,68.882889,23.072842
39.2406120,0.583297,0.131547,0.227461,0.639749,69.172974,12.708902
39.2434502,0.508127,0.021477,0.186216,0.541600,69.889915,2.420283
39.2445488,0.507151,-0.026846,0.179138,0.538529,70.570702,356.969849
39.2468376,0.501538,-0.028311,0.295309,0.582708,59.549923,356.769226
39.2485466,0.555718,-0.044174,0.278713,0.623262,63.436783,355.455078
39.2504997,0.643579,-0.111534,0.200371,0.683215,72.945763,350.168121
39.2525139,0.831991,-0.022209,0.255772,0.870702,72.917175,358.470917
39.2544365,0.922292,0.066628,0.337287,0.984289,69.960327,4.131946
39.2564507,1.029922,0.224045,0.283595,1.091494,74.940483,12.272666
39.2584343,1.073608,0.309465,0.099087,1.121704,84.932098,16.079485
39.2604218,1.066286,0.376824,0.045639,1.131833,87.689049,19.463354
39.2623749,1.084590,0.480305,-0.049300,1.187207,92.379929,23.885885
39.2643852,1.051155,0.483721,-0.118124,1.163128,95.828835,24.710995
39.2663383,1.059209,0.484942,-0.082735,1.167877,94.062386,24.599920
39.2683220,0.934007,0.469810,0.028067,1.045887,88.462273,26.702620
39.2702751,0.865671,0.439547,0.029287,0.971311,88.272163,26.919323
39.2722626,0.683360,0.369747,-0.042222,0.778124,93.110466,28.416553
39.2742119,0.627959,0.302387,-0.143506,0.711593,101.634529,25.712633
39.2761993,0.674330,0.290672,-0.146190,0.748721,101.259521,23.318613
39.2781830,0.709963,0.188168,-0.131547,0.746163,100.154190,14.844343
39.2801628,0.720213,0.146922,-0.107629,0.742884,98.330345,11.530056
39.2821159,0.804901,0.043198,-0.104212,0.812768,97.366699,3.072054
39.2840996,0.891297,-0.069800,-0.177430,0.911462,101.225143,355.522125
39.2860870,0.970372,-0.051252,-0.158393,0.984549,99.257919,356.976624
39.2880707,1.126568,0.061746,-0.091766,1.131985,94.649841,3.137206
39.2900848,1.255674,0.109826,-0.153512,1.269782,96.943832,4.998573
39.2920685,1.294968,0.210865,-0.228926,1.331846,99.897499,9.248559
39.2940483,1.334993,0.294577,-0.306048,1.400945,102.618484,12.443381
39.2960663,1.339142,0.323132,-0.335579,1.417861,103.690651,13.566011
