Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
26.1803474,2.587739,0.197198,0.028799,2.595402,89.364227,4.357794
26.1823292,2.456192,0.061502,0.014399,2.457004,89.664215,1.434372
26.1843452,2.389320,-0.098843,-0.000244,2.391364,90.005844,357.631104
26.1863270,2.296335,-0.143750,-0.029043,2.301013,90.723190,356.417969
26.1883430,2.092303,-0.174257,0.153268,2.105134,85.824783,355.239136
26.1903553,1.773320,-0.148631,0.086884,1.781657,87.204803,355.208954
26.1923103,1.575878,-0.139601,0.007810,1.582068,89.717163,354.937622
26.1943226,1.233709,-0.122517,-0.093474,1.243297,94.311699,354.328674
26.1962757,1.026017,-0.119588,-0.129350,1.041030,97.137581,353.351837
26.1982613,0.611852,-0.206228,0.014887,0.645844,88.679146,341.373291
26.2002735,0.414897,-0.106653,0.289696,0.517144,55.931488,345.583740
26.2022591,0.429297,-0.008054,0.266022,0.505102,58.219250,358.925232
26.2042103,0.434910,0.213550,0.138380,0.503884,74.060188,26.152023
26.2061958,0.562308,0.248694,0.023674,0.615304,87.795029,23.858576
26.2081470,0.597696,0.279690,-0.174989,0.682707,104.851616,25.077061
26.2101307,0.601845,0.387563,0.042466,0.717095,86.604996,32.779831
26.2120857,0.537414,0.453214,0.178406,0.725290,75.760323,40.141747
26.2140980,0.749012,0.364377,0.143994,0.845295,80.191986,25.941887
26.2160511,0.940108,0.402939,0.134231,1.031592,82.523430,23.200386
26.2180653,1.015766,0.418314,0.164006,1.110705,81.508667,22.382904
26.2200184,1.088983,0.459316,0.051496,1.183008,87.505142,22.869236
26.2220039,1.181969,0.452970,-0.165227,1.276532,97.436897,20.968508
26.2239552,1.088739,0.462000,-0.125201,1.189316,96.042824,22.993664
26.2259712,1.081174,0.173281,-0.062967,1.096781,93.291191,9.105409
26.2279224,1.147557,0.055645,-0.110314,1.154189,95.484528,2.776098
26.2299061,1.322790,-0.032216,0.049544,1.324110,87.855690,358.604889
26.2318611,1.277152,-0.023185,0.191341,1.291613,81.480789,358.959961
26.2338734,1.384537,-0.095914,-0.041246,1.388468,91.702271,356.037140
26.2358284,1.546103,-0.100308,-0.180846,1.559872,96.657654,356.287994
26.2378407,1.609313,-0.119344,-0.204032,1.626580,97.205940,355.758789
26.2397938,1.663006,-0.063943,-0.069312,1.665678,92.384880,357.798035
26.2417793,1.628594,0.040758,-0.034168,1.629462,91.201515,1.433598
26.2437305,1.674965,0.039293,-0.019036,1.675534,90.650978,1.343863
26.2457466,1.690341,0.167667,-0.045151,1.699236,91.522591,5.664721
26.2476978,1.649583,0.245033,-0.075902,1.669409,92.605927,8.449088
26.2497444,1.564895,0.334602,-0.218675,1.615139,97.781227,12.069123
26.2516956,1.299117,0.351442,-0.274564,1.373536,101.530876,15.137562
26.2537098,1.099966,0.352907,-0.186460,1.170143,99.169037,17.788019
26.2556648,0.665056,0.359740,-0.048811,0.757691,93.693626,28.409729
26.2576466,0.582809,0.350466,-0.032460,0.680842,92.732651,31.020178
26.2596016,0.576219,0.491775,0.070288,0.760797,84.698997,40.479164
26.2615833,0.574999,0.520574,-0.071753,0.778954,95.285255,42.156052
26.2635365,0.598672,0.494460,-0.136916,0.788445,100.000305,39.554234
26.2655220,0.776346,0.409772,-0.334602,0.939460,110.864838,27.826050
26.2674732,0.964026,0.404403,-0.043198,1.046305,92.366211,22.757740
26.2694569,0.978426,0.336067,-0.060282,1.036287,93.334854,18.956427
26.2714119,0.995265,0.367062,0.034900,1.061370,88.115646,20.244390
26.2733936,0.956704,0.339484,0.035144,1.015760,88.017227,19.537075
26.2753487,0.924733,0.300679,-0.048567,0.973600,92.859344,18.012024
26.2773018,0.855665,0.218675,-0.103480,0.889207,96.682861,14.335776
26.2793140,0.799532,0.138625,-0.043198,0.812609,93.047272,9.836281
26.2812996,0.711427,0.036609,0.054913,0.714481,85.592072,2.945727
26.2832508,0.675795,-0.011471,0.095914,0.682664,81.923195,359.027588
26.2852669,0.646996,-0.048323,0.129350,0.661566,78.724823,355.728577
26.2872181,0.616489,-0.055889,0.069556,0.622912,83.588806,354.819885
26.2892017,0.594035,-0.056377,0.018548,0.596993,88.219551,354.578552
26.2911568,0.529604,-0.091766,-0.100552,0.546820,100.596085,350.169861
26.2931690,0.498609,-0.113487,-0.128862,0.527348,104.143967,347.177551
26.2951241,0.479084,-0.077366,0.035144,0.486562,85.857933,350.826630
26.2971363,0.465417,-0.027823,0.135696,0.485593,73.773003,356.578949
26.2990894,0.461024,-0.023429,0.101772,0.472705,77.567055,357.090698
26.3010750,0.497877,0.014887,0.036609,0.499443,85.796516,1.712746
26.3030262,0.522282,0.030263,0.099331,0.532505,79.249306,3.316235
26.3050423,0.519598,0.018060,0.138625,0.538075,75.070496,1.990691
26.3069935,0.522527,0.060038,0.263826,0.588424,63.361473,6.554518
26.3090096,0.490311,0.061014,0.256260,0.556594,62.586590,7.093423
26.3110218,0.454435,0.189388,0.248206,0.551348,63.244747,22.624235
