Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
26.5522099,1.025040,0.135208,0.053204,1.035287,87.054214,7.514207
26.5541649,0.965246,0.066628,0.047103,0.968689,87.212860,3.948667
26.5561485,0.887636,-0.039049,0.141553,0.899700,80.947830,357.481049
26.5581017,0.828330,-0.051496,0.216235,0.857637,75.396492,356.442596
26.5600853,0.751940,-0.021965,0.205740,0.779888,74.703903,358.326782
26.5620670,0.735100,-0.101284,0.111046,0.750308,81.488922,352.155060
26.5640526,0.800264,-0.054913,0.104945,0.808981,82.546333,356.074615
26.5660343,0.882023,-0.043686,-0.078342,0.886572,95.069580,357.164490
26.5680504,0.984039,0.167667,0.160346,1.011017,80.874451,9.669590
26.5700340,0.971348,0.272612,0.187924,1.026231,79.448418,15.676949
26.5720177,0.882999,0.419290,0.037585,0.978215,87.798050,25.400610
26.5739708,0.715576,0.454435,-0.080051,0.851450,95.394745,32.418056
26.5759525,0.353395,0.511056,-0.322644,0.700118,117.441452,55.336163
26.5779076,0.165227,0.412457,-0.303363,0.538005,124.323624,68.169373
26.5799217,0.209645,0.388783,-0.156685,0.468672,109.530968,61.664940
26.5818748,0.274808,0.350222,0.085664,0.453336,79.107681,51.879822
26.5838585,0.457851,0.320447,-0.103480,0.568351,100.490425,34.987923
26.5858707,0.643335,0.335335,-0.206228,0.754228,105.868469,27.530521
26.5878563,1.082638,0.377801,-0.312149,1.188392,105.228264,19.237097
26.5898380,1.311076,0.464441,-0.214282,1.407317,98.758095,19.506397
26.5918541,1.564407,0.479328,-0.121296,1.640682,94.239777,17.034870
26.5938072,1.590277,0.351686,-0.176697,1.638257,96.191795,12.470139
26.5958214,1.593694,0.303851,-0.180846,1.632449,96.360413,10.794377
26.5977745,1.555377,0.277737,0.006590,1.579993,89.761040,10.124360
26.5997887,1.249329,0.185728,-0.167667,1.274139,97.561638,8.455767
26.6017418,1.136086,0.043198,-0.154000,1.147290,97.714066,2.177545
26.6037235,1.005272,-0.073461,-0.045883,1.008996,92.606346,355.820496
26.6057396,0.992825,-0.070777,0.042954,0.996271,87.528938,355.922394
26.6077213,0.931567,-0.098843,-0.037585,0.937549,92.297508,353.943329
26.6097069,0.950847,-0.103236,-0.223556,0.982215,103.156082,353.803497
26.6117210,0.948651,-0.066872,-0.267731,0.987972,105.723198,355.967804
26.6136742,1.063601,0.045395,-0.238200,1.090893,102.612320,2.443908
26.6156883,1.233953,0.135696,-0.224777,1.261578,100.263252,6.275507
26.6176395,1.321814,0.376092,-0.137892,1.381178,95.729774,15.882502
26.6196251,1.367697,0.500805,-0.251135,1.477995,99.782928,20.111065
26.6215782,1.356958,0.467858,-0.370479,1.482391,104.472771,19.023382
26.6235619,1.379656,0.412945,-0.396837,1.493805,105.405891,16.662971
26.6255760,1.345243,0.480793,-0.003173,1.428584,90.127251,19.666994
26.6275578,1.293015,0.528140,0.117636,1.401663,85.185745,22.217854
26.6295433,1.197589,0.549617,-0.060282,1.319065,92.619370,24.652103
26.6315556,1.109240,0.551569,-0.242837,1.262384,101.090767,26.438850
26.6335106,0.978914,0.541319,-0.485674,1.219499,113.469261,28.941689
26.6355228,0.687265,0.543027,-0.241617,0.908620,105.421387,38.313248
26.6374779,0.553034,0.492019,-0.068336,0.743370,95.274498,41.658642
26.6394615,0.454679,0.326305,-0.005613,0.559677,90.574661,35.665478
26.6414127,0.437107,0.218675,-0.103724,0.499640,101.981644,26.577847
26.6433983,0.506663,0.131791,-0.146434,0.543617,105.626816,14.580421
26.6454105,0.749988,0.115927,-0.092010,0.764452,96.912888,8.786789
26.6473961,0.866403,0.113243,-0.089569,0.878351,95.852852,7.446586
26.6493797,1.098746,0.095670,-0.114463,1.108827,95.925133,4.976331
26.6513939,1.265925,0.133255,-0.103724,1.277138,94.658478,6.009006
26.6533470,1.331088,0.155220,-0.099819,1.343820,94.259872,6.651316
26.6553288,1.427247,0.117636,-0.186704,1.444206,97.427864,4.711744
26.6572838,1.468248,0.109338,-0.200859,1.485952,97.768570,4.258846
26.6592674,1.429687,0.187924,-0.177918,1.452920,97.033829,7.488267
26.6612206,1.487285,0.408796,-0.076390,1.544333,92.835274,15.368820
26.6632347,1.499488,0.448577,-0.128862,1.570443,94.706680,16.654745
26.6651859,1.579782,0.471275,-0.358276,1.687061,102.261101,16.610689
26.6671715,1.564651,0.483477,-0.378045,1.680714,102.998817,17.171158
26.6691551,1.547079,0.561576,-0.250159,1.664752,98.642448,19.950441
26.6711693,1.479475,0.587690,-0.043930,1.592531,91.580719,21.664394
26.6731224,1.449212,0.556939,-0.073949,1.554305,92.726997,21.021994
26.6751366,1.333041,0.489091,-0.198174,1.433694,97.945229,20.148016
26.6770897,1.149998,0.472739,-0.176697,1.255866,98.088219,22.346487
26.6791019,1.063113,0.489335,-0.146190,1.179420,97.120186,24.715889
26.6810570,0.857861,0.419534,-0.161810,0.968565,99.617020,26.060802
26.6830406,0.749256,0.291160,-0.276517,0.850071,108.982956,21.236095
26.6850243,0.579148,0.090789,-0.253331,0.638617,113.371262,8.909382
26.6870079,0.409528,-0.043686,-0.021477,0.412411,92.985130,353.911011
26.6889591,0.309953,-0.085664,0.067604,0.328602,78.127663,344.550385
26.6909752,0.108850,-0.162054,0.075902,0.209454,68.753563,303.888733
26.6929283,0.016840,-0.223556,-0.121785,0.255132,118.511734,274.307800
26.6949425,0.041734,-0.199151,-0.188656,0.277478,132.835587,281.835571
26.6968956,0.065651,-0.020501,-0.160590,0.174698,156.815369,342.658112
26.6988773,0.104456,0.086396,-0.089325,0.162340,123.382950,39.594246
26.7008324,0.345341,0.240152,-0.091033,0.430373,102.211571,34.814999
26.7028141,0.676039,0.213794,-0.329477,0.781851,114.923424,17.549322
26.7047691,0.813687,0.155953,-0.420999,0.929326,116.937286,10.849828
26.7067833,0.841021,0.094938,-0.240152,0.879775,105.841095,6.440541
26.7087040,1.015278,0.075414,-0.024894,1.018379,91.400711,4.248063
26.7107201,1.031874,0.151315,0.215259,1.064893,78.337814,8.342476
