Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
93.4479523,0.754625,0.094450,-0.289696,0.813820,110.852928,7.134139
93.4499588,0.743398,0.073461,-0.296774,0.803811,111.666794,5.643539
93.4519501,0.793674,0.014887,-0.200371,0.818712,104.166435,1.074610
93.4538956,0.878606,0.132279,-0.032216,0.889092,92.076523,8.561894
93.4558792,0.886416,0.154244,-0.025870,0.900108,91.646973,9.871132
93.4578400,0.913018,0.121052,-0.030507,0.921513,91.897156,7.552505
93.4598236,0.915703,0.110558,-0.123981,0.930648,97.655716,6.884319
93.4617691,0.998194,0.184507,-0.204032,1.035405,101.364807,10.472414
93.4637833,1.084346,0.227461,-0.124957,1.114971,96.434784,11.847058
93.4674149,1.154879,0.295797,0.074193,1.194465,86.438820,14.366244
93.4678192,1.154879,0.295797,0.074193,1.194465,86.438820,14.366244
93.4701004,1.121443,0.318739,-0.099087,1.170063,94.857933,15.866315
93.4718170,1.098258,0.306048,-0.221604,1.161440,100.999535,15.571381
93.4737625,1.068238,0.268219,-0.233807,1.125940,101.984955,14.094751
93.4757462,1.058476,0.261385,-0.194026,1.107403,100.090752,13.871376
93.4777069,1.061649,0.252355,-0.124469,1.098305,96.507217,13.371127
93.4797211,1.081418,0.190365,0.042222,1.098856,87.797951,9.983635
93.4816666,1.103627,0.179626,0.068824,1.120265,86.477783,9.244390
93.4836502,1.102407,0.187192,-0.038317,1.118843,91.962593,9.637073
93.4856644,1.046762,0.162542,-0.143506,1.068982,97.714973,8.826451
93.4876480,1.013082,0.130083,-0.153756,1.032907,98.560730,7.316901
93.4896088,0.935471,0.095914,-0.083956,0.944116,95.101776,5.854117
93.4915924,0.891541,0.066872,-0.004881,0.894059,90.312813,4.289544
93.4935760,0.844438,0.063699,0.038805,0.847726,87.376335,4.313853
93.4955521,0.842730,0.105433,-0.122517,0.858091,98.208649,7.131143
93.4975052,0.868844,0.137892,-0.220628,0.906962,104.079033,9.018076
93.4994965,0.972324,0.224289,-0.357056,1.059815,109.688347,12.989365
93.5015030,1.110461,0.206716,-0.344121,1.180794,106.943687,10.545127
93.5034943,1.176112,0.207937,-0.269683,1.224421,102.723938,10.026292
93.5054398,1.278860,0.224777,-0.262117,1.324656,101.412773,9.968678
93.5074615,1.313760,0.225997,-0.265778,1.359293,101.275505,9.760664
93.5094070,1.333773,0.209889,-0.292137,1.381429,102.208748,8.943013
93.5113678,1.338166,0.190121,-0.295309,1.383489,102.324760,8.086209
93.5133820,1.338898,0.162542,-0.254796,1.372585,100.697983,6.921832
93.5153656,1.357202,0.112022,-0.167179,1.372041,96.998718,4.718447
93.5173798,1.352077,0.105677,-0.126910,1.362126,95.346024,4.469086
93.5193634,1.313760,0.092254,-0.127642,1.323166,95.535767,4.016777
93.5213089,1.267389,0.032460,-0.196222,1.282900,98.798035,1.467104
93.5233231,1.260312,0.037585,-0.225509,1.280879,100.140228,1.708159
93.5252762,1.245668,0.096891,-0.195978,1.264707,98.914429,4.447633
93.5272675,1.191731,0.130815,-0.096159,1.202740,94.585670,6.264197
93.5292130,1.141700,0.127398,-0.096647,1.152844,94.808937,6.367076
93.5311966,1.020647,0.126178,-0.158637,1.040580,98.768974,7.047437
93.5331802,0.961342,0.101772,-0.222092,0.991897,102.938576,6.043077
93.5352325,0.907161,0.085420,-0.268707,0.949969,106.430901,5.379222
