Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
36.3978424,0.920828,0.002197,-0.171084,0.936589,100.525162,0.136671
36.3998528,0.939132,0.005369,-0.138380,0.949288,98.382042,0.327571
36.4018402,0.946942,0.003173,-0.116171,0.954047,96.994080,0.191970
36.4037895,0.955240,0.002685,-0.128130,0.963799,97.639671,0.161025
36.4058037,0.955484,-0.004881,-0.113731,0.962241,96.787857,359.707306
36.4077568,0.961586,-0.011959,-0.115439,0.968564,96.845116,359.287476
36.4097404,0.968419,-0.039049,-0.141065,0.979418,98.281082,357.690948
36.4117546,0.981598,-0.032216,-0.142773,0.992450,98.271248,358.120270
36.4137383,1.010641,-0.012935,-0.132523,1.019375,97.469841,359.266724
36.4156914,1.041392,-0.004881,-0.122273,1.048557,96.696518,359.731445
36.4176750,1.050911,-0.007078,-0.126910,1.058569,96.885635,359.614136
36.4196281,1.059209,-0.008542,-0.137648,1.068149,97.404076,359.537933
36.4216156,1.050422,-0.000732,-0.153756,1.061616,98.327553,359.960052
36.4236259,1.034559,0.013667,-0.178162,1.049876,99.770256,0.756871
36.4256134,0.994533,0.015132,-0.168399,1.008803,99.609367,0.871672
36.4275932,0.971104,0.012203,-0.162542,0.984688,99.501274,0.719939
36.4296112,0.928638,-0.004149,-0.160102,0.942347,99.781807,359.744019
36.4315605,0.898863,-0.019036,-0.149607,0.911427,99.447624,358.786743
36.4335480,0.893250,-0.012691,-0.149119,0.905700,99.476616,359.186005
36.4355011,0.894226,0.018792,-0.156441,0.908001,99.921066,1.203910
36.4375114,0.900083,0.028555,-0.160590,0.914743,100.111084,1.817071
36.4394646,0.912774,0.024162,-0.162786,0.927491,100.108482,1.516299
36.4414482,0.941817,0.021233,-0.161566,0.955810,99.731750,1.291497
36.4434624,0.956948,0.033436,-0.164983,0.971642,99.776070,2.001104
36.4454460,0.983795,0.065163,-0.166203,0.999861,99.568466,3.789546
36.4474335,0.994533,0.100552,-0.140333,1.009406,97.991447,5.773232
36.4494476,0.990628,0.108117,-0.136916,1.005873,97.823204,6.228620
36.4513969,0.966467,0.097867,-0.132523,0.980407,97.768532,5.782211
36.4533844,0.948651,0.089813,-0.124469,0.960987,97.441986,5.408332
