Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
39.0958290,0.904720,0.257969,-0.307756,0.989839,108.114410,15.914770
39.0977478,0.959633,0.266755,-0.332406,1.050023,108.455635,15.534633
39.0997620,1.015278,0.350222,-0.290916,1.112689,105.156311,19.031973
39.1017189,1.018695,0.314346,-0.384390,1.133273,109.827271,17.149019
39.1036987,1.030166,0.297994,-0.434422,1.157050,112.052536,16.133461
39.1056519,1.017231,0.309709,-0.435154,1.148929,112.256134,16.933529
39.1076698,1.005272,0.297750,-0.368282,1.111242,109.354691,16.498678
39.1096230,0.959145,0.269683,-0.258701,1.029376,104.555519,15.704416
39.1116066,0.935960,0.265534,-0.244545,1.003161,104.109444,15.838784
39.1135597,0.894714,0.255772,-0.205496,0.952975,102.452873,15.953652
39.1155128,0.851028,0.255040,-0.240885,0.920499,105.170303,16.682659
39.1174622,0.846635,0.284815,-0.318495,0.948340,109.623901,18.593361
39.1194496,0.852004,0.320691,-0.299946,0.958499,108.236092,20.626160
39.1213684,0.861522,0.333382,-0.293845,0.969386,107.645386,21.154882
39.1233864,0.875433,0.307756,-0.238688,0.958159,104.424911,19.368986
39.1253395,0.898863,0.309953,-0.194270,0.970446,101.547829,19.025608
39.1273499,0.905208,0.324840,-0.216235,0.985739,102.671631,19.740871
39.1292763,0.916435,0.333138,-0.233319,1.002632,103.456444,19.976980
39.1312866,0.922536,0.339972,-0.266755,1.018731,105.179863,20.229776
39.1332397,0.938400,0.361205,-0.288964,1.046214,106.033508,21.052486
39.1352272,0.945478,0.312393,-0.212086,1.018085,102.023811,18.283960
39.1371765,0.952555,0.283595,-0.158637,1.006456,99.068756,16.579306
39.1391640,0.943281,0.256992,-0.141065,0.987787,98.210434,15.240066
39.1411171,0.947674,0.239908,-0.168888,0.992051,99.801819,14.206240
39.1431274,0.931322,0.222580,-0.234783,0.985914,103.776634,13.441205
39.1451149,0.916435,0.208913,-0.260897,0.975482,105.512863,12.841851
39.1471252,0.911310,0.189388,-0.230390,0.958871,103.902611,11.740099
