Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
27.1250267,0.846146,0.026358,0.010494,0.846622,89.289764,1.784235
27.1269493,0.869332,0.085176,0.010739,0.873561,89.295654,5.595903
27.1289616,0.912286,0.164495,-0.024894,0.927332,91.538269,10.221196
27.1309757,0.949871,0.213794,-0.102992,0.979066,96.038361,12.684587
27.1329594,0.961097,0.232587,-0.139357,0.998612,98.021835,13.604089
27.1349449,0.919608,0.222336,-0.108361,0.952289,96.533867,13.591738
27.1369572,0.888368,0.198663,-0.072729,0.913211,94.567932,12.605451
27.1389122,0.792210,0.134720,-0.007566,0.803619,90.539429,9.651134
27.1409550,0.687753,0.032460,0.105189,0.696508,81.313782,2.702160
27.1428776,0.641382,-0.011471,0.066384,0.644911,84.091820,358.975403
27.1448917,0.586470,-0.010739,-0.088349,0.593184,98.565491,358.951019
27.1468449,0.557427,-0.038317,-0.136672,0.575215,103.745041,356.067719
27.1488304,0.570118,-0.136428,-0.131303,0.600739,102.624985,346.542297
27.1507816,0.612096,-0.145458,-0.039781,0.630398,93.618057,346.632202
27.1527977,0.651389,-0.132279,-0.006101,0.664712,90.525932,348.520905
27.1547489,0.698492,-0.159369,-0.001220,0.716443,90.097588,347.147278
27.1567326,0.726803,-0.180114,-0.032704,0.749502,92.500832,346.081512
27.1587486,0.731928,-0.189632,-0.125445,0.766430,99.420265,345.474823
27.1607304,0.765608,-0.205252,-0.155220,0.807698,101.079811,344.992432
27.1627159,0.792210,-0.188168,-0.137160,0.825722,99.561691,346.638519
27.1646976,0.881291,-0.119832,-0.138380,0.900101,98.843658,352.256775
27.1666832,0.963050,-0.027823,-0.005613,0.963468,90.333817,358.345184
27.1686649,0.988676,0.010739,0.045395,0.989776,87.371292,0.622295
27.1705875,1.001123,0.050032,-0.105189,1.007876,95.990677,2.861012
27.1726036,0.988188,0.071021,-0.134720,0.999854,97.743546,4.110756
27.1745548,0.962562,0.050520,-0.118368,0.971127,97.001015,3.004400
27.1765385,0.923757,0.046859,-0.072973,0.927819,94.510986,2.903928
27.1784630,0.894470,0.045883,-0.023918,0.895965,91.529678,2.936473
27.1804142,0.837360,0.049056,0.055401,0.840624,86.221207,3.352756
27.1823673,0.756333,0.039049,0.023429,0.757703,88.228035,2.955532
27.1843529,0.710695,0.015620,-0.018548,0.711108,91.494659,1.259045
27.1863346,0.608435,-0.045151,-0.060526,0.613103,95.665535,355.755981
27.1883507,0.573046,-0.071021,-0.061991,0.580749,96.127571,352.935059
27.1903324,0.514717,-0.112266,-0.021477,0.527255,92.334511,347.695770
27.1923180,0.487870,-0.098599,0.033436,0.498856,86.156868,348.574371
27.1942997,0.395129,-0.002929,0.119588,0.412840,73.161682,359.575317
27.1962833,0.378533,0.014155,-0.011227,0.378964,91.697609,2.141591
27.1982384,0.367306,0.031239,-0.090301,0.379531,103.764290,4.861298
27.2002201,0.324108,0.056377,0.179138,0.374586,61.430195,9.867628
27.2021427,0.463709,0.226973,0.149119,0.537382,73.889442,26.080532
27.2041569,0.489335,0.272612,0.059550,0.563305,83.931610,29.122496
27.2061100,0.613316,0.294821,0.041978,0.681790,86.470062,25.673615
27.2080956,0.752184,0.299458,-0.007810,0.809640,90.552689,21.708395
27.2100468,0.869088,0.296530,0.031971,0.918839,88.005959,18.839453
27.2120628,1.035291,0.332650,0.075170,1.090015,86.045631,17.812765
27.2140160,1.092400,0.334358,0.046615,1.143375,87.663429,17.018137
27.2159977,1.124128,0.288964,-0.002685,1.160677,90.132523,14.416106
27.2179222,1.067995,0.210377,0.028311,1.088886,88.510162,11.143652
27.2199039,1.001367,0.157417,0.011959,1.013735,89.324081,8.933899
27.2218266,0.843462,0.016352,-0.028311,0.844095,91.922043,1.110630
27.2238426,0.763167,-0.053937,-0.027823,0.765576,92.082695,355.957367
27.2257633,0.657246,-0.168644,0.004881,0.678555,89.587845,345.608887
27.2277775,0.604530,-0.192561,0.100796,0.642414,80.972916,342.331726
27.2297020,0.613072,-0.182311,0.095426,0.646684,81.514297,343.438965
27.2317142,0.715576,-0.178162,-0.001464,0.737423,90.113777,346.018951
27.2336998,0.812711,-0.146190,-0.013911,0.825871,90.965157,349.802704
27.2356510,1.069459,-0.057842,0.052228,1.072294,87.208191,356.904175
27.2376041,1.392591,-0.005857,-0.011715,1.392652,90.481964,359.759003
27.2395897,1.579294,0.027334,-0.020501,1.579664,90.743607,0.991576
27.2415104,1.977108,0.070533,0.016596,1.978435,89.519371,2.043138
27.2434940,1.961732,0.126910,0.057842,1.966684,88.314644,3.701461
27.2454491,1.853127,0.282862,-0.008054,1.874608,90.246162,8.678673
27.2474308,1.706204,0.353883,-0.014887,1.742581,90.489502,11.717551
27.2493534,1.642749,0.287255,-0.127154,1.672516,94.360146,9.918606
27.2513695,1.504125,0.189877,-0.171816,1.525767,96.465782,7.194802
27.2532902,1.405282,0.103968,-0.125201,1.414674,95.077431,4.231263
27.2552738,1.256163,0.001220,-0.094206,1.259691,94.288872,0.055659
27.2571983,1.162933,-0.039537,-0.030019,1.163992,91.477806,358.052826
27.2591801,1.158784,-0.030751,0.017572,1.159325,89.131523,358.479858
27.2611332,1.172207,0.033924,-0.050032,1.173764,92.442970,1.657691
27.2631187,1.201738,0.053449,-0.105189,1.207516,94.997459,2.546611
27.2650700,1.289354,0.097379,-0.185728,1.306297,98.173935,4.319079
27.2670860,1.461903,0.172304,-0.148143,1.479458,95.746834,6.722046
27.2690067,1.575390,0.212574,-0.113487,1.593712,94.083427,7.684743
27.2710209,1.821155,0.269927,-0.017816,1.841137,90.554443,8.430864
27.2729454,1.996876,0.266755,-0.014399,2.014666,90.409515,7.608862
27.2749271,2.388344,0.293601,-0.073949,2.407459,91.760216,7.008251
27.2768803,2.824719,0.420999,0.089813,2.857331,88.198753,8.477017
27.2788658,2.959926,0.343145,0.055157,2.980261,88.939545,6.612785
27.2808170,3.034852,0.096891,-0.149363,3.040070,92.816162,1.828605
27.2828026,2.671451,0.081515,-0.163762,2.677706,93.506264,1.747748
27.2847843,2.422268,0.101528,-0.162786,2.429854,93.841362,2.400111
27.2868004,1.769659,-0.002685,-0.128618,1.774329,94.156921,359.913086
27.2887230,1.451409,-0.133255,-0.094450,1.460570,93.707710,354.754333
27.2907352,0.948651,-0.294577,0.023674,0.993617,88.634766,342.749268
27.2926903,0.790257,-0.222092,0.080051,0.824767,84.430176,344.302643
27.2946720,0.836384,-0.156685,-0.029531,0.851446,91.987602,349.389435
27.2966251,1.100454,-0.076146,-0.227217,1.126244,101.639191,356.041718
27.2986393,1.268121,-0.025870,-0.188900,1.282375,98.470787,358.831299
27.3005619,1.609802,-0.009518,-0.165959,1.618362,95.885887,359.661224
27.3025780,1.891444,0.061991,-0.040025,1.892882,91.211624,1.877151
27.3044987,1.990775,0.139601,0.014887,1.995719,89.572586,4.011233
27.3064823,2.007859,0.263826,0.011959,2.025153,89.661659,7.485589
27.3084373,1.943672,0.301655,0.039781,1.967343,88.841354,8.821834
27.3104191,1.673989,0.382194,-0.075658,1.718730,92.522949,12.860939
27.3123722,1.256407,0.503246,-0.171084,1.364216,97.204346,21.828270
27.3143578,1.007224,0.527164,-0.181090,1.151172,99.050774,27.626778
27.3162785,0.537414,0.473471,-0.176697,0.737706,103.858376,41.380608
27.3182621,0.390004,0.456143,-0.103724,0.609039,99.805748,49.469467
27.3202171,0.268463,0.486650,0.077366,0.561147,82.075310,61.116455
27.3221989,0.292625,0.457851,0.043930,0.545149,85.377861,57.416302
27.3241215,0.349978,0.419046,0.028555,0.546717,87.006119,50.132122
27.3261070,0.501294,0.376824,-0.049544,0.629084,94.517021,36.932331
27.3280582,0.644799,0.372919,-0.062479,0.747488,94.794647,30.042933
27.3300743,0.698004,0.355591,-0.077366,0.787172,95.640343,26.996140
27.3319950,0.783424,0.387563,-0.068580,0.876733,94.486389,26.321789
27.3339787,0.820765,0.394152,0.014887,0.910622,89.063248,25.651527
27.3359032,0.871040,0.408064,0.082735,0.965439,85.083885,25.102083
27.3378849,0.975009,0.439791,0.048079,1.070687,87.426262,24.278416
27.3398380,0.998926,0.526920,0.024406,1.129643,88.762039,27.811018
27.3418236,1.112657,0.608191,-0.080783,1.270601,93.645241,28.661505
27.3437748,1.128765,0.648948,-0.081515,1.304564,93.582436,29.895411
27.3457603,1.186606,0.726314,-0.044418,1.391956,91.828667,31.470539
27.3476830,1.336702,0.743886,0.013911,1.529814,89.478981,29.096333
27.3496952,1.374286,0.753161,0.030751,1.567437,88.875854,28.724400
27.3516197,1.413336,0.759262,0.074193,1.606082,87.352264,28.245266
27.3536015,1.412603,0.778543,0.071021,1.614503,87.478790,28.860931
27.3555546,1.324011,0.736321,-0.075902,1.516883,92.868164,29.079706
27.3575401,1.198809,0.691902,-0.072729,1.386060,93.007797,29.991735
27.3594913,1.127301,0.663836,-0.087128,1.311135,93.810265,30.492641
27.3614750,1.013326,0.615268,-0.123493,1.191904,95.947083,31.265171
27.3634300,0.942305,0.577928,-0.053449,1.106705,92.768188,31.521317
27.3654118,0.836384,0.482013,-0.030019,0.965803,91.781151,29.955097
27.3673344,0.734612,0.379509,0.022941,0.827169,88.410706,27.321386
27.3693485,0.711671,0.327525,0.018060,0.783629,88.679390,24.712807
27.3712711,0.666520,0.250647,-0.036609,0.713031,92.942986,20.608910
27.3732567,0.665788,0.262362,0.006590,0.715647,89.472427,21.507494
27.3752079,0.651145,0.263582,0.022941,0.702845,88.129494,22.037985
27.3771915,0.618441,0.272612,0.041490,0.677132,86.487129,23.788128
27.3791466,0.595988,0.269195,0.055157,0.656285,85.178932,24.307692
27.3811283,0.569630,0.291404,-0.010006,0.639918,90.895966,27.092838
27.3830814,0.573779,0.338751,-0.014887,0.666480,91.279953,30.557055
27.3850670,0.571094,0.399278,-0.083956,0.701869,96.870026,34.959145
27.3869877,0.541319,0.424660,-0.104456,0.695897,98.632912,38.113846
27.3890038,0.527408,0.425880,-0.092986,0.684236,97.810509,38.920757
27.3909264,0.462977,0.454679,-0.090545,0.655193,97.943481,44.481915
27.3929081,0.416118,0.434910,-0.092010,0.608906,98.691048,46.265003
27.3948307,0.295797,0.289940,-0.110070,0.428575,104.881889,44.427063
27.3968143,0.214770,0.158393,-0.086152,0.280423,107.891930,36.408772
27.3987370,0.205252,0.169132,-0.066384,0.274118,104.014732,39.489174
27.4007530,0.163518,0.255528,0.016108,0.303796,86.960663,57.383862
27.4027042,0.148143,0.305072,0.094206,0.351980,74.475739,64.098793
27.4046879,0.205008,0.339728,0.036365,0.398454,84.763672,58.891193
27.4066429,0.366818,0.280666,-0.035388,0.463229,94.381371,37.420918
27.4086552,0.452238,0.236980,0.001464,0.510569,89.835670,27.655216
27.4106102,0.695075,0.189144,-0.023674,0.720739,91.882286,15.222770
27.4125919,0.892517,0.213794,-0.067604,0.920253,94.212875,13.470843
27.4145451,0.955972,0.273100,-0.081759,0.997573,94.701126,15.943462
27.4165306,1.038464,0.202568,-0.146922,1.068188,97.905731,11.037777
27.4184818,1.071655,0.153756,-0.106897,1.087894,95.639015,8.164808
27.4204674,1.150974,0.099331,0.044418,1.156106,87.798111,4.932516
27.4224205,1.207107,0.048079,0.106409,1.212742,84.966255,2.280895
27.4244022,1.208816,0.031239,0.110802,1.214285,84.764549,1.480361
27.4263248,1.231757,0.007810,0.092498,1.235250,85.705574,0.363273
27.4283390,1.220530,0.022453,0.076878,1.223155,86.396454,1.053913
27.4302616,1.121443,0.104945,-0.016108,1.126458,90.819328,5.346168
27.4322472,0.937180,0.112510,-0.062235,0.945959,93.772209,6.845715
27.4341984,0.828818,0.090545,-0.054181,0.835508,93.718102,6.234620
27.4361820,0.607458,-0.025870,0.076878,0.612850,82.793633,357.561401
27.4381371,0.511300,-0.044418,0.125689,0.528392,76.239052,355.034973
27.4401188,0.440523,0.030507,0.154732,0.467903,70.689171,3.961527
27.4420719,0.494460,0.126422,0.096891,0.519481,79.250565,14.341925
27.4440861,0.574267,0.155464,0.070288,0.599076,83.262070,15.147923
27.4460087,0.773417,0.194026,0.104212,0.804165,82.554047,14.083030
27.4480247,0.894714,0.203300,0.092010,0.922122,84.273483,12.801564
27.4499454,1.129253,0.246010,0.026846,1.156051,88.669334,12.289962
27.4519291,1.316933,0.278469,0.080783,1.348475,86.565529,11.939487
