Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
53.4733124,1.080441,-0.123737,0.019769,1.087683,88.958595,353.466705
53.4753265,1.232977,0.021965,0.211110,1.251112,80.285583,1.020601
53.4772797,1.225167,-0.029775,0.075414,1.227847,86.478706,358.607819
53.4792633,1.154147,-0.094206,0.194758,1.174249,80.452965,355.333618
53.4812164,1.124372,-0.128130,0.061991,1.133345,86.864532,353.498779
53.4832306,1.156099,-0.055645,0.056621,1.158822,87.199348,357.244385
53.4851837,1.160004,0.060282,0.144726,1.170551,82.897820,2.974824
53.4871674,1.078001,0.008298,-0.043442,1.078908,92.307640,0.441027
53.4891815,0.900571,-0.133743,-0.123493,0.918785,97.724442,351.552765
53.4911652,0.968175,-0.107873,-0.178650,0.990412,100.391861,353.642365
53.4931488,1.047250,-0.065407,0.001708,1.049292,89.906715,356.426147
53.4951630,1.106800,-0.023185,0.206228,1.126088,79.447464,358.799927
53.4971161,1.055059,-0.140577,-0.016108,1.064505,90.867012,352.410553
53.4991341,1.102895,-0.199395,0.039049,1.121454,88.004555,349.752075
53.5010834,1.282765,-0.068092,0.183775,1.297650,81.858315,356.961456
53.5030670,1.284229,-0.068580,0.152780,1.295102,83.225189,356.943207
53.5050507,1.150730,-0.129838,0.140333,1.166504,83.090462,353.562469
53.5070648,0.917411,-0.223068,0.005125,0.944155,89.688980,346.333740
53.5090218,0.879826,-0.192073,0.051984,0.902047,86.696266,347.685089
53.5110321,1.003319,-0.006590,0.100552,1.008367,84.277107,359.623688
53.5129852,1.011861,0.019036,0.086640,1.015742,85.106865,1.077796
53.5149384,0.979402,-0.200127,-0.182555,1.016172,100.349350,348.451385
53.5169220,0.939620,-0.283595,0.024650,0.981794,88.561333,343.205231
53.5189362,1.001123,-0.172793,0.224289,1.040389,77.550354,350.207306
53.5208893,1.100210,-0.001952,0.177430,1.114427,80.838867,359.898315
53.5229073,1.085811,-0.123737,0.044418,1.093741,87.672493,353.498718
53.5248566,1.077513,-0.156685,0.055401,1.090254,87.087273,351.726410
53.5268402,1.050911,-0.095426,0.179870,1.070454,80.326607,354.811584
53.5288544,1.076781,-0.046127,0.202568,1.096639,79.355385,357.547089
53.5308380,1.051643,0.010006,0.128862,1.059556,83.014442,0.545151
53.5328522,1.016742,-0.131303,-0.065651,1.027286,93.664139,352.641510
53.5348358,0.965491,-0.206961,-0.025626,0.987756,91.486633,347.901276
53.5367928,0.850051,-0.161322,0.084200,0.869311,84.441727,349.254272
53.5387726,0.756822,-0.030263,-0.039537,0.758458,92.988098,357.710114
53.5407906,0.721433,0.029287,0.002441,0.722032,89.806328,2.324668
53.5427704,0.682872,-0.239420,-0.172793,0.743972,103.429985,340.678955
53.5447540,0.680188,-0.292381,-0.105433,0.747835,98.104782,336.739410
53.5467682,0.867624,-0.119344,0.181579,0.894418,78.286789,352.167969
53.5487213,0.991116,-0.049544,0.278713,1.030751,74.312027,357.138306
53.5507393,1.063601,-0.072485,0.331918,1.116544,72.706154,356.101288
53.5526886,1.096061,-0.226729,0.030995,1.119695,88.413742,348.312744
53.5546761,0.973300,-0.279934,0.059062,1.014477,86.662407,343.954071
53.5566559,0.970128,-0.201103,0.041978,0.991641,87.573845,348.288696
53.5586700,0.953532,-0.112510,0.338507,1.018071,70.579483,353.270599
53.5606842,0.987944,-0.133499,0.391224,1.070939,68.573395,352.304321
53.5626678,0.929858,-0.255284,-0.142041,0.974670,98.379715,344.648224
53.5646515,0.888124,-0.255040,-0.143018,0.935021,98.798302,343.977692
53.5666351,0.944257,-0.175233,0.006101,0.960399,89.635994,349.486786
53.5686493,1.099234,-0.100552,0.390980,1.171021,70.495598,354.773468
53.5706329,1.105335,-0.141065,0.235515,1.138917,78.065773,352.727112
53.5726471,1.040416,-0.341436,0.036365,1.095612,88.097946,341.831573
53.5746307,1.049690,-0.414165,0.014887,1.128541,89.244141,338.467834
53.5765839,1.188315,-0.273100,0.242593,1.243192,78.747269,347.056946
53.5785675,1.304242,-0.091033,0.547420,1.417393,67.280724,356.007355
53.5805206,1.210280,-0.237956,-0.040514,1.234116,91.881241,348.876831
53.5825081,1.144628,-0.321423,-0.210865,1.207457,100.057480,344.314728
53.5844574,1.234442,-0.245766,0.175721,1.270876,82.052376,348.740173
53.5864410,1.284717,-0.154488,0.334602,1.336534,75.501732,353.143066
53.5884552,1.185874,-0.017328,0.276517,1.217809,76.875900,359.162842
53.5904388,1.074584,-0.116415,-0.030507,1.081302,91.616722,353.816956
53.5924225,1.000147,-0.131791,0.039781,1.009576,87.741730,352.493286
53.5944366,0.904232,-0.098843,-0.183043,0.927853,101.377708,353.761658
53.5963936,0.800508,0.025138,-0.021965,0.801203,91.570969,1.798636
53.5983734,0.822961,-0.013179,0.193293,0.845459,76.783844,359.082520
53.6003265,0.826866,-0.211354,0.163030,0.868882,79.185371,345.661743
53.6023407,0.895934,-0.177430,0.148143,0.925270,80.786865,348.798157
53.6042938,1.028945,-0.050276,-0.099331,1.034951,95.507545,357.202667
53.6062813,1.106312,0.028555,0.270660,1.139297,76.257004,1.478517
53.6082916,1.116562,-0.022453,0.185239,1.132046,80.582199,358.847992
53.6102791,1.071167,-0.074926,0.208425,1.093825,79.015305,355.998810
53.6122894,0.999170,-0.121052,0.022941,1.006738,88.694237,353.092102
53.6142769,1.001611,-0.082247,-0.148143,1.015842,98.385483,355.305695
53.6162262,0.997706,-0.092498,0.216479,1.025103,77.808632,354.703217
53.6182098,0.984283,-0.164495,0.209401,1.019667,78.149292,350.512329
53.6201668,0.889345,-0.186704,-0.044662,0.909828,92.813721,348.143829
53.6221466,0.764631,-0.186704,-0.133743,0.798378,99.643600,346.278290
53.6240997,0.693611,-0.259189,-0.015132,0.740610,91.170700,339.510254
53.6260834,0.618929,-0.203056,0.190121,0.678565,73.729034,341.836578
53.6280975,0.572314,-0.206228,0.120808,0.620216,78.767883,340.183807
53.6300812,0.554986,-0.362669,0.088593,0.668870,82.388725,326.836426
53.6320648,0.786352,-0.255040,0.171572,0.844294,78.275040,342.030426
53.6340790,0.872261,-0.169132,0.277737,0.930904,72.641342,349.026489
53.6360321,0.893250,-0.194514,0.270904,0.953477,73.493645,347.715088
53.6380157,0.861034,-0.222092,0.153024,0.902286,80.235687,345.536591
53.6399689,0.864939,-0.206228,0.165715,0.904495,79.443054,346.589294
53.6419830,1.004784,-0.183043,0.294577,1.062954,73.910973,349.675568
53.6439400,1.062625,-0.094206,0.337531,1.118917,72.442734,354.933746
53.6459198,1.146337,-0.008786,0.160102,1.157496,82.049522,359.560852
53.6478729,1.097769,-0.102504,0.113731,1.108395,84.110603,354.665497
53.6498566,1.036023,-0.122761,0.049544,1.044446,87.281136,353.242401
53.6518707,0.933031,-0.150095,-0.022941,0.945305,91.390633,350.861206
53.6538544,0.970372,-0.114951,0.071753,0.979787,85.800293,353.244171
53.6558075,0.909845,-0.151315,0.349002,0.986163,69.274033,350.557617
53.6577911,0.766584,-0.274320,0.045639,0.815466,86.791687,340.310364
53.6597748,0.688974,-0.299214,-0.070044,0.754400,95.327461,336.525177
53.6617889,0.657002,-0.314346,0.095182,0.734523,82.554459,334.431000
53.6637421,0.812467,-0.279446,0.040514,0.860135,87.300293,341.019501
53.6657257,0.858349,-0.112022,0.335579,0.928400,68.810150,352.564423
53.6676788,0.784644,-0.223800,0.361449,0.892411,66.107323,344.080505
53.6696625,0.733392,-0.308732,0.042222,0.796845,86.962685,337.170624
53.6716766,0.625519,-0.244057,0.142285,0.686355,78.035484,338.685883
53.6736603,0.832967,-0.137404,0.256016,0.882190,73.129761,350.632996
53.6756134,0.917655,-0.029287,0.318495,0.971796,70.868446,358.172028
53.6776276,0.986968,-0.010983,0.286035,1.027639,73.838722,359.362457
53.6795807,0.926441,-0.091766,0.167179,0.945866,79.819649,354.343201
53.6815643,0.787573,-0.151071,0.027090,0.802388,88.065201,349.141479
53.6835785,0.738517,-0.074437,0.248694,0.782814,71.476547,354.244415
53.6855621,0.790013,-0.042710,0.265290,0.834460,71.462921,356.905457
53.6875458,0.796847,-0.044174,0.178894,0.817875,77.365540,356.826965
53.6895599,0.754625,-0.103236,0.010494,0.761726,89.210602,352.210022
53.6915131,0.699956,-0.240640,-0.139601,0.753216,100.680923,341.027344
53.6935272,0.752428,-0.284815,0.146678,0.817791,79.667564,339.266968
53.6954842,0.756822,-0.276029,0.282618,0.853724,70.667969,339.962036
53.6974640,0.923024,-0.263094,0.034656,0.960413,87.932053,344.090637
53.6994171,0.964514,-0.185728,0.452238,1.081343,65.277802,349.100494
53.7014008,1.038219,-0.225265,0.200127,1.081062,79.331833,347.758148
53.7034149,1.030166,-0.225021,0.004149,1.054463,89.774559,347.678314
53.7053986,1.034559,-0.256992,0.122273,1.072990,83.456642,346.049652
53.7073822,1.018207,-0.325816,-0.048079,1.070146,92.575035,342.255829
53.7093964,1.224191,-0.146434,0.539122,1.345637,66.381516,353.178833
53.7113495,1.286182,-0.082491,0.751452,1.491894,59.755569,356.330261
53.7133026,1.299605,-0.041002,0.176453,1.312170,82.271767,358.192963
53.7153168,1.121687,-0.107629,-0.343145,1.177928,106.936516,354.519073
53.7173309,1.141944,-0.162786,-0.318739,1.196716,105.446861,351.887054
53.7192841,1.232245,-0.142529,0.416850,1.308628,71.425369,353.402130
53.7212677,1.246156,-0.082735,0.505443,1.347302,67.966316,356.201569
53.7232819,1.154635,-0.146922,0.151560,1.173771,82.581146,352.748322
53.7252655,1.193928,-0.098599,-0.028799,1.198339,91.377075,355.279022
53.7272491,1.198077,-0.079807,-0.080783,1.203447,93.848953,356.189026
53.7292633,1.244448,-0.014399,0.129106,1.251210,84.077385,359.337067
53.7312164,1.210768,0.004881,0.108605,1.215639,84.874344,0.230984
53.7331696,1.147801,-0.020745,0.131791,1.155529,83.451027,358.964569
53.7351837,1.036267,-0.157417,0.121052,1.055122,83.412048,351.362366
53.7371674,1.054327,-0.162054,-0.009762,1.066754,90.524345,351.261810
53.7391205,1.174404,0.019036,0.076146,1.177024,86.290741,0.928653
53.7411041,1.108020,0.008054,0.059794,1.109661,86.911125,0.416460
53.7430573,1.034315,-0.051496,-0.068580,1.037864,93.788757,357.149719
53.7450409,0.878362,-0.034900,-0.099819,0.884704,96.478363,357.724640
53.7470551,0.949383,-0.002685,0.045395,0.950471,87.262505,359.837982
53.7490387,0.998438,0.027578,0.275785,1.036193,74.564598,1.582199
53.7509918,1.106556,0.004149,0.243325,1.133000,77.598450,0.214827
53.7529793,1.087275,-0.028555,0.130327,1.095430,83.167168,358.495605
53.7549896,1.031874,0.014399,-0.040514,1.032769,92.248177,0.799487
53.7569771,1.054571,0.097623,-0.091766,1.063048,94.952103,5.288864
53.7589264,1.026017,0.053693,0.183775,1.043727,79.858727,2.995620
53.7609100,1.049202,-0.085664,0.195734,1.070736,79.466919,355.332336
53.7628632,1.000635,-0.082247,0.097379,1.008721,84.460213,355.301117
53.7648468,0.946698,0.019525,0.030263,0.947383,88.169441,1.181493
53.7668648,0.844438,0.027578,-0.172793,0.862377,101.558472,1.870556
53.7688446,0.846635,0.033192,-0.228194,0.877476,105.073425,2.245096
53.7708626,0.873481,-0.069068,0.066872,0.878755,85.635674,355.478882
53.7728424,0.924001,-0.078098,0.273100,0.966675,73.589638,355.168732
53.7747955,0.894714,-0.092254,0.164739,0.914419,79.621117,354.113068
53.7767792,0.950847,0.004637,0.060526,0.952783,86.357796,0.279418
