Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
43.6075287,1.039928,0.292869,-0.249182,1.108744,102.987762,15.728495
43.6095161,0.978670,0.233319,-0.145458,1.016558,98.226624,13.409237
43.6114998,0.954508,0.219652,-0.124225,0.987301,97.228279,12.959304
43.6134834,0.939376,0.200127,-0.098355,0.965480,95.846954,12.026628
43.6154366,0.934251,0.201103,-0.091033,0.959976,95.441460,12.147900
43.6174507,0.923513,0.237224,-0.151804,0.965502,99.046013,14.406163
43.6193733,0.950847,0.201835,-0.186704,0.989801,100.872704,11.984235
43.6213875,0.956216,0.242105,-0.099087,0.991354,95.736374,14.208158
43.6233406,0.927906,0.246010,-0.158637,0.972983,99.383522,14.848845
43.6253242,0.906185,0.175965,-0.154488,0.935949,99.500748,10.989083
43.6272774,0.919120,0.139601,-0.114707,0.936711,97.033928,8.636378
43.6292610,0.974765,0.135452,-0.147167,0.995073,98.504967,7.911072
43.6312141,1.073120,0.247474,-0.130815,1.109027,96.774063,12.986052
43.6331940,1.085567,0.242837,-0.114951,1.118319,95.899796,12.609253
43.6351509,1.105335,0.261629,-0.180846,1.150183,99.046310,13.316648
43.6371346,1.068238,0.247230,-0.236736,1.121740,102.183495,13.030941
43.6390572,1.028701,0.212818,-0.231610,1.075714,102.433624,11.688472
43.6410713,0.983063,0.191829,-0.112022,1.007849,96.381607,11.041609
43.6430244,1.002099,0.176453,-0.087617,1.021281,94.921501,9.986485
43.6450081,0.994777,0.252843,-0.077610,1.029337,94.324104,14.260933
43.6469612,1.010153,0.277981,-0.138869,1.056867,97.550301,15.386224
43.6489449,0.988920,0.214038,-0.286279,1.051537,105.798088,12.212517
43.6508980,0.933275,0.204520,-0.142041,0.965922,98.456154,12.360535
43.6528816,0.913994,0.197930,-0.136916,0.945150,98.329277,12.219033
43.6548347,0.892761,0.148387,-0.167179,0.920321,100.466064,9.436920
43.6568184,0.910578,0.121785,-0.100552,0.924172,96.246246,7.617777
43.6587410,0.949871,0.191341,-0.052960,0.970397,93.128532,11.389178
43.6607552,1.009421,0.279690,-0.201103,1.066583,100.868118,15.486952
43.6627083,1.007468,0.250891,-0.213550,1.059973,101.622787,13.983978
43.6646881,1.001855,0.203300,-0.189388,1.039669,100.495728,11.470890
43.6666451,0.987700,0.192805,-0.150339,1.017510,98.496681,11.045597
43.6686592,0.980866,0.137892,-0.121541,0.997940,96.995499,8.002326
43.6706123,1.015766,0.162298,-0.159613,1.040960,98.820122,9.077928
43.6725960,1.056768,0.226729,-0.185972,1.096700,99.763046,12.109215
43.6745491,1.086299,0.247474,-0.232587,1.138150,101.791740,12.833751
43.6765327,1.088739,0.164251,-0.275297,1.134954,104.037796,8.579119
43.6784859,1.046517,0.171328,-0.261385,1.092188,103.846565,9.297568
43.6804695,1.041636,0.161322,-0.180114,1.069332,99.696907,8.803654
43.6824226,1.039196,0.129350,-0.135940,1.056001,97.396255,7.095204
43.6844025,1.054571,0.112999,-0.058086,1.062197,93.134750,6.115972
43.6863594,1.035047,0.106165,-0.202568,1.060013,101.016937,5.856356
43.6883430,1.047494,0.129594,-0.193293,1.073033,100.377762,7.052713
43.6902657,1.031142,0.188168,-0.093474,1.052330,95.096054,10.341837
43.6922798,0.994289,0.174257,-0.136428,1.018621,97.696983,9.940573
43.6942329,0.972568,0.114707,-0.198907,0.999305,101.481117,6.726521
43.6962166,0.983551,0.151071,-0.239664,1.023540,103.541664,8.732273
43.6981697,0.977937,0.138625,-0.243813,1.017361,103.866043,8.068036
43.7001534,1.017475,0.139357,-0.160102,1.039378,98.860886,7.798895
43.7020760,1.044077,0.201347,-0.121541,1.070238,96.520805,10.915329
43.7040596,1.061405,0.258945,-0.206472,1.111874,100.701813,13.710297
43.7060127,1.072143,0.191829,-0.367062,1.149358,108.624390,10.144081
43.7079964,1.103627,0.176453,-0.256016,1.146592,102.902016,9.083853
43.7099495,1.147557,0.224045,-0.157173,1.179740,97.656090,11.047239
43.7119331,1.186850,0.246742,-0.158393,1.222532,97.444260,11.744293
43.7139168,1.173183,0.258213,-0.100796,1.205484,94.796341,12.412648
43.7159309,1.135842,0.247230,-0.277249,1.195043,103.414803,12.279595
43.7178535,1.074096,0.215014,-0.357788,1.152357,108.088379,11.319947
43.7198677,1.027969,0.170840,-0.174013,1.056498,99.480225,9.435850
43.7218208,1.008933,0.154976,-0.110314,1.026709,96.167999,8.732622
43.7238045,1.023820,0.146678,-0.117392,1.040915,96.475441,8.153047
43.7257271,1.020892,0.146922,-0.044662,1.032376,92.479492,8.189540
43.7277412,1.021624,0.169864,-0.093962,1.039903,95.184120,9.440125
43.7296638,0.992825,0.180846,-0.306292,1.054619,106.883636,10.323436
43.7316475,0.905452,0.133011,-0.162298,0.929450,100.056396,8.356995
43.7336006,0.865671,0.115927,-0.054669,0.875108,93.581650,7.627441
43.7355843,0.840289,0.135696,-0.163518,0.866740,100.874542,9.173334
43.7375069,0.835896,0.087861,-0.229902,0.871376,105.297905,6.000298
43.7395210,0.894958,0.140577,-0.137648,0.916329,98.639511,8.926887
43.7414742,0.981842,0.217211,-0.235759,1.032849,103.194717,12.474510
43.7434578,1.007712,0.264070,-0.246986,1.070616,103.337997,14.684123
43.7454109,0.984039,0.205984,-0.191341,1.023413,100.775635,11.822754
43.7473907,0.966711,0.202079,-0.226485,1.013243,102.916161,11.806985
43.7493477,0.944746,0.157661,-0.222092,0.983222,103.054741,9.474323
43.7513618,0.967443,0.125201,-0.162542,0.988960,99.459862,7.373934
43.7533150,0.967199,0.163762,-0.135208,0.990239,97.847710,9.609962
43.7552986,0.995265,0.247474,-0.158637,1.037768,98.792923,13.963490
43.7572517,0.987700,0.191585,-0.167423,1.019944,99.447830,10.977392
43.7592354,0.946942,0.095914,-0.237712,0.981023,104.022926,5.783688
43.7611580,0.891053,0.098599,-0.209157,0.920567,103.132545,6.314354
43.7631683,0.851272,0.079075,-0.151560,0.868266,100.052719,5.306970
43.7650948,0.847611,0.090789,-0.123005,0.861288,98.210770,6.113756
43.7671089,0.822473,0.089081,-0.197930,0.850631,103.455292,6.181530
43.7690926,0.873481,0.080539,-0.253331,0.913035,106.108727,5.268035
43.7710762,0.935227,0.138136,-0.117392,0.952635,97.078453,8.402041
43.7730293,0.943769,0.158393,-0.182555,0.974226,100.800186,9.527183
43.7750435,0.930590,0.102748,-0.294333,0.981421,107.451889,6.300606
43.7769661,0.907649,0.098111,-0.224533,0.940142,103.817406,6.169352
43.7789803,0.857129,0.146190,-0.146434,0.881751,99.559525,9.679121
43.7809334,0.841021,0.168155,-0.221848,0.885895,104.502518,11.306735
43.7829170,0.866159,0.165715,-0.197442,0.903702,102.619873,10.831028
43.7848701,0.922292,0.174013,-0.214770,0.962824,102.889000,10.684636
43.7868538,1.009177,0.198419,-0.272856,1.064076,104.858055,11.123284
43.7887726,1.003808,0.225509,-0.181579,1.044727,100.009109,12.661488
43.7907906,1.012105,0.236980,-0.177186,1.054472,99.673439,13.178125
43.7927132,0.954752,0.211598,-0.303119,1.023819,107.221527,12.496236
43.7947273,0.900327,0.134720,-0.316786,0.963894,109.187012,8.510259
43.7966805,0.866647,0.164251,-0.216967,0.908367,103.818901,10.731647
43.7986603,0.888857,0.165959,-0.165471,0.919233,100.370323,10.575955
43.8006172,0.927662,0.070777,-0.112999,0.937195,96.925056,4.362969
43.8026009,0.965735,0.101772,-0.095670,0.975784,95.626587,6.015789
43.8045235,0.947918,0.147899,-0.220872,0.984483,102.964836,8.868059
43.8065071,0.894958,0.102748,-0.305804,0.951327,108.750618,6.549324
43.8084602,0.843950,0.065163,-0.301167,0.898443,109.585289,4.415177
43.8104439,0.807097,0.068580,-0.177186,0.829159,102.338875,4.856829
43.8123970,0.816372,0.061746,-0.125689,0.828295,98.728050,4.325346
43.8144112,0.900327,0.060038,-0.069556,0.905004,94.407959,3.815106
43.8163338,0.988432,0.190365,-0.231366,1.032844,102.944603,10.901267
43.8183479,1.024064,0.249182,-0.263338,1.086345,104.028648,13.675837
43.8203011,0.999414,0.234783,-0.320935,1.075617,107.359924,13.220242
43.8222847,0.968175,0.232831,-0.360717,1.059098,109.912727,13.521951
43.8242378,0.892761,0.194026,-0.250159,0.947232,105.313148,12.261523
43.8262215,0.953044,0.160346,-0.041734,0.967339,92.472672,9.550335
43.8281746,0.975985,0.166447,-0.025138,0.990395,91.454422,9.678261
43.8301544,1.060673,0.231610,-0.102504,1.090494,95.393639,12.317853
43.8321419,1.066286,0.253820,-0.221604,1.118257,101.429916,13.389543
43.8341255,1.040416,0.232587,-0.343145,1.119960,107.841812,12.601365
43.8360443,0.930834,0.150827,-0.281154,0.983996,106.602287,9.203906
43.8380623,0.885196,0.096891,-0.200371,0.912747,102.681145,6.246549
43.8400154,0.919120,0.031483,-0.006834,0.919684,90.425735,1.961834
43.8419991,1.005760,0.041490,-0.062479,1.008552,93.551682,2.362233
43.8439522,1.032850,0.079563,-0.101284,1.040850,95.584213,4.404917
43.8459320,1.078001,0.159613,-0.321423,1.136167,106.433456,8.422269
43.8478584,1.047006,0.123981,-0.400986,1.127999,110.823135,6.753228
43.8498421,0.997950,0.065163,-0.244545,1.029540,103.740730,3.735947
43.8517609,1.038219,0.053204,-0.067116,1.041746,93.693909,2.933607
43.8537788,1.085322,0.082003,-0.008298,1.088448,90.436806,4.320862
43.8557320,1.107532,0.125445,-0.060526,1.116256,93.108246,6.462109
43.8577156,1.119979,0.154976,-0.238200,1.155469,101.896820,7.878238
43.8596687,1.102651,0.201835,-0.401230,1.190614,109.693855,10.372907
43.8616219,1.075316,0.243325,-0.134231,1.110644,96.941689,12.750296
43.8636055,1.028457,0.239420,-0.109826,1.061653,95.937752,13.104794
43.8656197,1.015278,0.187924,-0.150583,1.043446,98.297523,10.486547
43.8676033,1.022112,0.146678,-0.096159,1.037050,95.320290,8.166490
43.8696175,1.028701,0.203056,-0.079563,1.051565,94.339218,11.166084
43.8715706,1.025773,0.287255,-0.254796,1.095284,103.451958,15.644267
43.8735542,0.990140,0.275053,-0.257724,1.059459,104.079056,15.524841
43.8755074,0.947186,0.217455,-0.192561,0.990721,101.207611,12.929908
43.8774910,0.902036,0.187924,-0.122517,0.929513,97.574051,11.768290
43.8794136,0.892029,0.133011,-0.000732,0.901892,90.046516,8.480934
43.8814240,0.936936,0.099331,-0.078098,0.945418,94.738441,6.051732
43.8833504,0.984039,0.155953,-0.113975,1.002818,96.526024,9.005461
43.8853645,1.037487,0.251623,-0.167423,1.080613,98.912941,13.632782
43.8873177,0.983551,0.221360,-0.205008,1.028786,101.494385,12.683766
43.8893013,0.952555,0.122029,-0.259677,0.994829,105.130989,7.300205
43.8912544,0.892761,0.083712,-0.030995,0.897213,91.979744,5.356795
43.8932381,0.884219,0.085176,0.048323,0.889626,86.886230,5.502269
43.8951607,0.959389,0.138869,-0.020501,0.969604,91.211525,8.236183
43.8971748,0.998926,0.202568,-0.207693,1.040204,101.517395,11.463295
