Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
42.7231598,0.924977,0.204764,-0.204032,0.969092,102.153954,12.482379
42.7251091,0.935715,0.127398,-0.293845,0.989009,107.284134,7.753162
42.7270966,0.937668,0.075414,-0.198419,0.961394,101.910667,4.598222
42.7290497,0.952800,0.119100,-0.118124,0.967453,97.013176,7.125016
42.7310295,0.993069,0.240396,-0.146190,1.032157,98.142509,13.608052
42.7330475,1.026993,0.127398,-0.190853,1.052316,100.449249,7.071384
42.7350273,1.059453,0.056865,-0.206472,1.080881,101.012451,3.072361
42.7370453,1.113633,0.083224,-0.129106,1.124177,96.594696,4.273857
42.7390251,1.119002,0.234783,-0.058574,1.144867,92.932648,11.849606
42.7409821,1.117050,0.251623,-0.139601,1.153518,96.951073,12.694384
42.7429619,1.075316,0.095426,-0.238932,1.105667,102.479935,5.071292
42.7449150,1.076537,0.011715,-0.169376,1.089842,98.940750,0.623462
42.7468987,1.035535,0.048079,-0.043686,1.037571,92.413116,2.658300
42.7488518,1.033338,0.155220,-0.092010,1.048974,95.032097,8.542677
42.7508698,1.010641,0.167179,-0.174013,1.039050,99.640930,9.392753
42.7528229,1.031630,-0.004637,-0.211842,1.053166,101.604065,359.742462
42.7548027,1.026017,-0.063211,-0.105433,1.033355,95.856056,356.474579
42.7568207,1.042613,0.004881,0.006834,1.042646,89.624474,0.268237
42.7588005,1.091424,0.085176,-0.055889,1.096168,92.922546,4.462384
42.7607574,1.082394,0.026602,-0.119344,1.089278,96.290092,1.407888
42.7627373,1.098990,-0.109826,0.028311,1.104826,88.531662,354.293182
42.7646904,1.137795,-0.023185,-0.061991,1.139718,93.117920,358.832611
42.7667084,1.191243,0.045883,-0.116903,1.197845,95.600685,2.205754
42.7686577,1.194660,0.084444,-0.170840,1.209764,98.118309,4.043191
42.7706451,1.198565,-0.040514,-0.217943,1.218892,100.300117,358.064056
42.7726555,1.162933,-0.134720,-0.007810,1.170736,90.382217,353.392029
42.7746429,1.159272,0.027090,-0.040269,1.160287,91.988930,1.338668
42.7766228,1.175624,0.141065,-0.101528,1.188402,94.900879,6.842304
42.7786407,1.124860,0.089569,-0.214282,1.148586,100.752205,4.552675
42.7805939,1.028213,-0.115439,-0.128374,1.042607,97.072662,353.594147
42.7825737,1.007956,-0.140577,0.038317,1.018433,87.843826,352.060333
42.7845573,0.963538,0.005613,0.050764,0.964891,86.984215,0.333786
42.7865715,0.951579,0.080295,-0.055401,0.956567,93.320229,4.823227
42.7885284,0.913262,-0.025870,-0.187436,0.932657,101.593681,358.377411
42.7905388,0.819056,-0.164251,-0.156197,0.849840,100.590904,348.660522
42.7924919,0.807341,-0.158149,-0.185239,0.843282,102.689346,348.916748
42.7944794,0.809294,0.012203,-0.061502,0.811719,94.345360,0.863864
42.7964287,0.810758,0.089325,-0.028799,0.816172,92.022110,6.287182
42.7984161,0.752917,-0.091033,-0.208425,0.786519,105.366760,353.105957
42.8003693,0.797823,-0.224777,-0.177674,0.847711,102.098457,344.265472
42.8023796,0.797335,-0.153756,0.054669,0.813863,86.148422,349.085205
42.8043938,0.865671,0.091766,-0.021965,0.870798,91.445389,6.051046
42.8063774,0.826378,0.083468,-0.217943,0.858700,104.702835,5.767550
42.8083916,0.831991,-0.038805,-0.205496,0.857872,103.859505,357.329590
42.8103752,0.869576,-0.089813,-0.193293,0.895316,102.467979,354.103180
42.8123283,0.889589,-0.051984,-0.049300,0.892469,93.166603,356.655670
42.8143425,0.895446,-0.001952,-0.109582,0.902128,96.976959,359.875061
42.8162994,0.877386,0.131547,-0.124713,0.895915,98.001678,8.526869
42.8182526,0.872505,0.103480,-0.248694,0.913138,105.804230,6.763764
42.8202629,0.885440,-0.125934,-0.358520,0.963535,111.844467,351.905273
42.8222504,0.898863,-0.147167,0.017328,0.910995,88.910110,350.701721
42.8241997,0.925465,-0.027578,-0.025626,0.926230,91.585403,358.293121
42.8261871,0.915703,0.062479,-0.154244,0.930702,99.539574,3.903257
42.8282013,0.928394,-0.003661,-0.303119,0.976632,108.081650,359.774078
42.8301849,0.949139,-0.113243,-0.289696,0.998805,106.860497,353.196167
42.8321648,0.972080,-0.095670,-0.154976,0.988994,99.015457,354.379150
42.8341827,0.970372,-0.033192,-0.213306,0.994094,102.390495,358.040955
42.8361359,1.031630,0.082003,-0.287011,1.073946,105.500648,4.544828
42.8381157,1.108264,-0.071265,-0.420511,1.187500,110.739159,356.320770
42.8408661,1.152926,-0.075170,-0.158637,1.166214,97.818039,356.269653
42.8420868,1.155367,0.023674,-0.154732,1.165923,97.626358,1.173830
42.8443718,1.216381,0.174257,-0.415141,1.297032,108.667175,8.152633
42.8461113,1.241275,0.128130,-0.468102,1.332779,110.562096,5.893457
42.8480682,1.214917,0.011471,-0.144726,1.223561,96.792999,0.540945
42.8500481,1.199785,0.036365,-0.091521,1.203820,94.360168,1.736057
42.8520622,1.087031,0.045883,-0.300190,1.128652,105.424744,2.416977
42.8540459,1.026993,0.190365,-0.218675,1.067133,101.824730,10.501227
42.8560600,1.042124,0.230634,-0.181090,1.082594,99.629402,12.479072
42.8580437,0.998438,0.059306,-0.311661,1.047630,107.306999,3.399299
42.8599968,0.976717,0.000000,-0.284571,1.017328,106.243713,0.000000
42.8619804,0.977937,0.172548,-0.304339,1.038632,107.038811,10.006349
42.8639946,0.996730,0.259189,-0.268951,1.064417,104.635834,14.576319
42.8659782,1.024064,0.118856,-0.195978,1.049401,100.763313,6.620296
42.8679924,0.973788,0.025138,-0.301655,1.019751,107.206253,1.478735
42.8699760,0.981354,0.018548,-0.311173,1.029674,107.590111,1.082806
42.8719635,0.996242,0.073217,-0.163762,1.012263,99.310143,4.203304
42.8739738,0.985503,0.171816,-0.068824,1.002733,93.935677,9.889757
42.8759270,0.973300,0.094694,-0.252111,1.009872,104.456612,5.556924
42.8779411,0.966955,-0.070288,-0.412457,1.053595,113.046341,355.842438
42.8798981,0.944257,-0.012203,-0.202812,0.965869,102.121078,359.259583
42.8818779,0.946698,0.090545,-0.177674,0.967473,100.582268,5.463334
42.8838615,0.866891,0.060770,-0.201347,0.892039,103.044960,4.009952
42.8858757,0.831747,-0.031239,-0.440035,0.941494,117.864357,357.849060
42.8878288,0.792210,-0.119588,-0.429785,0.909182,118.210724,351.415741
42.8898468,0.794406,-0.094938,-0.096403,0.805846,96.870697,353.184998
42.8917999,0.809294,0.001220,-0.078342,0.813078,95.529190,0.086393
