Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
47.5910721,0.363889,-0.140821,0.283595,0.482361,53.989727,338.844147
47.5930557,0.372431,0.070777,0.020989,0.379677,86.831024,10.760140
47.5950089,0.471275,0.138136,-0.469078,0.679128,133.686005,16.336515
47.5969925,0.552058,0.182067,-0.436618,0.727015,126.910217,18.252382
47.5990067,0.767072,0.263826,0.026114,0.811594,88.156113,18.980089
47.6009903,1.020159,0.195490,0.301899,1.081704,73.793770,10.847901
47.6029434,1.151218,0.228926,0.115927,1.179470,84.359428,11.246849
47.6049271,1.270074,0.412457,-0.107385,1.339679,94.597610,17.991215
47.6069412,1.314248,0.408552,-0.110070,1.380680,94.572556,17.268562
47.6089249,1.279592,0.322400,-0.246986,1.342498,100.601379,14.141618
47.6108780,1.272514,0.284815,-0.039781,1.304605,91.747391,12.616043
47.6128922,1.236638,0.314346,0.116659,1.281287,84.776070,14.262173
47.6148453,1.129009,0.268463,-0.072485,1.162750,93.574097,13.375753
47.6168289,0.868356,0.216235,-0.255040,0.930508,105.907600,13.983186
47.6187820,0.738273,0.091033,-0.347293,0.820943,115.026802,7.029418
47.6207657,0.654317,-0.007810,-0.277249,0.710675,112.961998,359.316162
47.6227188,0.702397,-0.025138,0.010250,0.702921,89.164452,357.950317
47.6247330,0.752428,0.009518,0.201835,0.779087,74.985321,0.724754
47.6267471,0.848099,0.032460,-0.070288,0.851625,94.734261,2.191833
47.6287308,0.922536,0.104212,-0.177430,0.945206,100.819481,6.444980
47.6307144,0.988188,0.101772,-0.196954,1.012751,101.214027,5.880069
47.6327286,1.057500,0.071753,0.018304,1.060089,89.010643,3.881648
47.6346817,1.145605,0.145946,0.149851,1.164545,82.606804,7.260183
47.6366959,1.291307,0.287255,0.212818,1.339881,80.860802,12.541420
47.6386490,1.385757,0.344365,0.132523,1.434040,84.697594,13.955488
47.6406326,1.568312,0.473959,-0.339240,1.673118,101.698341,16.815329
47.6426163,1.439450,0.223312,-0.492752,1.537754,108.689285,8.818418
47.6446304,1.349148,0.160590,-0.106165,1.362814,94.467941,6.788002
47.6466103,1.182701,-0.017084,0.309465,1.222638,75.338242,359.172424
47.6485977,1.082394,-0.002197,0.428320,1.164062,68.410545,359.883728
47.6505814,0.855421,0.104456,0.265290,0.901684,72.889450,6.961993
47.6525955,0.572558,0.175233,-0.234783,0.643158,111.410477,17.016880
47.6545486,0.572558,0.030507,-0.283350,0.639563,116.297844,3.049960
47.6565628,0.689218,-0.142285,0.031483,0.704455,87.438492,348.335449
47.6585159,0.755845,-0.084200,0.203300,0.787225,75.033829,353.643555
47.6605034,0.812222,-0.068336,0.315322,0.873958,68.850815,355.190765
47.6624832,0.848831,-0.078586,0.292869,0.901367,71.039497,354.710510
47.6645012,0.892761,0.013423,0.093962,0.897793,83.992485,0.861408
47.6664810,0.899839,0.130083,-0.285303,0.952906,107.421753,8.225804
47.6684647,0.849319,0.084444,-0.209401,0.878819,103.784790,5.677989
47.6704483,0.897398,0.057109,0.006590,0.899238,89.580139,3.641326
47.6724625,1.020647,0.152536,0.405379,1.108747,68.554314,8.499945
47.6744156,1.075804,0.245522,0.126910,1.110739,83.439224,12.855942
47.6764297,1.068971,0.274320,-0.164495,1.115800,98.477615,14.392722
47.6783867,1.014546,0.212818,-0.280666,1.073950,105.149574,11.846973
47.6803665,1.045785,0.178406,-0.123981,1.068114,96.665619,9.681181
