Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
54.4539337,0.377801,-0.128862,-0.307756,0.504036,127.631691,341.166260
54.4558868,0.444184,-0.194270,0.359008,0.603264,53.479534,336.377228
54.4578705,0.453946,-0.088349,0.004637,0.462487,89.425522,348.986572
54.4598236,0.489335,-0.111290,-0.969884,1.092020,152.642349,347.187103
54.4617767,0.635525,-0.086152,-0.720945,0.964923,138.344360,352.279999
54.4637604,0.771465,-0.148631,0.058330,0.787814,85.753944,349.094971
54.4657440,0.701665,-0.202812,-0.418802,0.841939,119.829849,343.878418
54.4677582,0.633817,-0.209401,-0.858837,1.087738,142.144669,341.717407
54.4697418,0.632352,0.008298,-0.271880,0.688373,113.263489,0.751812
54.4717216,0.657246,0.101040,0.057109,0.667415,85.091309,8.739767
54.4737396,0.797335,0.041490,-0.328989,0.863538,112.394279,2.978728
54.4756927,0.794650,-0.046859,-0.819300,1.142330,135.825317,356.625275
54.4777069,0.818080,-0.047835,-0.835896,1.170583,135.568268,356.653595
54.4796600,0.947674,0.032460,-0.088349,0.952337,95.323006,1.961720
54.4816437,0.991605,-0.016108,0.050032,0.992997,87.111954,359.069366
54.4835968,0.963294,-0.022697,-0.369015,1.031805,110.955315,358.650238
54.4855804,1.124372,0.012691,-0.665300,1.306521,120.611549,0.646680
54.4875336,1.161224,0.060770,-0.534974,1.279973,114.705658,2.995722
54.4895172,1.290331,0.128374,-0.165959,1.307278,97.293381,5.681622
54.4915009,1.181481,-0.087128,-0.848587,1.457254,125.613831,355.782349
54.4934845,1.201982,-0.188900,-0.600381,1.356798,116.263390,351.068604
54.4954681,1.208816,-0.103968,0.013911,1.213358,89.343086,355.084167
54.4974823,1.283985,-0.065651,-0.257236,1.311144,101.314384,357.072968
54.4994354,1.112901,-0.126178,-0.433934,1.201153,111.177872,353.531586
54.5014191,1.237614,-0.231366,-0.022209,1.259251,91.010567,349.411041
54.5033722,1.167814,-0.068824,-0.099087,1.174029,94.841484,356.627228
54.5053825,1.288378,-0.055645,-0.349978,1.336226,105.183746,357.526947
54.5073395,1.105335,-0.103968,-0.279690,1.144903,104.139946,354.626526
54.5093231,1.143652,-0.124469,-0.188412,1.165732,99.301262,353.788666
54.5113373,1.108508,0.022697,-0.281398,1.143893,104.240959,1.172999
54.5133209,1.212476,0.158637,-0.342900,1.269979,105.664558,7.454087
54.5153351,1.028213,0.223800,-0.479573,1.156416,114.500786,12.279451
54.5173187,1.139259,-0.035144,-0.434422,1.219782,110.863762,358.233093
54.5192680,1.088007,-0.090057,-0.326793,1.139589,106.664299,355.268280
54.5212555,1.160980,0.228438,-0.005613,1.183254,90.271812,11.131471
54.5232735,1.159272,0.293113,-0.401474,1.261352,108.559471,14.189402
54.5252533,1.195881,0.114707,-0.345585,1.250087,106.048378,5.478956
54.5272369,1.067995,0.045639,-0.056865,1.070481,93.045059,2.446937
54.5292511,1.028213,0.133987,-0.039537,1.037660,92.183632,7.424430
54.5312042,0.903500,0.271392,-0.587690,1.111461,121.921341,16.719120
54.5332184,0.894470,0.016108,-0.109094,0.901242,96.952591,1.031681
