Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
10.0267639,1.086055,0.275053,-0.045883,1.121282,92.345192,14.211820
10.0287170,1.082150,0.195978,0.108361,1.105078,84.372665,10.265041
10.0307007,1.067018,0.109338,0.177674,1.087222,80.594543,5.850693
10.0326529,1.134378,0.124225,0.187436,1.156451,80.672432,6.249527
10.0346375,1.157808,0.166203,0.322400,1.213294,74.590111,8.168988
10.0365906,1.142432,0.213794,0.232342,1.185260,78.695305,10.599701
10.0385742,1.097525,0.276517,0.220384,1.153080,78.981483,14.141122
10.0405264,1.025040,0.302143,0.232831,1.093713,77.708771,16.423508
10.0425110,1.002099,0.219163,0.314102,1.072798,72.975090,12.336591
10.0444946,0.892273,0.196466,0.353883,0.979788,68.827110,12.417583
10.0464783,0.866159,0.208669,0.471519,1.008020,62.110546,13.545181
10.0484304,0.833211,0.258701,0.304095,0.923927,70.783813,17.248850
10.0504141,0.805877,0.230878,0.228926,0.868993,74.725853,15.986639
10.0523682,0.763655,0.203300,0.069312,0.793287,84.987473,14.907480
10.0543518,0.764631,0.209645,0.171816,0.811254,77.772667,15.332461
10.0563354,0.739493,0.188656,0.163518,0.780500,77.906677,14.311766
10.0583496,0.747791,0.153268,0.187436,0.786012,76.204071,11.582973
10.0602722,0.760970,0.162542,0.319715,0.841257,67.663574,12.057104
10.0622864,0.789281,0.207205,0.352419,0.888874,66.641846,14.709546
10.0642700,0.853224,0.224533,0.383414,0.961984,66.511444,14.743562
10.0662537,0.833211,0.236247,0.349246,0.933824,68.037758,15.830069
10.0682058,0.913262,0.276029,0.315322,1.004822,71.711090,16.817169
10.0701895,0.904232,0.309709,0.330942,1.011473,70.901825,18.906849
10.0721436,0.920828,0.323864,0.387563,1.050246,68.344749,19.377258
10.0741272,0.970860,0.384390,0.423683,1.126868,67.914917,21.599979
10.0760794,1.010397,0.391468,0.387807,1.150888,70.308037,21.178343
10.0780630,1.046029,0.431005,0.328257,1.178005,73.820053,22.393581
10.0800171,1.083858,0.458584,0.322156,1.220177,74.691055,22.933363
10.0820313,1.085322,0.482989,0.252355,1.214449,78.006897,23.989981
10.0839844,1.107288,0.482501,0.201103,1.224474,80.547119,23.545189
10.0859985,1.120711,0.474203,0.208425,1.234626,80.281006,22.934542
10.0880127,1.147557,0.525943,0.276761,1.292324,77.633888,24.622726
10.0899963,1.153903,0.583541,0.256992,1.318354,78.759117,26.826210
10.0919790,1.172451,0.579880,0.205984,1.324134,81.050636,26.316441
10.0939941,1.187827,0.577195,0.140821,1.328125,83.913490,25.916306
10.0959473,1.215893,0.614292,0.216967,1.379429,80.950516,26.803764
10.0979605,1.211012,0.620394,0.226241,1.379356,80.559731,27.125767
10.0999451,1.216869,0.618685,0.121785,1.370538,84.902031,26.949856
10.1019592,1.231269,0.620638,0.113975,1.383548,85.274696,26.750999
10.1039124,1.238102,0.643335,0.149363,1.403242,83.889778,27.457003
10.1059265,1.221751,0.620882,0.025626,1.370703,88.928764,26.939230
10.1078787,1.234442,0.616977,-0.038805,1.380584,91.610664,26.555986
10.1098623,1.224679,0.637233,-0.020013,1.380690,90.830513,27.489170
10.1118164,1.184654,0.583053,-0.044907,1.321125,91.947922,26.205091
10.1138306,1.139503,0.591595,-0.049788,1.284886,92.220695,27.436939
10.1157837,1.119246,0.486162,-0.091277,1.223682,94.277802,23.478462
10.1177673,1.143164,0.636013,0.041978,1.308854,88.162079,29.089905
10.1196899,1.150974,0.691658,-0.101040,1.346604,94.303116,31.003044
10.1217041,1.084346,0.668717,-0.338507,1.318172,104.880310,31.662155
10.1236877,1.020892,0.651633,-0.405867,1.277330,108.526695,32.549999
