Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
26.6898479,1.009177,0.092254,-0.790990,1.285540,127.973541,5.223162
26.6918316,0.960365,-0.011227,-0.618929,1.142585,122.798889,359.330231
26.6938152,1.057012,-0.309709,-0.531801,1.223113,115.772110,343.669220
26.6958008,1.119246,-0.345341,-0.351442,1.222900,106.701424,342.852509
26.6978130,1.200274,-0.204520,-0.123005,1.223771,95.768707,350.329987
26.6997662,1.290819,-0.057109,-0.432958,1.362691,108.525246,357.466736
26.7017803,1.284961,-0.109826,-0.522038,1.391299,112.037704,355.114807
26.7037029,1.322058,-0.055645,-0.600625,1.453164,114.413704,357.589874
26.7057171,1.317665,-0.076146,-0.664812,1.477841,116.734283,356.692657
26.7076702,1.318397,-0.081759,-0.530336,1.423416,111.874832,356.451385
26.7096539,1.299361,0.045639,-0.123493,1.306014,95.425835,2.011628
26.7116680,1.321082,0.111290,-0.066628,1.327434,92.877045,4.815321
26.7136517,1.232489,0.199883,-0.155220,1.258203,97.086449,9.211923
26.7156353,1.049446,0.303607,-0.486650,1.195969,114.010780,16.135281
26.7176495,0.905940,0.324596,-0.515205,1.091571,118.163216,19.712471
26.7196026,0.594523,0.258457,-0.451750,0.790149,124.870766,23.495985
26.7215862,0.247962,0.185728,-0.204520,0.371226,123.430969,36.833790
26.7235394,0.139845,0.142041,-0.132035,0.239093,123.520294,45.446449
26.7255230,-0.041978,0.164495,-0.072485,0.184593,113.120995,104.315926
26.7275066,-0.088593,0.168644,-0.164495,0.251690,130.810593,117.714096
26.7294903,-0.196222,0.202568,-0.263582,0.386021,133.064224,134.088394
26.7314434,-0.193049,0.257236,-0.400742,0.513841,141.250931,126.887291
26.7334270,-0.205252,0.296041,-0.424171,0.556498,139.659866,124.734428
26.7353802,-0.086640,0.278225,-0.241861,0.378698,129.692215,107.296768
26.7373638,0.067604,0.292381,-0.023674,0.301027,94.510551,76.980934
26.7393188,0.495192,0.248206,0.020013,0.554276,87.930832,26.621500
26.7413311,0.811246,0.243081,0.039537,0.847804,87.327049,16.680265
26.7432842,0.959145,0.280910,0.002197,0.999437,89.874077,16.324005
26.7452679,1.287890,0.289208,-0.158881,1.329491,96.863556,12.656354
26.7472515,1.433104,0.293113,-0.075902,1.464740,92.970360,11.559279
26.7492352,1.584908,0.296530,-0.219896,1.627334,97.765923,10.597281
26.7511883,1.623469,0.153756,-0.283839,1.655251,99.873741,5.410252
26.7531719,1.610046,0.112022,-0.127154,1.618939,94.504730,3.980059
26.7551556,1.482160,0.124225,0.017572,1.487460,89.323120,4.790968
26.7571392,1.376239,0.044662,0.032704,1.377352,88.639450,1.858742
26.7591534,1.290331,0.061746,0.137160,1.299068,83.939217,2.739698
26.7611370,1.795285,0.047835,0.168644,1.803823,84.635452,1.526280
26.7631226,2.481818,0.036853,0.177186,2.488408,85.916832,0.850725
26.7651043,3.595451,0.004637,0.386831,3.616204,83.859238,0.073895
26.7670574,3.470982,-0.376336,0.257969,3.500842,85.774185,353.811951
26.7690716,2.874994,-0.460780,0.338996,2.931353,83.359184,350.894562
26.7710857,2.296579,-0.375848,0.218187,2.337336,84.643715,350.705627
26.7730694,1.950262,-0.477620,0.030995,2.008134,89.115616,346.239075
26.7750530,1.856543,-0.845414,0.862986,2.215000,67.069756,335.516907
26.7770367,2.059355,-0.141309,1.670328,2.655354,51.020565,356.074615
26.7789898,2.038854,0.219896,1.200762,2.376365,59.649162,6.155700
26.7810059,1.789916,0.647972,0.239420,1.918590,82.831390,19.900892
26.7829266,1.724509,0.737297,-0.350222,1.907929,100.577271,23.148661
26.7849407,1.694489,0.825646,-0.250891,1.901560,97.581680,25.977816
26.7869244,1.844585,0.628447,0.793430,2.104037,67.845894,18.813906
26.7889385,1.805536,0.570606,0.984527,2.134208,62.528461,17.538168
26.7908936,2.047396,0.647972,0.667741,2.248906,72.727417,17.561844
26.7929058,2.414214,0.815883,0.284327,2.564164,83.633682,18.672674
26.7948589,2.513302,0.927906,0.102016,2.681063,87.819336,20.264038
26.7968731,2.695612,1.027237,-0.269439,2.897264,95.336090,20.860712
26.7988262,2.822278,0.985015,-0.465905,3.025322,98.858910,19.239712
26.8008404,2.936253,0.752673,-0.629912,3.095946,101.739563,14.377501
26.8027935,2.692195,0.459560,0.197442,2.738265,85.865105,9.687063
26.8048096,2.556011,0.357788,0.493240,2.627640,79.180710,7.968430
26.8067608,2.124274,0.145702,0.363157,2.160012,80.321045,3.923724
26.8087769,1.663982,0.011227,0.229170,1.679727,82.158524,0.386560
26.8107281,1.339630,-0.032460,0.099331,1.343700,85.760612,358.611969
26.8127422,0.567677,-0.224289,-0.247718,0.658731,112.089432,338.441071
26.8146954,0.144970,-0.077854,-0.107873,0.196759,123.247032,331.762543
26.8167095,-0.544980,0.218431,0.080783,0.592656,82.165817,158.158783
26.8186646,-0.866403,0.025138,-0.144238,0.878687,99.447952,178.338089
26.8206768,-0.603554,-0.230634,-0.148631,0.662993,102.954758,200.913208
26.8226299,-0.074437,-0.242349,0.218431,0.334643,49.252354,252.925659
26.8246136,0.011227,-0.206716,0.538634,0.577048,21.023996,273.108643
26.8265667,0.002685,-0.117147,0.293601,0.316121,21.757303,271.312805
26.8285522,-0.159369,-0.189632,-0.450042,0.513709,151.171158,229.955902
26.8305035,-0.193781,-0.068092,-0.380241,0.432170,151.623215,199.360733
26.8325176,-0.327281,-0.107629,0.125445,0.366651,69.992813,198.203918
26.8344707,-0.398301,-0.165471,0.281642,0.515118,56.855518,202.560013
26.8364849,-0.379021,-0.244789,0.306048,0.545201,55.850880,212.856262
26.8384399,-0.352663,0.042954,-0.054425,0.359414,98.709610,173.055618
26.8404522,-0.277249,0.139357,-0.162054,0.350070,117.575638,153.314026
26.8424053,-0.117392,0.082979,-0.301411,0.333938,154.501175,144.745010
26.8444195,0.000244,0.047591,-0.022697,0.052727,115.497261,89.706177
26.8463726,0.077854,0.123005,0.085420,0.168784,59.596218,57.668789
26.8483868,0.138625,0.138625,-0.118612,0.229134,121.174965,45.000000
26.8503399,0.174501,0.128130,-0.191829,0.289251,131.543747,36.288563
26.8523560,0.228926,0.017084,-0.017572,0.230234,94.377235,4.267894
26.8543072,0.371943,-0.002685,0.018304,0.372403,87.182671,359.586456
26.8563232,0.394641,-0.082491,-0.075170,0.410118,100.561333,348.193512
26.8582745,0.474203,-0.201835,-0.336311,0.615395,123.126938,336.943909
26.8602886,0.482501,-0.324108,-0.308244,0.657927,117.937508,326.109772
26.8622437,0.592327,-0.416118,-0.128130,0.735134,100.037621,324.911438
26.8642254,0.699956,-0.683116,0.020257,0.978262,88.813499,315.697571
26.8661785,0.782936,-0.763899,0.048323,1.094927,87.470497,315.705078
26.8681927,0.825646,-0.826622,0.252355,1.195273,77.811554,314.966156
26.8701458,0.963782,-0.825646,0.121296,1.274864,84.540359,319.414246
26.8721294,0.997462,-0.814907,0.099575,1.291867,85.579330,320.751831
26.8741131,1.078001,-0.757310,0.303851,1.352009,77.012383,324.911469
26.8760986,1.072876,-0.718993,0.262606,1.317943,78.506653,326.171814
26.8781109,1.091424,-0.564016,0.199151,1.244581,80.792274,332.671387
26.8800964,1.076048,-0.438327,0.419046,1.235156,70.167847,337.836548
26.8820477,1.061161,-0.406843,0.400498,1.204983,70.587418,339.023438
26.8840618,1.014302,-0.370723,0.281886,1.116111,75.370888,339.922852
26.8860168,0.971348,-0.325816,0.256748,1.056216,75.931427,341.457153
26.8880291,0.892517,-0.210377,0.268463,0.955468,73.681564,346.736786
26.8899841,0.703617,0.095182,0.385366,0.807864,61.509109,7.703964
26.8919964,0.640894,0.186704,0.296286,0.730335,66.065971,16.241770
26.8939495,0.566213,0.275785,0.139601,0.645091,77.502052,25.969278
26.8959332,0.564016,0.327769,0.047347,0.654055,85.848724,30.162315
