Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.994045,0.035144,0.022697,0.994925,88.692795,2.024836
0.0020142,0.994289,0.035388,0.021477,0.995151,88.763367,2.038385
0.0039978,0.996242,0.037097,0.020745,0.997148,88.807922,2.132518
0.0059814,0.994777,0.037341,0.020501,0.995689,88.820221,2.149691
0.0079956,0.994045,0.037341,0.020989,0.994968,88.791252,2.151273
0.0099487,0.994289,0.037341,0.020257,0.995196,88.833694,2.150745
0.0119324,0.994777,0.037585,0.021233,0.995714,88.778107,2.163728
0.0138550,0.994533,0.038317,0.018548,0.995444,88.932335,2.206378
0.0158691,0.993557,0.038317,0.020745,0.994512,88.804764,2.208544
0.0178528,0.993557,0.038073,0.020989,0.994508,88.790695,2.194490
0.0198669,0.993069,0.037829,0.021233,0.994016,88.776024,2.181508
0.0218201,0.993801,0.038073,0.020745,0.994746,88.805046,2.193952
0.0238342,0.994533,0.037829,0.025382,0.995576,88.539101,2.178299
0.0258179,0.995021,0.025626,0.098355,1.000199,84.356674,1.475283
0.0278015,0.994045,0.032216,0.059306,0.996334,86.587502,1.856223
0.0297852,0.996486,0.045639,-0.031727,0.998035,91.821732,2.622295
0.0317993,0.998438,0.048079,-0.037341,1.000292,92.139343,2.756919
0.0337524,0.998438,0.040514,0.000732,0.999260,89.958015,2.323609
0.0357666,0.997950,0.038561,0.020989,0.998915,88.796028,2.212823
0.0377197,0.997218,0.037341,0.035632,0.998553,87.955025,2.144435
0.0397034,0.996730,0.037341,0.022209,0.997676,88.724434,2.145484
0.0416870,0.997950,0.041978,0.010739,0.998890,89.384033,2.408674
0.0436707,0.997462,0.042710,0.014643,0.998483,89.159691,2.451833
0.0456543,0.998194,0.042222,0.010006,0.999137,89.426170,2.422070
0.0476685,0.997462,0.041734,0.011959,0.998406,89.313698,2.395857
0.0496216,0.996486,0.038561,0.026358,0.997580,88.485947,2.216071
0.0516357,0.996974,0.039293,0.020501,0.997958,88.822906,2.257001
0.0535583,0.995509,0.039293,0.020257,0.996490,88.835205,2.260318
0.0555725,0.990628,0.037097,0.017816,0.991483,88.970383,2.144590
0.0575256,0.996486,0.042954,0.030507,0.997877,88.248077,2.468239
0.0595398,0.992581,0.041978,0.006345,0.993488,89.634048,2.421688
0.0615540,0.991849,0.042466,0.027823,0.993147,88.394676,2.451619
0.0635376,0.990384,0.040758,0.016596,0.991362,89.040794,2.356579
0.0655212,0.989652,0.039537,0.029775,0.990889,88.278076,2.287789
0.0675354,0.990872,0.039781,0.024650,0.991977,88.576103,2.299064
0.0694885,0.990384,0.039049,0.019769,0.991351,88.857384,2.257905
0.0715027,0.991116,0.039049,0.021721,0.992123,88.745491,2.256239
0.0734863,0.991849,0.038805,0.023918,0.992896,88.619682,2.240498
0.0754700,0.993069,0.037829,0.025138,0.994107,88.551010,2.181508
0.0774231,0.993801,0.038561,0.030019,0.995002,88.271133,2.222051
0.0794373,0.994045,0.038805,0.027334,0.995178,88.426064,2.235553
0.0813904,0.993801,0.038561,0.024406,0.994848,88.594276,2.222051
0.0834045,0.993801,0.039049,0.022209,0.994816,88.720772,2.250150
0.0854187,0.992581,0.037341,0.025870,0.993620,88.508064,2.154444
0.0874023,0.994045,0.035876,0.044662,0.995695,87.429100,2.066984
0.0893860,0.995509,0.036120,0.044174,0.997144,87.460915,2.077975
0.0913696,0.995754,0.037829,0.029043,0.996895,88.330551,2.175632
0.0933533,0.997706,0.041490,0.018304,0.998736,88.949852,2.381280
0.0953674,0.996730,0.041490,0.015376,0.997711,89.116989,2.383610
0.0973206,0.996730,0.040758,0.021477,0.997794,88.766640,2.341593
0.0993042,0.996974,0.038317,0.030751,0.998184,88.234596,2.200982
0.1013184,0.995998,0.038073,0.030751,0.997199,88.232857,2.189118
0.1033325,0.995998,0.039049,0.026114,0.997105,88.499252,2.245193
0.1053162,0.996242,0.039537,0.023674,0.997307,88.639816,2.272672
0.1072998,0.998926,0.039781,0.020501,0.999928,88.825226,2.280547
0.1093140,0.998194,0.037829,0.022697,0.999169,88.698341,2.170317
0.1112976,0.998438,0.037585,0.024894,0.999455,88.572762,2.155802
0.1132812,0.996730,0.036365,0.023918,0.997680,88.626305,2.089443
0.1152954,0.996730,0.035632,0.023918,0.997653,88.626266,2.047410
0.1172485,0.995754,0.035632,0.022697,0.996649,88.695053,2.049416
0.1192322,0.996486,0.035876,0.020013,0.997332,88.850212,2.061926
0.1212463,0.997462,0.036609,0.019036,0.998315,88.907387,2.101911
0.1232300,0.999414,0.036365,0.018792,1.000252,88.923485,2.083836
0.1252136,0.999170,0.036609,0.016352,0.999974,89.063042,2.098321
0.1272278,0.998194,0.035876,0.015376,0.998957,89.118088,2.058400
0.1291809,0.997706,0.037097,0.015620,0.998518,89.103691,2.129390
0.1311951,0.996242,0.037341,0.017572,0.997096,88.990204,2.146534
0.1331482,0.995754,0.037341,0.017816,0.996613,88.975685,2.147586
0.1351318,0.993069,0.036120,0.016352,0.993860,89.057281,2.083077
0.1371155,0.992337,0.035632,0.016352,0.993111,89.056564,2.056466
0.1390991,0.992093,0.035632,0.015376,0.992851,89.112663,2.056972
0.1410522,0.992093,0.036365,0.019281,0.992946,88.887390,2.099201
0.1430664,0.992825,0.036120,0.020013,0.993683,88.845993,2.083588
0.1450195,0.993069,0.036609,0.020257,0.993950,88.832230,2.111201
0.1470032,0.993069,0.037097,0.020501,0.993973,88.818184,2.139324
0.1489868,0.992337,0.035632,0.017328,0.993127,89.000252,2.056466
0.1509705,0.992093,0.037097,0.016596,0.992925,89.042305,2.141428
0.1529541,0.993069,0.038317,0.016840,0.993950,89.029221,2.209628
0.1549682,0.993313,0.038317,0.017572,0.994207,88.987274,2.209086
0.1569214,0.996730,0.036853,0.018304,0.997579,88.948639,2.117464
0.1589050,0.996730,0.037585,0.018548,0.997611,88.934654,2.159493
0.1608887,0.998194,0.039537,0.018792,0.999154,88.922302,2.268231
0.1628723,0.999414,0.040025,0.018304,1.000383,88.951584,2.293404
0.1648559,1.001611,0.040758,0.019281,1.002625,88.898132,2.330194
0.1668701,1.003563,0.039537,0.019769,1.004537,88.872383,2.256109
0.1688232,1.003075,0.039049,0.020989,1.004054,88.802193,2.229367
0.1708374,1.000147,0.039293,0.021233,1.001143,88.784737,2.249849
0.1727600,0.999414,0.037829,0.021233,1.000355,88.783783,2.167670
0.1747742,0.997462,0.035876,0.022697,0.998365,88.697296,2.059910
0.1767578,0.998438,0.037585,0.022697,0.999403,88.698654,2.155802
0.1787720,0.997950,0.038561,0.022453,0.998947,88.712059,2.212823
0.1807251,0.993801,0.039537,0.020257,0.994794,88.833221,2.278247
0.1827393,0.993557,0.039537,0.021721,0.994581,88.748589,2.278807
0.1846924,0.992581,0.038561,0.022941,0.993594,88.676964,2.224781
0.1866760,0.992825,0.039293,0.023185,0.993873,88.663261,2.266423
0.1886597,0.993557,0.039293,0.024406,0.994633,88.593971,2.264755
0.1906433,0.993313,0.039781,0.025382,0.994433,88.537422,2.293421
0.1926270,0.992825,0.039293,0.026602,0.993958,88.466354,2.266423
0.1946411,0.993069,0.039781,0.027334,0.994241,88.424583,2.293984
0.1965942,0.993801,0.038805,0.029531,0.994997,88.299248,2.236101
0.1985779,0.993801,0.037341,0.032216,0.995024,88.144630,2.151801
0.2005615,0.994777,0.038073,0.032460,0.996035,88.132469,2.191801
0.2025757,0.993801,0.038561,0.028555,0.994959,88.355423,2.222051
0.2045288,0.993801,0.038073,0.027578,0.994912,88.411583,2.193952
0.2065124,0.993801,0.037097,0.028799,0.994910,88.341278,2.137750
0.2084656,0.993313,0.037829,0.030507,0.994501,88.242126,2.180972
0.2104492,0.993801,0.037585,0.030751,0.994987,88.228928,2.165851
0.2123718,0.995021,0.037829,0.030751,0.996215,88.231110,2.177231
0.2143860,0.995509,0.037341,0.028799,0.996626,88.344139,2.148112
0.2163696,0.995754,0.038073,0.023918,0.996768,88.625046,2.189654
0.2183533,0.996486,0.039781,0.022697,0.997538,88.696220,2.286127
0.2203674,0.996242,0.039781,0.022697,0.997294,88.695900,2.286686
0.2223511,0.994533,0.039537,0.025138,0.995636,88.553238,2.276572
0.2243347,0.996730,0.037097,0.023674,0.997701,88.640350,2.131474
0.2263489,0.995998,0.038073,0.024650,0.997030,88.583321,2.189118
0.2283630,0.993313,0.038561,0.024894,0.994373,88.565468,2.223142
0.2303467,0.992825,0.037829,0.023429,0.993822,88.649117,2.182043
0.2323303,0.992581,0.038561,0.022209,0.993578,88.719177,2.224781
0.2343445,0.995265,0.037829,0.020501,0.996195,88.820824,2.176698
0.2362976,0.994777,0.037585,0.019525,0.995679,88.876396,2.163728
0.2382812,0.996242,0.038073,0.021721,0.997205,88.751884,2.188582
0.2402954,0.995754,0.035876,0.022697,0.996658,88.695068,2.063441
0.2423096,0.996486,0.036365,0.022941,0.997413,88.682030,2.089955
0.2442627,0.996242,0.037341,0.020989,0.997162,88.793915,2.146534
0.2462463,0.995754,0.037829,0.019769,0.996668,88.863480,2.175632
0.2481994,0.996974,0.039781,0.017572,0.997922,88.991043,2.285009
0.2501831,0.995998,0.038317,0.021965,0.996976,88.737572,2.203137
0.2521362,0.997218,0.037341,0.023429,0.998192,88.655037,2.144435
0.2541199,0.996486,0.038073,0.020501,0.997423,88.822273,2.188047
0.2561035,0.996974,0.038805,0.018792,0.997906,88.920952,2.228992
0.2580872,0.998926,0.040758,0.016108,0.999887,89.076950,2.336450
0.2600403,0.998682,0.040514,0.014155,0.999604,89.188614,2.323042
0.2620544,0.998194,0.038561,0.012447,0.999016,89.286125,2.212282
0.2640076,0.998682,0.037097,0.021233,0.999597,88.782860,2.127311
0.2659912,0.996730,0.035388,0.029287,0.997788,88.318024,2.033398
0.2680054,0.995265,0.034656,0.029531,0.996306,88.301483,1.994290
0.2699890,0.996486,0.035144,0.025626,0.997434,88.527802,2.019881
0.2719727,0.994777,0.034900,0.022697,0.995648,88.693741,2.009307
0.2739868,0.995998,0.035876,0.019036,0.996825,88.905754,2.062936
