Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
2.6608276,0.992581,0.035632,-0.085664,0.996908,94.929497,2.055961
2.6628418,0.993313,0.037829,-0.087617,0.997887,95.037178,2.180972
2.6647949,0.992825,0.038317,-0.088593,0.997506,95.095398,2.210171
2.6667786,0.994289,0.038561,-0.090057,0.999104,95.171539,2.220962
2.6687317,0.995265,0.037097,-0.091277,1.000131,95.236412,2.134607
2.6707153,0.997462,0.035876,-0.093718,1.002497,95.364105,2.059910
2.6726685,0.999170,0.032704,-0.096891,1.004390,95.535774,1.874669
2.6746521,1.000879,0.030995,-0.101284,1.006468,95.775620,1.773772
2.6766052,1.001855,0.029775,-0.100308,1.007304,95.714996,1.702321
2.6785889,1.003563,0.024650,-0.106897,1.009542,96.078262,1.407031
2.6805420,1.009177,0.023674,-0.106165,1.015022,96.003761,1.343814
2.6824951,1.009665,0.018792,-0.106897,1.015482,96.042572,1.066296
2.6844788,1.011129,0.012203,-0.118612,1.018136,96.690094,0.691443
2.6864624,1.011373,0.012447,-0.117636,1.018268,96.633919,0.705101
2.6884155,1.015278,0.007810,-0.118856,1.022241,96.676872,0.440728
2.6904297,1.019671,0.003417,-0.127886,1.027665,97.148605,0.191991
2.6923826,1.022600,0.002685,-0.126422,1.030388,97.047562,0.150418
2.6943665,1.025529,-0.001220,-0.135696,1.034468,97.537468,359.931824
2.6963193,1.026261,-0.003417,-0.137892,1.035489,97.652603,359.809235
2.6983335,1.031630,-0.002685,-0.138625,1.040906,97.653206,359.850891
2.7002869,1.035291,-0.004881,-0.146922,1.045676,98.077057,359.729858
2.7023008,1.036267,-0.006345,-0.149363,1.046995,98.201729,359.649170
2.7042542,1.040416,-0.005125,-0.151560,1.051409,98.288002,359.717743
2.7062376,1.041636,-0.005369,-0.153512,1.052901,98.383553,359.704651
2.7081909,1.043101,-0.006590,-0.162298,1.055672,98.843681,359.638062
2.7101743,1.042857,-0.007078,-0.169376,1.056545,99.224945,359.611145
2.7121277,1.042369,-0.005369,-0.172548,1.056567,99.399101,359.704865
2.7141111,1.040904,-0.003417,-0.180602,1.056461,99.843079,359.811920
2.7160645,1.041880,-0.003173,-0.184019,1.058011,100.016357,359.825531
2.7180479,1.040904,-0.001220,-0.187924,1.057733,100.233894,359.932831
2.7200012,1.042369,0.001220,-0.195246,1.060497,100.609116,0.067075
2.7219846,1.043589,0.003661,-0.194758,1.061613,100.571045,0.200990
2.7239685,1.042369,0.003661,-0.200859,1.061551,100.906853,0.201225
2.7260132,1.043345,0.005125,-0.198419,1.062057,100.767540,0.281451
2.7279661,1.042124,0.004881,-0.200615,1.061270,100.896362,0.268362
2.7299802,1.042613,0.006834,-0.201347,1.061898,100.930061,0.375529
2.7319336,1.040660,0.006590,-0.203788,1.060446,101.079552,0.362797
2.7339170,1.037731,0.005857,-0.208181,1.058423,101.343437,0.323397
2.7358704,1.035047,0.003661,-0.207205,1.055589,101.320251,0.202649
2.7378843,1.033338,0.002197,-0.211842,1.054832,101.585487,0.121791
2.7398376,1.026505,0.001464,-0.210865,1.047940,101.608253,0.081734
2.7418518,1.020892,0.000488,-0.218187,1.043947,102.063881,0.027395
2.7438049,1.018207,-0.006590,-0.220140,1.041753,102.199516,359.629211
2.7457886,1.013570,-0.010739,-0.209889,1.035129,101.698769,359.392975
2.7477417,1.010397,-0.010983,-0.207205,1.031483,101.588448,359.377258
2.7497253,1.006004,-0.013179,-0.199639,1.025706,101.223427,359.249451
