Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
76.9464111,1.108020,-0.092010,0.042954,1.112663,87.787560,355.253082
76.9484253,0.915215,-0.153512,0.048323,0.929257,87.019157,350.478210
76.9503784,0.741690,-0.132035,-0.067116,0.756334,95.091019,349.906006
76.9523621,0.707034,-0.087128,-0.076390,0.716466,96.120537,352.974792
76.9543762,0.668473,0.019036,-0.072485,0.672661,96.186127,1.631202
76.9563599,0.693367,0.076146,-0.148875,0.713246,102.047867,6.267136
76.9583130,0.703617,0.056865,-0.185484,0.729873,104.722107,4.620522
76.9602966,0.817104,0.073461,-0.151560,0.834281,100.466743,5.137332
76.9622498,0.884708,0.126910,-0.058574,0.895681,93.749580,8.163292
76.9642334,0.993313,0.220872,-0.031483,1.018060,91.772148,12.536260
76.9661865,1.066774,0.219407,-0.092254,1.093004,94.841736,11.622168
76.9681702,1.106556,0.212330,-0.053449,1.128010,92.715866,10.862089
76.9701843,1.218578,0.161078,-0.117392,1.234771,95.455437,7.529992
76.9721680,1.258847,0.140577,-0.107873,1.271257,94.867722,6.371888
76.9741211,1.301313,0.091766,-0.038317,1.305107,91.682404,4.033685
76.9761353,1.301801,0.042710,-0.027578,1.302794,91.212967,1.879109
76.9780884,1.286182,0.002441,0.026846,1.286464,88.804245,0.108721
76.9800720,1.180505,-0.115195,0.071265,1.188251,86.561653,354.426666
76.9820251,1.012105,-0.139845,-0.018792,1.021894,91.053719,352.133118
76.9840088,0.916435,-0.122273,-0.056377,0.926273,93.489441,352.400360
76.9860229,0.759262,-0.145458,-0.064919,0.775791,94.800201,349.154785
76.9880066,0.736809,-0.145946,-0.034412,0.751912,92.623123,348.795959
76.9899979,0.764631,-0.116903,-0.066140,0.776339,94.887192,351.307434
76.9920044,0.852736,-0.039049,-0.058086,0.855604,93.892715,357.378113
76.9939575,0.899839,-0.001952,-0.019036,0.900043,91.211929,359.875671
76.9959412,1.033826,0.174745,-0.032704,1.049001,91.786545,9.593875
76.9979553,1.116806,0.222336,-0.118124,1.144833,95.922310,11.259359
76.9999390,1.142188,0.280666,-0.140821,1.184566,96.827461,13.805562
77.0018921,1.141700,0.283839,-0.065163,1.178257,93.170349,13.961290
77.0039063,1.145361,0.272856,0.015864,1.177520,89.228081,13.399649
77.0058594,1.076537,0.238200,0.001464,1.102575,89.923904,12.476535
77.0078430,1.063601,0.400254,-0.006101,1.136437,90.307617,20.622293
77.0098572,1.037487,0.458095,0.000244,1.134121,89.987671,23.823526
77.0118408,0.977693,0.397569,-0.080539,1.058505,94.363708,22.128626
77.0138245,0.958901,0.324352,-0.101284,1.017327,95.713760,18.688313
77.0158386,0.990872,0.237712,-0.116171,1.025588,96.504013,13.490396
77.0177917,1.020892,0.166935,-0.091277,1.038469,95.042587,9.286758
77.0197754,1.045053,0.133987,-0.068092,1.055805,93.697739,7.306097
77.0217285,1.118758,0.169864,-0.040269,1.132297,92.038116,8.633420
77.0237122,1.133646,0.225509,-0.192317,1.171748,99.446602,11.250618
77.0256653,1.126324,0.230878,-0.249427,1.176488,102.240135,11.584232
77.0276566,1.098014,0.211110,-0.125201,1.125112,96.389053,10.883165
77.0296631,1.075316,0.164006,-0.066872,1.089805,93.517944,8.671882
77.0316544,1.000635,0.100063,-0.031483,1.006118,91.793190,5.710594
77.0336304,0.915703,0.055401,-0.007078,0.917404,90.442032,3.462236
77.0356522,0.873237,0.055157,0.006590,0.875002,89.568504,3.614217
77.0375977,0.812711,0.038317,-0.079807,0.817518,95.602180,2.699334
77.0396118,0.841265,-0.012935,-0.117147,0.849481,97.926620,359.119110
77.0415649,0.889345,-0.059550,0.000000,0.891336,90.000000,356.169220
77.0435486,0.968175,-0.018304,0.029531,0.968798,88.253235,358.916901
77.0455627,1.022844,0.034412,-0.018548,1.023591,91.038307,1.926905
77.0475464,1.072632,0.151560,-0.032460,1.083772,91.716301,8.042478
77.0494995,1.082150,0.230390,-0.298726,1.146021,105.109444,12.018843
77.0515137,1.061405,0.225997,-0.326549,1.133265,106.747147,12.020060
77.0534668,1.009909,0.233563,-0.140089,1.045989,97.696732,13.021916
77.0554276,0.955240,0.239176,-0.098111,0.989603,95.689751,14.056908
77.0574341,0.861278,0.312881,-0.112266,0.923200,96.984779,19.964855
77.0594254,0.677747,0.340216,-0.006345,0.758372,90.479416,26.655760
77.0613708,0.628936,0.331918,-0.006345,0.711175,90.511230,27.822643
77.0633850,0.519354,0.254796,-0.194026,0.610160,108.541489,26.132639
77.0653381,0.429297,0.201347,-0.021233,0.474644,92.563957,25.127350
77.0673523,0.413921,0.088837,0.002685,0.423355,89.636665,12.113213
77.0693130,0.372675,-0.001952,0.043930,0.375261,83.277191,359.699829
77.0712891,0.351931,-0.003417,0.104945,0.367260,73.396324,359.443756
77.0732422,0.355347,-0.061746,0.143994,0.388354,68.236267,350.142487
77.0752258,0.435886,-0.005613,-0.019769,0.436370,92.596527,359.262177
77.0771790,0.378533,0.078342,-0.256992,0.464187,123.617058,11.693034
77.0792007,0.467370,-0.078830,0.294577,0.558054,58.138695,350.426117
77.0812073,0.534974,-0.234783,0.560111,0.809348,46.207203,336.304840
77.0831985,0.911310,-0.018548,-0.201591,0.933525,102.471054,358.833984
77.0851746,1.089472,0.380241,-0.396837,1.220250,108.978271,19.239717
77.0871964,1.162933,0.334114,-0.148387,1.219042,96.991615,16.029531
77.0891418,1.280813,0.314102,-0.116415,1.323893,95.044769,13.779071
77.0911560,1.344511,0.169864,0.093718,1.358436,86.044044,7.200527
77.0931091,1.364768,0.185484,-0.006345,1.377329,90.263969,7.739560
77.0950928,1.301069,0.219163,-0.309709,1.355261,103.210144,9.561637
77.0970840,1.309855,0.221604,-0.490311,1.416063,110.258087,9.602489
77.0991211,1.362328,0.261141,-0.268951,1.412964,100.972939,10.851259
77.1010818,1.319618,0.084200,0.203788,1.337912,81.238731,3.650876
77.1030579,1.262020,-0.057353,0.173525,1.275184,82.179031,357.397949
77.1050797,1.180749,-0.163274,0.172793,1.204443,81.751740,352.127045
77.1070557,1.009909,-0.176209,0.071997,1.027691,85.982742,350.102631
77.1090088,0.907405,-0.214038,-0.167911,0.947307,100.209702,346.727692
77.1110229,0.768292,-0.258213,-0.357056,0.885684,113.774712,341.423187
77.1129761,0.763411,-0.218919,-0.280422,0.842234,109.447922,343.998962
77.1149673,0.830771,-0.208669,0.081271,0.860423,84.580063,345.900421
77.1169434,1.067018,-0.090057,0.135452,1.079345,82.790688,355.175629
77.1189880,1.177576,-0.007810,-0.008054,1.177630,90.391853,359.620026
77.1209412,1.369893,0.163030,-0.183775,1.391747,97.587860,6.786818
77.1229248,1.480695,0.387807,-0.402939,1.582786,104.748428,14.676605
77.1249390,1.497535,0.463953,-0.486406,1.641479,107.236816,17.213552
77.1269226,1.436765,0.492508,-0.225265,1.535448,98.436287,18.921162
77.1289368,1.377947,0.489823,-0.105189,1.466196,94.114082,19.568920
77.1309204,1.224191,0.510080,0.020013,1.326358,89.135460,22.619865
77.1328735,1.070191,0.418558,0.043198,1.149942,87.847145,21.360767
77.1348877,1.009909,0.391468,-0.162054,1.095182,98.509300,21.187670
77.1368484,0.930102,0.260653,-0.362669,1.031775,110.579109,15.655071
77.1388245,0.908137,0.166203,-0.281886,0.965296,106.978951,10.371227
77.1407776,0.889833,0.090301,-0.125201,0.903123,97.968666,5.794600
77.1427917,0.844194,-0.088837,-0.149851,0.861981,100.011459,353.992706
77.1447449,0.843462,-0.179382,-0.042710,0.863383,92.835480,347.993591
77.1467361,0.857129,-0.227705,-0.041002,0.887807,92.647034,345.122406
77.1487427,0.847855,-0.247230,-0.222824,0.910841,104.160309,343.743591
77.1507263,0.868844,-0.206716,-0.243081,0.925586,105.225807,346.616943
77.1526794,0.883243,-0.062967,-0.168644,0.901401,100.783035,355.922272
77.1546936,0.878362,0.003661,-0.125689,0.887317,98.143402,0.238797
77.1566467,0.864451,0.028555,-0.074193,0.868099,94.902855,1.891917
77.1586304,0.882023,0.106165,-0.150095,0.900979,99.589684,6.863402
77.1605835,0.939864,0.129350,-0.189388,0.967442,101.289238,7.836195
77.1625671,1.094109,0.148875,-0.110802,1.109736,95.730263,7.748627
77.1645813,1.225411,0.226729,-0.085664,1.249151,93.932312,10.482487
77.1665649,1.260068,0.394885,-0.148387,1.328805,96.411552,17.400141
77.1685181,1.242495,0.378289,-0.136916,1.306003,96.017715,16.933334
77.1705322,1.229072,0.311173,-0.056865,1.269126,92.568092,14.207443
77.1724854,1.163909,0.262362,0.096159,1.196981,85.392220,12.702966
77.1744385,1.094353,0.289940,0.001708,1.132111,89.913536,14.839123
77.1764221,1.050178,0.331430,-0.053449,1.102532,92.778671,17.515371
77.1784668,0.917655,0.247962,-0.019769,0.950772,91.191391,15.120937
77.1804199,0.851028,0.163274,0.064675,0.868959,85.731621,10.860538
77.1824036,0.746327,-0.081027,0.068580,0.753839,84.780327,353.803802
77.1844177,0.741934,-0.186216,0.087128,0.769892,83.501930,345.910553
77.1864014,0.790257,-0.186216,0.058086,0.813976,85.907875,346.740753
77.1883850,0.879826,-0.164251,0.075658,0.898219,85.168198,349.425446
77.1903992,0.942793,-0.088349,-0.051984,0.948350,93.142265,354.646484
77.1923523,0.948162,-0.085908,-0.084200,0.955762,95.054138,354.822845
77.1943359,0.940597,-0.160834,0.071265,0.956905,85.728989,350.296753
77.1963501,0.945234,-0.212330,0.166447,0.982983,80.251221,347.339691
77.1983337,0.935715,-0.087861,0.264314,0.976291,74.292130,354.635834
77.2002869,0.884463,-0.039537,-0.093962,0.890319,96.058136,357.440460
77.2023010,0.888612,0.010983,-0.204764,0.911965,102.975273,0.708096
