Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
48.3867416,1.017475,0.243325,-0.220872,1.069227,101.921509,13.449463
48.3887291,1.030654,0.188656,-0.263826,1.080482,104.133034,10.372887
48.3907394,1.057012,-0.000976,0.047835,1.058094,87.408844,359.947083
48.3927269,1.021624,-0.075414,0.253087,1.055204,76.122498,355.778229
48.3947105,0.978426,-0.067360,0.212818,1.003566,77.756798,356.061676
48.3967247,0.893005,0.074193,-0.139113,0.906816,98.824463,4.749386
48.3986778,0.834920,0.173525,-0.146434,0.865243,99.743675,11.740865
48.4006882,0.792942,0.129350,-0.190853,0.825780,103.362907,9.264889
48.4026451,0.710207,0.073705,-0.084688,0.719026,96.764076,5.924950
48.4046288,0.594523,-0.092254,-0.063943,0.605027,96.066704,351.179626
48.4066124,0.525943,-0.145946,0.018792,0.546141,88.028091,344.490967
48.4086571,0.405867,-0.006345,0.203788,0.454200,63.341366,359.104279
48.4106102,0.380973,0.010250,0.092742,0.392233,76.323151,1.541219
48.4125938,0.380729,0.093718,0.039781,0.394107,84.206673,13.828651
48.4146080,0.502270,0.098843,-0.053449,0.514686,95.960732,11.133144
48.4165916,0.569874,0.073705,-0.014399,0.574801,91.435471,7.369509
48.4185448,0.671646,0.057598,0.162786,0.693487,76.423958,4.901455
48.4208336,0.891785,0.157905,0.092986,0.910418,84.137856,10.041073
48.4231224,1.004540,0.290672,0.060282,1.047485,86.700836,16.138256
48.4244957,1.162689,0.377557,0.114951,1.227847,84.628105,17.990019
48.4265099,1.223947,0.342900,-0.003417,1.271078,90.154015,15.650721
48.4284935,1.297896,0.243569,-0.206716,1.336635,98.896751,10.628762
48.4304466,1.301801,0.204520,-0.228926,1.337506,99.855194,8.928494
48.4324303,1.203690,0.083468,0.159613,1.217092,82.464340,3.966715
48.4344444,1.014546,0.020989,0.343145,1.071211,71.316917,1.185166
48.4364281,0.939376,0.036365,0.275785,0.979698,73.650261,2.216890
48.4384422,0.841753,0.115927,0.160346,0.864696,79.313454,7.841507
48.4404259,0.822473,-0.008542,-0.030751,0.823092,92.141106,359.404968
48.4423790,0.829062,-0.056621,-0.100552,0.837055,96.899338,356.093018
48.4443626,0.823205,-0.159369,0.007810,0.838526,89.466354,349.043304
48.4463425,0.810758,-0.190609,0.235759,0.865588,74.194725,346.770050
48.4483299,0.834188,-0.118368,0.374872,0.922176,66.014343,351.923889
48.4502831,0.839801,-0.050032,0.520330,0.989198,58.263596,356.590607
48.4522667,0.812222,-0.033680,0.548885,0.980874,55.972740,357.625519
48.4542198,0.759018,0.122273,0.240152,0.805439,72.652687,9.151342
48.4562302,0.759018,0.194270,0.179382,0.803758,77.104164,14.356571
48.4581871,0.778055,0.220384,0.148875,0.822254,79.568657,15.814756
48.4601707,0.858837,0.189877,0.217699,0.906117,76.098412,12.466731
48.4621544,0.900083,0.184019,0.356812,0.985559,68.774483,11.554708
48.4641685,1.042124,0.139845,0.547664,1.185545,62.486874,7.642979
48.4661179,1.106556,0.214526,0.598916,1.276396,62.016029,10.971743
48.4681053,1.093865,0.211842,0.527408,1.232711,64.669197,10.960422
48.4700584,1.022112,0.095426,0.180846,1.042365,80.008835,5.333786
48.4720421,0.980378,0.014643,-0.060770,0.982369,93.546638,0.855736
48.4739952,0.979890,-0.165471,-0.026358,0.994112,91.519333,350.415070
48.4759789,1.126812,-0.223312,0.431493,1.227095,69.412453,348.790344
48.4779930,1.189291,-0.255040,0.601601,1.356975,63.682835,347.896423
48.4799767,1.189535,-0.402939,0.588422,1.386937,64.896156,341.286896
48.4819908,1.121931,-0.438327,0.349246,1.254126,73.830643,338.659943
48.4839745,0.925221,-0.528140,-0.029287,1.065750,91.574692,330.281158
48.4859276,0.775370,-0.473471,-0.161810,0.922798,100.098862,328.590149
48.4879112,0.771709,-0.435886,-0.136428,0.896741,98.750824,330.540833
48.4898643,0.819544,-0.351931,0.322888,0.948559,70.098869,336.760223
48.4918480,0.761703,-0.426612,0.450042,0.982205,62.729290,330.747833
48.4938011,0.729243,-0.434910,0.397081,0.937345,64.936447,329.188751
48.4957809,0.683604,-0.322888,0.272368,0.803589,70.187744,334.717163
48.4977989,0.642603,-0.232342,0.228194,0.720412,71.533257,340.121796
48.4997787,0.634793,-0.226729,-0.103724,0.682002,98.747948,340.344788
48.5017967,0.716064,-0.104456,-0.049788,0.725353,93.935829,351.700470
48.5037766,0.842242,-0.043930,0.145702,0.855880,80.198410,357.014221
48.5057335,1.008689,0.030263,0.345097,1.066518,71.120827,1.718496
48.5077171,1.090936,-0.009030,0.257969,1.121058,76.696350,359.525757
48.5097313,1.073852,-0.116171,0.179870,1.094992,80.545387,353.825653
48.5117149,0.990872,-0.237224,0.041734,1.019728,87.654434,346.536285
48.5136986,0.989652,-0.253087,0.000976,1.021502,89.945244,345.654999
48.5157127,1.001123,-0.290916,0.147899,1.052974,81.925644,343.796661
48.5176620,1.065554,-0.309709,0.209889,1.129326,79.289108,343.793243
48.5196800,1.106800,-0.340460,0.216479,1.178041,79.411057,342.901703
48.5216331,1.148777,-0.416118,0.257969,1.248756,78.077972,340.088287
48.5236168,1.160004,-0.498609,0.259677,1.289051,78.378349,336.740326
48.5256004,1.089716,-0.562796,0.241129,1.249945,78.877266,332.685394
48.5276451,0.818324,-0.501782,0.257969,0.993975,74.957695,328.484131
48.5295982,0.705081,-0.493240,0.307512,0.913777,70.334488,325.025299
48.5315819,0.642115,-0.384146,0.229658,0.782702,72.937378,329.109955
48.5335960,0.584761,-0.364377,0.367794,0.781018,61.906197,328.072052
48.5355797,0.568653,-0.364377,0.443696,0.808086,56.696762,327.349365
48.5375328,0.563040,-0.260165,0.253575,0.670075,67.763626,335.199677
48.5395470,0.552302,-0.187436,0.226485,0.625671,68.777702,341.254211
48.5414963,0.626495,-0.024162,0.123005,0.638913,78.899994,357.791412
48.5434532,0.718504,0.143506,-0.022697,0.733047,91.774330,11.294962
48.5454330,0.788793,0.177918,-0.037097,0.809460,92.626724,12.710752
48.5474510,0.886416,0.157905,0.085176,0.904391,84.595840,10.100646
48.5494347,0.996974,0.225753,0.315566,1.069815,72.844101,12.758791
48.5514488,1.000879,0.271880,0.320447,1.085524,72.830452,15.197175
48.5534019,1.000147,0.248694,0.089325,1.034467,85.046410,13.963845
48.5554161,1.014302,0.226973,0.017816,1.039540,89.017990,12.613443
48.5573692,1.043589,0.261629,-0.100796,1.080596,95.352211,14.074070
48.5593529,1.041392,0.123493,-0.047103,1.049746,92.571777,6.762808
48.5613060,1.059697,0.055157,0.068580,1.063345,86.302162,2.979542
48.5632896,1.022112,0.020013,0.395861,1.096275,68.832458,1.121694
48.5652428,1.003563,0.065407,0.334847,1.059972,71.584763,3.728984
48.5672264,0.890321,-0.007078,-0.012935,0.890443,90.832336,359.544525
48.5691795,0.838337,-0.015864,-0.146922,0.851262,99.938660,358.915924
48.5711937,0.853468,0.001220,-0.144726,0.865653,99.624306,0.081921
48.5731468,0.900815,0.013911,-0.128130,0.909989,98.094376,0.884747
48.5751305,0.900083,-0.040758,-0.048323,0.902300,93.069984,357.407318
48.5770836,0.867624,-0.112999,-0.048323,0.876284,93.161217,352.579620
48.5790672,0.874701,-0.125934,-0.049544,0.885108,93.208786,351.807251
48.5810814,0.924733,-0.077122,-0.062967,0.930077,93.881927,355.232605
48.5830650,1.081662,0.075658,-0.061258,1.086033,93.233521,4.001085
48.5865402,1.430908,0.262606,-0.171328,1.464859,96.716621,10.399416
48.5870934,1.430908,0.262606,-0.171328,1.464859,96.716621,10.399416
48.5893784,1.514375,0.251867,-0.125445,1.540294,94.671486,9.442856
48.5910912,1.414800,0.203544,-0.025626,1.429596,91.027100,8.186826
48.5930405,1.339630,0.174257,-0.005369,1.350927,90.227722,7.411326
48.5950279,1.077025,0.186948,0.117392,1.099415,83.870476,9.847177
48.5969810,1.008933,0.155464,-0.009274,1.020882,90.520508,8.759700
48.5989647,1.001855,0.018792,-0.221848,1.026296,102.483818,1.074606
48.6009789,1.067018,0.039781,-0.282374,1.104466,104.813042,2.135153
48.6029625,1.062381,0.061746,-0.232831,1.089347,102.341270,3.326337
48.6049156,0.988920,0.020501,-0.244545,1.018914,103.886887,1.187600
48.6068993,0.897398,-0.032460,-0.206716,0.921471,102.963661,357.928467
48.6088524,0.678723,-0.096159,-0.094450,0.691977,97.844971,351.936249
48.6108360,0.512276,-0.111534,-0.036609,0.525554,93.994293,347.717102
48.6127892,0.473471,-0.088349,-0.102016,0.492329,101.958961,349.430267
48.6147728,0.465417,-0.070777,-0.186948,0.506529,111.658646,351.353210
48.6167526,0.547176,-0.072241,-0.266022,0.612690,115.733627,352.479034
48.6187401,0.816372,-0.080295,-0.267731,0.862896,108.075508,354.382690
48.6206932,1.158540,-0.004393,-0.177186,1.172019,98.695305,359.782745
48.6226768,1.266169,0.034900,-0.029287,1.266989,91.324532,1.578879
48.6246300,1.309855,0.149119,0.042222,1.318992,88.165604,6.494810
48.6266136,1.367453,0.185728,-0.103724,1.383901,94.298393,7.734591
48.6285667,1.360619,0.219652,-0.075414,1.380297,93.131966,9.170424
48.6305809,1.200274,0.210865,-0.163274,1.229544,97.630989,9.964109
48.6325302,1.078977,0.191585,-0.182311,1.110916,99.445450,10.068592
48.6345177,0.754625,0.143750,-0.195490,0.792678,104.277550,10.785150
48.6364708,0.449309,0.122273,-0.256748,0.531742,118.871315,15.223514
48.6384544,0.400986,0.128130,-0.242105,0.485615,119.904312,17.720627
48.6404381,0.550593,0.107873,-0.260653,0.618651,114.918259,11.085091
48.6423912,0.728755,0.108605,-0.247962,0.777409,108.600037,8.476337
48.6444054,0.993557,0.151071,-0.339972,1.060924,108.690071,8.645664
48.6463890,1.144628,0.191341,-0.387807,1.223593,108.478043,9.490056
48.6483421,1.144384,0.202079,-0.297262,1.199507,104.348549,10.014254
48.6503258,1.249329,0.222580,-0.318983,1.308478,104.109840,10.101813
48.6523399,1.267633,0.250159,-0.286767,1.323521,102.513512,11.163483
48.6543236,1.370137,0.319227,-0.354127,1.450720,104.128914,13.115308
48.6563377,1.297164,0.334602,-0.439303,1.409816,108.155869,14.464100
48.6583214,1.258115,0.342900,-0.459316,1.382536,109.403999,15.245714
48.6602745,1.168058,0.444428,-0.437107,1.323986,109.277542,20.831057
48.6622887,1.108508,0.555718,-0.394641,1.301289,107.654045,26.625570
48.6642418,1.051643,0.534241,-0.393420,1.243441,108.445137,26.930866
48.6662254,1.055304,0.408552,-0.232098,1.155184,101.590706,21.163488
48.6681786,1.107776,0.363401,-0.173281,1.178666,98.453934,18.161861
48.6701889,1.246889,0.447357,-0.105677,1.328919,94.561028,19.736902
48.6721458,1.259579,0.460048,-0.257969,1.365552,100.889267,20.064180
48.6741295,1.236882,0.416850,-0.342656,1.349465,104.709618,18.624670
48.6760788,1.265925,0.362181,-0.289696,1.348208,102.408180,15.965817
48.6780968,1.287646,0.369747,-0.207937,1.355722,98.822685,16.021385
48.6800499,1.245424,0.340216,-0.259677,1.316913,101.372452,15.278868
48.6820335,1.152926,0.303607,-0.158881,1.202772,97.590729,14.753115
48.6839867,1.172695,0.285303,-0.134720,1.214397,96.369240,13.673741
48.6859665,1.257383,0.305316,-0.027823,1.294219,91.231812,13.648318
48.6879234,1.246156,0.278957,-0.004637,1.277006,90.208054,12.617887
48.6899376,1.159760,0.281886,-0.031483,1.193941,91.511024,13.661152
48.6918907,1.121199,0.320447,-0.256016,1.193867,102.382835,15.950337
48.6938744,1.108020,0.368038,-0.253087,1.194660,102.230721,18.374350
48.6958275,1.022844,0.343389,-0.120808,1.085689,96.388733,18.557901
48.6978111,0.930102,0.371455,-0.085420,1.005169,94.874916,21.770298
48.6998253,0.893738,0.369259,-0.073217,0.969783,94.329865,22.448565
48.7018089,0.953776,0.502514,-0.116171,1.084299,96.150444,27.783308
48.7037621,0.992337,0.523503,-0.158881,1.133151,98.060112,27.813684
48.7057419,1.056280,0.505687,-0.233563,1.194151,101.279129,25.582447
48.7076988,1.213453,0.381950,-0.346561,1.318506,105.238884,17.472057
48.7097130,1.307415,0.379021,-0.304095,1.394799,102.592819,16.166929
48.7116661,1.398204,0.233563,-0.150583,1.425553,96.063553,9.483404
48.7136497,1.460683,0.176453,0.169376,1.481019,83.433037,6.888068
48.7156029,1.479963,0.122761,0.016352,1.485136,89.369141,4.741746
48.7175865,1.466540,0.034412,-0.100796,1.470402,93.930687,1.344187
48.7196007,1.466784,0.072241,-0.170596,1.478438,96.626083,2.819610
48.7215843,1.370381,0.148143,-0.558891,1.487364,112.071266,6.169903
48.7235374,1.215161,0.051252,-0.356080,1.267295,106.318466,2.415141
48.7255173,1.140724,-0.006101,-0.220872,1.161926,100.958099,359.693542
48.7274742,1.080685,-0.009762,-0.018548,1.080889,90.983261,359.482422
48.7294540,1.059209,0.027334,0.108605,1.065113,84.147598,1.478273
48.7314072,1.032118,0.123249,-0.029287,1.039863,91.613899,6.809649
48.7334251,0.940353,0.167911,-0.465661,1.062684,115.988670,10.124156
48.7353783,0.904964,0.151315,-0.571338,1.080872,121.910233,9.492389
48.7373619,0.902524,0.261385,-0.222824,0.965672,103.340958,16.151861
48.7393761,0.962562,0.371699,-0.070777,1.034261,93.923935,21.114376
48.7413597,0.986723,0.388783,-0.153756,1.071642,98.249100,21.505154
48.7433128,1.064334,0.320447,-0.131303,1.119256,96.737030,16.755880
48.7453270,1.102162,0.318983,-0.169376,1.159828,98.397232,16.141260
48.7472801,1.122663,0.344121,-0.410748,1.243988,109.280113,17.041441
48.7492638,1.063357,0.345097,-0.451506,1.205686,111.992210,17.980072
48.7531090,0.914483,0.111534,0.006101,0.921279,89.620537,6.953692
48.7533226,0.914483,0.111534,0.006101,0.921279,89.620537,6.953692
48.7556114,0.748035,0.148387,0.398790,0.860586,62.393742,11.220031
48.7573204,0.700200,0.178650,0.279201,0.774693,68.875076,14.313147
48.7592735,0.419778,0.138136,-0.240152,0.502960,118.520813,18.214813
48.7612572,0.299214,0.098599,-0.358764,0.477454,138.712692,18.238443
48.7632103,0.042954,0.035388,-0.293357,0.298589,169.257813,39.483868
48.7651939,-0.000732,0.013911,-0.102748,0.103688,172.278946,93.012787
48.7671471,0.103724,0.040514,-0.040514,0.118497,109.992439,21.335033
48.7691612,0.429053,0.164495,0.013423,0.459701,88.326736,20.976336
48.7711143,0.592327,0.204276,0.159857,0.646633,75.687218,19.027786
48.7730980,0.868844,0.273832,0.072973,0.913892,85.420128,17.493212
48.7750511,1.088983,0.384634,-0.266999,1.185376,103.017212,19.453468
48.7770348,1.129009,0.418070,-0.311661,1.243614,104.513565,20.319508
48.7790184,1.215893,0.445160,-0.257724,1.320222,101.257164,20.108589
48.7810020,1.261532,0.427100,-0.074193,1.333935,93.188431,18.703880
48.7830162,1.352565,0.272124,0.286279,1.409056,78.277557,11.375527
48.7850304,1.367209,0.186216,0.185972,1.392308,82.324020,7.756037
48.7869835,1.360131,0.226973,0.186948,1.391554,82.279274,9.473991
48.7889671,1.192708,0.312149,0.149363,1.241893,83.092285,14.666203
48.7909813,0.898619,0.169864,-0.267243,0.952779,106.289307,10.704190
48.7929649,0.706058,0.081271,-0.322400,0.780425,114.400192,6.566158
48.7949448,0.513985,-0.132035,-0.039537,0.532143,94.260895,345.593079
48.7969627,0.609655,-0.172548,0.360961,0.729208,60.330021,344.197083
48.7989159,0.751940,-0.023918,0.431249,0.867158,60.177578,358.178162
48.8009300,0.996242,0.031239,0.411481,1.078327,67.567703,1.796045
48.8028831,1.084102,0.007810,0.210865,1.104447,78.993286,0.412749
48.8048668,1.118758,0.039781,-0.167179,1.131880,98.493690,2.036492
48.8068199,1.041636,0.164251,-0.173769,1.068728,99.357491,8.960906
48.8088303,0.969639,0.231122,-0.167667,1.010807,99.548058,13.406795
48.8107872,0.831015,0.303607,-0.058086,0.886644,93.756241,20.069529
48.8127708,0.769512,0.280178,0.127154,0.828744,81.174278,20.006449
48.8147850,0.649680,0.288232,0.293113,0.768815,67.588715,23.924536
48.8167686,0.704837,0.346317,0.144238,0.798458,79.592644,26.166895
48.8187523,0.747547,0.387319,0.020013,0.842166,88.638329,27.389555
48.8207664,0.766340,0.401474,-0.060770,0.867266,94.018066,27.649385
48.8227158,0.680920,0.366574,-0.182311,0.794522,103.265259,28.295856
48.8247032,0.646508,0.292381,-0.179138,0.731812,104.169235,24.334677
48.8266563,0.567433,0.261141,0.036609,0.625712,86.645874,24.712599
48.8286667,0.590130,0.213062,0.194514,0.656875,72.775307,19.851721
48.8306236,0.624542,0.182311,0.098599,0.658037,81.382439,16.273102
48.8326035,0.709230,0.083224,0.018792,0.714344,88.492531,6.692677
48.8346214,0.744619,0.019281,0.003417,0.744876,89.737183,1.483237
48.8366013,0.893494,-0.102260,-0.148143,0.911446,99.354126,353.470917
48.8385887,0.980134,-0.119588,-0.082491,0.990842,94.775620,353.043610
48.8406029,1.147313,-0.015376,0.029775,1.147802,88.513535,359.232208
48.8425522,1.225655,-0.054669,0.154488,1.236562,82.823074,357.446075
48.8445396,1.259824,-0.115927,0.170596,1.276596,82.320389,354.742523
48.8464890,1.276175,-0.223556,0.122029,1.301342,84.619392,350.063934
48.8484764,1.314980,-0.218675,-0.057598,1.334283,92.474075,350.558380
48.8504295,1.321570,-0.020989,-0.143018,1.329452,96.175621,359.090118
48.8524132,1.319862,0.107629,-0.161566,1.334062,96.956062,4.661919
48.8544273,1.260800,0.087617,-0.094938,1.267401,94.295929,3.975255
48.8564110,1.079709,-0.057353,-0.051496,1.082457,92.726776,356.959351
48.8583946,0.813687,-0.165227,0.166691,0.846860,78.648102,348.521606
48.8604088,0.646996,-0.169376,0.154976,0.686520,76.953484,345.329865
48.8623619,0.196954,-0.201591,0.084688,0.294282,73.275047,314.333405
