Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
61.2956772,1.258115,-0.137648,-0.168399,1.276777,97.579071,353.756195
61.2976265,1.250793,-0.103480,0.308244,1.292365,76.201279,355.270599
61.2996101,1.134378,0.045639,0.603310,1.285643,62.013302,2.303902
61.3016243,1.015522,0.118612,0.110802,1.028412,83.814896,6.661896
61.3036079,0.932055,0.117880,-0.331186,0.996145,109.418594,7.208093
61.3055649,0.973788,0.080051,-0.666276,1.182623,124.290482,4.699462
61.3075447,0.984527,0.147655,-0.263338,1.029778,104.816429,8.529377
61.3094978,0.994045,0.196710,-0.316298,1.061539,107.335228,11.193561
61.3114815,0.904964,0.195978,-0.362181,0.994255,111.362892,12.219219
61.3134346,0.910822,0.161078,-0.243081,0.956363,104.724548,10.028998
61.3154526,0.751940,0.154732,-0.276029,0.815811,109.776306,11.627861
61.3174019,0.694831,0.079563,-0.326793,0.771955,115.045097,6.532289
61.3193893,0.639430,0.110802,-0.118856,0.659753,100.378616,9.830733
61.3213997,0.616489,0.379509,0.251135,0.766260,70.868263,31.616360
61.3233833,0.547909,0.399278,0.174257,0.699994,75.585175,36.081966
61.3253403,0.523015,0.308976,-0.015620,0.607663,91.472923,30.572922
61.3273201,0.395373,0.157417,-0.250891,0.494010,120.521782,21.709883
61.3292770,0.456387,0.218919,-0.276029,0.576547,118.604561,25.626064
61.3312569,0.524235,0.182311,-0.113243,0.566466,101.531738,19.175905
61.3332100,0.649924,0.127398,-0.160590,0.681484,103.629753,11.090472
61.3352280,0.869820,0.125201,-0.365354,0.951707,112.575043,8.190861
61.3371773,0.959633,-0.104456,-0.357056,1.029221,110.298950,353.787781
61.3391647,0.943525,-0.277249,-0.205496,1.004657,101.802788,343.624908
61.3411446,0.909357,-0.386099,0.004149,0.987937,89.759377,336.994690
61.3431282,1.022112,-0.294821,0.026602,1.064114,88.567490,343.910156
61.3451424,1.095573,-0.192317,0.047591,1.113342,87.550079,350.043732
61.3471565,1.187583,-0.158149,-0.036853,1.198633,91.761871,352.414612
61.3491135,1.182457,-0.100796,-0.021477,1.186940,91.036797,355.127747
61.3510933,1.162201,-0.157173,-0.351198,1.224236,106.670746,352.298187
61.3531113,1.222239,-0.162054,-0.191341,1.247694,98.821442,352.447327
61.3550911,1.267877,-0.123249,-0.033924,1.274305,91.525482,354.447784
61.3570747,1.311808,0.157173,-0.100063,1.324974,94.331161,6.832265
61.3590889,1.269586,0.299702,-0.362181,1.353826,105.516983,13.282257
61.3610420,1.254942,0.233807,-0.382438,1.332593,106.677689,10.553709
61.3630562,1.389662,0.197930,-0.271392,1.429682,100.942665,8.106152
61.3650093,1.384049,0.222092,-0.050032,1.402647,92.044144,9.116282
61.3669968,1.348416,0.231854,0.037097,1.368707,88.446899,9.756359
61.3689461,1.305950,0.229170,-0.289940,1.357236,102.334892,9.952995
61.3709602,1.231513,0.158149,-0.352663,1.290738,105.856293,7.317790
61.3729134,1.082150,-0.047591,-0.231366,1.107630,102.056969,357.481842
61.3748970,0.938644,-0.068092,-0.064919,0.943347,93.946098,355.850861
61.3769112,0.894470,-0.114219,0.146678,0.913585,80.761024,352.723022
61.3788948,0.822473,-0.173769,0.041246,0.841640,87.191025,348.070221
61.3808823,0.764143,-0.232831,0.096159,0.804594,83.136063,343.054291
61.3828926,0.687997,-0.152048,-0.128130,0.716154,100.306519,347.537933
61.3848457,0.732904,-0.009762,-0.287255,0.787248,111.400543,359.236877
61.3868294,0.768536,0.025870,-0.118124,0.777991,98.733086,1.927933
61.3887825,0.852248,-0.030263,-0.030019,0.853313,92.016045,357.966309
61.3907967,0.878118,0.006345,-0.029531,0.878637,91.926071,0.414026
61.3927498,1.001855,0.215991,-0.267243,1.059143,104.614822,12.166229
61.3947334,0.950115,0.196954,-0.365354,1.036819,110.632935,11.711267
61.3967476,0.897643,0.209401,-0.244789,0.953694,104.872856,13.131068
61.3987312,0.761459,0.116171,-0.087128,0.775181,96.453537,8.674391
61.4007454,0.756577,0.128374,-0.133987,0.779001,99.904076,9.630082
61.4027290,0.742422,0.123737,-0.185728,0.775239,103.861427,9.462321
61.4046822,0.765608,0.037585,-0.131791,0.777777,99.755592,2.810479
61.4066658,0.747303,-0.007322,-0.172304,0.766945,102.983078,359.438660
61.4086189,0.729975,-0.024406,-0.294089,0.787368,111.932198,358.085114
61.4106026,0.678967,0.055889,-0.193781,0.708288,105.878090,4.705686
61.4126167,0.602821,0.100308,-0.028799,0.611788,92.698090,9.447275
61.4146004,0.409284,0.133743,0.072973,0.436722,80.381157,18.096048
61.4166145,0.518622,-0.066384,-0.049788,0.525218,95.439484,352.705811
61.4185982,0.574999,-0.135208,-0.080295,0.596114,97.741104,346.767609
61.4205513,0.642603,-0.191341,-0.094206,0.677070,97.997955,343.418610
61.4225388,0.695563,-0.141553,-0.024162,0.710232,91.949547,348.496887
61.4244881,0.740714,0.028067,0.011959,0.741342,89.075706,2.169971
61.4265022,0.748768,0.113487,-0.296041,0.813125,111.350883,8.618414
61.4285164,0.685313,0.084932,-0.415385,0.805861,121.027901,7.064737
61.4305000,0.707278,-0.008054,-0.403183,0.814164,119.683632,359.347595
