Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
27.2703629,0.390248,-0.215747,-0.116415,0.460860,104.631676,331.064178
27.2723465,0.416606,-0.165471,-0.162054,0.476658,109.875656,338.337616
27.2743301,0.436862,-0.150827,-0.167423,0.491557,109.913307,340.952698
27.2763138,0.457851,-0.191097,-0.132767,0.513588,104.981598,337.345459
27.2783279,0.513740,-0.179382,-0.248938,0.598396,114.582916,340.752411
27.2803116,0.599649,-0.152048,-0.252599,0.668209,112.211357,345.771881
27.2823277,0.787817,-0.143750,-0.356812,0.876718,114.015625,349.659241
27.2843094,0.918143,-0.125934,-0.369991,0.997868,111.763824,352.189972
27.2862625,1.022600,-0.072729,-0.261385,1.057980,104.303642,355.931885
27.2882767,1.192220,0.144238,-0.332894,1.246198,105.493416,6.898268
27.2902298,1.263728,0.207693,-0.395129,1.340251,107.146561,9.333079
27.2922153,1.432128,0.237224,-0.275053,1.477471,100.729027,9.405311
27.2941971,1.543418,0.309465,-0.226973,1.590416,98.204872,11.337808
27.2962132,1.555865,0.312149,-0.319471,1.618708,101.382721,11.344496
27.2981644,1.545370,0.217211,-0.256016,1.581422,99.316605,8.000848
27.3001480,1.528775,0.161322,-0.178162,1.547552,96.610825,6.023766
27.3021622,1.515352,0.053449,-0.350222,1.556214,103.005669,2.020064
27.3041458,1.485088,0.071753,-0.256016,1.508701,99.769966,2.766125
27.3061008,1.428711,0.005613,-0.161810,1.437856,96.461502,0.225110
27.3081131,1.294968,-0.086884,-0.139845,1.305392,96.149818,356.161560
27.3100662,1.123884,-0.113487,-0.159613,1.140820,98.042709,354.233978
27.3120499,1.066042,-0.153268,-0.137404,1.085733,97.270523,351.818481
27.3140335,1.036755,-0.101284,-0.175233,1.056327,99.548889,354.420319
27.3160477,1.025773,-0.062723,-0.209645,1.048854,101.529953,356.500916
27.3180008,1.012594,0.016352,-0.274320,1.049221,105.156204,0.925159
27.3199863,1.063357,0.016352,-0.440767,1.151205,112.511871,0.880999
27.3219986,1.069703,0.040269,-0.450774,1.161500,112.836090,2.155907
27.3239822,1.139015,0.166203,-0.389027,1.215040,108.673607,8.301903
27.3259964,1.147801,0.287499,-0.319227,1.225565,105.098145,14.062039
27.3279800,1.173915,0.401718,-0.255528,1.266787,101.637169,18.891138
27.3299637,1.144628,0.431493,-0.386587,1.282891,107.538116,20.655054
27.3319778,1.125348,0.434178,-0.423195,1.278285,109.333420,21.097439
27.3339310,1.050422,0.421975,-0.290672,1.168735,104.401001,21.886280
27.3359451,0.923513,0.293601,-0.109582,0.975236,96.451622,17.636375
27.3379002,0.850295,0.190365,-0.077854,0.874816,95.105797,12.619321
27.3399124,0.703617,0.079075,0.077854,0.712314,83.725166,6.412163
27.3418655,0.661151,-0.026358,0.145702,0.677528,77.581566,357.716980
27.3438492,0.483721,-0.181823,0.018548,0.517098,87.944351,339.399628
27.3458633,0.461512,-0.189632,-0.060770,0.502640,96.944168,337.662537
27.3478470,0.430761,-0.234051,-0.063211,0.494298,97.347107,331.482880
27.3498306,0.421487,-0.307268,-0.016352,0.521855,91.795601,323.907593
