Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
37.4180565,0.651633,0.226241,-0.259433,0.736964,110.611481,19.146542
37.4200096,0.693855,0.210377,-0.279201,0.776947,111.060722,16.867348
37.4219933,0.794406,0.175721,-0.205984,0.839279,104.207253,12.472881
37.4239464,0.939376,0.205496,-0.148387,0.972972,98.772339,12.339531
37.4259567,1.000391,0.190121,-0.132767,1.026915,97.428413,10.760530
37.4278831,1.122663,0.217943,-0.152780,1.153782,97.609253,10.986205
37.4298973,1.214673,0.211842,-0.269927,1.262208,102.348267,9.893010
37.4318810,1.280568,0.143262,-0.281886,1.319030,102.339691,6.383334
37.4338646,1.287646,0.135696,-0.219163,1.313194,99.607246,6.015790
37.4358444,1.284717,0.106409,-0.179626,1.301571,97.932549,4.734816
37.4378624,1.269586,0.057353,-0.135452,1.278079,96.083679,2.586574
37.4398155,1.248597,-0.003661,-0.261873,1.275768,101.845139,359.832001
37.4417953,1.270074,-0.040269,-0.232831,1.291867,100.383041,358.183960
37.4437523,1.189047,0.000732,-0.194514,1.204852,99.290596,0.035281
37.4457321,1.148777,-0.014155,-0.231854,1.172027,101.409706,359.294037
37.4477196,1.067506,-0.010739,-0.176453,1.082045,99.385368,359.423645
37.4497299,0.992337,0.000488,-0.308488,1.039181,107.268929,0.028183
37.4517174,0.936692,0.024650,-0.310929,0.987257,108.357330,1.507436
37.4537010,0.859570,0.015864,-0.153268,0.873271,100.108345,1.057298
37.4556541,0.866403,0.043442,-0.076634,0.870870,95.048386,2.870455
37.4576683,0.876166,0.118856,-0.087861,0.888545,95.674759,7.725279
37.4596176,0.882755,0.204032,-0.158881,0.919853,99.946281,13.014283
37.4616051,0.880070,0.246498,-0.195490,0.934613,102.073517,15.646962
37.4635582,0.869332,0.303607,-0.195734,0.941396,102.000412,19.251347
37.4655418,0.823693,0.310441,-0.136184,0.890724,98.794518,20.650867
37.4675255,0.792942,0.321179,-0.124713,0.864561,98.293869,22.050297
37.4695053,0.715820,0.308244,-0.132767,0.790595,99.667679,23.297537
37.4714584,0.680432,0.293357,-0.143018,0.754652,100.924461,23.322489
37.4734764,0.605506,0.256016,-0.160346,0.676678,103.707199,22.919292
37.4754295,0.517889,0.184507,-0.268219,0.611714,116.006378,19.609341
37.4774132,0.471763,0.140577,-0.309709,0.581585,122.176216,16.593132
37.4793663,0.418558,0.051252,-0.240396,0.485395,119.686867,6.981058
37.4813499,0.399278,0.015376,-0.153756,0.428135,111.046745,2.205288
37.4833641,0.364622,-0.079807,-0.170840,0.410493,114.593834,347.654053
37.4853439,0.359252,-0.116659,-0.254796,0.455623,124.002205,342.009918
37.4873009,0.353151,-0.143506,-0.265778,0.464702,124.885162,337.885254
37.4892807,0.355103,-0.187436,-0.324596,0.516327,128.951645,332.173340
37.4912682,0.357788,-0.209645,-0.313370,0.519773,127.077667,329.631897
37.4932518,0.370479,-0.254308,-0.272368,0.525463,121.220894,325.533142
37.4952049,0.394152,-0.266022,-0.252111,0.538223,117.931381,325.983704
37.4971886,0.421243,-0.252111,-0.258701,0.554916,117.787788,329.099731
37.4992027,0.476400,-0.215747,-0.282862,0.594571,118.407677,335.635712
37.5011864,0.533997,-0.156441,-0.326549,0.645183,120.406624,343.671448
37.5031662,0.556451,-0.140821,-0.322400,0.658338,119.321999,345.798309
37.5051842,0.620394,-0.124469,-0.264070,0.685648,112.652374,348.655396
37.5071373,0.647972,-0.113243,-0.170840,0.679616,104.559036,350.086853
37.5091171,0.671646,-0.087372,-0.127642,0.689227,100.672546,352.588165
37.5111046,0.699468,-0.066872,-0.185728,0.726789,104.805908,354.538910
37.5130882,0.703617,-0.064187,-0.181335,0.729438,104.394386,354.787659
37.5150719,0.727047,-0.051496,-0.192073,0.753751,104.763092,355.948547
37.5170860,0.727535,-0.054913,-0.228194,0.764457,107.367783,355.683624
37.5190392,0.720213,-0.097135,-0.258457,0.771325,109.577492,352.318909
37.5210495,0.715576,-0.134231,-0.235027,0.765052,107.890816,349.375610
37.5230026,0.719481,-0.154000,-0.241861,0.774510,108.196442,347.918518
37.5250206,0.736809,-0.189144,-0.246742,0.799715,107.971100,345.602631
37.5269394,0.813687,-0.198907,-0.203788,0.862079,103.673645,346.263367
37.5289574,0.877874,-0.179138,-0.217943,0.922091,103.671654,348.466614
37.5309372,1.055059,-0.093962,-0.169376,1.072692,99.084900,354.910736
37.5329247,1.157075,-0.052472,-0.148143,1.167700,97.288597,357.403473
37.5349083,1.390882,0.022697,-0.178894,1.402523,97.328125,0.934907
37.5369225,1.644946,0.109582,-0.117636,1.652783,94.081436,3.811254
37.5388756,1.771123,0.140089,-0.088105,1.778838,92.838982,4.522454
37.5408859,2.080832,0.173769,-0.145702,2.093152,93.991531,4.773652
37.5428429,2.306341,0.141553,-0.229658,2.322066,95.675972,3.512161
37.5448227,2.166496,0.241617,-0.382438,2.213220,99.950478,6.363568
37.5467491,2.022990,0.060038,0.030507,2.024111,89.136414,1.699919
37.5487633,2.003954,0.013179,0.149607,2.009574,85.730545,0.376803
37.5507469,1.941964,0.008786,-0.274808,1.961331,98.054398,0.259223
37.5527306,1.842388,-0.004149,-0.104701,1.845365,93.252541,359.870972
37.5547104,1.758188,-0.125689,0.080051,1.764492,87.399734,355.910980
37.5567284,1.760385,-0.084444,0.112510,1.765997,86.347252,357.253693
37.5586815,1.738664,-0.102260,0.068824,1.743028,87.737068,356.634003
37.5606613,1.723044,-0.154244,-0.212330,1.742916,96.997406,354.884613
37.5626183,1.649095,-0.127398,-0.241861,1.671598,98.319229,355.582489
37.5645981,1.599795,-0.091766,-0.145458,1.609013,95.186737,356.717072
37.5665855,1.372090,0.000000,-0.138869,1.379099,95.779198,0.000000
37.5685959,1.268854,0.023429,-0.154732,1.278468,96.951515,1.057851
37.5705490,1.026261,0.125689,-0.363889,1.096095,109.389427,6.982427
37.5725670,0.803681,0.242837,-0.293601,0.889423,109.275002,16.812511
37.5745201,0.690194,0.266511,-0.210865,0.769324,105.907898,21.113501
37.5765038,0.455655,0.336555,-0.251379,0.619743,113.929848,36.450245
37.5784569,0.341192,0.375360,-0.247230,0.564296,115.984070,47.730019
37.5804710,0.156197,0.440279,-0.048567,0.469683,95.935257,70.466988
37.5824242,0.022941,0.432714,0.070044,0.438946,80.817818,86.965164
37.5844078,0.002441,0.436862,-0.020989,0.437373,92.750603,89.679916
37.5863914,0.010983,0.522038,-0.189144,0.555356,109.912346,88.794800
37.5884056,0.349734,0.519354,-0.423195,0.755736,124.054268,56.043587
37.5903587,0.432958,0.475668,-0.509347,0.820455,128.375366,47.691212
37.5923691,0.563040,0.240885,-0.510080,0.797007,129.791351,23.162613
37.5943222,0.583541,0.282618,-0.407332,0.765710,122.138367,25.841656
37.5963402,0.538634,0.214038,-0.553766,0.801621,133.694077,21.671488
37.5982933,0.486650,0.041490,-0.577195,0.756111,139.762512,4.873012
37.6003075,0.471519,0.013179,-0.541319,0.718004,138.931259,1.601018
37.6022568,0.496901,-0.042954,-0.516669,0.718124,136.010788,355.059418
