Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
59.5158272,0.845414,0.057109,0.117147,0.855401,82.128578,3.864571
59.5178108,0.801972,0.075170,0.238444,0.840039,73.509956,5.354745
59.5197983,0.827110,0.066384,0.170840,0.847174,78.366028,4.588704
59.5217819,0.840045,0.054425,0.219896,0.870053,75.360397,3.706893
59.5237350,0.774882,0.064919,0.041734,0.778716,86.927872,4.789029
59.5257149,0.806853,0.034168,-0.134231,0.818656,99.437157,2.424870
59.5276985,0.881047,0.018304,0.043930,0.882331,87.146126,1.190184
59.5296860,0.973300,-0.114707,0.170108,0.994690,80.153099,353.278503
59.5316696,1.035779,-0.159613,0.130327,1.056077,82.911270,351.239624
59.5336838,1.163421,-0.294577,0.291892,1.235121,76.330147,345.791382
59.5356369,1.229805,-0.323376,0.316786,1.310475,76.011093,345.267639
59.5376205,1.371358,-0.187436,0.282618,1.412667,78.459526,352.217102
59.5396004,1.428955,-0.154244,0.184507,1.449050,82.684685,353.839233
59.5415840,1.421145,-0.204520,0.180358,1.447070,82.840210,351.810669
59.5435371,1.361840,-0.291892,0.051740,1.393731,87.872490,347.902435
59.5455246,1.343535,-0.345585,-0.020501,1.387421,90.846642,345.575043
59.5475349,1.392591,-0.398057,0.288964,1.476908,78.717041,344.047974
59.5495224,1.498512,-0.163762,0.418802,1.564529,74.473389,353.763275
59.5515060,1.488749,-0.155464,0.330942,1.532992,77.532867,354.038422
59.5535202,1.407478,-0.196954,0.269439,1.446507,79.264885,352.034088
59.5554695,1.292283,-0.185239,0.233319,1.326178,79.867027,351.842621
59.5574570,1.233953,-0.047347,0.255284,1.260973,78.319740,357.802612
59.5594368,1.046273,0.082003,0.527164,1.174442,63.329235,4.481481
59.5614548,0.932055,0.133743,0.572314,1.101888,58.708366,8.165806
59.5634079,0.730219,0.129350,0.492752,0.890368,56.397739,10.045117
59.5653915,0.552058,0.091521,0.103480,0.569080,79.523170,9.413025
59.5674057,0.457607,0.100552,0.047591,0.470935,84.199974,12.392844
59.5693893,0.375116,0.065163,-0.012447,0.380937,91.872444,9.854795
59.5713692,0.386831,0.022697,0.070777,0.393907,79.648964,3.357985
59.5733871,0.490555,-0.034900,0.250159,0.551762,63.039177,355.930603
59.5753403,0.710451,-0.063211,0.347049,0.793208,64.053841,354.915619
59.5773201,0.866647,-0.032704,0.387807,0.950022,65.907654,357.838928
59.5793037,1.206863,0.031239,0.375116,1.264202,72.739197,1.482755
59.5812912,1.519500,0.014399,0.309709,1.550809,78.480125,0.542941
59.5832405,1.635184,-0.031727,0.353151,1.673185,77.815224,358.888428
59.5852280,1.771123,-0.018304,0.449309,1.827318,75.765884,359.407867
59.5872383,1.778201,-0.030995,0.508127,1.849636,74.054825,359.001404
59.5892258,1.711329,0.016596,0.356080,1.748061,78.246605,0.555618
59.5912056,1.466540,-0.059062,-0.061746,1.469027,92.408981,357.693787
59.5932236,1.325231,-0.083956,-0.181823,1.340278,97.796806,356.375061
59.5951767,1.030898,-0.139601,-0.300190,1.082752,106.096001,352.288116
59.5971603,0.884952,-0.197686,-0.300434,0.955238,108.331390,347.407623
59.5991402,0.667741,-0.329233,-0.010006,0.744562,90.770035,333.754150
59.6011276,0.578172,-0.403915,0.142773,0.719593,78.556084,325.061584
59.6030769,0.598428,-0.376336,0.243569,0.747711,70.988792,327.835266
59.6050644,0.677503,-0.181090,0.391468,0.803151,60.829170,345.035187
59.6070747,0.737053,-0.062723,0.359252,0.822340,64.095924,355.135895
59.6090622,0.720213,-0.026846,0.178894,0.742584,76.059891,357.865265
59.6110458,0.774394,-0.069312,0.231366,0.811184,73.427979,354.885345
59.6130600,0.791722,0.000244,0.459560,0.915434,59.866714,0.017662
59.6150131,0.932543,0.193781,0.573046,1.111562,58.966930,11.738945
59.6169968,1.013814,0.371211,0.444428,1.167533,67.625679,20.110363
59.6189766,1.036755,0.409040,0.379265,1.177292,71.206985,21.531149
59.6209602,0.999414,0.324596,-0.122029,1.057867,96.624016,17.993088
59.6229134,0.975009,0.283350,-0.232587,1.041646,102.902199,16.204567
59.6249008,0.919364,0.145702,0.001220,0.930838,89.924889,9.005428
59.6269112,0.831259,0.127886,0.344365,0.908809,67.733269,8.746162
59.6288986,0.775126,0.109582,0.259189,0.824625,71.680779,8.046740
59.6308823,0.636013,0.013423,0.026602,0.636711,87.605446,1.209056
59.6328964,0.513008,-0.016108,0.003173,0.513271,89.645828,358.201569
59.6348457,0.442232,-0.118612,-0.379997,0.595009,129.690567,344.985962
59.6368332,0.463953,-0.136916,-0.273832,0.555862,119.513359,343.558258
59.6388168,0.505687,-0.164739,0.048811,0.534079,84.756210,341.955841
59.6407967,0.631132,-0.200615,0.337775,0.743415,62.976490,342.366333
59.6428146,0.752428,-0.103968,0.308000,0.819648,67.927994,352.132843
59.6447945,0.797823,-0.055401,0.255772,0.839649,72.264832,356.027740
59.6468086,0.852980,0.035388,0.013179,0.853816,89.115578,2.375715
59.6487923,0.873237,0.117147,-0.066384,0.883557,94.308815,7.640790
59.6507454,0.935960,0.157905,-0.017084,0.949340,91.031128,9.576153
59.6527634,0.975741,0.198907,0.255040,1.027949,75.634567,11.521985
59.6547165,1.027969,0.240640,0.238200,1.082297,77.285843,13.175299
59.6566963,1.088983,0.253087,0.055645,1.119390,87.150642,13.083677
59.6586533,1.115830,0.282862,0.066628,1.153051,86.687386,14.224803
59.6606331,1.047006,0.242593,-0.222824,1.097599,101.713074,13.045329
59.6626167,0.973544,0.092254,-0.367062,1.044526,110.573891,5.413218
59.6646309,0.935227,-0.002685,-0.161810,0.949126,99.815910,359.835541
59.6665878,0.927418,-0.142773,0.215991,0.962881,77.037270,351.248169
59.6686020,0.915215,-0.119832,0.367306,0.993424,68.300568,352.540497
59.6705551,0.896666,-0.105921,0.353151,0.969508,68.638077,353.263031
59.6725388,0.828818,-0.207937,0.015132,0.854638,88.985512,345.916138
59.6744919,0.795139,-0.212330,-0.089081,0.827807,96.177597,345.048889
59.6765022,0.701421,-0.230878,-0.056865,0.740628,94.403503,341.780640
59.6784554,0.664324,-0.273344,0.099087,0.725163,82.146461,337.634674
59.6804695,0.654317,-0.241129,0.270415,0.747930,68.804466,339.770203
59.6824265,0.770001,-0.108850,0.305072,0.835355,68.580109,351.953827
59.6844406,0.913994,-0.097623,0.178162,0.936300,79.030708,353.903412
59.6863899,1.000635,0.011715,-0.095426,1.005243,95.447212,0.670749
59.6884041,1.102651,-0.016352,-0.027578,1.103117,91.432571,359.150391
59.6903610,1.158540,-0.014399,0.050032,1.159709,87.527397,359.287903
59.6923752,1.218578,-0.001952,0.115439,1.224035,84.588379,359.908203
59.6943283,1.232733,0.035388,0.302875,1.269888,76.201668,1.644349
59.6963387,1.268366,0.102504,0.153756,1.281756,83.110359,4.620366
59.6983261,1.266169,0.128618,-0.018548,1.272820,90.834984,5.800242
59.7003098,1.255919,0.134231,-0.063943,1.264689,92.898125,6.100564
59.7022896,1.229805,0.153268,-0.261629,1.266633,101.920540,7.104023
59.7043076,1.158296,0.063455,-0.011715,1.160092,90.578590,3.135699
59.7062607,1.119491,0.012691,0.137404,1.127963,83.003067,0.649499
59.7082405,1.031630,-0.032704,0.245766,1.061005,76.606659,358.184265
59.7101974,0.975497,-0.085420,0.221848,1.004045,77.234917,354.995605
59.7122116,0.856641,-0.060526,0.270415,0.900345,72.521591,355.958466
59.7141609,0.746327,-0.037097,-0.017572,0.747455,91.347107,357.154419
59.7161751,0.687021,-0.058086,-0.049544,0.691250,94.110054,355.167297
59.7181587,0.587934,0.017084,0.103236,0.597173,80.044991,1.664415
59.7201462,0.510324,0.013667,-0.026358,0.511187,92.955635,1.534097
59.7220993,0.417826,-0.094938,-0.071753,0.434443,99.506569,347.198639
59.7241096,0.409040,-0.028799,-0.004637,0.410079,90.647903,355.972687
59.7260628,0.456387,0.014399,0.003905,0.456631,89.510025,1.807128
59.7280464,0.604042,0.099575,0.078830,0.617249,82.662560,9.360933
59.7299995,0.687265,0.180846,0.159369,0.728311,77.360245,14.742560
59.7319870,0.874457,0.266266,0.175721,0.930834,79.118500,16.935150
59.7339706,1.016254,0.295309,0.117147,1.064755,83.683365,16.203125
59.7359505,1.058964,0.319471,0.237224,1.131257,77.895279,16.787640
59.7379074,1.109240,0.336311,0.322400,1.203104,74.456314,16.866795
59.7399216,1.081662,0.312149,0.168888,1.138399,81.468369,16.097240
59.7418747,1.046762,0.275541,0.087372,1.085940,85.385109,14.747508
59.7438850,0.949383,0.176941,-0.151071,0.977475,98.890854,10.557392
59.7458382,0.906185,0.092498,-0.211354,0.935092,103.063126,5.828212
59.7478218,0.843706,-0.088349,-0.106653,0.854997,97.165787,354.022064
59.7498360,0.860058,-0.084200,0.155220,0.877999,79.817230,354.408569
59.7518196,0.877874,-0.086152,0.185972,0.901482,78.094658,354.395081
59.7537727,0.861278,-0.170108,0.103236,0.883965,83.293251,348.827515
59.7557602,0.865183,-0.203300,0.106653,0.895124,83.157013,346.776611
59.7577438,0.838337,-0.237468,0.097135,0.876718,83.638931,344.184662
59.7597580,0.780983,-0.239420,0.014887,0.816993,88.955879,342.956421
59.7617073,0.746083,-0.204276,0.056621,0.775612,85.813568,344.687805
59.7636948,0.821253,0.020013,0.266266,0.863571,72.041260,1.395936
59.7657051,0.850784,0.108850,0.297018,0.907690,70.899643,7.290833
59.7676926,0.864207,0.163030,0.091033,0.884149,84.090263,10.683145
59.7697067,0.856885,0.179382,-0.128130,0.884786,98.326546,11.823669
59.7716904,0.862742,0.184507,-0.088593,0.886688,95.734230,12.071510
59.7736435,0.816372,0.204764,0.040758,0.842646,87.227608,14.080566
59.7756271,0.829551,0.253820,0.097623,0.872988,83.579407,17.012659
59.7776070,0.840045,0.255284,0.177674,0.895775,78.559731,16.903664
59.7796249,0.900083,0.159125,0.154488,0.927004,80.406715,10.025704
59.7815781,0.935227,0.100796,0.065651,0.942932,86.007561,6.151401
59.7835579,1.113389,0.028555,-0.022697,1.113986,91.167473,1.469123
59.7855148,1.291307,0.056621,-0.079563,1.294994,93.522392,2.510700
59.7874947,1.338898,0.055157,-0.050276,1.340977,92.148636,2.359010
59.7894783,1.408698,-0.017816,0.015620,1.408898,89.364784,359.275391
59.7914658,1.407966,-0.010006,0.070044,1.409743,87.152031,359.592804
59.7934456,1.363792,-0.092742,0.033192,1.367345,88.609032,356.109711
59.7954292,1.288378,-0.104212,0.007810,1.292610,89.653824,355.375610
