Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
42.6840057,1.098258,-0.134720,0.149851,1.116591,82.287392,353.006653
42.6859589,1.117050,-0.142041,0.133499,1.133931,83.238800,352.753296
42.6879692,1.172207,-0.106897,0.327281,1.221724,74.461578,354.789429
42.6899223,1.185630,-0.082003,0.394641,1.252272,71.630753,356.043488
42.6919098,1.178064,-0.068092,0.349490,1.230697,73.502274,356.691986
42.6938591,1.167814,-0.019769,0.277249,1.200436,76.646584,359.030182
42.6958466,1.141212,0.019036,0.306048,1.181690,74.989769,0.955658
42.6978302,1.064090,0.041734,0.163274,1.077352,81.283150,2.246000
42.6998100,0.990628,0.050276,0.156197,1.004126,81.051025,2.905349
42.7017975,0.976229,0.060770,0.272856,1.015464,74.413025,3.562066
42.7038078,0.903988,0.067116,0.284327,0.950021,72.585365,4.246081
42.7057648,0.827110,0.038073,0.148143,0.841134,79.856003,2.635537
42.7077446,0.810514,0.067360,0.212574,0.840630,75.352318,4.750792
42.7097321,0.795139,0.090545,0.215747,0.828849,74.912331,6.496489
42.7117157,0.781471,0.044174,0.156685,0.798247,78.680145,3.235325
42.7136688,0.820276,0.025626,0.231854,0.852799,74.224159,1.789378
42.7156525,0.874701,0.043686,0.298726,0.925337,71.165863,2.859216
42.7176666,0.894470,0.076390,0.228438,0.926334,75.723366,4.881355
42.7196503,0.970616,0.046859,0.320935,1.023372,71.723335,2.763957
42.7216301,0.946698,0.026114,0.330942,1.003216,70.738457,1.580071
42.7236481,0.983551,0.056865,-0.012691,0.985275,90.738029,3.308951
42.7256012,1.001855,0.095182,0.051496,1.007683,87.070709,5.427158
42.7275810,1.038952,0.117392,0.200859,1.064681,79.125603,6.446530
42.7295685,1.021380,0.108605,0.203788,1.047158,78.778038,6.069576
42.7315521,1.053107,0.099331,0.114219,1.063930,83.837105,5.388319
42.7335052,1.026261,0.051008,0.108117,1.033200,83.993393,2.845415
42.7354889,1.063846,0.102504,0.014399,1.068869,89.228111,5.503595
42.7375031,1.037731,0.102016,-0.004149,1.042742,90.227974,5.614518
42.7394867,1.078489,0.165227,0.136672,1.099599,82.860092,8.710110
42.7415009,1.029189,0.164495,0.122029,1.049371,83.322121,9.080738
42.7434845,1.035779,0.161322,0.025138,1.048568,88.626282,8.852654
42.7454376,0.937668,0.122029,0.082735,0.949188,84.999496,7.414832
42.7474518,0.925709,0.134231,-0.012203,0.935470,90.747421,8.250609
42.7494354,0.922536,0.164495,0.034656,0.937728,87.882004,10.109982
42.7514153,0.962562,0.218675,0.218919,1.011074,77.495186,12.799243
42.7534027,0.938888,0.195002,0.236736,0.987715,76.132339,11.733194
42.7554131,0.935471,0.172304,0.069312,0.953729,85.832359,10.436334
42.7573700,0.947186,0.140089,0.076878,0.960571,85.409500,8.413057
42.7593842,0.973788,0.159857,0.116171,0.993637,83.285896,9.322548
42.7613373,1.017719,0.223800,0.116171,1.048491,83.638649,12.402176
42.7633476,1.028213,0.230878,0.141553,1.063280,82.349571,12.655461
42.7652740,1.027725,0.198419,0.174013,1.061070,80.560997,10.927407
42.7672882,1.001855,0.198907,-0.066384,1.023564,93.718544,11.229385
42.7692375,1.008689,0.207693,-0.063699,1.031817,93.539391,11.634807
42.7712250,0.980378,0.233563,0.112266,1.014049,83.643700,13.400211
42.7732086,0.979402,0.232587,0.103724,1.011970,84.116997,13.359035
42.7751884,0.937180,0.225753,0.064919,0.966170,86.147263,13.543692
42.7771759,0.932055,0.241617,0.229414,0.989816,76.598450,14.532893
42.7791862,0.890565,0.230634,0.215991,0.944960,76.787033,14.519197
42.7811432,0.830771,0.215747,0.016352,0.858484,88.908600,14.557818
42.7831573,0.776102,0.196954,0.035876,0.801506,87.434509,14.239555
42.7851105,0.683604,0.174013,0.158881,0.723076,77.306839,14.281446
42.7870941,0.569630,0.084688,0.171572,0.600905,73.409882,8.456326
42.7890739,0.533753,0.060038,0.203788,0.574479,69.222809,6.417817
42.7910614,0.579636,0.149607,0.261873,0.653405,66.372871,14.472482
42.7930717,0.614536,0.187192,0.233075,0.683388,70.058678,16.941095
42.7950592,0.649924,0.192805,0.174257,0.699958,75.584412,16.523405
42.7970695,0.691902,0.197930,0.172793,0.740110,76.498619,15.964079
42.7990570,0.722409,0.209889,0.200859,0.778636,75.050774,16.200722
42.8010063,0.837116,0.203300,0.168888,0.877848,78.907814,13.650420
42.8030243,0.935471,0.282618,0.152048,0.988989,81.156242,16.810261
42.8049774,0.956704,0.260653,0.102504,0.996860,84.098022,15.240275
42.8069572,0.974521,0.217455,-0.003417,0.998493,90.196068,12.578936
42.8089447,0.977693,0.161078,-0.079807,0.994082,94.604767,9.355599
42.8109550,0.979646,0.091521,-0.164495,0.997567,99.491180,5.337254
42.8129120,1.049934,0.089325,0.033436,1.054258,88.182556,4.862826
42.8148918,1.076048,0.092498,0.054669,1.081399,87.102249,4.913098
42.8169098,1.149510,0.131303,0.091277,1.160579,85.489136,6.516372
42.8188896,1.157320,0.108605,0.055889,1.163747,87.247307,5.361065
42.8208427,1.144384,0.048323,0.048567,1.146433,87.571999,2.417963
42.8228607,1.063113,0.037585,-0.041734,1.064596,92.246658,2.024765
42.8248138,1.017475,-0.012447,-0.112754,1.023779,96.323128,359.299133
42.8267975,0.950847,-0.076878,0.061991,0.955962,86.281975,355.377563
42.8287773,0.947430,0.037097,0.198174,0.968645,78.194534,2.242275
42.8307648,0.925953,0.094938,0.145458,0.942104,81.118172,5.854098
42.8327179,0.917655,0.085908,0.160590,0.935553,80.116112,5.348272
42.8347015,0.906917,0.081271,0.194270,0.931044,77.956299,5.120739
42.8366852,0.892517,0.140333,0.072241,0.906366,85.428452,8.935614
42.8386650,0.832723,0.090057,-0.020989,0.837842,91.435478,6.172418
42.8406525,0.815883,0.052472,0.109582,0.824880,82.365936,3.679823
42.8426628,0.759994,0.097379,0.274808,0.813999,70.269089,7.301582
42.8446159,0.778299,0.123249,0.200371,0.813073,75.733246,8.998459
42.8466034,0.778543,0.126910,0.218431,0.818503,74.522095,9.258319
42.8485870,0.827354,0.154732,0.197442,0.864546,76.798470,10.593121
42.8506012,0.790257,0.111046,0.006590,0.798049,89.526901,7.998764
42.8525505,0.922292,0.194026,0.046615,0.943632,87.168465,11.880253
42.8545380,0.963050,0.188412,0.179870,0.997656,79.613182,11.069594
42.8564911,1.004296,0.175477,0.230390,1.045218,77.266129,9.911046
