Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
30.6683712,1.113877,-0.194514,-0.031483,1.131172,91.594894,350.094452
30.6703873,1.099966,-0.204032,-0.071509,1.121012,93.657349,349.491669
30.6723995,0.964758,-0.216479,-0.049544,0.989988,92.868546,347.353088
30.6744156,0.854200,-0.209645,-0.057598,0.881435,93.746674,346.210541
30.6764278,0.891053,-0.259189,-0.036365,0.928696,92.244080,343.781372
30.6784420,0.718260,-0.210621,0.017328,0.748705,88.673828,343.656860
30.6804562,0.680920,-0.166691,0.096647,0.707657,82.150421,346.244354
30.6824703,0.674574,-0.144970,0.104701,0.697875,81.371468,347.871277
30.6844845,0.579392,-0.047591,0.043930,0.583001,85.678551,355.304260
30.6864986,0.674818,-0.067116,0.063455,0.681110,84.654350,354.320190
30.6885128,0.771221,-0.099575,0.020989,0.777906,88.453896,352.643005
30.6905270,0.813687,-0.182799,0.003905,0.833977,89.731728,347.338440
30.6925411,0.920096,-0.267243,0.033680,0.958712,87.986763,343.804016
30.6945553,0.980866,-0.324352,0.069068,1.035410,86.175179,341.702026
30.6965694,1.018207,-0.313614,0.086884,1.068947,85.337837,342.880859
30.6985836,1.122175,-0.281398,-0.004637,1.156929,90.229645,345.922729
30.7005672,1.155123,-0.181823,0.035388,1.169881,88.266571,351.054718
30.7025814,1.179529,-0.135208,0.046859,1.188177,87.739799,353.460815
30.7045956,1.344023,-0.178406,-0.025138,1.356045,91.062187,352.438751
30.7066097,1.325475,-0.134964,0.075414,1.334461,86.760345,354.186005
30.7086220,1.400401,-0.153024,-0.008298,1.408761,90.337486,353.763947
30.7106380,1.375019,-0.168155,0.047591,1.386080,88.032356,353.027740
30.7126503,1.301069,-0.157905,0.119100,1.316017,84.807610,353.080109
30.7146664,1.255431,-0.090057,-0.049544,1.259631,92.254128,355.896973
30.7166786,1.187094,-0.040269,0.022209,1.187985,88.928802,358.057129
30.7186947,1.063846,-0.027823,0.210865,1.084899,78.792419,358.501892
30.7207069,1.006004,0.044418,0.036853,1.007658,87.904076,2.528157
30.7227230,0.972324,0.016108,0.016840,0.972603,89.007912,0.949090
30.7247353,0.902768,0.022941,0.102748,0.908886,83.508926,1.455703
30.7267513,0.905452,0.015620,0.036853,0.906337,87.669647,0.988293
30.7287655,0.956460,-0.024162,0.000244,0.956766,89.985382,358.552917
30.7307777,0.922780,-0.021477,0.068092,0.925539,85.780930,358.666718
30.7327614,1.050911,-0.083224,0.094206,1.058402,84.893463,355.472107
30.7347755,1.032606,-0.049788,0.041002,1.034618,87.728790,357.239594
30.7367916,1.122907,-0.190853,0.029287,1.139387,88.527107,350.354004
30.7388039,1.118514,-0.192317,0.014155,1.135016,89.285416,350.243958
30.7408199,1.035291,-0.115927,-0.050764,1.042997,92.789757,353.610901
30.7428322,1.035291,-0.128130,0.008542,1.043225,89.530853,352.944824
30.7448483,0.970372,-0.073949,0.083956,0.976800,85.069359,355.642059
30.7468605,0.891297,-0.018304,0.096647,0.896708,83.812675,358.823486
30.7488766,0.843706,0.021233,0.127398,0.853534,81.416000,1.441620
30.7508888,0.797091,0.029043,0.103236,0.804273,82.625183,2.086706
30.7529049,0.793918,0.031239,0.048811,0.796031,86.484497,2.253329
30.7549171,0.797579,0.047591,-0.028555,0.799508,92.046776,3.414763
30.7569332,0.814663,-0.008298,-0.000244,0.814705,90.017166,359.416412
30.7589455,0.832967,-0.054181,0.024894,0.835099,88.291794,356.278412
30.7609310,0.845170,-0.108117,0.082003,0.855995,84.502701,352.710114
30.7629433,0.883731,-0.163762,0.080295,0.902356,84.894867,349.501709
30.7649574,0.864451,-0.170840,0.080539,0.884844,84.777679,348.820770
30.7669716,0.862742,-0.087372,0.036365,0.867917,87.598686,354.217194
30.7689857,0.936936,-0.121541,-0.103968,0.950489,96.279808,352.608795
30.7709999,0.840777,-0.058086,-0.032948,0.843425,92.238785,356.047974
30.7730141,0.858593,-0.083468,-0.062479,0.864901,94.142540,354.447479
30.7750282,0.859570,-0.127398,-0.135208,0.879415,98.844147,351.569489
30.7770424,0.838581,-0.106165,-0.025382,0.845655,91.719963,352.784698
30.7790565,0.972812,-0.188412,-0.036609,0.991566,92.115837,349.038788
30.7810707,0.999414,-0.178406,-0.122517,1.022579,96.881226,349.878723
30.7830849,1.012594,-0.054669,0.047591,1.015184,87.313026,356.909668
30.7850990,1.233953,-0.183043,-0.079075,1.249959,93.627052,351.562347
30.7871113,1.150974,-0.082247,-0.093718,1.157709,94.643250,355.912659
30.7891273,1.191487,-0.109094,-0.146434,1.205399,96.977646,354.768524
30.7911396,1.199785,-0.181579,-0.024162,1.213688,91.140701,351.394012
30.7931252,1.078489,-0.088349,-0.041002,1.082878,92.169937,355.316833
30.7951374,1.143164,-0.154732,0.003661,1.153594,89.818176,352.291626
30.7971535,0.996242,-0.090057,0.126910,1.008322,82.769447,354.834686
30.7991657,1.001367,-0.075170,-0.081271,1.007468,94.626999,355.707031
