Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
31.4230919,1.232001,-0.091521,-0.072485,1.237520,93.357895,355.751495
31.4251080,1.268610,-0.119588,-0.094450,1.277730,94.239189,354.614807
31.4271202,1.217113,-0.116903,0.016108,1.222821,89.245239,354.513580
31.4291344,1.228828,-0.135452,-0.023918,1.236502,91.108337,353.709778
31.4311180,1.157075,-0.109094,0.025870,1.162495,88.724838,354.613861
31.4331341,1.035291,-0.076878,0.036120,1.038770,88.007286,355.753143
31.4351463,0.978670,-0.045151,-0.046615,0.980819,92.724098,357.358551
31.4371605,0.896910,0.007810,-0.085908,0.901049,95.471024,0.498889
31.4391747,0.818812,0.061991,-0.072729,0.824370,95.061432,4.329484
31.4411888,0.762435,0.064919,0.023429,0.765552,88.246208,4.866839
31.4432030,0.712647,0.063211,-0.003417,0.715453,90.273628,5.068793
31.4452171,0.737297,0.033680,-0.010983,0.738147,90.852509,2.615467
31.4472313,0.668229,-0.003173,0.015376,0.668413,88.681900,359.727966
31.4492455,0.701421,-0.029531,0.016840,0.702244,88.625900,357.589172
31.4512596,0.714112,-0.034656,0.003173,0.714959,89.745743,357.221588
31.4532738,0.654317,-0.002685,-0.018304,0.654579,91.602394,359.764923
31.4552879,0.685557,0.002197,0.001220,0.685561,89.898018,0.183574
31.4573021,0.682140,-0.006345,-0.061746,0.684958,95.172028,359.467041
31.4592857,0.699712,-0.033924,-0.086152,0.705812,97.011078,357.224304
31.4612999,0.740958,-0.056621,-0.035632,0.743972,92.745216,355.630157
31.4633121,0.762923,-0.054669,-0.074926,0.768540,95.594696,355.901367
31.4653282,0.792210,-0.051008,-0.081759,0.798049,95.880203,356.315979
31.4673405,0.787573,-0.014887,-0.056377,0.789728,94.093719,358.917053
31.4693565,0.855665,0.015620,-0.049300,0.857226,93.296936,1.045785
31.4713688,0.910822,0.013179,-0.074926,0.913993,94.702156,0.828981
31.4733849,0.977205,-0.020989,-0.129106,0.985920,97.524490,358.769562
31.4753971,1.008689,-0.035876,-0.062479,1.011258,93.542168,357.963013
31.4774132,1.020647,-0.079807,-0.092254,1.027911,95.149147,355.529022
31.4794254,1.020403,-0.085420,-0.090789,1.027990,95.066811,355.214813
31.4814415,1.024064,-0.086152,-0.112022,1.033769,96.220955,355.191162
31.4834538,1.054083,-0.073217,-0.072241,1.059090,93.911209,356.026581
31.4854393,1.032362,-0.028067,-0.032704,1.033261,91.813766,358.442688
31.4874516,1.052375,0.011959,-0.023918,1.052715,91.301872,0.651060
31.4894676,1.028701,0.067360,-0.043930,1.031840,92.440086,3.746404
31.4914799,1.030410,0.070533,-0.036853,1.033478,92.043533,3.915843
31.4934940,1.074096,0.016840,-0.075414,1.076872,94.015732,0.898224
31.4955082,1.030410,0.040269,-0.030995,1.031662,91.721657,2.238038
31.4975224,1.044321,-0.015376,-0.047591,1.045518,92.608963,359.156494
31.4995384,1.042369,-0.032948,-0.030507,1.043335,91.675568,358.189575
31.5015507,0.930590,-0.052472,0.046859,0.933246,87.121925,356.772736
31.5035667,0.942305,-0.130083,-0.088105,0.955313,95.291679,352.140167
31.5055790,0.906917,-0.119588,-0.083468,0.918567,95.213493,352.488190
31.5075951,0.906429,-0.156929,-0.110070,0.926474,96.823143,350.177826
31.5096073,0.937180,-0.216235,-0.112266,0.968332,96.657722,347.007568
31.5116234,0.907893,-0.222336,-0.071753,0.937471,94.389641,346.239502
31.5136356,0.926197,-0.250647,-0.070288,0.962084,94.189682,344.857361
31.5156517,0.953288,-0.228682,-0.091766,0.984618,95.347672,346.510376
31.5176334,0.947430,-0.160834,0.043930,0.961988,87.382614,350.365448
31.5196495,0.989896,-0.147411,0.020257,1.001017,88.840477,351.530029
31.5216618,1.001367,-0.063455,-0.100063,1.008353,95.695099,356.374115
31.5236759,0.935471,0.004149,-0.066384,0.937833,94.059021,0.254115
31.5256901,0.936936,-0.002685,-0.071997,0.939702,94.394119,359.835815
31.5277042,0.896910,0.024162,-0.096403,0.902400,96.132561,1.543105
31.5297184,0.891785,0.017572,-0.053449,0.893558,93.429214,1.128835
31.5317326,0.912042,-0.006101,0.002197,0.912065,89.862015,359.616699
31.5337467,0.910334,-0.006101,-0.038561,0.911170,92.425499,359.615997
31.5357609,0.924977,-0.027578,-0.114463,0.932440,97.051201,358.292206
31.5377750,0.911798,-0.043930,-0.103236,0.918675,96.452255,357.241638
31.5397892,0.899107,-0.079075,-0.180846,0.920517,101.330132,354.973877
31.5418034,0.883243,-0.100552,-0.170352,0.905124,100.848251,353.505219
31.5438175,0.876654,-0.158881,-0.057842,0.892811,93.714561,349.727448
31.5458298,0.856885,-0.163518,-0.003417,0.872354,90.224411,349.196198
31.5478153,0.841265,-0.145214,-0.024406,0.854055,91.637527,350.206451
31.5498276,0.906185,-0.188412,-0.113243,0.932466,96.975456,348.254517
31.5518436,0.941817,-0.213550,-0.191097,0.984449,101.193054,347.224609
31.5538559,1.004784,-0.181335,-0.153512,1.032491,98.550507,349.769867
31.5558720,1.039684,-0.192805,-0.157173,1.069027,98.454514,349.494080
31.5578842,1.084346,-0.185972,-0.049788,1.101304,92.591103,350.268127
31.5599003,1.248109,-0.228926,-0.044662,1.269715,92.015808,349.606445
31.5619125,1.281545,-0.228194,-0.119832,1.307206,95.259712,349.903656
