Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
37.6127625,1.083370,-0.244301,-0.075902,1.113164,93.909782,347.292297
37.6147766,1.076781,-0.244789,-0.086640,1.107648,94.486259,347.192352
37.6167908,1.066530,-0.246254,-0.093230,1.098553,94.868324,346.998688
37.6188049,1.044565,-0.229902,-0.068580,1.071762,93.668755,347.587463
37.6208191,1.051643,-0.237468,-0.076390,1.080823,94.052902,347.275635
37.6228333,1.025285,-0.222824,-0.079563,1.052231,94.336464,347.738617
37.6248169,1.013570,-0.196466,-0.078830,1.035440,94.366287,349.030060
37.6268311,0.991849,-0.162542,-0.096403,1.009692,95.478790,350.693207
37.6288452,0.973300,-0.142285,-0.101284,0.988846,95.878899,351.682922
37.6308594,0.974765,-0.126666,-0.106165,0.988677,96.164352,352.596191
37.6328697,0.986235,-0.125201,-0.092986,0.998490,95.343498,352.765076
37.6348877,0.973056,-0.104945,-0.043686,0.979674,92.555817,353.844421
37.6369019,0.973056,-0.108361,-0.082247,0.982520,94.801880,353.645599
37.6389160,0.969151,-0.114951,-0.091766,0.980249,95.371582,353.235748
37.6409264,0.976229,-0.132279,-0.109582,0.991226,96.347122,352.283417
37.6429443,0.974765,-0.142285,-0.111046,0.991334,96.431587,351.695251
37.6449585,0.957925,-0.121052,-0.084932,0.969271,95.026962,352.797729
37.6469727,0.982818,-0.148631,-0.069312,0.996407,93.988838,351.400360
37.6489868,0.952800,-0.134476,-0.053449,0.963726,93.179276,351.966492
37.6510010,0.967687,-0.141797,-0.107385,0.983898,96.265892,351.663666
37.6529846,0.992093,-0.158637,-0.138136,1.014148,97.828560,350.915222
37.6549988,0.968419,-0.135208,-0.080051,0.981084,94.680206,352.051910
37.6570129,0.993313,-0.131547,-0.092254,1.006224,95.260437,352.456085
37.6590271,1.011129,-0.122029,-0.101040,1.023466,95.665642,353.118500
37.6610413,0.990872,-0.079563,-0.032460,0.994591,91.870247,355.409241
37.6630554,1.029433,-0.082979,-0.067116,1.034951,93.718193,355.391541
37.6650696,1.030166,-0.076390,-0.068824,1.035284,93.811745,355.759094
37.6670799,1.023576,-0.046859,-0.080051,1.027770,94.467171,357.378845
37.6690979,1.063357,-0.054425,-0.084200,1.068073,94.521507,357.070038
37.6711121,1.059697,-0.040514,-0.046371,1.061484,92.503761,357.810577
37.6731262,1.069215,-0.044662,-0.058818,1.071762,93.145943,357.608063
37.6751366,1.082882,-0.025870,-0.012203,1.083260,90.645447,358.631470
37.6771240,1.077269,-0.016840,-0.028311,1.077772,91.505203,359.104431
37.6791344,1.068238,-0.001220,-0.045151,1.069193,92.420242,359.934540
37.6811523,1.102651,-0.000244,-0.059062,1.104231,93.066032,359.987305
37.6831665,1.095573,-0.002441,-0.033680,1.096093,91.760818,359.872375
37.6851807,1.103871,-0.007810,-0.043198,1.104743,92.240974,359.594635
37.6871910,1.121687,-0.048079,-0.045639,1.123644,92.327805,357.545624
37.6892090,1.082394,-0.066872,0.011227,1.084516,89.406876,356.464691
37.6912231,1.035535,-0.082979,-0.046859,1.039911,92.582657,355.418579
37.6932335,1.016742,-0.068336,-0.015132,1.019149,90.850716,356.154877
37.6952477,0.993801,-0.080783,-0.016840,0.997221,90.967590,355.352814
37.6972656,0.927173,-0.042222,-0.017572,0.928301,91.084633,357.392639
37.6992798,0.929370,-0.029043,0.029775,0.930300,88.165894,358.210083
37.7012901,0.952555,-0.058574,-0.018548,0.954535,91.113434,356.481232
37.7033043,0.887392,-0.012691,-0.020501,0.887720,91.323296,359.180634
37.7052879,0.949871,-0.056377,-0.024894,0.951868,91.498604,356.603333
37.7073021,0.956460,-0.070044,-0.010006,0.959074,90.597794,355.811523
37.7093201,0.896666,-0.059550,-0.017816,0.898818,91.135780,356.200409
37.7113342,0.929370,-0.129350,-0.020013,0.938542,91.221825,352.076447
37.7133446,0.842242,-0.103968,-0.031483,0.849218,92.124634,352.962860
37.7153625,0.836872,-0.109582,-0.069312,0.846857,94.694710,352.540009
37.7173767,0.821009,-0.110558,-0.069312,0.831314,94.782692,352.330627
37.7193909,0.746083,-0.098355,-0.102260,0.759454,97.738342,352.490082
37.7214012,0.749256,-0.107873,-0.118856,0.766256,98.923325,351.807190
37.7234192,0.720945,-0.122029,-0.112266,0.739768,98.728867,350.393066
37.7254333,0.684825,-0.130571,-0.117880,0.707057,99.597099,349.205383
37.7274437,0.720945,-0.137404,-0.102016,0.740978,97.913467,349.209473
37.7294312,0.722409,-0.149607,-0.094206,0.743729,97.277046,348.299744
37.7314415,0.747791,-0.114707,-0.081759,0.760943,96.168022,351.279144
37.7334557,0.823205,-0.116415,-0.076146,0.834876,95.233002,351.950775
37.7354736,0.826622,-0.101284,-0.068824,0.835643,94.724274,353.014526
37.7374878,0.868112,-0.082735,-0.107629,0.878662,97.035957,354.555878
37.7394981,0.908869,-0.096159,-0.157417,0.927400,99.772713,353.960571
37.7415123,0.908869,-0.099819,-0.138625,0.924783,98.621101,353.732422
37.7435303,0.951823,-0.143262,-0.111290,0.968957,96.595299,351.440491
37.7455444,0.941573,-0.118368,-0.051984,0.950407,93.135460,352.834778
37.7475548,0.939376,-0.099087,-0.016596,0.944734,91.006554,353.978607
37.7495689,0.940108,-0.086396,-0.026602,0.944445,91.614067,354.749237
37.7515869,0.916191,-0.010983,-0.036609,0.916988,92.288010,359.313202
37.7535973,0.923757,0.012691,-0.092742,0.928487,95.732536,0.787105
37.7556114,0.944990,0.030507,-0.095914,0.950334,95.792557,1.849041
37.7575951,0.984527,0.056133,-0.084932,0.989777,94.922562,3.263207
37.7596092,1.067018,0.020501,-0.058330,1.068808,93.128441,1.100698
37.7616234,1.086299,0.018060,0.018548,1.086607,89.021912,0.952482
37.7636414,1.120223,-0.007810,0.003417,1.120255,89.825249,359.600555
37.7656517,1.161468,-0.045639,-0.000488,1.162365,90.024063,357.749786
37.7676659,1.155855,-0.052960,-0.010739,1.157118,90.531738,357.376587
37.7696800,1.168790,-0.061258,-0.018304,1.170537,90.896004,356.999786
37.7716980,1.162201,-0.054181,-0.025626,1.163745,91.261772,357.330872
37.7737083,1.136819,-0.044174,-0.043198,1.138496,92.174507,357.774719
37.7757225,1.101674,-0.038805,-0.024162,1.102622,91.255615,357.982666
37.7777405,1.078001,-0.039049,-0.014887,1.078810,90.790703,357.925446
37.7797203,1.052131,-0.040514,0.007322,1.052936,89.601585,357.794861
37.7817383,1.010885,-0.036609,0.002685,1.011551,89.847939,357.925964
37.7837486,1.002831,-0.034656,0.013667,1.003523,89.219650,358.020752
37.7857628,0.984039,-0.042710,-0.000488,0.984965,90.028397,357.514771
37.7877769,0.963050,-0.057598,-0.035144,0.965411,92.086220,356.577362
37.7897949,0.958413,-0.064187,-0.044907,0.961609,92.676651,356.168488
37.7918053,0.956704,-0.094206,-0.041734,0.962237,92.485794,354.376251
37.7938194,0.953532,-0.104456,-0.041246,0.960122,92.462112,353.748352
37.7958336,0.932543,-0.102992,-0.032704,0.938783,91.996376,353.697662
37.7978516,0.927906,-0.100552,-0.013423,0.933434,90.823967,353.815338
37.7998619,0.975009,-0.153024,-0.041978,0.987836,92.435501,351.080414
37.8018761,0.930102,-0.137892,-0.051008,0.941651,93.105156,351.567047
37.8038902,0.968907,-0.131791,-0.061258,0.979746,93.584740,352.254150
37.8059082,0.970860,-0.168644,-0.091277,0.989617,95.292206,350.145752
37.8079185,0.895934,-0.128618,-0.065163,0.907462,94.117859,351.830566
37.8099327,0.954264,-0.158637,-0.065651,0.969585,93.882515,350.561432
37.8119164,0.937668,-0.143262,-0.035388,0.949209,92.136589,351.313232
37.8139305,0.883975,-0.085664,0.004393,0.888127,89.716591,354.464874
37.8159447,0.927418,-0.080295,-0.014643,0.931002,90.901222,355.051727
37.8179588,0.901059,-0.056621,-0.006834,0.902862,90.433662,356.404358
37.8199730,0.894226,-0.034168,-0.031483,0.895432,92.014938,357.811829
37.8219872,0.909845,-0.045883,-0.066384,0.913417,94.167709,357.113068
37.8240013,0.879338,-0.025382,-0.056133,0.881494,93.651047,358.346619
37.8260155,0.893005,-0.036609,-0.038805,0.894598,92.486107,357.652496
37.8280296,0.894714,-0.041002,-0.008054,0.895689,90.515198,357.376160
37.8300438,0.886660,-0.017572,0.019281,0.887044,88.754539,358.864655
37.8320580,0.891785,-0.011227,0.008298,0.891895,89.466927,359.278748
37.8340721,0.867135,0.019769,0.007810,0.867396,89.484116,1.305982
37.8360863,0.876898,0.037829,-0.017328,0.877884,91.131004,2.470176
37.8381004,0.855665,0.090545,-0.052228,0.862026,93.473557,6.040479
37.8401108,0.850295,0.112999,-0.044418,0.858920,92.964333,7.569866
37.8421288,0.877142,0.094206,-0.018304,0.882376,91.188644,6.130138
37.8441429,0.885928,0.076390,0.024406,0.889550,88.427834,4.928191
37.8461266,0.897887,0.065895,0.022697,0.900587,88.555832,4.197384
37.8481407,0.933275,0.034168,0.065895,0.936222,85.963928,2.096713
37.8501549,0.938156,0.013911,0.055645,0.939908,86.605949,0.849537
37.8521652,0.965491,-0.004637,0.012935,0.965588,89.232445,359.724823
37.8541832,0.964270,-0.003905,0.035876,0.964945,87.869270,359.767975
37.8561974,0.935227,0.007078,0.026114,0.935619,88.400604,0.433598
37.8582115,0.937424,0.014399,0.010250,0.937591,89.373589,0.880027
37.8602257,0.922536,0.010739,0.033680,0.923213,87.909317,0.666905
37.8622398,0.906673,-0.003905,0.058818,0.908587,86.288338,359.753235
37.8642540,0.906917,-0.008786,0.082003,0.910659,84.833618,359.444946
37.8662643,0.912286,-0.027334,0.075658,0.915826,85.261307,358.283783
37.8682823,0.911066,-0.049788,0.069800,0.915091,85.625404,356.872040
37.8702965,0.928882,-0.049544,0.030995,0.930718,88.091553,356.946930
37.8723106,0.943769,-0.044418,0.029287,0.945268,88.224541,357.305359
37.8742943,0.956216,-0.047347,0.036120,0.958069,87.839363,357.165314
37.8763084,0.982330,-0.066872,0.025870,0.984944,88.494926,356.105621
37.8783188,1.004540,-0.097867,0.035876,1.009933,87.964218,354.435547
37.8803368,1.016010,-0.115195,0.035876,1.023149,87.990532,353.531433
37.8823509,1.012838,-0.130571,0.037341,1.021902,87.905922,352.654205
37.8843651,1.009177,-0.143018,0.058086,1.020914,86.738358,351.933929
37.8863754,0.985015,-0.140577,0.020745,0.995212,88.805603,351.877838
37.8883934,0.962074,-0.123249,0.014887,0.970050,89.120636,352.699738
37.8904076,0.950603,-0.113731,0.026602,0.957752,88.408363,353.177521
37.8924217,0.904232,-0.094938,0.020745,0.909439,88.692932,354.006287
37.8944321,0.903012,-0.098599,0.015864,0.908517,88.999504,353.768616
37.8964500,0.871773,-0.103968,0.049056,0.879320,86.801918,353.198975
37.8984642,0.831503,-0.086884,0.072241,0.839145,85.061363,354.034760
37.9004478,0.838581,-0.091033,0.079563,0.847251,84.611595,353.804443
37.9024620,0.808806,-0.068336,0.095670,0.817306,83.277786,355.170532
37.9044724,0.832235,-0.054425,0.051740,0.835616,86.450058,356.258423
37.9064865,0.857861,-0.066628,0.052716,0.862058,86.494072,355.558929
37.9085045,0.862010,-0.076878,0.047347,0.866726,86.868515,354.903595
37.9105186,0.946942,-0.135452,0.014399,0.956689,89.137596,351.859558
37.9125290,0.978914,-0.156685,0.051496,0.992710,87.026489,350.906372
37.9145470,1.036755,-0.192073,0.086640,1.057951,85.302528,349.504181
37.9165611,1.068971,-0.197198,0.096647,1.091296,84.919151,349.547882
37.9185753,1.094841,-0.198174,0.068336,1.114728,86.485405,349.740112
37.9205856,1.111925,-0.206228,0.045395,1.131798,87.701340,349.492767
37.9226036,1.105335,-0.202079,0.029287,1.124037,88.506989,349.639496
37.9246178,1.079709,-0.201835,-0.033924,1.098936,91.768990,349.411621
37.9266014,1.061405,-0.201835,-0.009518,1.080467,90.504745,349.233246
37.9286156,1.029922,-0.202323,0.028799,1.050001,88.428329,348.886017
37.9306259,1.018451,-0.215503,0.061014,1.042788,86.645668,348.052551
37.9326401,0.999170,-0.234051,0.080051,1.029334,85.539635,346.816437
37.9346581,0.947186,-0.245278,0.026358,0.978784,88.456863,345.481934
37.9366722,0.937424,-0.233563,0.024894,0.966403,88.523941,346.009399
37.9386826,0.917899,-0.191829,0.003661,0.937737,89.776321,348.195831
37.9406967,0.869820,-0.125445,-0.008298,0.878859,90.540977,351.793396
37.9427147,0.849563,-0.107873,0.019525,0.856607,88.693947,352.763580
37.9447289,0.815639,-0.050032,0.059062,0.819304,85.866089,356.489838
37.9467392,0.790013,-0.011959,0.028311,0.790611,87.947884,359.132751
37.9487534,0.776590,-0.012691,0.077610,0.780562,84.293732,359.063751
37.9507713,0.768292,-0.004149,0.066628,0.771187,85.043686,359.690582
37.9527817,0.777322,0.026602,0.006834,0.777807,89.496605,1.960064
37.9547691,0.777322,0.037097,0.018060,0.778417,88.670547,2.732294
37.9567795,0.779763,0.039781,0.024406,0.781158,88.209618,2.920539
37.9587936,0.809538,0.048323,0.015376,0.811125,88.913841,3.416074
37.9608078,0.831015,0.042954,0.020501,0.832377,88.588707,2.958911
37.9628258,0.871528,0.012447,0.028311,0.872077,88.139656,0.818226
37.9648361,0.891541,-0.007078,0.029775,0.892066,88.087250,359.545166
37.9668503,0.902280,-0.041734,0.022697,0.903529,88.560539,357.351746
37.9688644,0.923513,-0.071509,0.003905,0.926285,89.758461,355.572357
37.9708824,0.933031,-0.088105,-0.007810,0.937214,90.477455,354.605652
37.9728928,0.942305,-0.116903,0.003417,0.949535,89.793823,352.927948
37.9749069,0.975253,-0.165715,0.011471,0.989298,89.335655,350.356415
37.9769249,0.969151,-0.171328,0.026602,0.984538,88.451675,349.974731
37.9789391,0.966467,-0.162298,0.024894,0.980315,88.544891,350.467316
37.9809189,0.952800,-0.142529,0.047591,0.964576,87.171936,351.492188
37.9829369,0.922536,-0.116415,0.040514,0.930735,87.505211,352.807831
37.9849472,0.920096,-0.095426,0.041734,0.925972,87.416794,354.078827
37.9869614,0.900815,-0.060770,0.059550,0.904825,86.226418,356.140594
37.9889793,0.875433,-0.024162,0.088837,0.880261,84.207794,358.419067
37.9909897,0.875189,-0.011471,0.068336,0.877928,85.535706,359.249084
37.9930038,0.880314,-0.016108,0.058330,0.882392,86.209755,358.951721
37.9950180,0.927662,-0.040269,0.048079,0.929779,87.035889,357.514374
37.9970360,0.990140,-0.067604,0.051252,0.993768,87.043747,356.094086
37.9990463,1.018451,-0.076634,0.061014,1.023151,86.581207,355.696838
38.0010605,1.082394,-0.065407,0.060038,1.086029,86.830948,356.541901
