Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
42.5174713,0.563040,0.038073,-0.122029,0.577369,102.201653,3.868468
42.5194855,1.008201,-0.387807,0.764143,1.323169,54.724422,338.960632
42.5214996,0.906673,-0.377801,0.384390,1.054772,68.627525,337.379028
42.5235176,0.860546,-0.240885,-0.353639,0.961054,111.590469,344.361969
42.5254974,1.421389,-0.160590,-1.274955,1.916154,131.710861,353.554016
42.5275116,1.282765,-0.352663,-0.639674,1.476157,115.679543,344.627808
42.5295258,1.572217,-0.382926,0.257969,1.638611,80.942177,346.311676
42.5315399,1.548055,-0.376092,0.533753,1.680123,71.476898,346.344818
42.5335541,1.033826,-0.080051,0.436374,1.125001,67.176857,355.572327
42.5355644,1.179041,-0.091277,-0.551081,1.304668,114.985695,355.573181
42.5375824,1.100454,-0.076146,-1.235418,1.656217,138.238815,356.041718
42.5395622,1.056524,-0.081027,-1.325475,1.696965,141.360062,355.614441
42.5415802,1.029189,-0.218431,-0.249182,1.081219,103.324409,348.017578
42.5435944,0.985747,-0.314346,0.380729,1.102481,69.797539,342.312988
42.5456085,1.011129,-0.334602,0.443940,1.153874,67.372459,341.689606
42.5476189,0.924489,-0.246986,-0.205008,0.978627,102.092201,345.042236
42.5496368,1.026505,-0.103236,-1.416996,1.752783,143.942490,354.257050
42.5516510,1.101674,-0.094206,-1.545370,1.900192,144.416718,355.112427
42.5536652,1.199297,-0.240885,-0.860058,1.495339,125.110771,348.642975
42.5556793,1.155611,-0.274076,-0.010006,1.187710,90.482719,346.657684
42.5576630,1.216381,-0.288964,-0.105433,1.254671,94.820374,346.636505
42.5596733,1.160248,-0.404403,-0.359984,1.280354,106.329453,340.784058
42.5616913,1.236150,-0.256748,-0.572802,1.386394,114.403481,348.266510
42.5637054,1.174159,-0.201103,-0.883243,1.482974,126.554649,350.281006
42.5657196,1.275687,-0.184263,-0.792942,1.513304,121.599655,351.780914
42.5677338,1.212965,-0.187436,-0.066872,1.229181,93.118629,351.215729
42.5697479,1.072143,-0.257236,-0.211110,1.122599,100.839249,346.508209
42.5717621,1.178064,-0.244301,-0.423195,1.275387,109.379097,348.284332
42.5737457,1.184410,-0.243569,-0.668473,1.381669,118.934898,348.379364
42.5757599,1.213453,-0.385122,-0.259921,1.299363,101.539131,342.391754
42.5777702,1.221507,-0.366086,0.168888,1.286320,82.455559,343.316498
42.5797882,1.144140,-0.359252,0.080295,1.201901,86.169418,342.568054
42.5818024,1.348172,-0.460292,-0.079563,1.426803,93.196632,341.149109
42.5838165,1.086543,-0.393176,-0.458340,1.243076,111.636330,340.106842
42.5858269,1.110216,-0.379021,-0.684581,1.358267,120.265686,341.150421
42.5878448,1.250305,-0.386587,-0.319959,1.347251,103.738457,342.818726
42.5898590,1.129985,-0.441011,0.306780,1.251188,75.806885,338.680267
42.5918427,1.243716,-0.444428,0.462000,1.399210,70.719902,340.336212
42.5938568,1.221995,-0.304828,0.340216,1.304583,74.883354,345.993378
42.5958710,1.047494,-0.162054,-0.069556,1.062235,93.754478,351.205688
42.5978813,1.095817,-0.201347,-0.314346,1.157657,105.755707,349.588501
42.5998993,1.031874,-0.175721,-0.312881,1.092491,106.642113,350.335632
42.6019135,1.001367,-0.216479,0.143506,1.034501,82.026237,347.801331
42.6039276,1.039440,-0.386099,0.424904,1.187455,69.033188,339.622559
42.6059380,1.064578,-0.379753,0.450774,1.216855,68.257133,340.367798
42.6079254,1.121443,-0.380973,0.312393,1.224894,75.224220,341.236511
42.6099358,1.026017,-0.337287,0.103236,1.084956,84.539909,341.802521
42.6119537,1.008689,-0.229658,-0.079563,1.037558,94.397911,347.173553
42.6139679,1.059941,-0.271392,-0.195490,1.111460,100.130196,345.638275
42.6159782,1.019671,-0.288476,-0.206961,1.079713,101.050903,344.203247
42.6179924,1.012594,-0.368038,-0.098599,1.081905,95.228889,340.025757
42.6200104,1.043833,-0.443452,-0.133987,1.142011,96.737793,336.982727
42.6220245,0.974521,-0.441256,-0.069800,1.072040,93.733162,335.639343
42.6240082,0.945234,-0.358520,-0.032948,1.011479,91.866676,339.228638
42.6260223,0.875677,-0.181335,-0.083468,0.898143,95.332397,348.300598
42.6280327,0.800264,-0.098111,-0.088593,0.811108,96.270607,353.010498
42.6300468,0.706546,-0.076634,-0.449553,0.840939,122.315788,353.809723
42.6320648,0.923269,-0.204520,-0.382682,1.020146,112.031998,347.509674
42.6340790,0.874701,-0.165227,-0.030507,0.890692,91.962822,349.303131
42.6360893,0.532289,0.063943,0.454679,0.702960,49.698792,6.850025
42.6381073,0.776346,0.003905,-0.062235,0.778846,94.583168,0.288188
42.6400871,0.710451,-0.132035,-0.117636,0.732128,99.246147,349.471863
42.6421013,0.812955,-0.195002,-0.280422,0.881792,108.542831,346.511414
42.6441193,1.069459,-0.233563,-0.440279,1.179890,111.910194,347.680420
42.6461334,1.019427,0.011959,0.328989,1.071265,72.115242,0.672101
42.6481438,0.953288,-0.081759,0.783912,1.236915,50.671665,355.097992
42.6501617,1.035779,-0.177918,0.658955,1.240449,57.911900,350.253326
42.6521759,0.996242,-0.009030,-0.508859,1.118712,117.056038,359.480682
42.6541862,0.947674,0.003661,-0.852492,1.274693,131.973145,0.221332
42.6561737,0.963538,-0.069312,-0.617953,1.146767,122.606415,355.885498
42.6581879,1.181725,-0.257236,-0.291648,1.244068,103.558105,347.719513
42.6601982,1.401865,-0.378289,0.489091,1.532167,71.384544,344.898621
42.6622162,1.317665,-0.369015,0.725338,1.548718,62.072926,344.355011
42.6642303,1.351833,-0.306536,0.068824,1.387859,87.157532,347.223907
42.6662407,1.379900,-0.121785,-0.908137,1.656402,123.247643,354.956360
42.6682549,1.204911,-0.107629,-0.835652,1.470275,124.636253,354.895569
42.6702728,1.136819,-0.165715,-0.308488,1.189531,105.030678,351.706360
42.6722527,1.141700,-0.260653,-0.276761,1.203335,103.296768,347.139618
42.6742706,0.962806,-0.238932,0.026358,0.992360,88.477982,346.062897
42.6762848,0.939620,-0.304339,0.058818,0.989428,86.591972,342.053070
42.6782951,1.007224,-0.370235,-0.341436,1.126123,107.649666,339.817627
42.6803093,0.945966,-0.118124,-0.424171,1.043420,113.986427,352.882263
42.6823273,0.917411,-0.147655,-0.294333,0.974719,107.575790,350.856812
42.6843414,0.934739,-0.130327,-0.159857,0.957224,99.613510,352.062683
42.6863251,0.925709,0.042466,-0.415385,1.015522,114.144302,2.626544
42.6883392,0.996730,0.029287,-0.286523,1.037508,106.031433,1.683035
