Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
25.0734348,1.254454,0.292869,-0.242837,1.310876,100.675575,13.141069
25.0754471,1.348172,0.242349,-0.283595,1.398831,101.697052,10.190712
25.0774593,1.476058,0.203544,-0.427588,1.550164,106.011734,7.851389
25.0794754,1.506809,0.171084,-0.495436,1.595369,108.092171,6.477660
25.0814896,1.583199,0.119832,-0.463953,1.654126,106.288986,4.328455
25.0835037,1.592474,0.054913,-0.551325,1.686104,109.085686,1.974934
25.0855179,1.582467,0.071265,-0.562552,1.680995,109.551498,2.578512
25.0875320,1.528531,0.121541,-0.606726,1.649028,111.587982,4.546286
25.0895157,1.466540,0.144726,-0.567189,1.579047,111.050896,5.636003
25.0915298,1.367941,0.244545,-0.523503,1.484965,110.642479,10.135639
25.0935440,1.375019,0.264070,-0.527896,1.496357,110.657906,10.871193
25.0955582,1.273247,0.376580,-0.700200,1.501083,117.804970,16.476313
25.0975723,1.213453,0.427832,-0.534974,1.393450,112.576706,19.421349
25.0995865,1.249329,0.370723,-0.455655,1.380536,109.272202,16.527605
25.1016006,1.137063,0.455411,-0.618441,1.372144,116.789337,21.826849
25.1036148,1.106067,0.442232,-0.606238,1.336592,116.972969,21.792690
25.1056290,1.081906,0.372675,-0.468834,1.236613,112.279640,19.006884
25.1076412,0.957437,0.378777,-0.365354,1.092538,109.536552,21.584524
25.1096573,0.958413,0.350710,-0.528140,1.149123,117.361458,20.098997
25.1116695,0.869332,0.313858,-0.313125,0.975855,108.715736,19.851263
25.1136551,0.847611,0.293845,-0.344365,0.960925,111.000015,19.120119
25.1156673,0.863475,0.283106,-0.500317,1.037331,118.836533,18.152704
25.1176834,0.830283,0.256260,-0.380729,0.948680,113.661057,17.152422
25.1196957,0.831015,0.230634,-0.265046,0.902235,107.083580,15.511091
25.1217117,0.838581,0.229658,-0.282618,0.914239,108.006775,15.315773
25.1237240,0.836140,0.268707,-0.178406,0.896193,101.482620,17.815641
25.1257401,0.849075,0.248450,-0.214526,0.910317,103.630592,16.310152
25.1277523,0.842486,0.292381,-0.207205,0.915534,103.080574,19.139088
25.1297684,0.805633,0.352663,-0.209157,0.903970,103.378098,23.641214
25.1317806,0.808318,0.347293,-0.260897,0.917637,106.517860,23.250767
25.1337948,0.790257,0.362425,-0.242105,0.902482,105.561081,24.636969
25.1358089,0.778787,0.320447,-0.129350,0.852013,98.732254,22.365685
25.1378231,0.774150,0.308000,-0.032216,0.833792,92.214310,21.695446
25.1398067,0.754869,0.308976,-0.037097,0.816499,92.604065,22.259842
25.1418209,0.768780,0.263338,-0.031727,0.813251,92.235855,18.908369
25.1438351,0.762679,0.225509,-0.052228,0.797033,93.757195,16.471895
25.1458492,0.750232,0.201103,-0.053204,0.778538,93.918587,15.005636
25.1478653,0.751208,0.176209,-0.028555,0.772126,92.119392,13.201088
25.1498775,0.742910,0.145702,0.093962,0.762872,82.924980,11.096211
25.1518936,0.705325,0.110558,0.136672,0.726902,79.162743,8.908478
25.1539059,0.698492,0.122517,0.169864,0.729215,76.529739,9.948583
25.1559219,0.672622,0.131303,0.184507,0.709721,74.931618,11.045826
25.1579342,0.667985,0.127398,0.111046,0.689032,80.725624,10.797765
25.1599503,0.638210,0.133011,0.132523,0.665256,78.509468,11.772665
25.1619625,0.639674,0.113975,0.161322,0.669476,76.056358,10.102729
25.1639481,0.657002,0.074682,0.212330,0.694488,72.197556,6.484984
25.1659603,0.667985,0.044174,0.224777,0.706172,71.439674,3.783507
25.1679764,0.666764,0.016108,0.249915,0.712244,69.458641,1.383889
25.1699886,0.676771,0.013423,0.327037,0.751766,64.213135,1.136262
25.1720028,0.766584,0.016108,0.215259,0.796396,74.318428,1.203746
25.1740170,0.750476,0.011227,0.157661,0.766940,78.137047,0.857044
25.1760311,0.762679,0.010739,0.125934,0.773081,80.624832,0.806671
25.1780453,0.853224,-0.008054,0.225753,0.882622,75.180458,359.459167
25.1800594,0.832723,-0.014155,0.193049,0.854925,76.949577,359.026123
25.1820736,0.861034,-0.039293,0.161078,0.876852,79.414650,357.387115
25.1840878,0.856885,-0.022941,0.211842,0.882981,76.118385,358.466400
25.1861019,0.824669,0.016840,0.318007,0.884020,68.916519,1.169831
25.1880856,0.886172,0.069556,0.051008,0.890360,86.715775,4.487989
25.1900997,0.912286,0.091766,0.091766,0.921470,84.284668,5.743979
25.1921139,0.938156,0.089325,0.251623,0.975413,75.050606,5.438925
25.1941280,1.023332,0.099819,0.042222,1.029055,87.648506,5.571207
25.1961422,1.079953,0.092254,0.155709,1.095014,81.824959,4.882566
25.1981544,1.097769,-0.030995,0.213550,1.118777,78.995964,358.382690
25.2001705,1.206131,-0.082003,0.145702,1.217664,83.127686,356.110535
25.2021828,1.224923,-0.109826,0.218919,1.249170,79.906685,354.876587
25.2041988,1.253234,-0.257969,0.123493,1.285455,84.487122,348.368561
25.2062111,1.312540,-0.273344,0.096647,1.344179,85.876869,348.235962
25.2082272,1.244204,-0.356568,0.073217,1.296358,86.762260,344.008606
25.2102089,1.272270,-0.398790,0.063211,1.334804,87.285690,342.596558
25.2122250,1.221262,-0.372431,0.007566,1.276810,89.660492,343.040588
25.2142372,1.137063,-0.386099,0.046859,1.201740,87.765320,341.244690
25.2162533,1.129497,-0.394885,0.061991,1.198140,87.034248,340.729797
25.2182655,1.058720,-0.333382,0.061014,1.111645,86.853653,342.521210
25.2202816,0.995754,-0.280422,0.041002,1.035298,87.730286,344.271851
25.2222958,0.951579,-0.176209,0.098843,0.972791,84.168236,349.509064
25.2243099,0.905940,-0.118124,0.103480,0.919451,83.537910,352.571228
25.2263241,0.837604,-0.051496,0.123737,0.848259,81.612244,356.481873
25.2283363,0.762191,0.021233,0.151560,0.777403,78.757843,1.595723
25.2303524,0.721189,0.046371,0.182067,0.745260,75.859550,3.678928
25.2323647,0.675550,0.056621,0.246010,0.721176,70.054703,4.791049
25.2343502,0.609655,0.098355,0.282618,0.679136,65.408638,9.164511
25.2363625,0.585981,0.128130,0.289940,0.666226,64.202118,12.334104
25.2383785,0.584273,0.130083,0.277737,0.659874,65.108963,12.551612
25.2403908,0.574023,0.146190,0.268219,0.650242,65.638603,14.288167
25.2424068,0.577439,0.131059,0.284815,0.657063,64.312263,12.787517
25.2444191,0.588422,0.127154,0.281398,0.664525,64.946938,12.193719
25.2464352,0.601357,0.130083,0.354615,0.710143,60.042526,12.205872
25.2484474,0.621858,0.132279,0.419046,0.761449,56.610523,12.008734
25.2504635,0.657002,0.170352,0.402939,0.789323,59.303783,14.535933
25.2524757,0.668717,0.181335,0.402450,0.801268,59.849918,15.171926
25.2544613,0.660907,0.205740,0.392200,0.795580,60.463791,17.291359
25.2564735,0.681408,0.234295,0.375604,0.812582,62.468552,18.974995
25.2584896,0.685801,0.242593,0.371455,0.816794,62.949741,19.480555
25.2605019,0.647972,0.253331,0.399034,0.802043,60.163826,21.353533
25.2625160,0.617465,0.227949,0.467370,0.807253,54.622387,20.262630
25.2645302,0.605750,0.227949,0.499829,0.817755,52.322144,20.621792
25.2665443,0.613072,0.265046,0.423439,0.790827,57.626339,23.380028
25.2685585,0.599161,0.249182,0.401474,0.763064,58.255363,22.581739
25.2705727,0.601357,0.188656,0.318495,0.706159,63.190590,17.417557
25.2725868,0.620149,0.186704,0.343633,0.733162,62.050106,16.755085
25.2746010,0.658710,0.179626,0.369991,0.776568,61.546631,15.253322
25.2765846,0.711915,0.157417,0.406111,0.834583,60.882412,12.468482
25.2785988,0.732904,0.163030,0.405379,0.853264,61.634644,12.540927
25.2806129,0.816860,0.183775,0.378289,0.918768,65.686157,12.679161
25.2826271,0.831503,0.176453,0.315566,0.906706,69.632774,11.981009
25.2846413,0.831259,0.191341,0.280178,0.897832,71.816566,12.962670
25.2866554,0.827842,0.222336,0.258945,0.895438,73.190987,15.033349
25.2886696,0.814907,0.204520,0.304095,0.893519,70.102745,14.088719
25.2906837,0.793918,0.239176,0.360717,0.904228,66.489174,16.765472
