Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
24.5584927,0.485918,-0.166691,-0.089569,0.521464,99.890427,341.065796
24.5605068,0.474935,-0.209645,0.066872,0.523437,82.660126,336.182465
24.5625210,0.532045,-0.029531,-0.561820,0.774329,136.515213,356.823090
24.5645351,0.542783,-0.152292,-0.468834,0.733220,129.748413,344.327179
24.5665493,0.609655,-0.567433,-0.100308,0.838881,96.867462,317.054321
24.5685635,0.917411,-0.687753,0.004149,1.146588,89.792671,323.142303
24.5705776,1.406746,-1.036267,-0.291648,1.771396,99.476517,323.623108
24.5725918,1.496315,-0.965491,0.072485,1.782241,87.669098,327.168060
24.5746059,1.633231,-0.808806,0.528384,1.897577,73.832169,333.654541
24.5766201,1.628106,-0.794406,0.060770,1.812596,88.078705,333.990723
24.5786037,1.579539,-0.431005,-0.410260,1.687904,104.067154,344.737396
24.5806179,1.555621,-0.495192,-0.071265,1.634090,92.499535,342.342468
24.5826321,1.458730,-0.398057,-0.051740,1.512951,91.959793,344.736755
24.5846462,1.396496,-0.125201,0.008786,1.402124,89.640968,354.876892
24.5866585,1.187094,-0.155464,0.067848,1.199152,86.756477,352.538879
24.5886745,1.114365,-0.079563,-0.088349,1.120690,94.521561,355.916168
24.5906868,1.061405,0.156929,0.148875,1.083222,82.100433,8.410258
24.5927029,0.874945,0.100308,0.127642,0.889878,81.753189,6.540085
24.5947151,0.880070,0.339240,-0.072729,0.945990,94.409332,21.080090
24.5967312,0.805633,0.318495,-0.125445,0.875340,98.239456,21.570610
24.5987434,0.759506,0.256748,-0.131547,0.812449,99.318001,18.677633
24.6007290,0.913506,0.201103,-0.105677,0.941331,96.445793,12.415302
24.6027412,1.021380,0.036365,-0.122761,1.029373,96.849274,2.039060
24.6047573,1.111437,-0.082247,0.088837,1.118011,85.442490,355.767761
24.6067696,1.286182,-0.190121,0.157905,1.309711,83.075302,351.591553
24.6087856,1.262508,-0.328257,0.019525,1.304631,89.142502,345.425568
24.6107998,1.183434,-0.208669,0.040025,1.202356,88.092323,350.000122
24.6128139,1.383072,-0.376092,-0.475424,1.510087,108.350670,344.787659
24.6148281,1.204423,-0.370235,-0.265046,1.287617,101.878822,342.912781
24.6168404,1.128765,-0.298726,0.102992,1.172158,84.959183,345.176575
24.6188564,1.151706,-0.468590,0.051984,1.244470,87.605934,337.860260
24.6208687,1.059941,-0.344121,-0.027090,1.114732,91.392548,342.013428
24.6228542,1.083614,-0.387319,0.024406,1.151013,88.785027,340.331451
24.6248665,0.902524,-0.426124,-0.096891,1.002756,95.544823,334.725800
24.6268826,0.852004,-0.334358,-0.604042,1.096619,123.423424,338.573090
24.6288948,0.932543,-0.415629,-0.382194,1.090163,110.523033,335.977722
24.6309109,0.847367,-0.336311,-0.009518,0.911716,90.598175,338.352386
24.6329231,0.835164,-0.200127,0.044418,0.859955,87.039238,346.524536
24.6349392,0.816616,-0.079075,-0.068580,0.823296,94.778244,354.469177
24.6369514,0.768048,-0.052960,0.160590,0.786443,78.217468,356.055450
24.6389675,0.693123,-0.027334,0.131059,0.705934,79.300789,357.741608
24.6409492,0.701909,0.151071,-0.471763,0.859103,123.307610,12.146447
24.6429653,0.596476,0.165227,-0.118368,0.630154,100.826721,15.482994
24.6449776,0.612340,0.141553,0.239908,0.672721,69.106995,13.016296
24.6469936,0.652121,0.283839,0.133743,0.723680,79.349945,23.521299
24.6490059,0.649192,0.302875,0.105677,0.724121,81.608398,25.010998
24.6510201,0.663836,0.213794,0.356324,0.783168,62.936539,17.851612
24.6530342,0.694099,0.226973,0.347782,0.808852,64.534393,18.107962
24.6550484,0.880314,0.162054,-0.084200,0.899058,95.373817,10.430602
24.6570625,0.760238,0.078098,0.041002,0.765338,86.929008,5.865348
24.6590767,0.733392,0.031239,0.103724,0.741349,81.957191,2.439078
24.6610909,0.971104,-0.146190,0.016840,0.982190,89.017601,351.438965
24.6630745,0.865915,-0.215014,-0.057598,0.894068,93.693657,346.054993
24.6650887,0.847367,-0.247962,0.197686,0.904763,77.379333,343.689117
24.6671028,0.977449,-0.349246,0.318495,1.085734,72.941673,340.338013
24.6691170,1.056036,-0.253575,0.063211,1.087891,86.669014,346.497772
24.6711311,1.365988,-0.320691,0.005857,1.403140,89.760818,346.788025
24.6731453,1.393811,-0.296286,-0.110314,1.429218,94.426765,347.999146
24.6751595,1.330356,-0.250891,-0.262362,1.378995,100.967705,349.320068
24.6771755,1.269342,-0.202568,0.073461,1.287501,86.729088,350.932922
24.6791878,1.185874,-0.185484,0.133011,1.207640,83.676529,351.110352
24.6812000,1.076781,-0.110314,0.229170,1.106411,78.045837,354.150574
24.6831856,1.050911,0.015132,0.168644,1.064463,80.884186,0.824917
24.6852016,0.965979,0.117392,0.091766,0.977403,84.612732,6.928951
24.6872139,0.921560,0.292137,-0.041246,0.967635,92.442986,17.588726
24.6892262,0.919364,0.268463,-0.316542,1.008713,108.288879,16.278309
24.6912422,0.806365,0.122273,-0.157173,0.830589,100.907883,8.622327
24.6932564,0.754869,0.110070,-0.019525,0.763101,91.466118,8.296012
24.6952705,0.741202,0.073217,-0.042710,0.746033,93.281952,5.641472
24.6972847,0.747791,0.052716,0.104212,0.756856,82.085732,4.032457
24.6992989,0.719725,0.066384,0.082247,0.727444,83.508064,5.269747
24.7013130,0.813443,0.091277,-0.016108,0.818706,91.127350,6.402448
24.7033272,0.976229,0.010983,-0.231610,1.003388,103.345840,0.644550
24.7053108,0.835896,0.077854,-0.277737,0.884263,108.305809,5.321103
24.7073250,0.812711,0.103236,-0.194026,0.841904,103.324181,7.239341
24.7093391,0.806609,0.047347,0.066140,0.810700,85.320427,3.359347
24.7113533,0.649436,0.088593,0.130815,0.668378,78.713234,7.768049
24.7133675,0.710207,0.113487,0.107873,0.727261,81.469948,9.078757
24.7153816,0.658955,0.142773,0.108850,0.682974,80.829330,12.225121
24.7173958,0.666276,0.122517,0.209645,0.709144,72.804611,10.419312
24.7194080,0.720457,0.124957,-0.227461,0.765775,107.279556,9.839594
24.7214241,0.679944,0.299702,-0.297994,0.800590,111.852455,23.786699
24.7234364,0.784644,0.238688,-0.222580,0.849812,105.183846,16.919712
24.7254219,0.893982,0.223068,-0.035632,0.922080,92.214661,14.010479
24.7274342,0.939620,0.168399,0.020257,0.954806,88.784348,10.160723
24.7294502,1.171475,-0.084688,0.192317,1.190173,80.700943,355.865173
24.7314625,1.252990,-0.125689,0.180846,1.272198,81.827568,354.271729
24.7334785,1.294968,-0.109582,0.014643,1.299678,89.354439,355.163086
24.7354908,1.171719,-0.200127,-0.361937,1.242568,106.934692,350.307526
24.7375069,1.053351,-0.182799,-0.107629,1.074499,95.748779,350.154938
24.7395191,1.103871,-0.159857,-0.187680,1.131066,99.551384,351.759979
24.7415352,1.048470,-0.150583,-0.204032,1.078700,100.902954,351.826965
24.7435474,0.962806,-0.150583,0.308488,1.022172,72.434441,351.110931
24.7455330,0.887148,-0.089081,0.165227,0.906789,79.501442,354.265991
24.7475452,0.933031,-0.038561,0.079807,0.937231,85.115257,357.633392
24.7495613,0.858837,-0.044174,-0.026846,0.860392,91.788055,357.055573
24.7515736,0.705081,0.049544,-0.039049,0.707898,93.162163,4.019369
24.7535877,0.810758,0.066872,-0.131791,0.824117,99.202118,4.715108
24.7556019,0.841753,0.071265,-0.190121,0.865895,102.683517,4.839248
24.7576160,0.827842,0.172793,0.239420,0.878921,74.192726,11.789872
24.7596321,0.919852,0.257969,0.217211,0.979722,77.190704,15.665927
24.7616444,0.948895,0.380973,0.204520,1.042770,78.689178,21.875057
24.7636604,0.858593,0.599161,0.237224,1.073523,77.233589,34.908863
