Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
92.6727524,1.187338,-0.327037,-0.011471,1.231608,90.533638,344.600494
92.6747665,1.081174,-0.284083,-0.048323,1.118917,92.475235,345.278076
92.6767731,1.011861,-0.286279,0.009274,1.051620,89.494705,344.202545
92.6787872,0.851028,-0.192073,-0.018304,0.872625,91.201935,347.281708
92.6808014,0.783180,-0.147167,-0.085176,0.801426,96.100952,349.357697
92.6828156,0.733880,-0.113731,0.011227,0.742725,89.133919,351.190857
92.6848373,0.634793,-0.105921,0.173281,0.666489,74.930511,350.526978
92.6868515,0.675550,-0.114219,0.129106,0.697196,79.328415,350.403473
92.6888657,0.746083,-0.069800,0.056621,0.751477,85.678864,354.655212
92.6908493,0.888857,-0.123005,-0.038073,0.898135,92.429558,352.121124
92.6928635,0.890321,-0.128618,-0.124225,0.908100,97.862534,351.779755
92.6948776,0.940597,-0.196222,-0.096159,0.965646,95.714958,348.216278
92.6968842,0.937424,-0.262606,0.017084,0.973662,88.994629,344.350555
92.6988983,0.995998,-0.292869,0.066872,1.040315,86.314476,343.614258
92.7009125,1.024552,-0.268707,0.056621,1.060715,86.940079,345.304138
92.7029266,1.071411,-0.202812,-0.034900,1.090996,91.833160,349.281097
92.7049484,1.086543,-0.130083,-0.215991,1.115414,101.165382,353.172974
92.7069626,1.111193,-0.117880,-0.346317,1.169863,107.219444,353.944489
92.7089767,1.096061,-0.163030,-0.257969,1.137751,103.104958,351.539734
92.7109604,1.056768,-0.216967,-0.006590,1.078831,90.349968,348.397736
92.7129745,1.057500,-0.166203,0.150339,1.080986,82.005615,351.068115
92.7149811,1.038708,-0.103480,0.180358,1.059316,80.197113,354.310730
92.7169952,1.088251,0.015376,-0.005613,1.088374,90.295509,0.809463
92.7190094,1.062137,0.168155,-0.276273,1.110287,104.408287,8.996287
92.7210236,1.070435,0.174501,-0.331186,1.134004,106.980705,9.258837
92.7230453,1.026017,0.164983,-0.145946,1.049395,97.994415,9.134922
92.7250595,1.030654,0.085664,0.195490,1.052521,79.296028,4.751290
92.7270737,1.013814,0.112510,0.285547,1.059252,74.361069,6.332623
92.7290573,1.046273,0.129106,0.176941,1.068955,80.472122,7.034527
92.7310715,1.089227,0.159125,-0.165471,1.113157,98.548706,8.311549
92.7330856,1.130473,0.097135,-0.349734,1.187316,107.131073,4.911021
92.7350922,1.148289,0.036853,-0.330209,1.195393,106.035629,1.838192
92.7371063,1.110461,-0.095914,-0.066140,1.116556,93.395920,355.063416
92.7391205,1.111925,-0.181090,0.207693,1.145560,79.554367,350.749908
92.7411346,1.101918,-0.104456,0.128862,1.114334,83.359428,354.584808
92.7431564,1.088007,-0.028067,0.020989,1.088572,88.895203,358.522308
92.7451706,1.075072,0.081027,-0.235271,1.103494,102.310280,4.310171
92.7471542,1.037487,0.116903,-0.285059,1.082268,105.271317,6.428935
92.7491684,1.021868,0.107629,-0.180602,1.043271,99.968781,6.012568
92.7511826,1.061649,0.030751,-0.011471,1.062156,90.618774,1.659138
92.7531891,1.075804,0.031727,0.168155,1.089329,81.119965,1.689268
92.7552032,1.213453,0.021233,0.102016,1.217918,85.195129,1.002459
92.7572174,1.221262,0.074437,-0.039293,1.224160,91.839401,3.487934
92.7592316,1.239323,0.107141,-0.155220,1.253592,97.112648,4.941013
92.7612457,1.248353,0.061746,-0.198907,1.265607,99.042267,2.831677
92.7632675,1.194172,0.036365,-0.170596,1.206844,98.126389,1.744213
92.7652817,1.200274,-0.108605,0.024650,1.205429,88.828278,354.829742
