Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
31.6406841,0.804901,-0.109826,-0.005857,0.812380,90.413116,352.230194
31.6426983,0.784400,-0.079563,-0.023429,0.788773,91.702148,354.208221
31.6447124,0.768048,-0.055645,0.031239,0.770695,87.676941,355.856171
31.6467266,0.780495,-0.050764,0.012691,0.782247,89.070404,356.278687
31.6487408,0.825890,0.011227,-0.079563,0.829789,95.502144,0.778795
31.6507244,0.903256,0.044418,-0.087861,0.908605,95.549080,2.815303
31.6527386,0.960365,0.058818,-0.000244,0.962165,90.014534,3.504716
31.6547527,0.954020,0.083468,0.022941,0.957939,88.627708,5.000099
31.6567669,0.944013,0.112754,-0.028311,0.951145,91.705650,6.811230
31.6587811,0.866647,0.187436,-0.020013,0.886910,91.292961,12.203802
31.6607952,0.823937,0.211110,-0.015864,0.850701,91.068504,14.371185
31.6628094,0.834920,0.231366,-0.078830,0.869963,95.198906,15.488688
31.6648235,0.816616,0.254552,-0.049300,0.856789,93.298615,17.313065
31.6668396,0.878606,0.234783,-0.007322,0.909464,90.461266,14.961129
31.6688519,0.892517,0.207205,-0.019281,0.916457,91.205482,13.070114
31.6708355,0.852736,0.182555,-0.119100,0.880153,97.776970,12.083557
31.6728497,0.849563,0.099087,-0.027578,0.855767,91.846771,6.652531
31.6748638,0.842730,0.049300,-0.007078,0.844200,90.480362,3.347979
31.6768780,0.775126,0.063211,-0.011227,0.777780,90.827049,4.662104
31.6788902,0.839801,-0.006834,-0.003905,0.839838,90.266403,359.533783
31.6809063,0.861766,-0.051496,-0.045883,0.864522,93.042290,356.580261
31.6829205,0.900815,-0.075414,-0.116171,0.911401,97.323097,355.214508
31.6849346,0.982575,-0.205740,-0.120076,1.011039,96.820839,348.173767
31.6869488,0.949383,-0.259189,-0.035388,0.984763,92.059418,344.729919
31.6889629,0.943769,-0.275297,-0.006590,0.983124,90.384041,343.738098
31.6909466,0.881047,-0.270660,-0.025870,0.922046,91.607773,342.922913
31.6929607,0.809538,-0.161322,-0.072729,0.828653,95.035202,348.729919
31.6949749,0.794894,-0.090545,-0.087861,0.804845,96.267166,353.501526
31.6969891,0.904476,-0.012447,-0.114463,0.911775,97.211853,359.211578
31.6990032,0.969884,-0.015620,-0.059794,0.971850,93.527405,359.077362
31.7010174,0.971104,-0.057353,0.046615,0.973912,87.256569,356.620026
31.7030315,0.976717,-0.090545,0.021477,0.981140,88.745705,354.703613
31.7050457,0.908625,-0.043442,-0.044662,0.910759,92.810844,357.262726
31.7070599,0.849807,-0.004393,-0.052960,0.851467,93.566040,359.703827
31.7090721,0.843218,0.049544,0.029043,0.845171,88.030746,3.362572
31.7110882,0.874945,0.100552,0.085664,0.884861,84.444443,6.555859
31.7130699,0.919364,0.157661,-0.049300,0.934086,93.025383,9.730956
31.7150860,0.936692,0.147411,-0.065895,0.950507,93.975311,8.943494
31.7170982,0.968907,0.063699,-0.008542,0.971036,90.504028,3.761387
31.7191143,0.948895,0.019769,0.010983,0.949164,89.337029,1.193489
31.7211266,0.950847,0.023674,0.073705,0.953993,85.568924,1.426217
31.7231426,0.935960,0.029775,0.112754,0.943197,83.134155,1.822094
31.7251549,0.938156,0.113243,0.022453,0.945233,88.638855,6.882737
31.7271709,0.980378,0.103236,-0.222336,1.010560,102.709785,6.011233
31.7291832,0.938888,0.096403,-0.165227,0.958178,99.929634,5.862438
31.7311993,0.975009,-0.067360,0.082003,0.980767,85.203827,356.047913
31.7332115,0.960853,-0.076146,0.144238,0.974598,81.489120,355.468872
31.7352276,0.927173,-0.015376,0.086396,0.931317,84.677139,359.049927
31.7372093,0.905452,0.024650,0.042466,0.906783,87.315773,1.559419
31.7392254,0.934739,0.063943,-0.096647,0.941895,95.889412,3.913354
31.7412376,1.046273,0.043930,-0.142285,1.056817,97.737556,2.404289
31.7432518,1.074828,0.009030,-0.052960,1.076170,92.820778,0.481357
31.7452660,1.127056,-0.091766,0.142041,1.139672,82.840408,355.345215
31.7472801,1.106556,-0.066872,0.023918,1.108832,88.764030,356.541687
31.7492943,1.097525,-0.029531,-0.049300,1.099029,92.570999,358.458710
31.7513084,1.055548,0.023918,-0.046127,1.056826,92.501556,1.298041
31.7533245,1.048470,0.112266,-0.128130,1.062220,96.928162,6.111736
31.7553368,1.017475,0.175233,-0.041978,1.033307,92.328270,9.771822
31.7573528,0.983307,0.185484,0.041246,1.001498,87.639664,10.682323
31.7593346,0.993069,0.145946,-0.050764,1.005019,92.895264,8.360617
31.7613506,0.950359,0.142773,-0.175721,0.976957,100.361946,8.543715
31.7633629,0.987944,0.084200,-0.033436,0.992089,91.931374,4.871391
31.7653790,1.012105,0.079807,0.005857,1.015264,89.669441,4.508569
31.7673912,1.070679,0.081027,-0.074193,1.076301,93.952744,4.327789
31.7694073,1.089960,0.086884,-0.099087,1.097898,95.178093,4.557604
31.7714195,1.076293,0.068580,-0.104945,1.083569,95.557861,3.645890
31.7734356,1.121199,-0.003417,-0.136184,1.129445,96.925346,359.825409
31.7754478,1.050666,0.022209,-0.059062,1.052559,93.216705,1.210950
31.7774620,1.090448,0.030995,0.021477,1.091100,88.872124,1.628157
31.7794456,1.144384,-0.025626,-0.049300,1.145732,92.466133,358.717194
31.7814598,1.190511,-0.046615,-0.143506,1.200035,96.868126,357.757721
31.7834740,1.266901,-0.136672,-0.048323,1.275168,92.171783,353.842804
31.7854881,1.273491,-0.145946,-0.016840,1.281937,90.752678,353.462250
31.7875023,1.210768,-0.064187,-0.089081,1.215736,94.202011,356.965393
31.7895164,1.184898,-0.006345,-0.133011,1.192357,96.404854,359.693176
