Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
38.5337334,0.893738,-0.414897,-0.137404,0.994880,97.938568,335.097992
38.5357475,0.888368,-0.414165,-0.171084,0.994988,99.900978,335.004639
38.5377655,0.882023,-0.397813,-0.191097,0.986275,101.172073,335.723480
38.5397797,0.875433,-0.378045,-0.253575,0.986713,104.891548,336.643524
38.5417900,0.844438,-0.384878,-0.254064,0.962162,105.310806,335.497437
38.5438042,0.831503,-0.400986,-0.247962,0.955862,105.035179,334.254669
38.5458221,0.794162,-0.436862,-0.287011,0.950746,107.570564,331.185150
38.5478020,0.758286,-0.455167,-0.256748,0.920920,106.188316,329.025391
38.5498199,0.759262,-0.486406,-0.255040,0.937078,105.793137,327.355164
38.5518341,0.760482,-0.512520,-0.334358,0.976118,110.031639,326.022369
38.5538445,0.758530,-0.519354,-0.365842,0.989412,111.700615,325.601166
38.5558586,0.822473,-0.595012,-0.342656,1.071407,108.651978,324.116425
38.5578766,0.858837,-0.608679,-0.358764,1.112117,108.819984,324.673889
38.5598869,0.882999,-0.584517,-0.327769,1.108504,107.198669,326.496704
38.5619011,0.950847,-0.573779,-0.302631,1.151051,105.243225,328.891571
38.5639153,0.954264,-0.530580,-0.317518,1.137081,106.214851,330.925507
38.5658989,0.991605,-0.479084,-0.362669,1.159453,108.227654,334.212921
38.5679131,0.993801,-0.427344,-0.357056,1.139189,108.266037,336.731812
38.5699310,0.983063,-0.347538,-0.246742,1.071483,103.313599,340.530212
38.5719414,0.970128,-0.325572,-0.218187,1.046303,102.036308,341.448364
38.5739555,0.978181,-0.346073,-0.242593,1.065578,103.159531,340.516602
38.5759697,0.968663,-0.412945,-0.223068,1.076379,101.960632,336.911255
38.5779877,0.939620,-0.421731,-0.189144,1.047148,100.406349,335.827972
38.5799980,0.947674,-0.472007,-0.195978,1.076701,100.487274,333.523560
38.5820122,0.959877,-0.484454,-0.196954,1.093092,100.380287,333.219757
38.5840263,0.955728,-0.525943,-0.113243,1.096748,95.926521,331.175720
38.5860100,0.981110,-0.562796,-0.121296,1.137554,96.121040,330.160034
38.5880241,0.990872,-0.605994,-0.165959,1.173286,98.131645,328.551025
38.5900383,1.006004,-0.668229,-0.114463,1.213126,95.414116,326.406281
38.5920525,1.016498,-0.684581,-0.114707,1.230885,95.347191,326.040955
38.5940666,1.001855,-0.629912,-0.108850,1.188424,95.255173,327.840546
38.5960808,0.989408,-0.579392,-0.078098,1.149227,93.896667,329.647003
38.5980949,0.968663,-0.537658,-0.116171,1.113948,95.986137,330.967468
38.6001091,0.959145,-0.483477,-0.123249,1.081157,96.545792,333.248627
38.6021233,0.959633,-0.463953,-0.041246,1.066700,92.215988,334.197662
38.6041069,0.982575,-0.457851,-0.056377,1.085476,92.977158,335.015839
38.6061211,0.977693,-0.417338,-0.054913,1.064458,92.957069,336.884308
38.6081390,0.985015,-0.395861,-0.022697,1.061827,91.224831,338.105652
38.6101494,0.969639,-0.344365,-0.045151,1.029964,92.512482,340.447632
38.6121635,0.958413,-0.322400,-0.049544,1.012399,92.804993,341.407623
38.6141777,0.941329,-0.324596,-0.029043,0.996146,91.670708,340.974396
38.6161957,0.929858,-0.297994,-0.037585,0.977164,92.204323,342.230774
