Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
29.6062355,1.246400,0.098355,-0.029287,1.250618,91.341873,4.511934
29.6082497,1.329136,-0.033192,0.005857,1.329563,89.747581,358.569489
29.6102638,1.541954,-0.231366,-0.151071,1.566517,95.534081,351.466583
29.6122799,1.528042,-0.315810,-0.124469,1.565293,94.560867,348.322723
29.6142921,1.519500,-0.357056,-0.110070,1.564764,94.033676,346.776398
29.6163082,1.490702,-0.422951,-0.129106,1.554911,94.762825,344.159973
29.6182899,1.321326,-0.321423,-0.083224,1.362403,93.502144,346.327881
29.6203060,1.306438,-0.279201,-0.137648,1.343012,95.882698,347.936676
29.6223183,1.256163,-0.123737,-0.224533,1.282057,100.086494,354.374298
29.6243343,1.243716,-0.029287,-0.141553,1.252088,96.491379,358.651062
29.6263466,1.285694,0.046127,-0.095426,1.290055,94.242088,2.054719
29.6283607,1.265193,0.090301,-0.074682,1.270608,93.369568,4.082475
29.6303749,1.251037,0.155220,0.010250,1.260672,89.534126,7.072733
29.6323891,1.398936,0.133499,0.046859,1.406073,88.090195,5.451181
29.6344032,1.393811,0.174013,0.022453,1.404811,89.084198,7.116374
29.6364174,1.429687,0.173769,-0.007810,1.440230,90.310692,6.929920
29.6384315,1.412847,0.135208,0.079563,1.421531,86.791496,5.466486
29.6404152,1.429687,0.116903,0.059794,1.435705,87.613060,4.674592
29.6424294,1.436521,0.105921,0.003417,1.440425,89.864090,4.217031
29.6444435,1.426515,0.062235,-0.043686,1.428540,91.752441,2.498061
29.6464577,1.396984,-0.019036,0.106409,1.401160,85.644562,359.219299
29.6484718,1.331088,-0.090545,-0.006834,1.334182,90.293465,356.108551
29.6504860,1.254454,-0.164739,-0.297262,1.299676,103.221710,352.518555
29.6525002,1.191731,-0.243813,-0.203300,1.233288,99.488152,348.437561
29.6545143,1.138283,-0.288232,-0.217455,1.194174,100.491898,345.790466
29.6565285,1.173183,-0.277981,-0.281154,1.238014,103.126434,346.669830
29.6585407,1.166350,-0.225509,-0.234539,1.210881,101.168373,349.057129
29.6605568,1.168302,-0.102016,-0.194026,1.188690,99.394218,355.009613
29.6625385,1.196613,-0.082735,-0.391468,1.261734,108.074997,356.044800
29.6645546,1.144384,0.007810,-0.474447,1.238861,112.517807,0.391008
29.6665668,1.055548,-0.007810,-0.146434,1.065685,97.897926,359.576080
29.6685829,1.050422,0.002441,-0.147411,1.060718,97.988388,0.133122
29.6705952,1.058964,0.109582,-0.289696,1.103330,105.222321,5.907944
29.6726112,1.065066,0.133987,-0.152536,1.084244,98.087425,7.170257
29.6746235,1.026261,0.123493,-0.225021,1.057873,102.281242,6.861578
29.6766396,1.011373,0.111046,-0.342900,1.073680,108.624794,6.265823
29.6786518,1.099722,-0.046615,-0.196222,1.118063,100.107864,357.572815
29.6806679,1.036755,-0.030507,0.073949,1.039837,85.921890,358.314514
29.6826801,1.093865,-0.037097,-0.046615,1.095486,92.438774,358.057648
29.6846943,1.154635,-0.073949,-0.298482,1.194881,104.465706,356.335449
29.6866779,1.021868,-0.089081,-0.160346,1.038200,98.884651,355.017853
29.6886940,1.026505,-0.173769,-0.099819,1.045883,95.476662,350.391937
29.6907063,0.923024,-0.142285,-0.045395,0.935029,92.782738,351.236755
29.6927204,0.882023,-0.098843,0.149119,0.899984,80.462639,353.605865
29.6947365,0.740714,-0.012447,0.012935,0.740931,88.999687,359.037292
