Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
49.5538902,1.015034,-0.157417,-0.157661,1.039197,98.726280,351.184479
49.5558739,1.002343,-0.060770,0.278225,1.042014,74.513748,356.530518
49.5578880,0.985503,-0.052472,0.365354,1.052356,69.685265,356.952209
49.5598984,1.080685,-0.046859,0.137648,1.090424,82.747993,357.517181
49.5619125,1.100454,0.016352,-0.348758,1.154512,107.582718,0.851305
49.5639305,1.029189,-0.080295,-0.432225,1.119150,112.718788,355.538971
49.5659447,1.092400,-0.217211,-0.071753,1.116095,93.686043,348.754089
49.5679550,1.047006,-0.177186,0.153512,1.072931,81.774048,350.394806
49.5699692,0.903988,-0.115439,0.428320,1.006965,64.826691,352.722717
49.5719872,1.017231,0.000976,0.201103,1.036919,78.817024,0.054986
49.5740013,0.999170,0.024162,-0.123005,1.007003,97.016167,1.385241
49.5759850,1.038952,-0.015132,-0.502758,1.154303,115.820366,359.165588
49.5779991,1.036755,-0.142041,-0.317030,1.093410,106.854752,352.198730
49.5800095,1.064578,-0.193781,0.213550,1.102942,78.835960,349.683594
49.5820236,0.995265,-0.138380,0.421975,1.089846,67.220390,352.084412
49.5840416,0.931567,-0.140821,0.342168,1.002360,70.040092,351.403931
49.5860519,1.000391,-0.040514,-0.058330,1.002908,93.334236,357.680908
49.5880661,0.995998,-0.005369,-0.258213,1.028938,104.533768,359.691132
49.5900841,0.936204,0.007566,-0.383170,1.011609,112.257675,0.463016
49.5920982,1.038464,-0.091521,-0.091521,1.046498,95.017212,354.963440
49.5940781,0.936448,-0.053449,0.288964,0.981474,72.877342,356.733337
49.5960960,0.941573,-0.057109,0.293601,0.987938,72.711372,356.529083
49.5981064,1.037243,0.013667,0.097623,1.041917,84.623756,0.754913
49.6001205,1.067506,0.022697,-0.222336,1.090651,101.762566,1.218039
49.6021385,1.085811,-0.016352,-0.306292,1.128303,105.751312,359.137207
49.6041527,1.093621,-0.088105,-0.232587,1.121546,101.968880,355.394073
49.6061630,1.070191,-0.111778,0.009030,1.076051,89.519173,354.037262
49.6081772,0.994777,-0.098355,0.168888,1.013794,80.410408,354.353424
49.6101952,0.998682,-0.118856,0.121052,1.012989,83.136742,353.212982
49.6122055,0.900571,-0.022941,-0.146922,0.912766,99.262856,358.540741
49.6141930,0.924489,0.010739,-0.155709,0.937571,99.559776,0.665497
49.6162033,0.954996,-0.017816,-0.196954,0.975257,101.651077,358.931213
49.6182175,0.926197,-0.050276,-0.122761,0.935649,97.539169,356.892914
49.6202316,1.032850,-0.078342,-0.033436,1.036357,91.848846,355.662384
49.6222496,0.970860,-0.096647,-0.075658,0.978587,94.434143,354.315063
49.6242599,0.881779,-0.051984,-0.012935,0.883404,90.838966,356.626099
49.6262741,0.916679,-0.080539,-0.007322,0.920239,90.455872,354.978912
49.6282883,0.813687,0.022453,-0.092254,0.819208,96.465981,1.580646
49.6303062,0.851028,-0.006101,-0.070288,0.853947,94.721367,359.589233
49.6322861,0.956460,-0.060038,-0.001952,0.958345,90.116730,356.408203
49.6343040,0.882267,0.042954,-0.123981,0.891970,97.989799,2.787303
49.6363144,0.988432,0.031727,-0.116659,0.995798,96.727745,1.838492
49.6383286,0.998926,0.013179,0.041246,0.999864,87.635803,0.755874
49.6403427,0.964026,-0.046859,-0.024406,0.965473,91.448509,357.217194
49.6423607,1.102651,-0.074437,0.051008,1.106337,87.357422,356.137939
49.6443710,1.082394,-0.086884,0.128130,1.093409,83.270386,355.410675
49.6463852,1.021868,-0.030507,0.051008,1.023595,87.143646,358.289978
49.6483994,1.104847,-0.038317,-0.027090,1.105843,91.403740,358.013733
49.6504135,1.071655,-0.047835,-0.017572,1.072866,90.938469,357.444214
49.6523972,0.968175,-0.063211,-0.072973,0.972977,94.301216,356.264526
49.6544113,1.028457,-0.173769,-0.077610,1.045917,94.255432,350.409851
49.6564255,0.971104,-0.152292,0.093230,0.987384,84.582001,351.087280
49.6584396,0.908869,-0.090789,0.289452,0.958159,72.416718,354.295502
49.6604538,0.939132,0.031239,0.052472,0.941116,86.803795,1.905186
49.6624680,0.884952,0.044174,-0.114707,0.893447,97.376389,2.857677
49.6644821,0.921316,-0.015132,-0.249671,0.954666,105.160660,359.059082
