Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
41.6891060,1.063601,-0.219652,0.048323,1.087120,87.452316,348.331512
41.6911201,0.978670,-0.113731,-0.105189,0.990855,96.093971,353.371429
41.6931343,1.014546,-0.137648,-0.031483,1.024325,91.761307,352.273590
41.6951485,0.910822,-0.090301,0.107629,0.921593,83.293350,354.338043
41.6971626,1.003319,-0.123737,-0.004637,1.010931,90.262817,352.969360
41.6991768,1.016498,-0.045639,0.010006,1.017572,89.436569,357.429260
41.7011909,1.068727,-0.077122,0.073949,1.074054,86.052025,355.872528
41.7032051,1.068483,-0.034412,-0.089081,1.072742,94.763351,358.155334
41.7051888,1.058720,-0.043930,0.018304,1.059790,89.010361,357.623932
41.7072029,0.966955,-0.087372,0.083956,0.974517,85.057785,354.836853
41.7092133,0.992337,-0.071753,0.039537,0.995713,87.724327,355.864319
41.7112312,1.014302,-0.126178,-0.054669,1.023581,93.061592,352.908936
41.7132454,0.860302,-0.059306,0.128618,0.871882,81.516891,356.056488
41.7152596,0.883731,-0.046615,0.093962,0.889934,83.939232,356.980560
41.7172699,0.770245,0.095182,-0.024162,0.776479,91.783157,7.044563
41.7192879,0.800752,-0.043686,-0.082003,0.806124,95.838531,356.877228
41.7213020,0.914238,-0.057109,-0.036120,0.916732,92.258118,356.425568
41.7233162,0.937668,-0.071265,0.085664,0.944266,84.794952,355.653748
41.7253265,1.013082,-0.199151,0.195002,1.050724,79.304588,348.878662
41.7273445,1.051887,-0.162786,-0.003417,1.064414,90.183922,351.202911
41.7293587,1.095817,-0.185972,-0.089569,1.115089,94.607224,350.368073
41.7313690,0.878606,-0.107629,-0.168399,0.901050,100.771492,353.016052
41.7333832,1.039440,-0.173769,-0.252843,1.083771,103.491409,350.509308
41.7354012,1.008933,-0.128618,0.118368,1.023962,83.361893,352.735138
41.7373810,0.953776,-0.125934,0.366574,1.029526,69.141525,352.478363
41.7393990,1.103871,-0.072485,0.089325,1.109849,85.383621,356.243103
41.7414131,0.934007,0.108850,-0.324108,0.994617,109.017807,6.647286
41.7434235,0.898131,0.095670,-0.282618,0.946396,107.375092,6.080318
41.7454414,0.979890,0.002685,-0.294577,1.023214,106.731911,0.156974
41.7474556,0.949383,-0.069800,0.107629,0.958010,83.549393,355.795074
41.7494698,0.933763,-0.110314,0.538878,1.083731,60.182178,353.262360
41.7514801,0.967931,-0.117636,0.284327,1.015663,73.743256,353.070648
41.7534981,0.854689,0.034412,-0.366818,0.930716,113.211388,2.305638
41.7555122,0.942305,-0.050520,-0.384146,1.018852,112.150345,356.931122
41.7575226,0.987944,-0.093474,-0.396593,1.068670,111.784019,354.595062
41.7595367,1.025529,-0.178162,0.175965,1.055658,80.404709,350.144562
41.7615547,1.067506,-0.290916,0.640406,1.278406,59.937714,344.755981
41.7635689,1.004296,-0.193781,0.342656,1.078691,71.478561,349.078857
41.7655792,0.977449,0.030019,-0.302387,1.023595,107.182526,1.759093
41.7675667,1.036511,-0.018304,-0.478840,1.141919,114.792267,358.988281
41.7695770,1.057012,-0.107385,-0.159613,1.074375,98.543716,354.199036
41.7715912,1.044321,-0.176453,0.243325,1.086715,77.061279,350.409607
41.7736092,1.079709,-0.205740,0.583053,1.244207,62.055641,349.211548
41.7756233,0.860546,0.139357,0.066140,0.874262,85.661324,9.198616
41.7776337,0.795627,0.215014,-0.236491,0.857427,106.010605,15.122680
41.7796478,0.855909,0.209889,-0.550349,1.038998,121.984650,13.778398
41.7816658,0.911066,0.114951,0.013667,0.918391,89.147308,7.191123
41.7836800,0.944502,-0.030751,0.525699,1.081383,60.913059,358.135223
41.7856903,0.980134,-0.010006,0.484454,1.093370,63.699249,359.415070
41.7877045,0.989652,0.089569,0.181823,1.010195,79.630951,5.171497
41.7897224,0.965491,0.193781,-0.319227,1.035195,107.961243,11.348921
41.7917328,1.042857,0.147167,-0.481525,1.158047,114.570190,8.032463
41.7937469,1.122175,0.012203,-0.043442,1.123082,92.216827,0.623027
41.7957306,1.047006,-0.113487,0.612828,1.218465,59.804604,353.813782
41.7977448,1.028701,-0.015864,0.179382,1.044345,80.109535,359.116516
41.7997589,0.839801,0.137404,-0.058818,0.852998,93.953926,9.292130
41.8017769,0.965246,0.035144,-0.443696,1.062921,114.672485,2.085196
41.8037872,0.852492,0.197930,-0.363889,0.947805,112.577232,13.071263
41.8058014,0.888612,0.057842,0.113487,0.897695,82.737236,3.724244
41.8078194,0.961342,-0.068336,0.537902,1.103715,60.833042,355.934021
41.8098335,0.890321,0.096403,-0.021477,0.895782,91.373840,6.179825
41.8118439,1.063601,-0.031727,-0.402206,1.137552,110.705940,358.291351
41.8138580,0.954508,0.089569,-0.523259,1.092203,118.625694,5.360817
41.8158760,1.092644,-0.076146,-0.052228,1.096539,92.730034,356.013519
41.8178864,0.933275,-0.168644,0.463221,1.055470,63.967789,349.757141
41.8199005,0.971348,-0.145946,0.407332,1.063361,67.476608,351.455170
41.8219147,1.024308,-0.083224,-0.128618,1.035701,97.133675,355.355011
41.8239326,0.930590,0.025626,-0.443208,1.031062,115.458412,1.577376
41.8259125,1.209304,-0.083224,-0.448333,1.292418,110.297508,356.063141
41.8279305,1.040416,-0.267731,-0.049056,1.075431,92.614441,345.569153
41.8299408,0.958413,-0.250647,0.367062,1.056463,69.668915,345.344086
41.8319550,0.898131,-0.145702,0.104212,0.915821,83.466087,350.785278
41.8339691,0.802216,-0.017328,-0.030995,0.803002,92.212128,358.762604
41.8359871,0.960365,-0.087617,-0.445160,1.062142,114.778770,354.787201
41.8379974,0.999170,-0.144238,-0.327281,1.061253,107.962280,351.785675
41.8400116,0.973056,-0.212818,0.063699,0.998092,86.340858,347.663055
41.8420258,0.964270,-0.316298,0.534729,1.147082,62.214359,341.839569
41.8440399,0.894714,-0.153756,-0.024894,0.908170,91.570732,350.248993
41.8460541,1.065310,-0.211842,-0.359008,1.143962,108.290123,348.753174
41.8480682,1.019183,-0.122517,-0.345829,1.083209,108.618385,353.145325
41.8500824,0.992337,-0.158637,-0.115439,1.011545,96.552956,350.917419
41.8520966,1.080930,-0.220628,0.311417,1.146327,74.236626,348.463867
41.8540802,1.062137,-0.219163,0.273100,1.118370,75.865753,348.341095
41.8560944,0.960609,-0.111046,-0.092742,0.971444,95.478256,353.405914
41.8581085,0.963538,-0.073461,-0.216479,0.990285,102.626961,355.640137
41.8601227,0.920828,0.053449,-0.214282,0.946941,103.078682,3.321949
41.8621368,0.916435,0.041490,-0.076390,0.920549,94.760048,2.592180
41.8641510,0.914483,-0.005857,0.228438,0.942601,75.974831,359.633026
41.8661652,0.844926,0.052960,0.045151,0.847787,86.947159,3.586638
41.8681793,0.897643,0.047591,-0.153268,0.911876,99.676193,3.034863
41.8701973,0.888612,0.126178,-0.194026,0.918258,102.198387,8.081629
41.8722076,0.984283,0.087861,-0.119832,0.995436,96.914124,5.100907
41.8742218,0.971836,0.157905,0.212330,1.007215,77.830254,9.228835
41.8762360,0.933763,0.123981,0.275297,0.981363,73.708473,7.563252
41.8782501,1.011617,0.048079,-0.145214,1.023117,98.159714,2.721057
41.8802643,0.944502,-0.041734,-0.075414,0.948426,94.560661,357.469971
41.8822784,1.039196,-0.130083,-0.037585,1.047980,92.055298,352.865051
41.8842926,1.083614,-0.139357,-0.085176,1.095854,94.457848,352.671783
41.8862762,1.082638,-0.236736,0.205252,1.127066,79.507202,347.665527
41.8882904,1.022112,-0.250159,0.102504,1.057260,84.436287,346.247375
41.8903046,0.970616,-0.129838,-0.143994,0.989791,98.365013,352.380829
41.8923187,0.979402,-0.076634,-0.246742,1.012908,104.098969,355.525970
41.8943329,0.995509,-0.105677,-0.089325,1.005080,95.098801,353.940552
41.8963470,0.940597,-0.064919,0.006590,0.942857,89.599564,356.051758
41.8983612,0.972324,-0.064187,0.256016,1.007511,75.279297,356.223145
41.9003754,0.926197,0.067116,0.013667,0.928726,89.156799,4.144624
41.9023895,0.905697,0.162298,-0.221360,0.946376,103.526955,10.159401
41.9043999,1.035291,0.154976,-0.279201,1.083420,104.933861,8.513593
41.9064178,0.897398,0.225509,-0.091033,0.929766,95.618828,14.105884
41.9084320,1.023820,0.183531,0.241617,1.067834,76.922546,10.162957
41.9104462,1.020159,0.212086,0.326549,1.091943,72.599274,11.744203
41.9124565,0.878606,0.354615,0.119832,0.955019,82.791740,21.979549
41.9144440,1.035291,0.319959,-0.287988,1.121222,104.883331,17.173885
41.9164543,1.041636,0.283106,-0.296774,1.119478,105.372902,15.205124
41.9184723,0.986479,0.128618,-0.005369,0.994843,90.309235,7.428377
41.9204865,1.020159,-0.018792,0.230634,1.046074,77.263008,358.944672
41.9225006,0.909845,-0.019036,0.301899,0.958814,71.647217,358.801392
41.9245110,1.010397,-0.050276,0.148143,1.022436,81.668983,357.151398
41.9265289,1.169034,-0.058086,-0.369747,1.227488,107.531029,357.155487
41.9285431,1.079221,-0.075902,-0.055157,1.083292,92.918533,355.976990
41.9305534,1.155855,-0.179626,0.096647,1.173715,85.276772,351.166595
41.9325676,1.135598,-0.113975,0.070044,1.143451,86.488029,354.268677
41.9345856,1.046517,-0.089569,0.215747,1.072272,78.392563,355.108093
41.9365997,1.072143,-0.094206,-0.204520,1.095534,100.759399,354.978485
41.9386101,1.034559,-0.050276,-0.288720,1.075267,105.575615,357.217834
41.9406281,0.997462,-0.089569,-0.007322,1.001502,90.418877,354.868774
41.9426079,0.917655,-0.024894,0.036609,0.918723,87.716316,358.446075
41.9446259,0.887392,-0.014155,0.025626,0.887875,88.346092,359.086121
41.9466400,0.925465,-0.013911,0.095426,0.930476,84.113594,359.138824
41.9486542,1.058232,-0.071021,-0.199883,1.079283,100.672768,356.160492
41.9506645,1.005028,-0.076390,-0.285791,1.047661,105.830338,355.653442
41.9526825,1.011861,-0.114463,-0.069800,1.020704,93.921204,353.546082
41.9546967,1.036999,-0.211354,0.003661,1.058325,89.801804,348.480164
41.9567108,1.005516,-0.164251,-0.064675,1.020893,93.632210,350.722687
41.9587212,1.094841,-0.185728,0.021477,1.110690,88.892021,350.372070
41.9607391,1.118026,-0.187924,-0.037585,1.134333,91.898781,350.458588
41.9627533,1.150486,-0.164251,-0.281398,1.195734,103.611366,351.875000
41.9647636,1.152682,-0.200859,-0.203300,1.187582,99.856888,350.115265
41.9667778,1.035535,-0.211110,0.082491,1.060049,85.536819,348.477295
41.9687614,1.167570,-0.249182,-0.057842,1.195264,92.773758,347.952698
41.9707756,1.090692,-0.220384,0.153756,1.123307,82.132767,348.576691
41.9727936,1.096305,-0.242837,0.111778,1.128428,84.315155,347.510376
41.9748077,1.132670,-0.153756,-0.105189,1.147888,95.257774,352.269531
41.9768181,0.929126,-0.064919,-0.126666,0.939965,97.744499,356.003174
41.9788322,0.987212,-0.076390,-0.182067,1.006762,100.418915,355.575287
41.9808502,0.985747,-0.054181,0.058818,0.988986,86.590446,356.853943
41.9828644,1.016010,-0.137160,0.322400,1.074724,72.543381,352.311615
41.9848747,1.061649,-0.017084,-0.134476,1.070268,97.218094,359.078064
41.9868889,1.031142,0.002197,-0.143506,1.041082,97.923035,0.122050
41.9889069,1.025773,-0.017328,-0.035632,1.026538,91.989204,359.032227
41.9909172,1.095817,-0.005613,-0.265534,1.127544,103.620979,359.706512
41.9929047,1.173915,-0.104701,-0.117880,1.184456,95.711655,354.903320
41.9949150,1.090692,-0.168155,0.307756,1.145687,74.417740,351.235535
41.9969292,1.121443,-0.118124,0.023918,1.127901,88.784927,353.987091
41.9989433,0.975497,-0.006101,-0.248938,1.006778,104.315582,359.641632
42.0009613,1.026261,-0.030263,-0.230146,1.052185,102.634529,358.310913
42.0029716,1.108264,-0.085420,-0.141797,1.120559,97.269791,355.592621
42.0049858,1.097769,-0.168399,0.151315,1.120871,82.241493,351.278717
42.0070038,1.120955,-0.177918,0.166203,1.147091,81.669044,350.981262
42.0090179,1.066286,-0.088837,-0.042954,1.070842,92.298889,355.237457
42.0110283,1.019671,-0.011959,-0.269683,1.054799,104.813438,359.328064
42.0130424,1.136819,0.002929,-0.089569,1.140345,94.504967,0.147606
42.0150604,1.115830,-0.051496,0.107141,1.122144,84.521111,357.357635
42.0170708,1.067995,-0.076390,0.229658,1.095076,77.894135,355.908813
42.0190582,1.099478,-0.025138,0.005125,1.099777,89.732986,358.690247
42.0210724,0.991849,0.058818,-0.145702,1.004217,98.342506,3.393733
42.0230827,0.996730,0.138380,-0.265290,1.040672,104.768967,7.904104
42.0250969,1.059453,-0.005613,0.054425,1.060864,87.059303,359.696442
42.0271149,1.044809,-0.050520,0.243081,1.073902,76.917549,357.231720
42.0291252,1.052375,-0.030263,0.312149,1.098110,73.485359,358.352814
42.0311394,0.974765,0.073217,-0.069800,0.979999,94.084343,4.295573
42.0331535,0.955728,0.088105,-0.338263,1.017645,109.414406,5.266977
42.0351715,0.962562,0.099819,-0.240885,0.997254,103.977921,5.920514
42.0371819,1.020892,0.022697,0.205984,1.041712,78.595383,1.273638
42.0391960,1.092400,-0.040758,0.199151,1.111153,79.675148,357.863281
42.0412102,1.015766,0.040758,0.129106,1.024749,82.762177,2.297757
42.0432281,1.041880,0.015376,-0.091033,1.045963,94.992943,0.845484
42.0452080,0.920584,0.038317,-0.374384,0.994538,112.113335,2.383417
42.0472260,1.011373,-0.075414,0.117147,1.020924,83.410995,355.735596
42.0492363,1.103627,-0.128862,0.320935,1.156545,73.889259,353.340149
42.0512505,0.978670,0.127398,0.237712,1.015151,76.457657,7.416748
42.0532646,1.058964,0.231854,-0.142285,1.093347,97.477539,12.349720
42.0552788,1.001123,0.232342,-0.301899,1.071155,106.370300,13.066004
42.0572929,0.914727,0.126178,-0.162786,0.937627,99.998070,7.853830
42.0593071,1.221262,-0.134964,0.042710,1.229439,88.009178,353.693756
42.0613213,1.070679,-0.114219,0.356812,1.134334,71.665985,353.910797
42.0633354,1.096061,-0.155953,0.397569,1.176322,70.246353,351.902039
42.0653496,1.050422,-0.091521,-0.244057,1.082279,103.032463,355.020508
42.0673637,0.968175,-0.064919,-0.440035,1.065462,114.393410,356.163879
42.0693817,1.061161,-0.153512,-0.148387,1.082426,97.879333,351.768463
42.0713921,1.026749,-0.185484,0.216235,1.065540,78.291389,349.759888
42.0734062,1.017231,-0.153024,0.161078,1.041211,81.100471,351.445038
42.0753899,1.047006,-0.156197,0.158393,1.070377,81.490181,351.514954
42.0774040,0.907405,-0.035144,-0.070777,0.910839,94.456650,357.782013
42.0794182,1.033826,-0.071509,-0.422463,1.119100,112.179062,356.043213
42.0814285,1.067262,-0.158881,-0.061014,1.080747,93.236389,351.532684
42.0834465,1.007224,-0.181823,0.181823,1.039529,79.926651,349.767242
42.0854607,1.135354,-0.194514,0.205496,1.170083,79.884949,350.278229
42.0874748,0.970372,0.016352,-0.037585,0.971237,92.217781,0.965406
42.0894890,1.016987,0.022941,-0.111534,1.023342,96.257103,1.292270
42.0915031,1.049690,0.102992,-0.198174,1.073187,100.641296,5.603737
42.0935173,1.063846,0.093474,-0.089081,1.071653,94.768204,5.021352
42.0955315,1.108020,0.036365,0.168888,1.121407,81.338112,1.879737
42.0975456,1.082150,0.040269,0.216479,1.104325,78.695206,2.131133
42.0995598,1.049446,0.089569,-0.009518,1.053304,90.517761,4.878306
42.1015434,1.004296,0.124469,-0.094694,1.016400,95.345787,7.065030
42.1035576,1.070191,0.096891,-0.043686,1.075456,92.328064,5.173223
42.1055717,1.128277,0.029775,-0.012447,1.128738,90.631828,1.511673
42.1075859,1.025040,-0.006345,0.028555,1.025458,88.404350,359.645325
42.1096001,1.031874,-0.066140,0.063699,1.035952,86.474754,356.332550
42.1116142,0.948162,-0.039293,0.019036,0.949167,88.850800,357.626953
42.1136284,0.970128,-0.032460,-0.144726,0.981400,98.480270,358.083649
42.1156387,1.004052,0.056865,-0.099331,1.010554,95.640930,3.241534
42.1176567,0.996974,0.060282,-0.046371,0.999870,92.658150,3.460183
42.1196709,1.127301,0.033680,-0.083712,1.130906,94.245018,1.711294
42.1216850,0.990872,0.050032,0.016840,0.992278,89.027588,2.890559
42.1236954,0.978670,-0.055889,-0.067848,0.982609,93.959351,356.731537
42.1256828,0.983795,0.021233,-0.129594,0.992521,97.502586,1.236408
42.1276932,1.106312,0.024406,-0.073217,1.109000,93.785469,1.263765
42.1297112,0.986479,0.099331,-0.122029,0.998949,97.016609,5.749887
42.1317253,0.895934,0.116659,-0.022453,0.903776,91.423592,7.418730
42.1337395,1.026993,0.000000,0.082247,1.030281,85.421211,0.000000
42.1357498,0.853468,0.155464,-0.099575,0.873208,96.547905,10.323588
42.1377678,0.992581,0.091766,-0.048811,0.998008,92.803391,5.282063
42.1397820,1.049202,0.094450,-0.088105,1.057123,94.780800,5.143954
42.1417923,0.999903,0.121296,-0.127886,1.015319,97.235992,6.916656
42.1438065,1.074828,-0.013423,0.132523,1.083050,82.971619,359.284485
42.1458244,1.039440,-0.019525,0.023674,1.039893,88.695526,358.923889
42.1478386,0.953532,0.071997,-0.206228,0.978231,102.170273,4.317954
42.1498489,0.990872,0.051252,-0.058574,0.993924,93.378502,2.960936
42.1518364,0.919608,0.047347,0.036609,0.921553,87.723335,2.947340
42.1538467,0.918143,0.157417,0.120564,0.939310,82.625504,9.728847
42.1558647,0.982330,0.052472,0.055401,0.985290,86.776665,3.057614
42.1578789,0.907161,0.099087,-0.010983,0.912622,90.689522,6.233584
42.1598930,0.932299,0.053204,-0.166935,0.948619,100.135513,3.266217
42.1619034,0.985991,0.133499,-0.139113,1.004666,97.959122,7.710732
42.1639214,1.067750,-0.021965,0.276517,1.103193,75.483940,358.821503
42.1659355,1.040660,-0.001952,0.414165,1.120049,68.298309,359.892517
42.1679459,1.118270,-0.025626,0.045883,1.119505,87.651085,358.687256
42.1699600,0.902768,0.063211,-0.152536,0.917743,99.567390,4.005252
42.1719780,1.015278,0.000488,-0.298970,1.058382,106.408180,0.027546
42.1739922,1.026261,0.020989,-0.210621,1.047861,101.595512,1.171641
42.1760025,0.915947,0.028799,0.430517,1.012488,64.836243,1.800873
42.1780167,1.043101,-0.012203,0.328013,1.093526,72.544868,359.329742
42.1800003,0.973056,0.075658,0.055401,0.977564,86.751167,4.445957
42.1820145,0.956460,0.071753,-0.334847,1.015917,109.244522,4.290244
42.1840324,0.994289,0.045395,-0.324840,1.046992,108.074921,2.614045
42.1860466,0.978181,0.017084,0.135452,0.987663,82.117401,1.000573
42.1880569,0.950359,0.034900,0.452726,1.053262,64.543076,2.103137
42.1900711,0.923269,0.056377,0.384634,1.001772,67.421188,3.494293
42.1920891,0.845170,0.268463,-0.300679,0.936372,108.730072,17.622122
42.1941032,0.862254,0.314834,-0.539122,1.064545,120.426636,20.058594
42.1961136,0.954264,0.236736,-0.331430,1.037549,108.628769,13.932759
42.1981277,0.924245,0.027823,0.172548,0.940625,79.429794,1.724253
42.2001457,1.098502,-0.009030,0.345585,1.151615,72.537148,359.529022
42.2021561,1.054083,0.094206,0.289452,1.097155,74.703125,5.107100
42.2041702,1.165129,0.106409,-0.381217,1.230519,108.047310,5.218235
42.2061539,1.018451,0.184019,-0.414653,1.114918,111.833679,10.242004
42.2081680,0.996242,0.111778,-0.032948,1.003034,91.882393,6.401807
42.2101822,1.041148,-0.013911,0.203544,1.060949,78.939194,359.234497
42.2122002,0.891297,0.183287,0.098111,0.915222,83.846115,11.620353
42.2142105,1.111193,0.120076,-0.021721,1.117873,91.113373,6.167486
42.2162247,0.963050,0.102992,-0.154732,0.980823,99.076759,6.104224
42.2182426,0.975741,-0.027578,-0.128618,0.984568,97.506241,358.381012
42.2202568,0.952311,-0.065163,0.163274,0.968402,80.293465,356.085541
42.2222672,0.851272,-0.006590,0.422463,0.950359,63.606728,359.556488
42.2242813,1.108264,-0.136184,-0.102992,1.121340,95.269897,352.994598
42.2262993,0.940841,-0.043686,-0.192805,0.961386,101.569077,357.341492
42.2283096,0.937180,-0.143750,0.118368,0.955500,82.883896,351.279633
42.2303238,1.132182,-0.180846,0.061991,1.148209,86.905159,350.924652
42.2323074,0.819788,0.140333,0.082003,0.835746,84.369087,9.713847
42.2343216,1.063357,-0.041246,0.097867,1.068648,84.745483,357.778717
42.2363358,0.888612,0.102260,0.047347,0.895729,86.970009,6.564623
42.2383537,0.994777,-0.068824,-0.231366,1.023645,103.062981,356.042267
42.2403641,1.043589,-0.142041,0.158637,1.065091,81.434357,352.249176
42.2423782,0.875433,-0.050764,0.336311,0.939183,69.017143,356.681305
42.2443924,1.205643,-0.115683,-0.163030,1.222103,97.666191,354.519165
42.2464104,0.944013,0.159857,-0.007566,0.957483,90.452744,9.611186
42.2484207,1.147801,-0.052960,-0.001220,1.149023,90.060852,357.358215
42.2504349,1.146825,-0.033680,-0.195002,1.163773,99.645981,358.317810
42.2524490,0.889345,0.121785,-0.013423,0.897745,90.856720,7.797439
42.2544327,1.130961,-0.088349,-0.002441,1.134410,90.123268,355.533234
42.2564468,1.023332,-0.052960,-0.082979,1.028056,94.629662,357.037415
42.2584648,0.901059,-0.163762,0.022453,0.916095,88.595551,349.699249
42.2604752,1.006980,-0.203300,-0.094206,1.031608,95.239532,348.585968
42.2624893,0.808562,0.073705,-0.113487,0.819807,97.957062,5.208463
42.2645035,0.942061,0.014643,-0.191097,0.961359,101.465492,0.890536
42.2665176,0.852736,0.073949,0.018304,0.856132,88.774910,4.956295
42.2685318,0.993801,-0.113243,0.154732,1.012130,81.206261,353.499237
42.2705460,1.005028,-0.112022,0.077610,1.014225,85.611343,353.639954
42.2725601,0.756577,0.084932,0.050764,0.763020,86.185280,6.405098
42.2745743,0.800020,0.072973,-0.050276,0.804913,93.581093,5.211764
42.2765884,0.700444,0.126910,0.021477,0.712172,88.271866,10.269706
42.2785721,0.776346,0.081759,0.091521,0.785986,83.313217,6.011818
42.2805862,0.851760,0.075170,0.094206,0.860244,83.712883,5.043409
42.2826004,0.760238,0.150827,0.064431,0.777729,85.247871,11.221475
42.2846184,0.831991,0.134964,-0.132767,0.853259,98.951591,9.214125
42.2866287,0.675550,0.233807,-0.151804,0.730807,101.988808,19.090647
42.2886429,0.731928,0.140333,0.213794,0.775319,73.993286,10.853636
42.2906570,0.750476,0.199883,0.259921,0.818979,71.495934,14.914020
42.2926674,0.735100,0.381706,0.012203,0.828384,89.155952,27.440880
42.2946854,0.837849,0.375848,-0.256260,0.953374,105.592453,24.160395
42.2966995,0.794894,0.266755,-0.235759,0.870975,105.704994,18.550974
42.2987137,0.851272,0.121541,-0.116903,0.867815,97.741859,8.125503
42.3007278,0.803192,-0.017816,0.246742,0.840427,72.926918,358.729279
42.3027420,0.803192,-0.005369,0.265778,0.846041,71.690872,359.617004
42.3047256,0.716064,0.127398,0.152048,0.743032,78.192078,10.088169
42.3067398,0.752673,0.192561,-0.368526,0.859888,115.377151,14.350549
42.3087540,0.743886,0.268951,-0.331918,0.857829,112.763458,19.877384
42.3107681,0.818324,0.148631,0.144238,0.844127,80.161461,10.294321
42.3127823,0.801484,0.094450,0.248450,0.844408,72.888618,6.720972
42.3147964,0.692390,0.083712,0.310685,0.763503,65.988487,6.893735
42.3168106,0.759994,0.241129,0.026846,0.797781,88.071564,17.603025
42.3188210,0.739982,0.360228,-0.115439,0.831062,97.984520,25.957159
42.3208389,0.873725,0.359252,-0.085664,0.948576,95.181335,22.351149
42.3228531,0.859814,0.323376,0.121052,0.926556,82.492973,20.611277
42.3248672,1.037731,0.174257,0.101284,1.057124,84.502014,9.532232
42.3268776,1.046029,0.140333,0.142529,1.064981,82.308868,7.641047
42.3288956,1.058720,0.145458,-0.009762,1.068711,90.523384,7.822918
42.3309097,0.993801,0.233807,-0.001708,1.020935,90.095879,13.238951
42.3328934,1.005760,0.214770,0.073705,1.031073,85.900772,12.053923
42.3349075,0.933031,0.361449,0.126422,1.008551,82.799042,21.175972
42.3369217,0.921072,0.335823,-0.269195,1.016669,105.353966,20.031851
42.3389320,0.793918,0.305316,-0.239664,0.883721,105.735626,21.035149
42.3409500,0.898375,-0.008542,0.025626,0.898781,88.366165,359.455231
42.3429642,0.780739,0.169376,-0.051496,0.800558,93.688110,12.240233
42.3449783,0.882023,0.031971,0.271880,0.923529,72.878899,2.075944
42.3469887,0.939376,-0.009762,0.304339,0.987495,72.049606,359.404572
42.3490067,0.954508,0.031239,-0.214770,0.978871,102.674164,1.874519
42.3510208,1.114854,-0.027334,-0.329233,1.162773,106.447998,358.595490
42.3530312,1.016498,-0.019281,-0.300923,1.060281,106.487976,358.913361
42.3550491,0.976473,-0.069068,-0.184751,0.996194,100.687782,355.954071
42.3570290,0.955728,-0.122029,0.253087,0.996173,75.282127,352.723785
42.3590431,0.928150,-0.029043,0.106409,0.934681,83.462975,358.207733
42.3610611,1.023820,0.003417,-0.279690,1.061342,105.279305,0.191213
42.3630753,0.975741,0.138380,-0.381706,1.056844,111.172379,8.071909
42.3650856,0.959633,-0.011471,0.073705,0.962528,85.608292,359.315155
42.3671036,1.080441,-0.049544,0.009762,1.081621,89.482864,357.374542
42.3691177,0.876654,0.087372,-0.061991,0.883175,94.024933,5.691641
42.3711319,0.864207,0.017572,0.089813,0.869039,84.068024,1.164848
42.3731422,0.805633,0.087861,-0.036365,0.811225,92.569237,6.223958
42.3751602,0.924489,0.052716,-0.156929,0.939194,99.618599,3.263596
42.3771744,1.162689,0.067116,-0.243081,1.189722,101.789551,3.303710
42.3791847,1.066774,0.025138,0.250647,1.096113,76.781288,1.349891
