Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
44.4364662,1.030654,0.015620,-0.151804,1.041890,98.377831,0.868257
44.4384804,1.000635,-0.026602,-0.042710,1.001899,92.443207,358.477142
44.4404945,1.191731,-0.141553,0.152292,1.209733,82.767921,353.226166
44.4425087,0.922292,0.004149,0.242105,0.953549,75.291664,0.257746
44.4445229,1.194660,-0.000488,0.122761,1.200951,84.132996,359.976593
44.4465370,1.182701,0.058818,-0.274808,1.215632,103.065346,2.847073
44.4485207,1.206863,0.007322,-0.270660,1.236863,102.640175,0.347594
44.4505348,1.082150,0.019281,0.029775,1.082731,88.424171,1.020723
44.4525490,0.998194,0.033924,0.138380,1.008311,82.111839,1.946467
44.4545631,0.951823,0.160834,0.091766,0.969668,84.569626,9.590921
44.4565773,1.045541,0.225265,-0.003417,1.069538,90.183037,12.158679
44.4585876,1.129009,0.175233,-0.073949,1.144917,93.703270,8.822466
44.4606056,1.033582,0.234783,0.007322,1.059938,89.604218,12.797833
44.4626198,1.005272,0.243813,0.000000,1.034416,90.000000,13.632967
44.4646339,0.922048,0.262850,-0.003905,0.958790,90.233353,15.911339
44.4666176,0.940353,0.180114,0.030507,0.957933,88.175003,10.843052
44.4686317,1.016498,0.129106,0.023918,1.024944,88.662849,7.238426
44.4706421,0.929858,0.146678,0.073705,0.944237,85.523048,8.964132
44.4726601,1.024308,0.137648,0.119344,1.040383,83.413010,7.653653
44.4746742,0.998194,0.111778,0.004881,1.004445,89.721565,6.389389
44.4766884,1.084102,0.037829,0.029043,1.085151,88.466362,1.998479
44.4786987,0.954264,0.009518,0.081759,0.957807,85.103226,0.571473
44.4807167,0.785132,0.124957,0.046127,0.796351,86.679413,9.043036
44.4826965,0.929370,0.023674,-0.168155,0.944757,100.252594,1.459162
44.4847145,0.839313,0.106897,0.191585,0.867512,77.241386,7.258262
44.4867287,0.899839,0.072973,0.258945,0.939195,73.995720,4.636298
44.4887390,1.057256,0.118612,-0.036853,1.064527,91.983910,6.401153
44.4907532,0.880803,0.199395,0.061502,0.905182,86.104050,12.755539
44.4927711,0.863475,0.199395,0.022941,0.886495,88.517090,13.002896
44.4947853,0.891297,0.187680,-0.072485,0.913722,94.550018,11.891029
44.4967957,1.074828,0.026602,-0.098111,1.079624,95.213959,1.417794
44.4988098,0.873237,0.162786,0.281398,0.931787,72.422340,10.559699
44.5007935,0.924977,0.147899,0.143018,0.947581,81.319229,9.084381
44.5028076,1.058964,0.139845,-0.150583,1.078720,98.024376,7.522841
44.5048256,1.072143,0.072241,0.010006,1.074621,89.466484,3.854759
44.5068398,1.075072,0.052228,-0.082003,1.079459,94.356781,2.781309
44.5088501,0.988188,0.151315,-0.160590,1.012522,99.125854,8.705751
44.5108681,1.088739,0.136672,0.031971,1.097750,88.331047,7.155049
44.5128822,1.160736,0.078830,-0.042954,1.164203,92.114449,3.885232
44.5148964,1.330112,0.000732,-0.255772,1.354481,100.884743,0.031539
44.5169067,0.910822,0.219407,-0.036365,0.937581,92.222801,13.543919
44.5189247,0.983063,0.165715,0.081271,1.000239,85.339485,9.568396
44.5209045,1.037487,0.178406,-0.108850,1.058327,95.903343,9.757130
44.5229225,0.894226,0.130083,-0.129594,0.912883,98.161377,8.276727
44.5249367,0.980622,0.036853,0.111534,0.987632,83.515709,2.152214
44.5269470,0.818812,0.134231,-0.182067,0.849482,102.376030,9.309941
44.5289612,0.875921,0.187924,-0.240640,0.927611,105.035629,12.108931
44.5309792,0.741934,0.261141,0.076390,0.790251,84.452820,19.390726
44.5329933,1.053107,0.071021,0.049300,1.056650,87.325813,3.858137
44.5350037,1.088983,0.042466,-0.129594,1.097489,96.781456,2.233173
44.5370178,0.997218,0.081759,0.109826,1.006573,83.736069,4.687042
44.5390015,1.137795,-0.006834,0.013423,1.137895,89.324097,359.655884
44.5410156,1.014790,0.002441,-0.205984,1.035488,101.474098,0.137796
44.5430336,1.051399,0.008542,-0.084444,1.054819,94.591743,0.465485
44.5450478,0.975009,0.021965,0.200127,0.995578,78.403625,1.290550
44.5470581,1.019183,0.123737,0.038317,1.027382,87.862617,6.922290
44.5490723,0.992825,0.222092,0.020745,1.017574,88.831856,12.609312
44.5510902,1.109972,0.094938,-0.086396,1.117370,94.434601,4.888731
44.5531006,1.022600,0.044174,-0.180114,1.039280,99.980141,2.473531
44.5551147,1.018939,0.053204,-0.022941,1.020585,91.288040,2.989017
44.5571289,1.060673,-0.005613,0.072729,1.063178,86.077492,359.696777
44.5591125,1.018207,0.015620,0.061258,1.020168,86.557472,0.878869
44.5611267,1.140968,-0.011715,-0.082003,1.143971,94.110657,359.411743
44.5631447,1.041392,0.041246,-0.105677,1.047553,95.789825,2.268087
44.5651550,1.062869,0.116903,-0.015864,1.069397,90.849976,6.276649
44.5671692,0.822473,0.148387,-0.020989,0.836015,91.438614,10.227027
44.5691833,1.027481,-0.023429,-0.180358,1.043453,99.953423,358.693726
44.5712013,1.010641,-0.004149,-0.070533,1.013108,93.992157,359.764771
44.5732117,1.093132,0.026846,0.136184,1.101910,82.900719,1.406847
44.5752258,1.138527,0.065407,-0.279934,1.174259,103.791634,3.287976
