Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
47.1922302,1.253966,-0.298482,-0.032948,1.289422,91.464203,346.611023
47.1942406,1.212721,-0.337043,0.115195,1.263946,84.770851,344.468170
47.1962585,1.646410,-0.145214,-0.138625,1.658605,94.794319,354.959534
47.1982727,0.487870,-0.531313,1.390394,1.566367,27.419937,312.559265
47.2002869,1.911456,-0.921560,1.158540,2.417675,61.367107,334.260132
47.2022972,1.084834,-0.707034,0.254796,1.319729,78.868187,326.905975
47.2043152,-1.047006,-0.083224,-0.351686,1.107624,108.512672,184.544724
47.2063293,0.753893,-0.563528,-0.704349,1.175596,126.808487,323.222229
47.2083397,0.452238,-0.067604,-0.790501,0.913226,149.952896,351.497955
47.2103539,0.207205,-0.153512,0.522282,0.582476,26.277712,323.466309
47.2123375,0.347293,-0.273588,0.838093,0.947556,27.812637,321.769928
47.2143517,0.256260,0.053937,0.351198,0.438085,36.710442,11.885909
47.2163696,0.478840,-0.166935,0.407332,0.650442,51.226864,340.780243
47.2183838,0.170596,0.359496,0.197930,0.444429,63.553688,64.613708
47.2203941,0.403915,0.012203,0.039293,0.406005,84.446213,1.730464
47.2224083,0.391468,-0.178406,0.320935,0.536726,53.276814,335.499542
47.2244263,-0.049056,-0.083956,0.808806,0.814630,6.855379,239.702148
47.2264404,0.353639,-0.461756,0.447601,0.733911,52.418869,307.446930
47.2284508,0.214526,-0.111778,0.152780,0.286108,57.724274,332.478394
47.2304649,0.443208,-0.381217,-0.055889,0.587268,95.460991,319.300110
47.2324829,0.253575,-0.278713,0.128374,0.398072,71.186462,312.296143
47.2344933,0.435154,-0.463221,0.130327,0.648782,78.411636,313.210571
47.2364807,0.597208,-0.547909,-0.042710,0.811594,93.016571,317.465179
47.2384911,0.681652,-0.471763,-0.177918,0.847858,102.113190,325.313385
47.2405052,0.782448,-0.550593,-0.178162,0.973200,100.548508,324.866699
47.2425232,0.893250,-0.626251,-0.491287,1.196431,114.244240,324.965973
47.2445374,0.909113,-0.744619,-0.537414,1.292191,114.575607,320.680450
47.2465477,0.891541,-0.964026,-0.375116,1.365615,105.943336,312.762970
47.2485619,0.854200,-0.974032,-0.466393,1.376924,109.798981,311.249908
47.2505798,0.836384,-0.939376,-0.512764,1.358269,112.179726,311.680634
47.2525940,0.896178,-0.905452,-0.458828,1.354069,109.806885,314.705078
47.2546043,0.906917,-0.796603,-0.634793,1.363831,117.739235,318.705109
47.2566185,0.854933,-0.777566,-0.575731,1.291118,116.482010,317.713287
47.2586021,0.828330,-0.840289,-0.395373,1.244402,108.525162,314.589386
47.2606163,0.754869,-0.754137,-0.421243,1.147168,111.543175,315.027802
47.2626343,0.769512,-0.739249,-0.245766,1.095007,102.970078,316.149109
47.2646484,0.825646,-0.722165,-0.333626,1.146525,106.917175,318.824860
47.2666588,0.659443,-0.537658,-0.301167,0.902575,109.491974,320.808868
47.2686729,0.735833,-0.735833,-0.267975,1.074574,104.440689,315.000000
47.2706909,0.645531,-0.701421,-0.273832,0.991809,106.027199,312.623993
47.2727013,0.547176,-0.676039,-0.099819,0.875439,96.547226,308.986237
47.2747154,0.762435,-0.807341,-0.261873,1.140914,103.269371,313.361389
47.2767296,0.743398,-0.762679,-0.221604,1.087855,101.753838,314.266541
47.2787132,0.830039,-0.901547,-0.061258,1.226990,92.861725,312.635223
47.2807274,0.861034,-0.912774,-0.010006,1.254845,90.456894,313.329224
47.2827454,0.950115,-0.928150,-0.166447,1.338613,97.142815,315.670013
47.2847557,1.130961,-1.069947,-0.162542,1.565337,95.960243,316.587952
47.2867699,0.985747,-0.890321,-0.005369,1.328306,90.231598,317.911835
47.2887840,1.239811,-1.194904,-0.095914,1.724566,93.188240,316.056671
47.2908020,1.103139,-0.933519,0.165715,1.454591,83.458351,319.760803
47.2928123,1.146093,-0.931322,0.047103,1.477535,88.173134,320.902466
47.2948265,1.355982,-0.996242,-0.149851,1.689272,95.089256,323.695221
47.2968407,1.169278,-0.838093,0.081027,1.440894,86.776337,324.368530
47.2988548,1.347928,-1.071655,-0.039781,1.722480,91.323387,321.513947
47.3008690,1.255186,-0.983551,0.029043,1.594901,88.956596,321.918121
47.3028526,1.338166,-1.086787,0.047591,1.724546,88.418648,320.918335
47.3048668,1.373310,-1.050422,-0.021233,1.729109,90.703590,322.588226
47.3068810,1.400889,-0.826622,0.065163,1.627894,87.705887,329.456421
47.3088951,1.511447,-0.924245,-0.016352,1.771713,90.528816,328.554352
47.3109093,1.464099,-0.933519,0.064919,1.737602,87.858849,327.478149
47.3129234,1.429687,-0.991361,0.120076,1.743909,86.051796,325.262146
47.3149376,1.331088,-0.984771,0.085176,1.657958,87.055191,323.505066
47.3169556,1.322302,-0.887392,0.031971,1.592787,88.849846,326.134583
47.3189659,1.271538,-0.882511,0.260897,1.569619,80.432060,325.237427
47.3209801,1.397716,-0.961830,0.107385,1.700076,86.378502,325.466431
47.3229942,1.293992,-0.792698,0.022941,1.517666,89.133873,328.508392
47.3249779,1.263240,-0.881047,0.225753,1.556594,81.660980,325.106171
47.3269920,1.174159,-0.822473,0.197442,1.447099,82.158096,324.989594
47.3290100,1.185630,-0.845902,0.119832,1.461379,85.296501,324.493561
47.3310204,1.093865,-0.764143,0.305804,1.368930,77.091850,325.062927
47.3330345,1.070923,-0.768536,0.106409,1.322440,85.384758,324.335297
47.3350487,1.036511,-0.865427,-0.094938,1.353637,94.021782,320.140076
47.3370628,0.965979,-0.810026,0.117147,1.266089,84.690994,320.018311
47.3390770,1.023576,-0.777566,-0.033680,1.285866,91.500885,322.777649
47.3410912,0.948895,-0.695075,0.047103,1.177178,87.706779,323.776825
47.3431053,0.959633,-0.859326,0.122029,1.293919,84.588432,318.156403
47.3451195,0.931078,-0.836140,-0.168644,1.262726,97.675079,318.075073
47.3471336,0.916679,-0.844682,-0.178894,1.259282,98.167084,317.340698
47.3491173,0.937668,-0.891785,-0.147899,1.302450,96.520241,316.436676
47.3511314,0.922780,-0.837604,-0.058818,1.247624,92.702148,317.770081
47.3531456,0.994777,-0.847611,-0.055889,1.308109,92.448715,319.566986
47.3551598,0.969639,-0.696539,-0.173037,1.206362,98.246765,324.308472
47.3571739,0.991116,-0.722409,-0.258213,1.253340,101.889191,323.912262
47.3591881,0.958901,-0.819788,-0.213062,1.279429,99.586067,319.472046
47.3612022,1.014302,-0.872993,-0.254308,1.362203,100.759590,319.281982
47.3632126,1.053595,-0.883731,-0.215259,1.391898,98.896561,320.010864
47.3652306,1.018207,-0.852492,-0.230146,1.347759,99.832123,320.062317
47.3672447,1.028457,-0.846635,-0.297262,1.364873,102.579521,320.538513
47.3692284,1.047006,-0.833700,-0.442720,1.409708,108.303520,321.470734
47.3712425,0.999170,-0.855909,-0.282618,1.345658,102.123665,319.415985
47.3732567,0.993557,-0.954508,-0.202568,1.392578,98.364044,316.148346
47.3752670,0.999903,-0.936448,-0.234539,1.389873,99.715057,316.876923
47.3772850,1.084102,-0.936936,-0.323132,1.468857,102.708366,319.164764
47.3792992,1.050911,-0.870796,-0.417094,1.427118,106.993484,320.354462
47.3813133,1.063357,-0.883731,-0.378533,1.433526,105.310936,320.270844
47.3833237,1.122175,-0.926197,-0.148875,1.462628,95.842018,320.465149
47.3853416,1.147069,-0.858349,-0.183287,1.444342,97.290489,323.192566
47.3873558,1.173427,-0.826622,-0.215259,1.451403,98.529037,324.837189
47.3893394,1.144628,-0.829551,-0.118124,1.418549,94.776596,324.067902
47.3913536,1.168790,-0.792454,-0.333138,1.450874,103.274239,325.862244
