Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
53.5542946,0.967687,0.188412,-0.004149,0.985867,90.241127,11.017851
53.5563087,0.798067,0.258213,-0.016108,0.838954,91.100136,17.928852
53.5583229,1.040904,0.167179,-0.428809,1.138116,112.133797,9.124330
53.5603333,0.823449,0.186460,0.121052,0.852930,81.840729,12.758751
53.5623512,0.898619,0.112754,0.218431,0.931634,76.440178,7.151828
53.5643654,0.812711,0.224045,0.019525,0.843253,88.673264,15.412237
53.5663757,0.954996,0.251623,-0.298726,1.031779,106.829529,14.760860
53.5683899,0.770245,0.268951,-0.218919,0.844711,105.020500,19.247984
53.5704079,0.719969,0.183287,-0.125934,0.753531,99.620682,14.282755
53.5724220,0.929126,-0.004881,-0.164495,0.943587,100.039604,359.699005
53.5744057,0.937424,-0.015376,0.115195,0.944600,82.995285,359.060333
53.5764198,1.054815,0.016352,-0.231122,1.079963,102.357414,0.888133
53.5784302,0.919364,0.142041,-0.201103,0.951760,102.198311,8.782732
53.5804443,0.940841,0.115683,-0.103724,0.953584,96.244598,7.009744
53.5824623,0.755357,0.225753,-0.203544,0.814223,104.476639,16.639784
53.5844765,0.815151,0.287499,-0.180602,0.883031,101.801720,19.427473
53.5864868,1.040660,0.201103,-0.268707,1.093444,104.225792,10.937350
53.5885048,0.728023,0.268463,-0.007078,0.775977,90.522598,20.241770
53.5905190,1.068483,0.042222,-0.286035,1.106912,104.975632,2.262909
53.5925293,0.944746,0.143018,-0.212086,0.978764,102.514542,8.608194
53.5945435,0.966955,0.195734,-0.202812,1.007197,101.616638,11.443359
53.5965614,0.860302,0.307756,-0.073705,0.916660,94.611923,19.683680
53.5985413,0.704105,0.342168,-0.056377,0.784870,94.119102,25.917986
53.6005592,1.040172,0.248694,-0.320691,1.116535,106.691605,13.446404
53.6025734,0.972568,0.306780,-0.353395,1.079301,109.112823,17.506989
53.6045837,1.155611,0.180358,-0.416118,1.241418,109.584412,8.870693
53.6065979,0.968663,0.202568,0.014399,0.989722,89.166382,11.811518
53.6086159,1.027725,0.146678,0.156197,1.049824,81.443558,8.122482
53.6106300,0.841509,0.303119,-0.270904,0.934563,106.850288,19.809469
53.6126404,0.881535,0.294577,-0.514961,1.062574,118.988571,18.477766
53.6146545,0.833211,0.234783,-0.228438,0.895292,104.782722,15.736822
53.6166725,0.874945,0.139113,-0.051496,0.887431,93.326645,9.034169
53.6186829,0.963294,0.143506,-0.142041,0.984228,98.297760,8.473259
53.6206970,0.811002,0.262850,0.049544,0.853973,86.674088,17.957756
53.6227112,0.967931,0.191097,-0.060770,0.988485,93.524666,11.168174
53.6246948,0.824913,0.238444,-0.182799,0.877925,102.017876,16.122112
53.6267090,0.933031,0.171816,-0.226729,0.975435,103.440712,10.434043
53.6287270,0.821497,0.230146,0.124225,0.862123,81.715286,15.650455
53.6307373,0.963782,0.113975,-0.226729,0.996630,103.149681,6.744349
53.6327515,0.902524,0.216235,-0.118124,0.935553,97.253571,13.473464
53.6347656,0.812955,0.195490,0.105189,0.842720,82.829613,13.521103
53.6367836,0.870308,0.310197,-0.071021,0.926662,94.395538,19.617172
53.6387939,0.955240,0.297506,-0.395129,1.075695,111.550682,17.298994
53.6408081,0.963294,0.240885,-0.226729,1.018512,102.862274,14.039660
53.6428261,1.043101,0.186704,0.272612,1.094182,75.572968,10.147870
53.6448402,1.107776,0.218187,-0.151560,1.139185,97.645416,11.142337
53.6468506,0.983551,0.305316,-0.226973,1.054565,102.428986,17.245483
53.6488380,0.970372,0.254552,-0.134720,1.012209,97.648460,14.698865
53.6508484,0.936448,0.229902,-0.088349,0.968295,95.235039,13.793555
53.6528625,1.048958,0.244545,-0.125445,1.084367,96.643158,13.123067
53.6548805,1.260312,0.159125,-0.107141,1.274828,94.821030,7.196014
53.6568909,0.818568,0.355103,0.035632,0.892985,87.713142,23.451700
53.6589050,1.081418,0.232831,-0.116659,1.112333,96.020142,12.150378
53.6609192,1.106312,0.250891,-0.142773,1.143353,97.173401,12.777493
53.6629372,0.905208,0.337287,-0.222336,0.991261,102.961502,20.435753
53.6649475,1.079221,0.231610,-0.096647,1.108017,95.003975,12.112453
53.6669617,0.808562,0.313614,0.262117,0.905997,73.183121,21.199579
53.6689758,1.030654,0.206961,0.082491,1.054459,85.513115,11.354281
53.6709938,1.009665,0.252843,-0.294089,1.081592,105.777588,14.059052
53.6729736,0.886904,0.299946,-0.193781,0.956095,101.693726,18.685270
53.6749916,0.967931,0.225997,-0.001464,0.993966,90.084412,13.142242
53.6770020,0.934983,0.233319,0.199883,0.984167,78.281784,14.011607
53.6790161,1.059697,0.224777,-0.188412,1.099536,99.866669,11.975750
53.6810303,1.052619,0.233075,-0.179626,1.092976,99.459244,12.485196
53.6830444,0.811490,0.264802,0.088837,0.858213,84.058456,18.072323
53.6850586,1.038464,0.213306,-0.059306,1.061802,93.201866,11.607416
53.6870728,1.054571,0.166691,-0.231854,1.092549,102.252136,8.982159
53.6890869,1.101186,0.162542,-0.026846,1.113441,91.381599,8.396592
53.6911011,0.967931,0.215503,0.211842,1.014006,77.941193,12.551751
53.6931152,0.989408,0.352907,-0.076634,1.053254,94.172485,19.630543
53.6951294,1.037243,0.320447,-0.288232,1.123226,104.869034,17.168074
53.6971436,1.137795,0.266266,-0.286767,1.203208,103.788322,13.171314
53.6991577,1.045297,0.159613,0.117147,1.063883,83.678162,8.681816
53.7011414,1.254942,0.053937,0.180602,1.269018,81.818077,2.461023
53.7031555,1.148045,0.134964,-0.006834,1.155971,90.338707,6.704890
53.7051697,1.068727,0.286523,-0.190365,1.122725,99.762001,15.007940
53.7071838,0.879826,0.369503,-0.074926,0.957205,94.489441,22.781054
53.7091942,0.875189,0.348270,-0.126178,0.950352,97.629646,21.699411
53.7112122,0.984771,0.247474,-0.068580,1.017704,93.863922,14.106385
53.7132263,0.956460,0.210377,0.009762,0.979372,89.428871,12.404908
53.7152405,1.039440,0.175721,-0.106165,1.059521,95.750740,9.595345
53.7172508,1.162445,0.089813,-0.150095,1.175531,97.335716,4.418022
53.7192688,0.954996,0.201591,-0.103480,0.981511,96.051910,11.919648
53.7212830,1.168790,0.183775,-0.308488,1.222705,104.613640,8.935761
53.7232971,0.864939,0.323620,0.066384,0.925881,85.888496,20.513510
53.7253113,0.934739,0.222092,0.058086,0.962516,86.540230,13.365529
53.7273254,0.952311,0.236003,-0.429053,1.070832,113.620216,13.918713
53.7293053,0.932543,0.228682,-0.051496,0.961552,93.069954,13.778395
53.7313232,0.907893,0.204032,0.066628,0.932919,85.904541,12.665723
53.7333374,0.979646,0.156685,0.025626,0.992428,88.520370,9.086937
53.7353516,0.990140,0.230878,-0.077854,1.019678,94.378899,13.125540
53.7373657,1.068238,0.192561,-0.267243,1.117869,103.831322,10.218429
53.7393799,0.948406,0.227217,-0.326549,1.028463,108.512482,13.472869
53.7413940,0.868112,0.206961,0.206228,0.915959,76.988289,13.409192
53.7434044,0.954020,0.208669,0.167911,0.990904,80.243996,12.337774
53.7454224,0.793674,0.327769,-0.194026,0.880339,102.732445,22.439482
53.7474365,0.966467,0.204764,-0.168399,1.002170,99.673584,11.962285
53.7494507,0.715576,0.198419,0.168399,0.761431,77.222717,15.497905
53.7514610,0.889100,0.181090,-0.148143,0.919369,99.272797,11.512433
53.7534790,0.721189,0.444428,-0.118612,0.855394,97.970505,31.643190
53.7554588,0.662859,0.445893,0.127154,0.808932,80.956329,33.927952
53.7574768,0.783912,0.442232,0.024406,0.900379,88.446747,29.428844
53.7594910,1.023088,0.405623,-0.222336,1.122797,101.421196,21.626814
53.7615051,1.295212,0.189632,-0.441256,1.381391,108.628365,8.329517
53.7635155,1.395519,0.007078,0.001708,1.395538,89.929863,0.290585
53.7655334,1.535120,-0.063943,0.249671,1.556605,80.770210,357.614807
53.7675476,1.151950,0.392444,0.087861,1.220132,85.870605,18.812845
53.7695580,1.432616,0.305072,-0.856153,1.696601,120.306679,12.021413
53.7715721,1.157808,0.397813,-0.388295,1.284347,107.597534,18.962307
53.7735901,1.395031,0.079563,0.062723,1.398705,87.429802,3.264208
53.7756042,1.344511,0.175477,-0.372431,1.406132,105.358765,7.435854
53.7776146,1.067018,0.239908,0.253575,1.122669,76.946045,12.671652
53.7796288,1.071899,0.276761,0.615024,1.266420,60.945587,14.477395
53.7816467,0.880803,0.432958,-0.083224,0.984983,94.846832,26.176374
53.7836266,1.045541,0.387319,-0.661883,1.296635,120.694633,20.327059
53.7856445,0.979402,0.331674,-0.101528,1.039011,95.607651,18.708639
53.7876587,0.803436,0.141797,0.439791,0.926840,61.672817,10.008973
53.7896690,1.008933,0.109826,0.243813,1.043768,76.491508,6.212381
53.7916870,1.000879,0.120808,0.003661,1.008150,89.791946,6.882436
53.7937012,1.080441,0.183287,0.179870,1.110541,80.678955,9.628044
53.7957115,0.887880,0.146190,0.075170,0.902969,85.224762,9.349914
53.7977257,1.058720,0.073705,-0.011715,1.061347,90.632423,3.982354
53.7997437,1.172695,0.004393,0.052472,1.173877,87.438026,0.214635
53.8017578,1.064090,-0.000488,0.415874,1.142470,68.653168,359.973724
53.8037682,0.964514,0.054913,0.136672,0.975696,81.947723,3.258514
53.8057823,1.040660,0.039537,0.168399,1.054938,80.814598,2.175763
53.8077660,1.045785,0.133255,0.173037,1.068347,80.678932,7.261568
53.8097801,1.123151,0.135696,-0.351686,1.184722,107.268593,6.888917
53.8117981,1.160492,0.027823,0.574755,1.295322,63.658798,1.373390
53.8138123,1.248109,-0.058086,0.767560,1.466389,58.437031,357.335449
