Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
8.2632818,-0.667741,1.105823,-0.069312,1.293649,93.071312,121.125267
8.2652645,-1.059941,1.115098,-0.490067,1.614646,107.668755,133.547348
8.2672787,-0.963050,1.204423,-0.049788,1.542912,91.849174,128.645645
8.2692928,-0.957193,1.282765,0.101528,1.603749,86.370377,126.730110
8.2713070,-0.273588,1.108508,1.004784,1.520931,48.651501,103.863960
8.2733212,0.657002,0.802948,0.519110,1.160109,63.418755,50.708698
8.2753353,0.690926,0.807341,0.116903,1.069039,83.721939,49.442951
8.2773495,1.134866,0.741690,-0.313125,1.391428,103.005165,33.166561
8.2793636,1.113145,0.803925,-0.110314,1.377518,94.593254,35.837196
8.2813473,1.060429,0.819788,0.107873,1.344693,85.398705,37.706623
8.2833614,1.127056,0.740714,0.274076,1.376238,78.512802,33.313354
8.2853756,1.508518,0.349978,0.546932,1.642329,70.547684,13.061622
8.2873898,1.312052,0.426856,0.526676,1.476846,69.107117,18.021513
8.2894039,1.389662,0.542539,0.244789,1.511764,80.681465,21.326218
8.2914181,1.877777,0.217455,0.479084,1.950091,75.778397,6.605686
8.2934322,1.932445,0.242349,0.248206,1.963335,82.737190,7.148170
8.2954464,1.998097,0.267731,-0.229658,2.028993,96.499130,7.631771
8.2974300,2.121834,-0.035144,0.344609,2.149923,80.776337,359.051086
8.2994442,2.559184,-0.584517,0.338263,2.646792,82.657448,347.134338
8.3014584,2.833749,-0.839557,0.242105,2.965401,85.316978,343.496979
8.3034716,3.449017,-1.123884,0.622834,3.680592,80.257462,341.951477
8.3054857,3.949335,-1.583932,0.709230,4.313826,80.537117,338.146118
8.3074999,3.610095,-1.618344,0.414897,3.977934,84.013184,335.854126
8.3095140,3.454874,-1.685459,0.306780,3.856299,85.437134,333.994568
8.3115292,3.021429,-1.570020,0.131547,3.407536,87.787567,332.542328
8.3135118,2.672671,-1.546103,-0.023674,3.087744,90.439285,329.951233
8.3155260,2.369308,-1.358667,0.546444,2.785354,78.686050,330.168121
8.3175402,2.365159,-1.316933,0.244301,2.718082,84.843292,330.890717
8.3195553,2.017133,-1.076537,0.599649,2.363755,75.304329,331.911316
8.3215685,1.708645,-0.884463,0.080051,1.925656,87.617493,332.632080
8.3235826,1.702543,-0.916435,-0.282130,1.953997,98.301735,331.707581
8.3255968,1.264461,-0.716308,-0.321667,1.488431,102.480759,330.468750
8.3276110,1.193928,-0.748035,-0.078342,1.411084,93.182655,327.931488
8.3295946,0.870064,-0.618685,-0.045883,1.068592,92.460899,324.584137
8.3316088,0.881535,-0.548397,-0.181090,1.053867,99.894485,328.114532
8.3336229,0.676771,-0.499341,-0.026358,0.841460,91.795044,323.579010
8.3356371,0.624542,-0.265046,-0.297750,0.740917,113.694931,337.004395
8.3376513,0.712891,-0.190853,-0.712647,1.025916,133.998886,345.012451
8.3396654,0.657246,-0.043686,-0.428565,0.785843,123.049049,356.197235
8.3416796,0.884219,-0.321179,-0.463953,1.048929,116.251419,340.037201
8.3436937,0.862742,-0.297750,-0.470298,1.026723,117.261841,340.959412
8.3457079,0.937668,-0.209157,-0.416850,1.047249,113.455864,347.425415
8.3476915,0.894714,-0.171816,-0.381217,0.987603,112.705994,349.129547
8.3497057,0.993557,-0.071753,-0.611852,1.169045,121.559059,355.869385
8.3517199,0.988920,-0.086640,-0.429297,1.081557,113.386078,354.993042
8.3537340,0.862010,-0.039781,-0.610143,1.056844,125.262672,357.357697
8.3557472,0.839557,-0.004393,-0.345341,0.907819,112.358917,359.700195
8.3577614,0.793918,-0.018548,-0.216235,0.823048,105.231781,358.661652
8.3597755,0.776102,-0.172548,-0.606482,0.999964,127.337151,347.465485
8.3617907,0.673598,-0.352419,-0.398301,0.858241,117.651375,332.381958
8.3637733,0.808074,-0.652365,-0.385610,1.107817,110.370010,321.085754
8.3657875,0.837604,-0.759262,-0.438815,1.212691,111.213997,317.808685
8.3678017,1.056768,-0.985747,-0.573779,1.554888,111.654938,316.991455
8.3698168,1.199053,-1.117050,-0.460048,1.702109,105.681000,317.027740
8.3718309,1.026505,-1.036755,-0.591595,1.574344,112.072052,314.715363
8.3738441,0.973300,-1.179529,-0.605262,1.644671,111.593185,309.528107
8.3758583,1.061649,-1.408210,-0.472983,1.825888,105.013268,307.012634
8.3778725,0.981598,-1.319862,-0.776834,1.819077,115.280403,306.638672
8.3798866,1.120223,-1.375507,-0.666520,1.895037,110.592484,309.159637
8.3818703,0.987944,-1.193684,-0.487870,1.624479,107.477081,309.612610
8.3838844,1.129741,-1.060673,-0.394641,1.599088,104.287697,316.806061
8.3858986,1.211744,-0.981110,-0.073705,1.560876,92.706543,321.004028
8.3879128,1.067018,-0.682872,-0.090789,1.270073,94.099197,327.381500
8.3899269,1.064822,-0.420023,-0.106653,1.149626,95.323097,338.473083
8.3919411,1.024308,-0.369991,-0.316786,1.134220,106.218369,340.139740
8.3939552,1.036023,-0.271880,-0.331674,1.121280,107.205467,345.295654
8.3959694,1.014058,-0.089813,-0.205740,1.038609,101.425415,354.938629
8.3979836,1.117782,-0.058574,-0.078586,1.122071,94.016106,357.000336
8.3999672,1.124616,-0.099575,0.264558,1.159598,76.812035,354.940125
8.4019814,1.197345,-0.010983,0.061746,1.198986,87.048027,359.474487
8.4039955,1.208571,0.058574,-0.120320,1.215958,95.678772,2.774684
8.4060097,1.197833,0.088837,-0.132523,1.208411,96.296127,4.241555
8.4080229,1.365500,0.142041,-0.375604,1.423322,105.301163,5.938631
8.4100380,1.399180,0.146678,-0.044662,1.407556,91.818329,5.984553
8.4120522,1.433592,0.115683,-0.051008,1.439156,92.031158,4.613463
8.4140663,1.423342,0.139113,0.052228,1.431077,87.908485,5.582167
8.4160490,1.303998,0.154488,0.280422,1.342726,77.945320,6.756496
8.4180632,1.245668,0.257969,0.119100,1.277663,84.651291,11.700133
8.4200783,1.184654,0.337531,0.145214,1.240330,83.276566,15.903294
8.4220924,1.139503,0.350466,0.224777,1.213185,79.322655,17.095831
8.4241066,1.068238,0.405379,0.321423,1.186920,74.287849,20.780937
8.4261198,1.019427,0.470054,0.373652,1.183131,71.589912,24.754259
8.4281340,1.029678,0.451018,0.354859,1.178804,72.480316,23.654308
8.4301481,1.060429,0.446869,0.394397,1.216449,71.081711,22.850748
8.4321623,1.116562,0.437351,0.347782,1.248574,73.826736,21.389980
8.4341459,1.134866,0.456631,0.376580,1.279940,72.889397,21.918158
8.4361601,1.171719,0.508615,0.314102,1.315399,76.184975,23.464520
8.4381742,1.166594,0.507639,0.280178,1.302742,77.580505,23.516094
8.4401884,1.178797,0.538146,0.144238,1.303828,83.648575,24.537729
8.4422026,1.157808,0.579392,0.101284,1.298642,85.526840,26.584372
8.4442167,1.147069,0.539367,0.136184,1.274845,83.867737,25.183512
8.4462309,1.092888,0.593059,0.195490,1.258706,81.065216,28.486603
8.4482450,1.064334,0.603310,0.208669,1.241101,80.320763,29.546404
8.4502592,1.013570,0.607703,0.209645,1.200241,79.940590,30.945490
8.4522429,0.965735,0.676039,0.094938,1.182660,85.395615,34.992992
8.4542570,0.925709,0.720701,0.076146,1.175647,86.286392,37.902161
8.4562712,0.860790,0.755845,0.002685,1.145543,89.865723,41.285831
8.4582853,0.858349,0.756577,0.032948,1.144665,88.350586,41.394016
8.4602995,0.823205,0.741690,0.131547,1.115829,83.229568,42.018166
8.4623137,0.795627,0.735833,0.101284,1.088453,84.660736,42.764091
8.4643278,0.804169,0.686289,0.073461,1.059753,86.025116,40.477917
8.4663420,0.758530,0.663104,0.139845,1.017168,82.097687,41.159813
8.4683561,0.752673,0.663836,0.070044,1.006032,86.007584,41.411373
8.4703703,0.678967,0.646996,-0.034168,0.938492,92.086449,43.618755
8.4723539,0.673598,0.550105,0.039049,0.870560,87.429123,39.237366
8.4743681,0.587690,0.559135,0.002197,0.811182,89.844856,43.573689
8.4763823,0.575975,0.583297,-0.046615,0.821070,93.254623,45.361862
8.4783955,0.560111,0.538878,0.084932,0.781875,83.763885,43.893162
8.4804096,0.511544,0.549861,0.107141,0.758619,81.880875,47.067493
8.4824238,0.501538,0.554742,0.000976,0.747850,89.925209,47.883533
8.4844379,0.530580,0.503002,-0.005125,0.731131,90.401642,43.471573
8.4864521,0.513252,0.524723,-0.004149,0.734016,90.323860,45.633152
8.4884663,0.510324,0.542783,-0.035388,0.745853,92.719521,46.765453
8.4904499,0.503978,0.547664,-0.037097,0.745189,92.853455,47.378757
8.4924641,0.481769,0.537170,0.111046,0.730058,81.251015,48.112179
8.4944782,0.440523,0.520086,0.100796,0.688992,81.587761,49.734730
8.4964924,0.430761,0.542295,0.018060,0.692795,88.506210,51.538849
8.4985065,0.370479,0.547176,0.024650,0.661260,87.863686,55.899090
8.5005207,0.280422,0.613560,-0.127154,0.686484,100.674240,65.437675
8.5025349,0.284815,0.666520,-0.180358,0.746926,103.973175,66.862206
8.5045490,0.202812,0.656514,-0.058574,0.689619,94.872368,72.832932
8.5065632,0.199639,0.625519,0.041490,0.657914,86.384384,72.299141
8.5085468,0.172793,0.646508,0.031727,0.669952,87.285583,75.036278
8.5105610,0.179138,0.637966,0.089081,0.668600,82.343430,74.315483
8.5125751,0.180114,0.636501,-0.082003,0.666558,97.066711,74.199791
8.5145893,0.170108,0.640162,-0.339728,0.744419,117.152885,75.118896
8.5166035,0.226485,0.562308,-0.245033,0.653856,112.008965,68.061523
8.5186176,0.238932,0.612584,0.111778,0.666965,80.352135,68.692238
8.5206318,0.203788,0.683848,0.021965,0.713905,88.236870,73.405869
