Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
22.2750359,0.806365,-0.159857,0.443208,0.933923,61.668919,348.786804
22.2770500,0.797335,-0.164983,0.358520,0.889662,66.235115,348.309479
22.2790642,0.775370,-0.143018,0.290184,0.840154,69.794167,349.549225
22.2810783,0.768780,-0.171816,0.318251,0.849604,68.001213,347.401886
22.2830925,0.751940,-0.180358,0.360961,0.853367,64.976883,346.511993
22.2851067,0.741202,-0.195490,0.474691,0.901625,58.231800,345.224884
22.2871189,0.728755,-0.207449,0.524235,0.921380,55.321766,344.110382
22.2891350,0.716796,-0.181090,0.451506,0.866284,58.587326,345.821564
22.2911472,0.717772,-0.164983,0.407087,0.841509,61.068790,347.055206
22.2931328,0.696783,-0.138136,0.310685,0.775315,66.376762,348.786591
22.2951450,0.679699,-0.111778,0.258457,0.735721,69.433334,350.661163
22.2971611,0.675062,-0.110802,0.277737,0.738325,67.903244,350.678802
22.2991734,0.670669,-0.140089,0.351442,0.770022,62.844589,348.201752
22.3011894,0.668229,-0.150583,0.430517,0.809043,57.850414,347.300690
22.3032036,0.666032,-0.168399,0.468102,0.831310,55.730293,345.810730
22.3052177,0.667497,-0.167179,0.464685,0.830321,55.968742,345.939117
22.3072319,0.682628,-0.148631,0.375360,0.793075,61.751461,347.716522
22.3092461,0.681652,-0.142041,0.289696,0.754154,67.410042,348.229248
22.3112602,0.694099,-0.137648,0.270660,0.757613,69.068398,348.783081
22.3132744,0.702153,-0.154732,0.266022,0.766634,69.696045,347.572449
22.3152580,0.713623,-0.189632,0.331430,0.809361,65.826836,345.118591
22.3172722,0.725582,-0.208425,0.383170,0.846599,63.089439,343.973175
22.3192863,0.740226,-0.235515,0.430029,0.887877,61.031174,342.350647
22.3212986,0.758530,-0.235271,0.416118,0.896590,62.347282,342.767822
22.3233147,0.757310,-0.212086,0.343389,0.858146,66.412331,344.355011
22.3253269,0.755845,-0.203544,0.293845,0.836108,69.424362,344.928192
22.3273430,0.759018,-0.199883,0.255040,0.825292,71.999229,345.246460
22.3293552,0.750720,-0.194026,0.272856,0.821996,70.613228,345.508850
22.3313713,0.765608,-0.188412,0.315566,0.849256,68.186951,346.174530
22.3333530,0.783180,-0.205984,0.364377,0.888015,65.774559,345.264343
22.3353691,0.787085,-0.205984,0.371943,0.894580,65.431923,345.334290
22.3373814,0.761215,-0.114951,0.383414,0.860039,63.524841,351.412659
22.3393974,0.747791,-0.057842,0.316542,0.814086,67.118202,355.576996
22.3414097,0.933763,0.066872,0.275053,0.975725,73.626625,4.096260
22.3434258,1.003075,0.421243,0.106409,1.093128,84.413780,22.780035
22.3454380,0.945966,0.545956,0.049056,1.093310,87.428345,29.991026
22.3474541,0.920096,0.703861,-0.046615,1.159383,92.304291,37.415508
22.3494358,0.863230,0.973056,-0.075658,1.302969,93.328789,48.422703
22.3514519,0.786108,0.992337,-0.326060,1.307293,104.442993,51.614471
22.3534641,0.687997,0.884952,-0.353395,1.175316,107.498497,52.137051
22.3554783,0.434422,1.027969,-0.279201,1.150390,104.046051,67.090981
22.3574924,0.482257,0.893005,-0.541075,1.150127,118.063377,61.629257
22.3595066,0.436374,0.888612,-0.579636,1.147185,120.349159,63.845551
22.3615208,0.415629,0.858105,-0.481281,1.068047,116.783333,64.156441
22.3635349,0.575975,0.662127,-0.166447,0.893233,100.739403,48.980457
22.3655491,0.621370,0.701421,-0.293845,0.982057,107.410385,48.463123
22.3675327,0.928394,0.583053,-0.234051,1.121002,102.051292,32.129772
22.3695469,1.162689,0.343633,0.149607,1.221602,82.965439,16.465042
22.3715611,1.396740,0.181335,0.074193,1.410414,86.984619,7.397166
22.3735752,1.485576,0.091766,0.180358,1.499296,83.090851,3.534726
22.3755894,1.510958,-0.071997,0.336311,1.549608,77.465370,357.271942
22.3776054,1.561478,-0.217455,0.442964,1.637595,74.306183,352.071838
22.3796177,1.582711,-0.267975,0.451018,1.667394,74.306419,350.390167
22.3816338,1.467028,-0.410992,0.416606,1.579445,74.706291,344.349609
22.3836460,1.433836,-0.545468,0.647240,1.665035,67.124847,339.171906
22.3856297,1.271050,-0.489091,0.540343,1.465179,68.359009,338.953644
22.3876438,1.294236,-0.522771,0.397569,1.451343,74.101624,338.005127
22.3896561,1.186606,-0.508371,0.496657,1.383164,68.956741,336.808533
22.3916721,1.171963,-0.392444,0.303363,1.272611,76.209137,341.486328
22.3936863,1.115342,-0.369747,0.342412,1.223906,73.753517,341.659119
22.3957005,1.081174,-0.296774,0.317763,1.165326,74.176117,344.650818
22.3977146,1.086055,-0.229414,0.202079,1.128265,79.682289,348.072418
22.3997288,1.110461,-0.262850,0.304339,1.181031,75.066994,346.683014
22.4017429,1.158052,-0.311173,0.343633,1.247396,74.009377,344.959656
22.4037571,1.240543,-0.328745,0.354615,1.331455,74.553612,345.157715
22.4057407,1.331820,-0.448577,0.471519,1.482328,71.452347,341.385712
22.4077549,1.325963,-0.506419,0.462977,1.492979,71.934586,339.096893
22.4097691,1.421389,-0.656026,0.564992,1.664312,70.155098,335.224854
22.4117832,1.464588,-0.727291,0.562064,1.729128,71.031021,333.591736
22.4137974,1.488017,-0.716064,0.592327,1.754364,70.267418,334.302185
22.4158115,1.496559,-0.716552,0.665788,1.787851,68.136543,334.414917
