Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.998194,0.010739,-0.017084,0.998398,90.980461,0.616361
0.0020141,0.994045,0.011715,-0.016596,0.994253,90.956413,0.675195
0.0039977,0.994045,0.012203,-0.018548,0.994293,91.068901,0.703326
0.0060118,0.994289,0.015132,-0.022453,0.994658,91.293495,0.871886
0.0080260,0.995998,0.015376,-0.017572,0.996271,91.010628,0.884427
0.0100401,0.999170,0.015132,-0.015620,0.999407,90.895508,0.867628
0.0120542,0.999903,0.014887,-0.007810,1.000044,90.447456,0.853011
0.0140683,1.003563,0.012691,-0.001464,1.003645,90.083595,0.724519
0.0160825,1.003563,0.012691,0.001220,1.003644,89.930336,0.724519
0.0180966,1.003563,0.013667,-0.001708,1.003658,90.097527,0.780245
0.0201107,1.005028,0.013911,-0.007566,1.005152,90.431267,0.793019
0.0220943,1.006248,0.017084,-0.006590,1.006415,90.375153,0.972670
0.0241084,1.007956,0.014155,-0.008298,1.008090,90.471626,0.804585
0.0261225,1.005516,0.010494,-0.011227,1.005633,90.639648,0.597968
0.0281367,1.003075,0.013423,-0.011227,1.003228,90.641182,0.766686
0.0301508,1.004296,0.014887,-0.007810,1.004436,90.445496,0.849280
0.0321649,1.006980,0.012447,-0.007810,1.007087,90.444328,0.708176
0.0341790,1.007224,0.019281,-0.007078,1.007434,90.402534,1.096635
0.0361932,1.006004,0.020257,-0.007810,1.006238,90.444702,1.153544
0.0382073,1.004784,0.020257,-0.005613,1.005004,90.320023,1.154944
0.0402214,1.001611,0.023429,-0.008054,1.001917,90.460579,1.340008
0.0422050,0.999170,0.022209,-0.009518,0.999462,90.545654,1.273341
0.0442191,0.996974,0.022453,-0.010739,0.997284,90.616959,1.290164
0.0462333,0.995021,0.022697,-0.010250,0.995333,90.590073,1.306741
0.0482474,0.995021,0.019525,-0.009762,0.995261,90.562012,1.124129
0.0502615,0.996730,0.020013,-0.012935,0.997015,90.743362,1.150250
0.0522756,0.995509,0.017572,-0.013179,0.995752,90.758347,1.011245
0.0542897,0.994045,0.015620,-0.015376,0.994287,90.886055,0.900228
0.0563039,0.997706,0.016352,-0.020745,0.998056,91.190994,0.938961
0.0583180,0.998926,0.017328,-0.023185,0.999346,91.329414,0.993792
0.0603016,0.997218,0.015620,-0.022697,0.997598,91.303703,0.897364
0.0623157,0.998194,0.013667,-0.023429,0.998563,91.344467,0.784441
0.0643298,0.998926,0.013179,-0.021233,0.999239,91.217575,0.755874
0.0663439,0.998438,0.012203,-0.018548,0.998685,91.064201,0.700231
0.0683581,0.998194,0.015376,-0.019769,0.998508,91.134422,0.882481
0.0703722,0.998194,0.014887,-0.024162,0.998598,91.386444,0.854470
0.0723863,0.998926,0.014399,-0.021721,0.999266,91.245537,0.825853
0.0744004,0.996242,0.016840,-0.021721,0.996621,91.248848,0.968406
0.0764146,0.997950,0.017816,-0.022209,0.998356,91.274696,1.022780
0.0784287,0.998926,0.016840,-0.025138,0.999384,91.441338,0.965804
0.0804123,0.999170,0.016840,-0.025870,0.999647,91.482933,0.965568
0.0824264,1.000391,0.014887,-0.025626,1.000830,91.467209,0.852594
0.0844405,1.001611,0.012203,-0.025138,1.002001,91.437569,0.698013
0.0864547,1.000635,0.011959,-0.023918,1.000992,91.369148,0.684722
0.0884688,1.004540,0.007566,-0.022453,1.004819,91.280411,0.431520
0.0904829,1.005028,0.007078,-0.021233,1.005277,91.210266,0.403485
0.0924970,1.005028,0.005613,-0.020501,1.005252,91.168556,0.320007
0.0945111,1.005028,0.003417,-0.019525,1.005223,91.112930,0.194788
0.0965253,1.005760,0.006590,-0.023185,1.006049,91.320557,0.375386
0.0985089,1.006492,0.008542,-0.023185,1.006795,91.319580,0.486252
0.1005230,1.005516,0.009274,-0.022453,1.005809,91.279152,0.528441
0.1025371,1.008201,0.010006,-0.023918,1.008534,91.358910,0.568640
0.1045512,1.009177,0.006834,-0.024406,1.009495,91.385330,0.387970
0.1065654,1.008933,0.007566,-0.023674,1.009239,91.344101,0.429641
0.1085795,1.007956,0.006345,-0.024406,1.008272,91.387009,0.360695
0.1105936,1.009421,0.006101,-0.024650,1.009740,91.398842,0.346319
0.1126077,1.010885,0.005125,-0.024406,1.011193,91.383003,0.290488
0.1146218,1.013082,0.003905,-0.023918,1.013372,91.352425,0.220845
0.1166360,1.015522,0.002197,-0.024406,1.015818,91.376701,0.123927
0.1186196,1.017475,0.001952,-0.028555,1.017877,91.607536,0.109946
0.1206337,1.017719,0.001708,-0.028555,1.018121,91.607155,0.096180
0.1226478,1.021380,0.000488,-0.030751,1.021842,91.724510,0.027381
0.1246619,1.023576,-0.002685,-0.031727,1.024071,91.775406,359.849731
0.1266761,1.024552,-0.004149,-0.030507,1.025015,91.705528,359.767975
0.1286902,1.025529,-0.007810,-0.030019,1.025998,91.676620,359.563690
0.1307043,1.027237,-0.010494,-0.028799,1.027694,91.605789,359.414673
0.1327184,1.028701,-0.012691,-0.030019,1.029217,91.671371,359.293182
0.1347325,1.027725,-0.012935,-0.030507,1.028259,91.700142,359.278900
0.1367162,1.026505,-0.014399,-0.028067,1.026989,91.566032,359.196320
0.1387303,1.029433,-0.015620,-0.027823,1.029928,91.547981,359.130707
0.1407444,1.029189,-0.015864,-0.027334,1.029675,91.521187,359.116913
0.1427585,1.029433,-0.017572,-0.027090,1.029940,91.507217,359.022064
0.1447726,1.029189,-0.017328,-0.026114,1.029667,91.453278,359.035431
0.1467868,1.029189,-0.019036,-0.025870,1.029691,91.439659,358.940338
0.1488009,1.029922,-0.018304,-0.027090,1.030440,91.506485,358.981812
0.1508150,1.030898,-0.019769,-0.025626,1.031406,91.423698,358.901428
0.1528291,1.030166,-0.020013,-0.025626,1.030679,91.424706,358.887085
0.1548127,1.030410,-0.021477,-0.026602,1.030977,91.478561,358.805939
0.1568268,1.030654,-0.021721,-0.025870,1.031207,91.437538,358.792664
0.1588410,1.028945,-0.024650,-0.024162,1.029524,91.344788,358.627655
0.1608551,1.029922,-0.028799,-0.024650,1.030619,91.370499,358.398315
0.1628692,1.032850,-0.029775,-0.024406,1.033568,91.353058,358.348724
0.1648833,1.034315,-0.030019,-0.026358,1.035086,91.459183,358.337555
0.1668974,1.036511,-0.030019,-0.028067,1.037326,91.550423,358.341095
0.1689116,1.037243,-0.030263,-0.027334,1.038045,91.508919,358.328796
0.1709257,1.038219,-0.032216,-0.026602,1.039060,91.467056,358.222717
0.1729093,1.039928,-0.033192,-0.024894,1.040755,91.370590,358.171875
0.1749234,1.042124,-0.033680,-0.025138,1.042971,91.381088,358.148926
0.1769376,1.042613,-0.033924,-0.027578,1.043529,91.514397,358.136414
