Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
1.2549201,0.971836,-0.073461,-0.164739,0.988433,99.594055,355.677216
1.2569343,0.982818,-0.082491,-0.163762,0.999778,99.427467,355.202209
1.2589483,0.982575,-0.094450,-0.138136,0.996722,97.966301,354.509308
1.2609625,0.988188,-0.108850,-0.112266,1.000483,96.442848,353.714172
1.2629766,0.993069,-0.113243,-0.105433,1.005050,96.021576,353.494507
1.2649907,0.991361,-0.109094,-0.096403,1.001993,95.521011,353.720184
1.2670048,0.994533,-0.092742,-0.100552,1.003896,95.748459,354.672485
1.2690190,0.988432,-0.082735,-0.104456,0.997374,96.011703,355.215271
1.2710330,0.988676,-0.074682,-0.103236,0.996853,95.944336,355.680267
1.2730472,0.989896,-0.051984,-0.110070,0.997353,96.336182,356.993896
1.2750307,0.984527,-0.055401,-0.087128,0.989926,95.049423,356.779266
1.2770450,0.984527,-0.059550,-0.069556,0.988776,94.033852,356.538635
1.2790591,0.992093,-0.053204,-0.050032,0.994777,92.882874,356.930237
1.2810731,0.995509,-0.050032,-0.055889,0.998331,93.209236,357.122894
1.2830874,1.003075,-0.052228,-0.068092,1.006739,93.878227,357.019409
1.2851014,1.001855,-0.065163,-0.071753,1.006533,94.087921,356.278564
1.2871155,1.002831,-0.074926,-0.075658,1.008468,94.302513,355.727142
1.2891297,1.010885,-0.075414,-0.085420,1.017287,94.816711,355.733551
1.2911133,1.006736,-0.078586,-0.081759,1.013103,94.628899,355.536499
1.2931274,1.002343,-0.082247,-0.069556,1.008114,93.956352,355.309113
1.2951415,1.002831,-0.081027,-0.069312,1.008484,93.940994,355.380646
1.2971556,1.001367,-0.080295,-0.071997,1.007158,94.099297,355.415527
1.2991698,0.994777,-0.071021,-0.079807,1.000497,94.575172,355.916382
1.3011838,0.991605,-0.055157,-0.091033,0.997301,95.237236,356.816254
1.3031981,0.987700,-0.043686,-0.093230,0.993051,95.386986,357.467438
1.3052121,0.989408,-0.036365,-0.096159,0.994735,95.547302,357.895111
1.3072262,0.988188,-0.029775,-0.098599,0.993541,95.695419,358.274139
1.3092098,0.988920,-0.033924,-0.091521,0.993725,95.284393,358.035278
1.3112240,0.989164,-0.034900,-0.090545,0.993912,95.226883,357.979309
1.3132381,0.990140,-0.032704,-0.094694,0.995196,95.460030,358.108246
1.3152522,0.995509,-0.041002,-0.107629,1.002150,96.165367,357.641510
1.3172663,0.999658,-0.055401,-0.111046,1.007332,96.329025,356.827911
1.3192805,1.001123,-0.063211,-0.113243,1.009488,96.440895,356.387146
1.3212945,1.002099,-0.074926,-0.122517,1.012337,96.951187,355.724030
1.3233087,1.002587,-0.083468,-0.128374,1.014213,97.271729,355.240967
1.3252922,0.999658,-0.086884,-0.126910,1.011421,97.208290,355.032684
