Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
62.6811676,0.859082,-0.051740,-0.223556,0.889199,104.561150,356.553406
62.6831818,0.916435,-0.080539,-0.097867,0.925158,96.072342,354.977600
62.6851997,0.984283,-0.027334,-0.039049,0.985436,92.271011,358.409241
62.6872139,1.164153,-0.127154,0.527896,1.284560,65.735184,353.766632
62.6892242,1.521453,-0.119344,0.186460,1.537475,83.034218,355.514862
62.6912384,1.318885,-0.045639,-0.182311,1.332208,97.865524,358.018127
62.6932564,1.336457,-0.179870,-0.172060,1.359440,97.271263,352.334778
62.6952362,1.144873,-0.303119,-0.425880,1.258566,109.778511,345.170502
62.6972542,0.968663,-0.151071,-0.536194,1.117423,118.675499,351.135651
62.6992683,1.055792,-0.262606,-0.373408,1.150257,108.943146,346.032349
62.7012787,1.050422,-0.190609,-0.160590,1.079587,98.554558,349.715057
62.7032928,1.183922,0.019525,-0.059550,1.185579,92.879097,0.944805
62.7053108,1.262752,0.049788,-0.171328,1.275294,97.720688,2.257883
62.7073212,1.296920,0.076390,-0.582809,1.423904,114.161079,3.370885
62.7093353,1.155123,0.251379,-0.654317,1.351159,118.964241,12.277336
62.7113533,0.963050,0.080539,-0.600381,1.137721,121.850510,4.780464
62.7133331,0.993313,0.022453,-0.465661,1.097276,115.111374,1.294917
62.7153511,0.935227,0.135452,0.056621,0.946680,86.571075,8.241015
62.7173653,0.991605,0.152536,0.406599,1.082529,67.938522,8.745103
62.7193756,0.955972,0.192317,0.525943,1.107919,61.659351,11.374616
62.7213898,0.942793,0.395373,-0.041002,1.023162,92.296654,22.751385
62.7234077,1.324499,0.223556,-0.082735,1.345778,93.524635,9.580412
62.7254219,1.119735,0.217699,-0.297994,1.178982,104.640610,11.002204
62.7274323,1.230781,0.073705,-0.276029,1.263505,102.618759,3.427064
62.7294464,1.188315,-0.092498,0.154244,1.201848,82.626373,355.549103
62.7314644,1.331088,-0.431493,0.482745,1.480211,70.965790,342.039093
62.7334442,1.463123,-0.545712,0.528872,1.648708,71.289909,339.545624
62.7354622,1.102651,-0.430029,0.574511,1.315609,64.107239,338.694427
62.7374725,0.955728,-0.332894,-0.123981,1.019611,96.984245,340.796021
62.7394867,0.621858,-0.203788,-0.210133,0.687308,107.802307,341.855621
62.7415009,0.682628,-0.075414,-0.396593,0.793067,120.004990,353.695770
62.7435188,0.908869,0.063943,-0.360717,0.979923,111.598930,4.024382
62.7455292,0.872505,0.021965,0.250647,0.908059,73.976898,1.442107
62.7475433,0.933763,-0.047103,0.195246,0.955119,78.204430,357.112213
62.7495575,0.984771,0.188412,-0.050520,1.003905,92.884537,10.831271
62.7515755,0.942305,0.207449,-0.180602,0.981627,100.601830,12.415627
62.7535553,1.008689,0.197442,-0.372919,1.093392,109.941879,11.075136
62.7555733,1.204911,0.251379,-0.395373,1.292796,107.807968,11.784508
62.7575836,1.422122,0.084688,-0.133743,1.430905,95.363129,3.407960
62.7595978,1.838727,-0.176453,0.162542,1.854312,84.971214,354.518402
62.7616119,2.065945,-0.424171,0.194758,2.118013,84.724030,348.397491
62.7636299,2.152097,-0.738273,0.149119,2.280089,86.250153,341.065552
62.7656403,2.054718,-0.868112,-0.156441,2.236058,94.011848,337.096100
62.7676544,2.102309,-0.975985,-0.303607,2.337612,97.462616,335.097198
62.7696686,1.826524,-0.960609,-0.249915,2.078802,96.904831,332.259125
62.7716827,1.745009,-0.912530,-0.127398,1.973322,93.701599,332.393250
62.7736664,1.295456,-0.774150,0.413433,1.564749,74.679581,329.137939
62.7756805,1.164153,-0.626251,0.428320,1.389569,72.046814,331.722168
62.7776947,0.882511,-0.470786,0.078586,1.003315,85.507607,331.921753
62.7797089,0.527164,-0.370235,-0.584517,0.869848,132.219757,324.919067
62.7817268,0.532533,-0.408552,-0.917899,1.137121,143.824524,322.505096
62.7837372,0.371943,-0.307512,-0.511300,0.703088,136.653854,320.417023
62.7857513,0.508615,-0.360228,-0.632596,0.888050,135.425903,324.691833
62.7877655,0.421975,-0.216235,0.016108,0.474426,88.054314,332.867798
62.7897835,0.459072,-0.255772,0.288720,0.599604,61.215458,330.875610
62.7917938,0.615024,-0.269927,-0.532045,0.856847,128.384308,336.303864
62.7938080,1.187338,-0.053937,-0.840533,1.455740,125.267357,357.399048
62.7958221,1.762581,-0.340460,-0.978914,2.044719,118.603928,349.067413
62.7978058,3.446332,-0.716552,-0.819300,3.614126,103.102501,348.254547
62.7998199,5.870553,-1.329868,-0.573046,6.046513,95.438255,347.236084
62.8018341,6.081419,-1.590521,-0.604042,6.314925,95.488907,345.343292
62.8038483,5.454435,-1.998097,-0.702397,5.851207,96.894585,339.880951
62.8058624,3.025334,-2.065701,0.005613,3.663304,89.912209,325.674713
62.8078766,-1.064822,-0.860790,-0.134964,1.375870,95.629387,218.951691
62.8098907,-1.862645,0.053937,-0.236980,1.878434,97.247635,178.341354
62.8119049,-2.126471,0.747547,0.138136,2.258271,86.493080,160.631195
62.8139191,-1.533412,0.765608,0.215991,1.727472,82.817352,153.467789
62.8159332,-0.886904,0.782692,-0.371455,1.239832,107.433647,138.571640
62.8179169,0.366330,0.625763,-0.431005,0.843530,120.727425,59.654724
62.8199310,0.881779,-0.235759,-1.037975,1.382212,138.672958,345.031097
62.8219452,0.661395,-0.374140,-0.413433,0.865073,118.549446,330.503906
62.8239594,0.599893,-0.446869,-0.346805,0.824522,114.873337,323.317047
62.8259735,0.273588,-0.710939,0.009274,0.761820,89.302483,291.048065
62.8279877,-0.269927,-0.373164,0.546688,0.714829,40.112366,234.119949
62.8300018,-0.241861,-0.242105,0.297506,0.453455,48.997856,225.028900
62.8320160,-0.244057,0.011471,-0.355103,0.431038,145.470322,177.309082
62.8340302,-0.374140,0.366574,-0.431493,0.678634,129.481323,135.585205
62.8360405,-0.236247,0.563040,-0.913262,1.098579,146.233810,112.762558
62.8380280,-0.254064,0.721677,-0.587934,0.964900,127.540413,109.394409
62.8400383,-0.132035,0.582565,0.218431,0.636024,69.913879,102.770027
62.8420563,-0.111778,0.632108,0.494216,0.810126,52.407028,100.028168
62.8440704,-0.093474,0.682628,0.419290,0.806550,58.677368,97.797157
62.8460846,0.079075,0.513496,0.183775,0.551094,70.520279,81.245651
