Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
75.1549072,0.859814,-0.145946,-0.152048,0.885267,99.889778,350.366333
75.1568909,0.660419,-0.070533,-0.124957,0.675827,100.655029,353.903931
75.1589050,0.945966,-0.401474,-0.390980,1.099499,110.830101,337.003296
75.1609192,0.971836,-0.494216,-0.408796,1.164400,110.553291,333.044922
75.1629257,0.817592,-0.344609,-0.123737,0.895836,97.939339,337.144928
75.1649399,0.975253,-0.438327,-0.320935,1.116355,106.707451,335.798492
75.1669540,0.968663,-0.388051,-0.250647,1.073180,103.506470,338.168732
75.1689682,0.928638,-0.275053,-0.209645,0.990946,102.213829,343.501282
75.1709824,1.020892,-0.213550,-0.304339,1.086483,106.267021,348.185211
75.1730042,0.952800,-0.123493,-0.069800,0.963301,94.155266,352.615021
75.1750183,1.065066,-0.147167,-0.185728,1.091109,99.800560,352.132904
75.1770248,1.135354,-0.166203,-0.264802,1.177613,102.994843,351.671692
75.1790390,1.266413,-0.335823,-0.255772,1.334915,101.046272,345.148346
75.1810532,1.203934,-0.353639,-0.266999,1.282890,102.012367,343.630585
75.1830368,1.213941,-0.305560,-0.342900,1.297921,105.318947,345.871643
75.1850510,1.087763,-0.280666,-0.238200,1.148364,101.971512,345.532043
75.1870651,1.046029,-0.269927,-0.343877,1.133706,107.657173,345.530518
75.1890793,0.957925,-0.172060,-0.359740,1.037611,110.285629,349.817230
75.1911011,0.947918,-0.087128,-0.298726,0.997686,107.422699,354.748383
75.1931152,0.897398,-0.012935,-0.196466,0.918744,102.347603,359.174194
75.1951294,0.846635,0.036365,-0.015376,0.847555,91.039467,2.459449
75.1971359,0.891297,-0.020989,-0.086884,0.895768,95.566116,358.651001
75.1991501,0.957193,-0.052716,-0.166935,0.973069,99.878258,356.847687
75.2011642,0.927906,-0.052716,-0.055645,0.931066,93.426315,356.748383
75.2031784,0.891297,-0.093718,-0.055889,0.897952,93.568436,353.997528
75.2051926,0.837604,-0.077122,-0.111046,0.848446,97.520546,354.739349
75.2072144,0.881047,-0.174013,-0.042466,0.899070,92.707268,348.827484
75.2091904,0.850540,-0.153512,-0.028555,0.864754,91.892288,349.768951
75.2112122,0.783912,-0.037829,-0.031971,0.785475,92.332779,357.237244
75.2132263,0.790257,0.087617,-0.041490,0.796181,92.987091,6.326596
75.2152328,0.775126,0.109094,-0.097867,0.788860,97.126549,8.011362
75.2172470,0.772929,0.265778,0.007810,0.817385,89.452553,18.975973
75.2192612,0.880559,0.112999,0.069800,0.890519,85.504448,7.312570
75.2212753,0.923024,0.141065,-0.005857,0.933760,90.359413,8.689234
75.2232895,1.062869,0.045883,-0.075170,1.066512,94.041656,2.471854
75.2253036,1.013082,-0.044418,-0.042466,1.014944,92.397995,357.489471
75.2273254,1.061161,-0.164739,0.064675,1.075818,86.553459,351.175629
75.2293396,1.001123,-0.147167,0.026602,1.012231,88.494049,351.637329
75.2313461,1.016742,-0.206716,-0.083224,1.040876,94.585991,348.507690
75.2333374,1.045053,-0.197686,-0.254308,1.093567,103.447182,349.288269
75.2353439,0.936692,-0.213550,-0.201347,0.981598,101.836632,347.157013
75.2373581,0.979402,-0.192317,-0.180358,1.014269,100.242859,348.890656
75.2393723,0.985015,-0.287011,-0.246254,1.055117,103.496742,343.755066
75.2413864,0.999903,-0.110802,-0.187924,1.023425,100.580849,353.676697
75.2434006,1.142920,-0.228194,-0.192073,1.181199,99.358337,348.708893
