Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
60.0344734,1.054815,-0.094694,0.302143,1.101314,74.076866,354.870117
60.0364876,1.067262,-0.111290,0.230634,1.097555,77.869766,354.046936
60.0385017,1.049202,-0.078830,0.254552,1.082514,76.399612,355.703217
60.0405121,0.927906,0.051740,0.297018,0.975656,72.276215,3.191515
60.0425301,1.027725,0.116415,0.318739,1.082297,72.872307,6.462618
60.0445442,1.040416,0.133499,0.435398,1.135720,67.457558,7.311863
60.0465279,0.934495,0.249915,0.433202,1.059907,65.875748,14.972388
60.0485420,1.056036,0.117880,0.236003,1.088487,77.477806,6.369256
60.0505524,1.016010,0.112754,0.277493,1.059242,74.812813,6.332638
60.0525665,0.998194,0.114219,0.096647,1.009345,84.505409,6.527703
60.0545845,1.016010,0.094450,0.140821,1.030062,82.142418,5.311054
60.0565987,1.042857,0.059550,0.453458,1.138736,66.533554,3.268197
60.0586090,1.110461,0.041002,0.355591,1.166726,72.255241,2.114576
60.0606270,1.070679,0.242349,0.251379,1.126179,77.102112,12.754017
60.0626411,1.106067,0.214282,0.165959,1.138791,81.620293,10.964284
60.0646553,1.104115,0.246010,0.085908,1.134447,85.657013,12.560987
60.0666389,1.199785,0.220384,-0.080295,1.222498,93.765953,10.408401
60.0686531,1.198809,0.043198,0.128130,1.206411,83.903252,2.063715
60.0706635,1.114365,0.028067,0.211354,1.134578,79.264008,1.442756
60.0726814,1.176600,-0.148875,0.147899,1.195168,82.891586,352.788696
60.0746956,1.105091,-0.118856,0.227949,1.134599,78.409966,353.861267
60.0767059,1.052131,-0.027090,-0.018548,1.052643,91.009644,358.525055
60.0787201,0.987456,0.050032,-0.094694,0.993247,95.470779,2.900544
60.0807381,0.848587,0.134476,0.002685,0.859180,89.820969,9.004779
60.0827522,0.985503,0.094206,-0.063699,0.992043,93.681488,5.460419
60.0847626,0.928150,0.162542,-0.057353,0.944019,93.483124,9.933188
60.0867767,0.855665,0.179138,0.245033,0.907906,74.342369,11.824401
60.0887604,0.913018,0.130815,0.224045,0.949163,76.346809,8.153686
60.0907745,0.779275,0.260653,0.079319,0.825531,84.486404,18.494143
60.0927925,0.793186,0.266266,0.055645,0.838533,86.195061,18.556507
60.0948067,0.686777,0.301411,0.056133,0.752105,85.719765,23.695568
60.0968170,0.742178,0.298970,0.025138,0.800527,88.200523,21.940958
60.0988312,0.727047,0.252111,0.077610,0.773421,84.240868,19.124535
60.1008492,0.766828,0.179870,0.110070,0.795295,82.044655,13.200873
60.1028633,0.957925,0.078342,0.213794,0.984614,77.459190,4.675441
60.1048737,0.933763,0.075902,0.035388,0.937511,87.836739,4.647124
60.1068878,0.934739,0.105433,-0.026846,0.941050,91.634758,6.435405
60.1088715,1.002099,-0.052716,0.018304,1.003652,88.955002,356.988678
60.1108856,0.994777,-0.051984,-0.069556,0.998560,93.994263,357.008606
60.1129036,1.108996,-0.103968,-0.198174,1.131351,100.088333,354.644165
60.1149139,1.025529,-0.070288,-0.217943,1.050785,101.970612,356.079163
60.1169281,1.190267,-0.215503,0.275297,1.240551,77.178474,349.737549
60.1189423,1.167570,-0.254552,0.180114,1.208494,81.428688,347.700928
60.1209602,1.219798,-0.054181,-0.221604,1.240948,100.286850,357.456726
60.1229706,1.139991,-0.121052,-0.122273,1.152903,96.088036,353.938629
60.1249847,1.240299,-0.097135,0.074193,1.246307,86.587128,355.521973
60.1269684,1.105091,-0.074926,-0.045639,1.108568,92.359482,356.121277
60.1289825,1.039196,0.018304,-0.276273,1.075449,104.885651,1.009098
60.1310005,0.917411,-0.148387,0.077366,0.932549,85.241158,350.812256
60.1330147,0.819788,-0.053693,0.171084,0.839170,78.236458,356.252716
60.1350250,0.950359,-0.025626,-0.152048,0.962786,99.086456,358.455414
60.1370392,0.770977,0.211598,0.030019,0.800050,87.849670,15.347160
60.1390572,0.787085,0.249671,0.047591,0.827105,86.701408,17.599512
60.1410675,0.700932,0.387075,0.024162,0.801072,88.271599,28.908724
60.1430817,0.958413,0.369259,-0.138136,1.036334,97.659943,21.070745
60.1450653,0.844682,0.413433,0.050276,0.941776,86.939865,26.079617
60.1470795,0.859814,0.444916,0.098111,0.973065,84.213219,27.359608
60.1490936,1.098502,0.195978,0.023918,1.116103,88.772079,10.115419
60.1511116,1.104603,0.118856,-0.123737,1.117849,96.355217,6.141428
60.1531219,1.241763,0.029043,-0.266511,1.270373,102.110001,1.339810
60.1551361,1.239811,-0.104945,-0.148875,1.253119,96.823051,355.161682
60.1571503,1.214429,-0.020989,0.047591,1.215542,87.756172,359.009857
60.1591682,1.308879,-0.039049,-0.309709,1.345589,103.306839,358.291138
60.1611786,1.218334,-0.021477,-0.180114,1.231763,98.408211,358.990082
60.1631927,1.313760,-0.124713,-0.091766,1.322853,93.977768,354.577240
60.1651764,1.101186,-0.058818,-0.354127,1.158221,107.803337,356.942566
60.1671906,1.071899,0.048323,-0.231854,1.097752,102.193169,2.581259
60.1692047,0.974765,-0.100552,-0.010983,0.979999,90.642113,354.110504
60.1712189,0.871040,0.077122,-0.029775,0.874955,91.950172,5.059786
60.1732330,0.898375,0.088105,-0.265290,0.940860,106.377548,5.601153
60.1752472,0.918387,0.101284,-0.235271,0.953439,104.285896,6.293395
60.1772614,0.764875,0.268707,-0.182555,0.831002,102.690262,19.356796
60.1792755,0.843462,0.191341,-0.143262,0.876677,99.405128,12.781334
60.1812897,0.726803,0.207205,-0.112510,0.764090,98.467445,15.912354
60.1833038,0.738761,0.182311,-0.146678,0.774932,100.910713,13.862418
60.1853180,0.667497,0.081271,-0.018792,0.672688,91.600838,6.941881
60.1873016,0.742666,0.107629,-0.091277,0.755955,96.935066,8.246055
60.1893158,0.843462,0.006590,-0.197686,0.866344,103.190224,0.447614
60.1913300,0.848343,-0.090301,-0.163030,0.868573,100.818527,353.924072
60.1933441,1.084590,-0.260897,-0.447601,1.201978,111.862915,346.474518
60.1953583,1.135354,-0.354859,-0.443452,1.269490,110.445435,342.643158
60.1973724,1.149266,-0.483477,-0.260897,1.273825,101.818611,337.184296
60.1993866,1.236638,-0.494216,-0.235515,1.352402,100.028961,338.216125
60.2014008,1.082394,-0.313370,-0.073949,1.129268,93.754662,343.853455
60.2034149,1.079953,-0.217211,-0.081271,1.104574,94.219452,348.627838
60.2054253,0.979158,0.192561,-0.205008,1.018753,101.609146,11.125808
60.2074127,1.043345,0.356812,-0.129594,1.110260,96.703094,18.880087
60.2094231,0.940597,0.450042,-0.114951,1.049034,96.290985,25.569433
60.2114410,0.965491,0.718016,-0.114951,1.208691,95.457291,36.637459
60.2134552,0.985747,0.680676,-0.037341,1.198504,91.785408,34.625759
60.2154694,1.084590,0.593791,0.078830,1.239007,86.352150,28.699812
60.2174797,1.049934,0.517889,-0.021965,1.170920,91.074867,26.255230
60.2194977,1.128521,0.547664,0.072485,1.256483,86.692841,25.887026
60.2215118,1.077025,0.508615,0.015376,1.191179,89.260414,25.278608
60.2235260,1.121443,0.470298,-0.126910,1.222670,95.957878,22.751659
60.2255402,1.234197,0.277005,-0.263094,1.291973,101.749733,12.649916
60.2275238,1.250061,-0.020745,0.023918,1.250462,88.904037,359.049255
