Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
75.6938629,0.734856,0.159125,-0.223556,0.784418,106.558632,12.218156
75.6958771,0.861766,0.108605,-0.139357,0.879691,99.114937,7.182926
75.6978989,0.894470,0.068580,-0.022941,0.897388,91.464905,4.384359
75.6998749,0.944502,0.008542,0.137404,0.954482,81.723122,0.518165
75.7018967,0.998926,-0.047347,0.010250,1.000100,89.412743,357.286316
75.7039108,0.895934,0.062235,-0.129106,0.907325,98.180565,3.973575
75.7059250,0.893250,0.077122,-0.257724,0.932880,106.037567,4.934611
75.7079391,0.968663,0.054669,-0.371211,1.038795,110.937408,3.230198
75.7099533,0.942793,0.046371,0.004149,0.943942,89.748161,2.815799
75.7119598,0.982575,0.009518,0.144238,0.993150,81.649254,0.555009
75.7139740,1.095817,-0.004393,0.047591,1.096859,87.513237,359.770294
75.7159882,1.035291,0.104456,0.026114,1.040875,88.562378,5.761406
75.7179718,1.036023,0.100796,-0.072485,1.043435,93.983414,5.556870
75.7199860,1.037243,0.089813,-0.180358,1.056631,99.828049,4.948797
75.7220078,0.943525,0.108117,-0.010739,0.949760,90.647835,6.536939
75.7240219,0.908381,0.046371,0.339972,0.971024,69.505539,2.922288
75.7260361,0.913262,0.036365,0.276273,0.954828,73.181374,2.280215
75.7280502,0.868844,0.133255,0.008054,0.879040,89.475044,8.719553
75.7300568,0.935715,0.038317,0.012935,0.936589,89.208672,2.344918
75.7320709,0.901792,-0.030019,0.006590,0.902315,89.581566,358.093414
75.7340851,0.968419,-0.046127,0.023429,0.969800,88.615654,357.273010
75.7360992,1.118026,-0.133499,0.108361,1.131171,84.502876,353.190765
75.7380829,1.057988,-0.034168,0.178406,1.073469,80.433296,358.150269
75.7400970,1.093621,-0.020745,0.111534,1.099489,84.177795,358.913300
75.7421188,1.124128,0.047591,-0.045395,1.126050,92.310402,2.424231
75.7441330,1.166350,0.075414,0.059062,1.170276,87.107147,3.699474
75.7461472,1.211256,0.048079,0.200127,1.228619,80.625450,2.273090
75.7481613,1.240299,0.037829,0.301411,1.276958,76.347176,1.746969
75.7501678,1.207107,0.040269,0.094694,1.211485,85.516975,1.910695
75.7521820,1.148777,-0.022209,-0.092742,1.152729,94.614670,358.892456
75.7541962,1.118270,-0.022209,-0.148631,1.128323,97.569412,358.862244
75.7562180,1.019427,0.042954,-0.042466,1.021215,92.383263,2.412759
75.7582321,1.028701,-0.001708,0.139357,1.038099,82.285194,359.904846
75.7602081,1.009909,0.040758,0.151315,1.021995,81.485542,2.311069
75.7622299,0.988188,0.202323,0.017084,1.008832,89.029678,11.570935
75.7642441,1.044077,0.216723,-0.174989,1.080595,99.319382,11.726566
75.7662582,1.050422,0.159857,-0.137160,1.071333,97.355629,8.653108
75.7682648,1.103871,0.064431,-0.064187,1.107611,93.322205,3.340469
75.7702789,1.044077,-0.076390,0.108117,1.052436,84.103569,355.815399
75.7722931,0.964514,-0.107141,0.135452,0.979854,82.054176,353.661407
75.7743073,0.908137,-0.102748,0.023918,0.914244,88.500908,353.544922
75.7763290,0.782203,0.023429,-0.048811,0.784075,93.569176,1.715679
75.7783432,0.913018,-0.011959,0.009274,0.913144,89.418076,359.249573
75.7803574,0.953532,0.021965,0.212574,0.977186,77.435608,1.319608
75.7823410,0.971104,0.057598,0.241129,1.002249,76.078781,3.394316
75.7843552,1.130229,-0.043930,0.052960,1.132322,87.319214,357.774109
75.7863617,1.057988,0.015132,0.014155,1.058191,89.233536,0.819399
