Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
43.7254372,1.188559,-0.553034,0.060770,1.312330,87.345848,335.047546
43.7274475,1.198565,-0.592815,0.206472,1.353004,81.222198,333.682831
43.7294655,1.192708,-0.492508,0.179138,1.302769,82.096466,337.562683
43.7314796,1.156099,-0.438571,0.091277,1.239855,85.778099,339.225555
43.7334900,1.076537,-0.456631,0.239664,1.193684,78.417603,337.014954
43.7355042,1.027969,-0.543516,0.291892,1.198887,75.908600,332.133362
43.7375221,1.100942,-0.549373,0.138625,1.238185,83.571808,333.480682
43.7395363,1.065798,-0.545956,-0.017572,1.197623,90.840706,332.876160
43.7415199,1.073608,-0.700200,0.337287,1.325397,75.257217,326.887848
43.7435341,1.134378,-0.713623,0.392688,1.396523,73.668770,327.826508
43.7455444,1.111681,-0.616245,0.268219,1.299051,78.084259,330.998810
43.7475586,1.047250,-0.581588,0.080051,1.200577,86.176857,330.954468
43.7495766,0.941573,-0.540099,0.193537,1.102598,79.890587,330.160828
43.7515907,0.890321,-0.488115,0.213794,1.037610,78.109337,331.266449
43.7536011,0.873969,-0.434666,0.123493,0.983873,82.789375,333.556671
43.7556152,0.756577,-0.316298,0.340216,0.887807,67.467384,337.311920
43.7576332,0.652853,-0.246742,0.431737,0.820668,58.258999,339.296204
43.7596130,0.634549,-0.172304,0.273344,0.712080,67.426567,344.808289
43.7616310,0.566701,-0.067848,0.055157,0.573407,84.480095,353.172791
43.7636452,0.417826,-0.054181,0.200859,0.466753,64.511330,352.611511
43.7656555,0.358520,-0.047591,0.196466,0.411583,61.488010,352.438568
43.7676735,0.369503,-0.051252,0.065163,0.378689,80.091454,352.103149
43.7696877,0.367062,-0.132523,0.132279,0.412062,71.275520,340.148529
43.7716980,0.368282,-0.139357,0.145458,0.419774,69.725677,339.273529
43.7737122,0.436862,-0.172793,0.095182,0.479339,78.546654,338.419678
43.7757301,0.505687,-0.205740,0.012447,0.546080,88.693932,337.860901
43.7777100,0.690682,-0.286767,-0.040758,0.748958,93.119522,337.452057
43.7797279,0.753161,-0.304828,-0.107629,0.819607,97.545769,337.965302
43.7817421,0.879094,-0.385122,-0.133987,0.969061,97.947479,336.342255
43.7837524,1.027725,-0.525455,-0.078342,1.156918,93.882835,332.920258
43.7857666,1.090448,-0.528872,-0.055401,1.213199,92.617332,334.126404
43.7877846,1.138771,-0.531069,-0.009274,1.256551,90.422882,334.997894
43.7897987,1.178797,-0.514717,-0.021477,1.286451,90.956589,336.411713
43.7918091,1.220530,-0.408064,-0.229902,1.307312,100.128624,341.513519
43.7938232,1.257139,-0.394152,-0.255528,1.342032,100.976349,342.592163
43.7958069,1.231269,-0.343145,-0.129594,1.284744,95.789375,344.427277
43.7978210,1.222239,-0.309953,-0.087128,1.263934,93.952782,345.770111
43.7998390,1.237858,-0.302875,-0.094450,1.277868,94.238724,346.251190
43.8018494,1.185386,-0.241617,-0.052472,1.210897,92.483597,348.479248
43.8038635,1.158784,-0.218919,-0.084444,1.182301,94.095741,349.301666
43.8058777,1.120467,-0.222824,-0.161322,1.153742,98.037712,348.752472
43.8078957,1.093865,-0.215991,-0.135940,1.123241,96.951241,348.830261
43.8099060,1.032606,-0.245766,-0.067116,1.063570,93.618011,346.612396
43.8119202,1.005760,-0.308976,-0.033680,1.052689,91.833443,342.922668
43.8139038,0.972324,-0.313858,-0.031239,1.022202,91.751282,342.110382
43.8159180,0.898863,-0.311173,-0.033924,0.951806,92.042549,340.904907
43.8179321,0.799043,-0.272856,-0.039293,0.845260,92.664444,341.146088
43.8199501,0.670669,-0.250647,0.018548,0.716216,88.516006,339.507965
