Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
60.6955452,1.076293,0.089081,-0.209645,1.100133,100.985672,4.731383
60.6975632,1.038708,0.085664,0.118124,1.048907,83.533859,4.714617
60.6995773,1.019427,0.194026,0.406111,1.114363,68.627266,10.776104
60.7015610,0.890321,0.305072,0.337531,0.999834,70.270050,18.914204
60.7035751,1.125104,0.245522,-0.673354,1.333996,120.315727,12.310174
60.7055855,1.096061,0.151315,-0.315566,1.150577,105.918365,7.860220
60.7075996,1.143652,0.048323,0.061746,1.146337,86.912315,2.419509
60.7096176,1.276663,-0.017572,0.413433,1.342053,72.057632,359.211426
60.7116318,1.172207,0.073217,0.028067,1.174827,88.631073,3.574107
60.7136421,0.895934,0.235027,-0.071997,0.929042,94.444641,14.698996
60.7156563,0.864451,0.272856,-0.229902,0.935190,104.231155,17.517826
60.7176399,0.835896,0.456387,-0.219407,0.977318,102.973450,28.633896
60.7196541,0.976473,0.291404,0.364622,1.082296,70.312111,16.616440
60.7216721,0.856641,0.274076,0.545956,1.052150,58.741795,17.741709
60.7236824,0.869820,0.268463,0.372431,0.983547,67.749199,17.152422
60.7256966,0.767804,0.348026,-0.173037,0.860573,101.599609,24.383553
60.7277107,0.859814,0.397081,-0.066140,0.949383,93.994797,24.788546
60.7297287,0.882511,0.387319,0.195490,0.983391,78.533699,23.695841
60.7317390,0.821009,0.294089,0.535706,1.023486,58.438549,19.707754
60.7337532,0.848587,0.323620,0.359984,0.976943,68.378075,20.875013
60.7357368,0.836872,0.307024,0.183531,0.910111,78.366081,20.146610
60.7377510,0.922780,0.236003,-0.210621,0.975491,102.469109,14.346025
60.7397652,0.843950,0.265534,-0.248694,0.919026,105.700356,17.465282
60.7417831,0.958901,0.230634,0.070777,0.988783,85.895287,13.523858
60.7437935,1.006980,0.159613,0.589642,1.177779,59.957703,9.006852
60.7458076,0.890809,0.263582,0.328501,0.985357,70.525780,16.482981
60.7478218,1.047006,0.284571,-0.325816,1.132854,106.714729,15.205383
60.7498398,0.966467,0.297262,-0.493484,1.125144,116.014343,17.096628
