Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
21.9301205,1.236638,-0.223800,0.169132,1.268056,82.335121,349.741943
21.9321365,1.105091,-0.186704,0.070777,1.122985,86.386513,350.410492
21.9341488,0.943525,-0.165227,-0.031483,0.958400,91.882500,350.067291
21.9361649,0.882267,-0.172793,-0.059794,0.901015,93.805115,348.918854
21.9381771,0.676283,-0.124957,-0.016352,0.687924,91.362038,349.531464
21.9401627,0.625275,-0.120320,0.043930,0.638260,86.053307,349.107849
21.9421749,0.624298,-0.132035,0.079075,0.642989,82.935898,348.058289
21.9441910,0.628203,-0.058818,0.144482,0.647282,77.102173,354.651062
21.9462032,0.729731,-0.052716,0.054669,0.733672,85.726707,355.868073
21.9482193,0.799776,-0.066628,-0.016840,0.802723,91.202072,355.237793
21.9502316,0.883975,-0.057598,-0.035632,0.886566,92.303421,356.272034
21.9522476,1.040904,-0.056865,-0.035632,1.043065,91.957672,356.872986
21.9542294,1.095817,-0.071021,-0.195734,1.115424,100.106560,356.291809
21.9562454,1.123396,-0.075658,-0.204520,1.144364,100.295166,356.147095
21.9582577,1.045053,-0.086640,-0.088593,1.052374,94.829086,355.260712
21.9602737,1.004296,-0.122273,-0.041246,1.012552,92.334557,353.058411
21.9622860,1.018451,-0.134964,-0.091277,1.031402,95.077232,352.451233
21.9643002,0.935715,-0.080539,-0.087372,0.943231,95.314995,355.080566
21.9663143,0.903012,-0.084932,0.044907,0.908108,87.165527,354.626892
21.9683285,0.825890,-0.019281,0.000244,0.826115,89.983070,358.662659
21.9703121,0.819544,0.025138,-0.038561,0.820836,92.692619,1.756884
21.9723263,0.903744,-0.106409,-0.137160,0.920266,98.571533,353.284790
21.9743404,0.811490,-0.086152,-0.053204,0.817783,93.730263,353.939880
21.9763546,0.875921,-0.105677,-0.005369,0.882289,90.348679,353.120728
21.9783688,0.837604,-0.163762,0.071509,0.856454,85.210571,348.937500
21.9803829,0.823937,-0.106653,0.113975,0.838593,82.188644,352.624451
21.9823971,0.963538,-0.196710,0.047835,0.984575,87.215210,348.461395
21.9844112,0.948162,-0.168888,-0.090301,0.967310,95.356522,349.900330
21.9863949,1.189047,-0.194026,-0.157905,1.215077,97.466980,350.732300
21.9884090,1.477034,-0.323376,-0.228682,1.529215,98.600380,347.650757
21.9904232,1.505345,-0.277005,-0.130815,1.536199,94.884926,349.573395
21.9924374,1.520721,-0.207937,0.117880,1.539391,85.608246,352.213898
21.9944515,1.638112,-0.235271,0.112754,1.658758,86.102303,351.826874
21.9964657,1.621760,-0.194758,0.002197,1.633414,89.922951,353.152130
21.9984798,1.578074,-0.083712,-0.101284,1.583535,93.667168,356.963501
22.0004635,1.453849,-0.063699,-0.009518,1.455275,90.374748,357.491241
22.0024776,1.552936,-0.237956,0.052716,1.571946,88.078186,351.288361
22.0044918,1.560014,-0.344121,0.008786,1.597542,89.684883,347.560425
22.0065060,1.437009,-0.342168,-0.029043,1.477470,91.126343,346.606628
22.0085201,1.308879,-0.535462,-0.058818,1.415395,92.381653,337.750549
22.0105324,1.125348,-0.527652,-0.067360,1.244734,93.102127,334.879120
22.0125484,1.006492,-0.514229,-0.106409,1.135245,95.378357,332.936981
22.0145626,0.701421,-0.340948,-0.307756,0.838421,111.534805,334.076447
22.0165462,0.583053,-0.135940,-0.288964,0.664778,115.764740,346.875824
22.0185585,0.566457,-0.171084,-0.294821,0.661107,116.484177,343.194366
22.0205746,0.441744,-0.096647,-0.169620,0.482958,110.561333,347.659027
22.0225887,0.363889,0.024406,-0.029531,0.365901,94.629234,3.837029
22.0246029,0.338263,0.047347,-0.086152,0.352259,104.156479,7.967988
22.0266171,0.336799,-0.058818,-0.085664,0.352465,104.066208,350.093903
22.0286312,0.403183,-0.133255,-0.103968,0.437176,103.757813,341.710846
22.0306454,0.595256,-0.173281,-0.148387,0.637475,103.460373,343.769562
22.0326595,0.663836,-0.217943,-0.111778,0.707581,99.089218,341.824524
22.0346432,0.825646,-0.264070,0.272368,0.908630,72.557007,342.263947
22.0366573,1.000391,-0.325084,0.327281,1.101623,72.717125,341.998047
22.0386715,1.044565,-0.285547,0.132767,1.091000,83.010170,344.710907
22.0406857,1.139991,-0.289696,-0.178162,1.189641,98.613075,345.741730
22.0426998,1.178308,-0.341192,-0.158149,1.236864,97.346115,343.851044
22.0447140,1.172207,-0.266755,-0.129106,1.209089,96.129723,347.179749
22.0467281,1.348904,-0.164495,-0.057598,1.360117,92.427055,353.047302
22.0487404,1.323034,-0.139357,0.104212,1.334429,85.520920,353.987152
22.0507565,1.308879,0.018548,0.244301,1.331612,79.428474,0.811894
22.0527382,1.319129,0.016352,0.170108,1.330153,82.652550,0.710198
22.0547543,1.018451,0.119832,0.022697,1.025728,88.732056,6.710633
22.0567665,0.875189,0.142041,-0.073217,0.889659,94.720673,9.218599
22.0587826,0.749988,0.121785,-0.120564,0.769317,99.016327,9.223301
22.0607948,0.535462,0.178162,0.070044,0.568654,82.924568,18.403605
22.0628109,0.463221,0.054913,0.061991,0.470565,82.430061,6.760625
22.0648232,0.584029,0.029043,-0.042954,0.586326,94.201233,2.846881
22.0668392,0.611607,-0.010739,0.027090,0.612301,87.464203,358.994110
22.0688515,0.865671,-0.212574,0.092986,0.896226,84.044693,346.203461
22.0708675,1.124128,-0.270904,-0.101528,1.160758,95.017891,346.450653
22.0728493,1.195881,-0.210377,-0.174745,1.226754,98.189354,350.022705
22.0748653,1.398692,-0.346561,-0.072485,1.442809,92.879684,346.083801
22.0768776,1.436277,-0.335579,-0.130327,1.480706,95.049507,346.849060
22.0788937,1.399668,-0.224045,-0.202812,1.431922,98.142525,350.905823
22.0809059,1.342803,-0.180602,-0.258945,1.379416,100.819786,352.339874
22.0829220,1.159760,-0.169620,-0.154732,1.182268,97.520309,351.679230
22.0849342,1.057256,-0.085176,-0.236247,1.086673,102.556625,355.394012
22.0869484,1.026993,-0.044418,-0.272856,1.063550,104.865578,357.523438
22.0889626,0.902768,-0.000244,-0.079563,0.906267,95.036575,359.984497
22.0909481,0.869088,0.076390,-0.090301,0.877099,95.909317,5.023198
22.0929604,0.875433,0.092254,-0.160102,0.894722,100.308029,6.015658
22.0949745,0.899107,0.046615,-0.259189,0.936880,106.060417,2.967889
22.0969887,0.953288,-0.089813,-0.319471,1.009399,108.451172,354.617828
22.0990028,0.966223,-0.114219,-0.107141,0.978832,96.284081,353.258270
22.1010189,0.999170,-0.162054,0.073949,1.014924,85.821617,350.787506
22.1030312,1.238591,-0.323864,0.059550,1.281616,87.336807,345.346497
22.1050472,1.375507,-0.317518,-0.173769,1.422333,97.017448,347.001678
22.1070595,1.370381,-0.331186,-0.216479,1.426356,98.729546,346.413605
22.1090450,1.404794,-0.585737,-0.277981,1.547193,100.350426,337.365997
22.1110573,1.365988,-0.589642,-0.256504,1.509767,99.781799,336.652069
22.1130733,1.243472,-0.546444,-0.174501,1.369406,97.320999,336.276886
22.1150856,1.154879,-0.453458,-0.078830,1.243215,93.635483,338.562744
22.1171017,1.028945,-0.230146,0.045639,1.055357,87.521484,347.392090
22.1191139,0.810514,-0.074193,0.068092,0.816746,85.217712,354.769806
22.1211300,0.730463,-0.004637,0.063699,0.733250,85.016319,359.636292
22.1231422,0.613072,0.062723,-0.057353,0.618935,95.316925,5.841545
22.1251278,0.646996,0.064675,-0.112999,0.659966,99.858681,5.708453
22.1271400,0.513740,0.025382,-0.086640,0.521613,99.561188,2.828465
22.1291561,0.513008,0.020013,0.049788,0.515807,84.460968,2.234003
22.1311684,0.554010,-0.132767,0.327769,0.657257,60.086483,346.523376
22.1331825,0.414653,-0.110314,0.495192,0.655227,40.908424,345.102173
22.1351967,0.459316,-0.120320,0.363157,0.597772,52.589733,345.320892
22.1372108,0.540343,-0.026602,0.137404,0.558174,75.749161,357.181488
22.1392250,0.731684,-0.041246,-0.010250,0.732917,90.801353,356.773590
22.1412392,0.921316,-0.157661,-0.143018,0.945587,98.699219,350.289276
22.1432228,1.035047,-0.157661,0.099331,1.051687,84.580368,351.339142
22.1452370,1.212476,-0.400742,0.224045,1.296491,80.048851,341.710480
22.1472511,1.355738,-0.436130,0.177186,1.435141,82.908043,342.167419
22.1492653,1.405282,-0.426856,0.112510,1.472984,85.619331,343.103760
22.1512794,1.413091,-0.468346,-0.070533,1.490352,92.712601,341.663086
22.1532936,1.356226,-0.301167,-0.033192,1.389659,91.368629,347.479919
22.1553078,1.254698,-0.241617,-0.020501,1.277915,90.919197,349.100006
22.1573219,1.164397,-0.158149,0.019525,1.175250,89.048096,352.265381
22.1593361,1.023088,0.004149,-0.080783,1.026281,94.514664,0.232353
22.1613197,1.004784,0.071997,-0.019769,1.007554,91.124237,4.098474
22.1633339,0.987212,0.113731,0.109826,0.999792,83.693405,6.571730
22.1653481,0.928394,0.205496,0.088593,0.954983,84.677078,12.480954
22.1673622,0.989652,0.223068,0.033192,1.015023,88.126068,12.702236
22.1693764,0.913994,0.226973,0.010250,0.941811,89.376396,13.946212
22.1713886,0.913506,0.153512,-0.098843,0.931574,96.090744,9.539254
22.1734047,0.949139,0.087372,-0.003905,0.953160,90.234734,5.259512
22.1754169,0.937912,0.029043,0.090545,0.942720,84.488426,1.773620
22.1774025,0.995998,-0.092986,0.265778,1.035034,75.120789,354.666351
22.1794147,0.954996,-0.093474,0.193049,0.978786,78.624779,354.409760
22.1814308,0.934007,-0.132523,-0.130815,0.952389,97.894783,351.924408
22.1834431,0.888124,-0.076146,-0.230634,0.920736,104.506439,355.099579
22.1854591,0.856885,-0.024650,-0.408796,0.949723,115.495300,358.352234
22.1874714,0.936692,-0.071021,-0.358032,1.005297,110.863663,355.664093
22.1894875,0.957437,-0.064431,-0.127398,0.968022,97.562431,356.150055
22.1915016,0.944746,-0.093962,0.208669,0.972068,77.604126,354.320190
22.1934853,1.112169,-0.101528,0.103724,1.121600,84.693771,354.784027
22.1954975,1.102895,-0.028799,-0.304339,1.144477,105.421623,358.504242
22.1975136,1.157564,-0.038317,-0.450774,1.242827,111.266129,358.104126
22.1995277,1.223215,-0.046371,-0.496168,1.320828,112.064453,357.829010
22.2015419,1.114121,-0.007078,-0.165227,1.126329,98.435440,359.636017
22.2035561,1.076781,0.025626,0.099575,1.081679,84.718086,1.363310
22.2055702,1.077025,0.021721,0.303851,1.119276,74.248169,1.155367
22.2075844,1.058232,0.032704,0.022453,1.058976,88.785080,1.770108
22.2095966,0.994289,0.048323,-0.193293,1.014055,100.988625,2.782436
22.2115822,0.995265,-0.041490,-0.190853,1.014248,100.846100,357.612885
22.2135944,0.930590,-0.133255,-0.198663,0.960844,101.932449,351.850952
22.2156105,0.835408,-0.101284,0.000732,0.841526,89.950150,353.087280
22.2176228,0.769757,-0.123005,0.072241,0.782863,84.705330,350.921051
22.2196388,0.812711,-0.149607,0.126422,0.835980,81.302040,349.569519
22.2216511,0.994045,-0.188168,0.054913,1.013187,86.893150,349.281006
22.2236671,0.956216,-0.161810,0.054425,0.971336,86.787987,350.395447
22.2256794,1.080930,-0.194758,0.096891,1.102600,84.958641,349.786255
22.2276649,0.994777,-0.237712,0.012447,1.022861,89.302765,346.560638
22.2296772,0.967931,-0.144238,-0.119100,0.985840,96.938889,351.524353
22.2316933,0.974277,-0.145458,-0.220140,1.009373,102.597191,351.508545
22.2337055,1.063113,-0.101528,-0.133011,1.076202,97.099525,354.544769
22.2357216,1.183190,-0.206716,0.084932,1.204111,85.955284,350.089813
22.2377338,1.227364,-0.226241,0.203788,1.264570,80.726234,349.555847
22.2397499,1.184654,-0.211842,0.330454,1.247991,74.645622,349.861450
22.2417622,1.176844,-0.207937,0.147899,1.204190,82.945114,349.979828
22.2437782,1.059453,0.027090,-0.355103,1.117708,108.524284,1.464742
22.2457600,1.146581,0.055645,-0.450774,1.233264,111.439133,2.778458
22.2477760,1.178797,-0.082735,-0.027090,1.182007,91.313271,355.985199
22.2497883,1.238346,-0.225753,0.293601,1.292543,76.870674,349.668335
22.2518044,1.253966,-0.272368,0.278957,1.313177,77.735237,347.745422
22.2538166,1.106312,-0.214770,0.206716,1.145768,79.605927,349.013702
22.2558308,0.995998,-0.265778,-0.109582,1.036657,96.067894,345.058960
22.2578449,0.834920,-0.180846,-0.426368,0.954770,116.523582,347.778351
22.2598591,0.798067,-0.090789,-0.424660,0.908565,117.865402,353.509857
22.2618427,0.852736,-0.228682,-0.034900,0.883556,92.263756,344.987976
22.2638569,0.857617,-0.281154,0.031971,0.903093,87.971176,341.849213
22.2658710,0.837116,-0.241129,-0.095670,0.876390,96.267136,343.931122
22.2678852,0.980622,-0.231366,-0.088105,1.011391,94.997505,346.724518
22.2698994,0.876654,-0.186460,-0.219407,0.922729,103.755615,347.992432
22.2719135,0.941329,-0.093230,-0.220872,0.971378,103.142860,354.343842
22.2739277,0.890321,-0.060770,-0.091033,0.897024,95.824623,356.095245
22.2759418,0.831503,-0.039781,0.095182,0.837878,83.477158,357.260895
22.2779255,0.965002,-0.065163,-0.091277,0.971498,95.391197,356.136871
22.2799397,0.968419,-0.064187,-0.242593,1.000403,104.033852,356.207977
22.2819538,1.044809,-0.107873,-0.217943,1.072736,101.722145,354.105286
22.2839680,1.069947,-0.246254,0.116903,1.104126,83.922203,347.038788
22.2859840,1.069947,-0.240396,0.224045,1.119273,78.453117,347.337036
22.2879963,1.042124,-0.186216,0.206472,1.078578,78.963737,349.868835
22.2900124,1.141212,-0.120564,-0.025382,1.147843,91.267067,353.969299
22.2920246,1.140235,-0.018548,-0.265778,1.170948,103.119164,359.068054
22.2940388,1.133890,0.042466,-0.136672,1.142886,96.868156,2.144815
22.2960224,1.096549,-0.081515,0.048811,1.100658,87.458237,355.748566
22.2980347,1.167814,-0.132035,0.301655,1.213350,75.604538,353.549438
22.3000507,1.114365,-0.149607,0.270415,1.156424,76.476891,352.353577
22.3020649,1.000879,-0.205008,-0.175477,1.036619,99.745865,348.424316
22.3040791,1.036999,-0.121296,-0.420023,1.125389,111.914619,353.328491
22.3060932,0.910578,-0.100308,-0.324352,0.971811,109.497169,353.713745
22.3081074,0.908625,-0.034900,-0.148143,0.921284,99.253349,357.800354
22.3101215,0.806609,0.055889,0.273344,0.853498,71.321152,3.963630
22.3121052,0.845658,0.001220,0.368526,0.922470,66.453102,0.082678
22.3141193,0.909845,-0.013423,0.226241,0.937648,76.037567,359.154755
22.3161335,1.007224,0.074682,-0.429785,1.097631,113.051407,4.240486
22.3181477,1.104847,-0.031239,-0.674818,1.295007,121.405556,358.380402
22.3201618,1.141212,-0.084688,-0.438327,1.225425,110.958626,355.755920
22.3221760,1.142188,-0.268219,0.035388,1.173792,88.272346,346.784729
22.3241901,1.073852,-0.348514,0.191829,1.145172,80.356857,342.019409
22.3261738,1.094841,-0.441744,0.144970,1.189466,82.999489,338.027039
22.3281879,1.139503,-0.522038,0.048079,1.254314,87.803253,335.386139
22.3302021,1.090204,-0.417338,-0.256748,1.195255,102.404160,339.052795
22.3322163,1.088495,-0.296041,-0.156929,1.138898,97.919983,344.785095
22.3342304,1.048958,-0.270171,-0.169864,1.096430,98.912415,345.556732
22.3362427,0.995754,-0.189144,-0.220384,1.037241,102.267197,349.244751
22.3382587,0.864207,-0.151071,-0.349002,0.944181,111.693069,350.084351
22.3402710,0.835408,-0.182067,-0.238200,0.887578,105.567345,347.705353
22.3422565,0.841753,-0.170108,-0.086152,0.863080,95.728775,348.575104
22.3442688,0.852492,-0.104945,0.244545,0.893061,74.107803,352.981995
22.3462849,0.898619,-0.119344,0.199883,0.928284,77.565399,352.434906
22.3482971,0.881779,-0.044662,0.020745,0.883153,88.654022,357.100433
22.3503132,1.080441,-0.081515,-0.343389,1.136624,107.584541,355.685425
22.3523254,1.053351,-0.126910,-0.390980,1.130717,110.229446,353.130005
22.3543415,1.185630,-0.114951,-0.033680,1.191666,91.619560,354.462280
22.3563538,1.211744,-0.251623,0.155220,1.247290,82.851227,348.269043
22.3583698,1.037975,-0.255528,0.467370,1.166671,66.384247,346.169983
22.3603516,1.003563,-0.284571,0.222092,1.066511,77.980667,344.168762
22.3623676,0.917411,-0.259189,0.015864,0.953454,89.046661,344.223846
22.3643799,0.822229,-0.152048,-0.155220,0.850454,100.516273,349.523132
22.3663960,0.872749,-0.204032,-0.032704,0.896877,92.089691,346.841675
22.3684082,0.877630,-0.156685,0.133011,0.901375,81.514168,349.877533
22.3704243,1.048470,-0.196710,0.274076,1.101409,75.591034,349.373901
22.3724365,0.997462,-0.247474,0.156441,1.039542,81.344673,346.066071
22.3744526,0.977693,-0.193293,-0.226241,1.021974,102.789894,348.816650
22.3764343,1.004296,-0.245522,-0.523747,1.158966,116.866219,346.262268
22.3784504,1.031874,-0.156929,-0.421487,1.125630,111.990044,351.352631
22.3804626,0.866891,-0.054181,0.171816,0.885414,78.810646,356.423676
22.3824768,0.854689,-0.000732,0.347782,0.922738,67.858093,359.950928
22.3844910,0.816616,0.159613,0.320935,0.891817,68.907982,11.059447
22.3865051,0.787085,0.287255,-0.026846,0.838295,91.835205,20.050121
22.3885212,0.706790,0.356324,-0.569874,0.975333,125.752586,26.754667
22.3905334,0.691170,0.345341,-0.658222,1.015004,130.428024,26.548862
22.3925171,0.742666,0.113731,-0.061991,0.753877,94.716698,8.706542
22.3945313,0.698980,0.002197,0.318739,0.768227,65.486855,0.180049
22.3965473,0.833456,-0.081271,0.234783,0.869699,74.338173,354.430634
22.3985596,0.924733,-0.236003,-0.037829,0.955123,92.269867,345.683014
22.4005756,1.033338,-0.429785,-0.078098,1.121874,93.991821,337.416656
22.4025879,1.319373,-0.514961,-0.217455,1.432905,98.728828,338.678955
22.4046040,1.357690,-0.384146,-0.335091,1.450234,103.359474,344.201630
22.4066162,1.320106,-0.265046,-0.011715,1.346501,90.498489,348.647308
22.4086018,1.445063,-0.297994,0.022453,1.475639,89.128159,348.348083
22.4106140,1.403329,-0.230878,-0.105189,1.426079,94.230019,350.657288
22.4126301,1.360619,-0.096647,-0.225509,1.382563,99.387421,355.937012
22.4146423,1.252746,-0.175477,-0.194758,1.279881,98.752625,352.026215
22.4166584,1.106067,-0.043442,-0.137160,1.115386,97.063606,357.750793
22.4186707,1.103139,-0.009274,0.043198,1.104023,87.757561,359.518311
22.4206848,0.935715,0.015864,0.129838,0.944814,82.101288,0.971275
22.4226990,0.882023,0.183531,0.011471,0.900988,89.270531,11.754360
22.4246826,0.918876,0.174501,-0.067360,0.937721,94.119308,10.752826
22.4266968,0.936692,0.143506,0.018792,0.947807,88.863907,8.710261
22.4287109,0.952311,0.082003,0.034168,0.956446,87.952736,4.921581
22.4307251,1.007468,0.048323,0.009274,1.008669,89.473190,2.746094
22.4327393,1.074828,-0.162542,-0.151804,1.097597,97.949799,351.400543
22.4347534,1.152682,-0.375116,-0.078830,1.214744,93.720810,341.973633
22.4367676,1.016742,-0.347293,-0.020745,1.074620,91.106125,341.141144
22.4387817,1.054815,-0.427588,0.013667,1.138268,89.312035,337.933960
22.4407654,0.932787,-0.434910,0.278469,1.066200,74.859955,335.002808
22.4427795,0.822717,-0.237956,0.270415,0.898115,72.476784,343.868469
22.4447937,0.787085,-0.131791,0.053937,0.799863,86.133476,350.494476
22.4468079,0.610875,0.042954,-0.173037,0.636361,105.778297,4.022168
22.4488220,0.571582,0.030263,-0.074193,0.577171,97.385612,3.030764
22.4508362,0.608435,0.023918,0.040758,0.610267,86.170570,2.251142
22.4528503,0.686289,-0.034168,0.023674,0.687547,88.026810,357.149780
22.4548645,0.665544,-0.123737,-0.001220,0.676950,90.103279,349.467896
22.4568481,0.843462,-0.282862,0.153512,0.902776,80.209602,341.460663
22.4588623,0.908625,-0.317763,0.029531,0.963039,88.242790,340.724365
22.4608765,1.072388,-0.231610,-0.378289,1.160500,109.024376,347.812653
22.4628906,1.112169,-0.173281,-0.236003,1.150062,101.841743,351.144287
22.4649048,1.195148,-0.247474,-0.028555,1.220835,91.340240,348.301331
22.4669170,1.228584,-0.194758,-0.040269,1.244577,91.854179,350.992310
22.4689331,1.256895,0.036120,-0.331674,1.300422,104.776604,1.646105
22.4709148,1.168058,0.094206,-0.460780,1.259187,111.465103,4.611032
22.4729309,1.214917,0.139113,-0.320203,1.264083,104.673386,6.532137
22.4749432,1.124372,0.134720,-0.082979,1.135450,94.190948,6.832475
22.4769592,1.051155,0.138380,-0.032216,1.060713,91.740433,7.499642
22.4789715,1.010641,0.067360,0.032460,1.013403,88.164482,3.813157
22.4809875,0.748524,-0.045395,0.103968,0.757072,82.106651,356.529510
22.4829998,0.838093,-0.059306,0.102748,0.846448,83.027817,355.952332
22.4849854,1.026261,-0.112510,0.143018,1.042269,82.113129,353.743561
22.4869976,1.009421,-0.247474,0.145946,1.049511,82.006477,346.224823
22.4890137,1.075316,-0.232342,0.093962,1.104136,85.118225,347.807587
22.4910259,1.039440,-0.282374,0.032460,1.077601,88.273872,344.801819
22.4930420,0.958413,-0.241861,-0.053937,0.989930,93.123329,345.836792
22.4950562,0.915703,-0.086640,0.017328,0.919956,88.920723,354.594971
22.4970703,0.899351,-0.072973,0.137648,0.912745,81.326309,355.361206
22.4990845,0.919852,-0.045151,0.267487,0.959018,73.804398,357.189911
22.5010681,0.953044,0.056133,0.386099,1.029813,67.980568,3.370761
22.5030823,0.953532,0.262606,0.178650,1.005037,79.761009,15.397723
22.5050964,0.992093,0.217455,-0.091033,1.019717,95.121796,12.363047
22.5071106,0.915703,0.257480,-0.157417,0.964151,99.396744,15.705099
