Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
57.2912064,0.979158,-0.158881,0.010006,0.992015,89.422050,350.783325
57.2932205,0.977205,-0.158637,0.012203,0.990073,89.293800,350.779175
57.2952309,0.975741,-0.159369,0.014155,0.988772,89.179718,350.723694
57.2972450,0.973300,-0.160102,0.013911,0.986478,89.191994,350.658875
57.2992630,0.971104,-0.162298,0.014643,0.984682,89.147911,350.511993
57.3012428,0.969395,-0.161322,0.017084,0.982875,89.004051,350.551727
57.3032608,0.964514,-0.161566,0.014399,0.978059,89.156441,350.490662
57.3052750,0.964514,-0.166935,0.016108,0.978987,89.057243,350.180695
57.3072853,0.961342,-0.169132,0.017572,0.976264,88.968658,350.021881
57.3092995,0.958169,-0.167911,0.019036,0.972956,88.878906,350.060303
57.3113174,0.959633,-0.170108,0.018060,0.974761,88.938370,349.947968
57.3133278,0.953288,-0.171572,0.020501,0.968821,88.787498,349.797150
57.3153152,0.953532,-0.171572,0.021233,0.969077,88.744522,349.799713
57.3173256,0.951091,-0.171816,0.018060,0.966655,88.929466,349.759857
57.3193398,0.948651,-0.171572,0.017816,0.964206,88.941254,349.748352
57.3213539,0.949139,-0.172548,0.018792,0.964878,88.884010,349.696442
57.3233719,0.947430,-0.171572,0.020257,0.963053,88.794762,349.735413
57.3253822,0.945234,-0.171572,0.020013,0.960887,88.806595,349.712067
57.3273964,0.944746,-0.172304,0.018304,0.960504,88.908051,349.663910
57.3293800,0.944502,-0.171084,0.016596,0.960015,89.009468,349.732941
57.3313942,0.943769,-0.171328,0.014887,0.959310,89.110794,349.710815
57.3334084,0.941085,-0.173037,0.011959,0.956935,89.283958,349.581421
57.3354263,0.940108,-0.174013,0.012447,0.956159,89.254120,349.513306
57.3374367,0.941329,-0.176941,0.010494,0.957872,89.372253,349.354340
57.3394508,0.938400,-0.178162,0.009030,0.955206,89.458344,349.249939
57.3414688,0.938400,-0.179870,0.006345,0.955504,89.619499,349.149292
57.3434792,0.936204,-0.183043,0.005125,0.953943,89.692169,348.937317
57.3454933,0.934007,-0.186704,0.003661,0.952492,89.779785,348.695831
57.3474808,0.930834,-0.186216,0.004149,0.949287,89.749580,348.687164
57.3494911,0.930102,-0.186704,0.002929,0.948661,89.823120,348.649597
57.3515053,0.925465,-0.191341,0.001952,0.945040,89.881630,348.318634
57.3535233,0.922048,-0.195246,0.003661,0.942501,89.777451,348.044098
57.3555336,0.919852,-0.195490,0.003905,0.940404,89.762085,348.001831
57.3575478,0.918631,-0.201103,0.002929,0.940391,89.821564,347.651825
57.3595619,0.919852,-0.205740,0.000976,0.942580,89.940659,347.392334
57.3615799,0.922780,-0.209157,0.001708,0.946189,89.896545,347.229156
57.3635902,0.925221,-0.212330,0.002441,0.949275,89.852692,347.074951
57.3655777,0.928150,-0.212330,-0.001464,0.952128,90.088120,347.114349
57.3675880,0.932543,-0.216235,-0.005369,0.957299,90.321358,346.945160
57.3696022,0.941329,-0.227949,-0.005125,0.968549,90.303192,346.387451
57.3716164,0.933763,-0.219896,0.000000,0.959306,90.000000,346.748627
57.3736343,0.948162,-0.227949,-0.008542,0.975216,90.501862,346.481964
57.3756447,0.949139,-0.230634,-0.008054,0.976791,90.472420,346.342224
57.3776588,0.951579,-0.223556,-0.001708,0.977488,90.100136,346.779144
57.3796730,0.961586,-0.235515,-0.004149,0.990016,90.240120,346.237823
57.3816872,0.965491,-0.229658,0.006834,0.992452,89.605484,346.619904
57.3836708,0.970128,-0.225509,0.010250,0.996046,89.410355,346.913818
57.3856850,0.983063,-0.228682,0.013911,1.009406,89.210342,346.904663
57.3876991,0.997462,-0.222336,0.014399,1.022043,89.192741,347.434082
57.3897133,1.001367,-0.217943,0.017084,1.024952,89.044945,347.721313
57.3917274,1.019183,-0.214038,0.018060,1.041572,89.006477,348.139679
57.3937416,1.037243,-0.208669,0.027823,1.058390,88.493660,348.625275
57.3957558,1.046029,-0.198907,0.031239,1.065231,88.319481,349.233521
57.3977394,1.060917,-0.204276,0.023918,1.080669,88.731812,349.101288
57.3997536,1.069703,-0.203300,0.016596,1.088977,89.126785,349.239136
57.4017677,1.075316,-0.197198,0.000000,1.093248,90.000000,349.608215
57.4037819,1.082394,-0.199883,-0.007078,1.100718,90.368416,349.537201
57.4057961,1.078977,-0.184995,-0.013667,1.094807,90.715279,350.270996
57.4078102,1.065066,-0.172304,-0.027823,1.079272,91.477188,350.810425
57.4098244,1.116074,-0.173281,-0.088837,1.132934,94.497353,351.174774
57.4118385,1.117050,-0.154000,-0.088593,1.131091,94.492302,352.150513
57.4138222,1.096061,-0.169376,-0.049056,1.110155,92.532608,351.215485
57.4158363,1.128033,-0.255528,-0.023185,1.156845,91.148399,347.236450
57.4178505,1.168302,-0.283106,-0.059062,1.203564,92.812775,346.378479
57.4198647,1.134378,-0.361693,-0.207449,1.208582,99.883553,342.315277
57.4218788,1.131205,-0.360473,-0.133255,1.194706,96.403984,342.324890
57.4238892,1.248597,-0.391712,-0.182555,1.321272,97.941734,342.582214
57.4259071,1.190999,-0.579880,-0.195490,1.339013,98.394928,334.039246
57.4279213,1.198077,-0.561088,0.004637,1.322962,89.799171,334.905212
57.4299355,1.269586,-0.749500,-0.020501,1.474455,90.796669,329.444519
57.4319191,1.226388,-0.783912,0.112510,1.459864,85.579887,327.413116
57.4339333,1.075072,-0.450042,-0.005857,1.165484,90.287956,337.285065
57.4359436,1.091668,-0.252843,-0.153512,1.131033,97.800682,346.959564
57.4379616,1.021135,-0.208425,-0.041246,1.043005,92.266357,348.463776
57.4399757,0.915459,-0.163030,0.118612,0.937397,82.730690,349.902283
57.4419899,0.948651,-0.174745,-0.073705,0.967422,94.369446,349.562897
57.4440041,0.949871,-0.022453,-0.004149,0.950145,90.250191,358.645874
57.4460182,0.940841,-0.069800,0.127398,0.951989,82.309448,355.757050
57.4479980,0.904476,-0.133255,0.146434,0.925893,80.900192,351.618988
57.4500160,0.992825,-0.109338,0.013911,0.998924,89.202057,353.715454
57.4520302,0.973300,-0.174989,0.057598,0.990582,86.666649,349.807709
57.4540443,1.082882,-0.347049,0.283595,1.171965,75.996452,342.230042
57.4560585,1.170499,-0.479817,-0.009762,1.265064,90.442146,337.710052
57.4580727,1.130229,-0.441744,-0.168644,1.225151,97.911957,338.652252
57.4600868,1.094109,-0.478840,-0.100063,1.198488,94.789284,336.363251
57.4620972,1.162201,-0.655294,-0.037097,1.334727,91.592651,330.584015
57.4640846,1.121199,-0.685801,0.055645,1.315487,87.575668,328.547241
57.4660950,1.125348,-0.674086,0.166447,1.322310,82.768654,329.078278
57.4681129,1.055548,-0.562796,0.271392,1.226611,77.217346,331.934387
57.4701271,1.056768,-0.394641,-0.059794,1.129635,93.034210,339.522308
57.4721413,0.985747,-0.316054,-0.201347,1.054575,101.006912,342.222900
57.4741516,1.097525,-0.157417,-0.371699,1.169402,108.533188,351.837799
57.4761696,0.691902,0.149607,0.112022,0.716701,81.007645,12.200991
57.4781837,1.010885,-0.328745,0.227705,1.087112,77.909348,341.985199
57.4801674,0.968663,-0.020257,-0.083224,0.972443,94.909485,358.802002
