Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
58.6418152,1.169766,-0.154488,0.074193,1.182254,86.401985,352.476624
58.6438255,1.172695,-0.139357,-0.088837,1.184283,94.301979,353.223053
58.6458435,1.149754,-0.200371,-0.037341,1.167680,91.832550,350.114166
58.6478233,0.946210,-0.147899,0.028067,0.958110,88.321358,351.116180
58.6498413,0.920096,-0.170840,-0.066140,0.938156,94.042679,349.481323
58.6518555,0.881291,-0.123005,0.018304,0.890022,88.821564,352.054352
58.6538658,0.752673,-0.112754,0.084444,0.765742,83.668709,351.480133
58.6558800,0.943525,-0.122761,-0.045883,0.952583,92.760811,352.586975
58.6578979,0.921560,-0.129350,-0.063943,0.932788,93.930733,352.010162
58.6599121,0.972568,-0.213794,-0.103724,1.001177,95.946648,347.602173
58.6619225,1.068483,-0.205984,0.004393,1.088165,89.768692,349.088257
58.6639366,1.076781,-0.195734,-0.056865,1.095902,92.974358,349.697449
58.6659203,1.126812,-0.188656,-0.040514,1.143214,92.030884,350.495422
58.6679344,1.106556,-0.069800,0.132767,1.116676,83.171669,356.390625
58.6699524,1.099234,-0.063455,0.032216,1.101535,88.324089,356.696198
58.6719666,1.140480,-0.029531,0.045151,1.141755,87.733650,358.516754
58.6739769,1.040904,0.169864,0.103480,1.059737,84.396301,9.268330
58.6759911,1.102162,0.198174,0.034412,1.120366,88.239883,10.193159
58.6780090,1.036511,0.225509,0.107385,1.066181,84.219398,12.274294
58.6800232,0.949383,0.252355,0.110802,0.988579,83.564644,14.885571
58.6820068,1.013326,0.232342,0.087372,1.043286,85.195999,12.913964
58.6840210,0.838093,0.288232,0.158881,0.900400,79.836578,18.978802
58.6860313,0.833700,0.341680,0.247474,0.934368,74.641541,22.285589
58.6880493,0.860546,0.366818,0.295553,0.981044,72.466446,23.086712
58.6900635,0.852980,0.426856,0.104945,0.959580,83.721283,26.584721
58.6920738,1.030166,0.378045,0.034656,1.097889,88.191093,20.151855
58.6940880,0.970860,0.220384,0.061746,0.997472,86.450951,12.789325
58.6961060,1.022356,0.096403,0.133011,1.035469,82.619675,5.386754
58.6981201,1.098502,-0.052716,0.095914,1.103940,85.015640,357.252533
58.7001038,1.071167,-0.032216,0.142041,1.081024,82.449776,358.277344
58.7021179,1.112657,-0.030263,0.111290,1.118618,84.290260,358.441986
58.7041283,1.129985,0.028311,-0.018548,1.130492,90.940109,1.435188
58.7061424,1.138039,0.064187,-0.077366,1.142470,93.882942,3.228145
58.7081604,1.172695,0.022453,-0.162298,1.184085,97.878113,1.096892
58.7101746,1.164885,-0.023918,-0.219652,1.185654,100.676155,358.823761
58.7121849,1.183678,-0.202323,-0.114707,1.206311,95.456444,350.300293
