media_x_x;media_y_x;cov_xx_x;cov_xy_x;cov_yy_x;peso_x;media_x_y;media_y_y;cov_xx_y;cov_xy_y;cov_yy_y;peso_y;media_x_z;media_y_z;cov_xx_z;cov_xy_z;cov_yy_z;peso_z;nombre_terreno
3,82021E+16;4,3101E+13;1,74729E+16;-2,59235E+14;8274211416;1,13039E+15;1,57845E+16;3,00045E+12;3,17861E+15;-8,80813E+13;10688340009;7,35911E+14;4,23838E+15;1,82527E+13;4,89617E+16;-2,87025E+13;2485105326;2,082E+15;arepas
1,50217E+16;4,20232E+12;3,57457E+16;-1,49279E+14;11845759539;8,03366E+15;1,43272E+16;5,81016E+13;7,60516E+15;-6,7012E+12;1,19383E+11;9,14516E+13;5,67299E+15;6,69782E+13;1,32015E+16;-9,01769E+13;20413049408;3,40522E+14;arepas
1,33538E+16;1,17665E+14;6,95912E+15;-3,99092E+13;42401112885;8,35951E+14;5,00694E+14;1,0934E+13;4,18763E+15;-1,07949E+14;17592119734;1,72638E+15;1,54532E+15;6,83287E+12;3,4742E+15;-2,10856E+13;13351090802;7,57748E+15;arepas
1,51482E+16;5,01295E+12;3,54572E+15;-1,711E+14;12307962738;7,96499E+14;1,40978E+16;4,61503E+12;4,23009E+15;-1,86045E+14;11986995709;8,82919E+15;4,54654E+16;1,74939E+13;6,28771E+15;-3,11105E+13;24499143000;2,48422E+15;arepas
1,42333E+16;1,38587E+14;8,31775E+14;-8,59743E+13;57317692257;8,06977E+13;1,60448E+16;1,13589E+14;1,11188E+16;-2,32977E+14;25642563518;1,58847E+14;4,81963E+15;7,65191E+13;1,06267E+16;-1,09126E+14;42088827071;2,76664E+14;arepas
3,81012E+15;4,91023E+12;2,18878E+15;-3,24323E+14;9867750380;1,22803E+14;1,73508E+15;5,15898E+13;1,03827E+15;-1,02732E+14;7734749720;1,01196E+15;1,58935E+16;7,21228E+12;3,27745E+15;-2,19534E+14;13996124242;7,23912E+15;arepas
1,49772E+16;3,88378E+12;3,59997E+16;-1,43743E+14;1170258174;8,07624E+14;1,97217E+15;1,337E+14;1,22411E+15;-2,16027E+12;3799665784;1,0181E+14;3,29058E+15;1,47448E+13;2,77531E+16;-1,00558E+14;2126384810;1,64365E+15;arepas
1,14929E+16;1,16787E+14;5,1918E+15;-5,06803E+13;3,73848E+11;6,80197E+14;1,78757E+14;4,34127E+13;8,87023E+15;-9,12343E+13;6661418332;1,04747E+15;4,40013E+14;9,02332E+12;8,63947E+15;-1,21117E+13;66043701166;2,58033E+14;arepas
3,54139E+15;4,1624E+13;1,88998E+14;-2,64309E+14;7804014096;1,24357E+15;1,40387E+16;3,77016E+12;4,21375E+16;-1,42638E+12;112779718,5;8,85072E+15;1,48949E+16;7,63957E+12;3,73514E+16;-2,22099E+14;1410720391;8,09832E+15;arepas
1,73979E+16;2,3849E+14;1,1273E+16;-2,59151E+14;1,52736E+12;1,22793E+15;1,55755E+16;1,12541E+14;9,09951E+15;-1,80944E+13;38552571020;1,046E+15;6,57909E+16;1,1264E+12;1,86922E+16;-1,84838E+14;57330787533;3,74679E+14;lomas1
5,47911E+15;5,48608E+13;3,26138E+16;-3,72798E+14;10407102025;1,55893E+15;1,55108E+16;6,73391E+12;3,31282E+15;-1,9129E+14;12764737525;7,60175E+15;1,60005E+15;1,02553E+13;3,10257E+16;-3,09343E+14;17082931653;7,15747E+15;lomas1
1,60028E+16;1,00566E+13;2,99648E+16;-2,61288E+14;1589711256;7,21314E+15;4,85832E+16;2,48432E+13;3,1223E+15;-1,77758E+14;3425900175;1,35225E+15;4,59443E+15;3,75527E+13;5,4729E+15;-1,96898E+13;45026489350;2,46785E+15;lomas1
5,08673E+15;5,91776E+13;3,22025E+15;-4,4224E+14;1,32156E+11;1,51882E+15;4,59777E+16;3,68378E+13;3,81371E+15;-2,77101E+14;534341888,4;1,71381E+15;7,16853E+15;1,24494E+14;2,0012E+16;-1,67364E+14;52737621817;4,48943E+14;lomas2
1,57882E+16;9,64041E+12;3,1364E+16;-2,62114E+14;15810327677;7,39631E+15;1,5694E+15;6,62871E+12;3,20971E+15;-1,924E+14;12926917210;7,4654E+15;1,65677E+16;1,31534E+13;2,79726E+16;-3,62119E+14;20553482300;6,69106E+14;lomas2
