Freq,PSD,frecuencia predominante,Tension resultante media
8.4,0.000264785,55,29
25.2,0.001045908,55,29
42,0.002552126,55,29
58.8,0.00029192,55,29
75.6,0.000613421,55,29
92.4,0.000412109,55,29
109.2,0.000142961,55,29
126,1.80834E-07,55,29
142.8,2.06092E-06,55,29
159.6,4.26084E-05,55,29
176.4,5.04019E-05,55,29
193.2,9.49525E-06,55,29
210,2.73979E-05,55,29
226.8,7.66952E-06,55,29
243.6,3.07694E-05,55,29
260.4,1.33643E-05,55,29
277.2,2.35107E-05,55,29
294,2.56069E-05,55,29
310.8,3.76209E-05,55,29
327.6,2.36466E-05,55,29
344.4,3.60451E-06,55,29
361.2,2.67083E-05,55,29
378,3.19902E-05,55,29
394.8,1.3332E-05,55,29
411.6,2.12231E-05,55,29
428.4,2.44466E-05,55,29
445.2,5.5666E-06,55,29
462,2.63546E-05,55,29
478.8,2.70886E-05,55,29
495.6,1.08224E-05,55,29
8.4,0.000635707,55,29
25.2,6.10428E-08,55,29
42,8.01647E-05,55,29
58.8,0.000179184,55,29
75.6,8.19003E-05,55,29
92.4,3.33649E-07,55,29
109.2,2.82347E-06,55,29
126,2.86084E-05,55,29
142.8,3.69475E-05,55,29
159.6,1.1167E-06,55,29
176.4,1.1101E-06,55,29
193.2,2.23817E-08,55,29
210,2.01315E-06,55,29
226.8,5.55093E-08,55,29
243.6,1.03541E-06,55,29
260.4,1.06046E-08,55,29
277.2,5.45271E-07,55,29
294,1.5255E-07,55,29
310.8,3.59849E-07,55,29
327.6,2.98064E-07,55,29
344.4,1.32522E-05,55,29
361.2,1.52E-09,55,29
378,5.21737E-06,55,29
394.8,8.83267E-09,55,29
411.6,1.46904E-08,55,29
428.4,1.9456E-08,55,29
445.2,5.69537E-08,55,29
462,7.71741E-08,55,29
478.8,2.59901E-08,55,29
495.6,2.24914E-06,55,29
8.4,0.000837454,55,29
25.2,0.000160218,55,29
42,7.47744E-06,55,29
58.8,8.61664E-10,55,29
75.6,2.86797E-05,55,29
92.4,1.39803E-08,55,29
109.2,1.47573E-07,55,29
126,1.32033E-06,55,29
142.8,0.000108358,55,29
159.6,0.000247567,55,29
176.4,0.000197444,55,29
193.2,7.1681E-08,55,29
210,0.000103777,55,29
226.8,0.000110808,55,29
243.6,1.33513E-06,55,29
260.4,5.60097E-07,55,29
277.2,1.49367E-05,55,29
294,8.96826E-06,55,29
310.8,8.18247E-06,55,29
327.6,8.5595E-06,55,29
344.4,1.12226E-05,55,29
361.2,1.73226E-05,55,29
378,6.33272E-05,55,29
394.8,3.43641E-06,55,29
411.6,4.20801E-05,55,29
428.4,3.68498E-07,55,29
445.2,6.06735E-07,55,29
462,2.25711E-06,55,29
478.8,2.54347E-06,55,29
495.6,4.14966E-07,55,29
8.5333333,7.37632E-08,97,27
25.6,0.000820465,97,27
42.6666667,0.000568547,97,27
59.7333333,6.55393E-05,97,27
76.8,1.01983E-05,97,27
93.8666667,2.0045E-05,97,27
110.9333333,4.53416E-05,97,27
128,4.51441E-05,97,27
145.0666667,1.01992E-06,97,27
162.1333333,1.87126E-08,97,27
179.2,2.37728E-05,97,27
196.2666667,4.61584E-06,97,27
213.3333333,1.38021E-05,97,27
230.4,1.2309E-05,97,27
247.4666667,2.26819E-06,97,27
264.5333333,6.43784E-06,97,27
281.6,3.95838E-06,97,27
298.6666667,4.33661E-06,97,27
315.7333333,2.91372E-06,97,27
332.8,3.16036E-06,97,27
349.8666667,1.038E-07,97,27
366.9333333,1.95043E-06,97,27
384,2.93776E-06,97,27
401.0666667,5.71468E-07,97,27
418.1333333,1.98211E-06,97,27
435.2,1.29282E-05,97,27
452.2666667,4.81078E-06,97,27
469.3333333,1.04301E-05,97,27
486.4,2.15318E-09,97,27
503.4666667,7.19998E-06,97,27
8.5333333,9.05491E-05,97,27
25.6,0.001358121,97,27
42.6666667,0.00551598,97,27
59.7333333,1.49112E-05,97,27
76.8,4.00873E-05,97,27
93.8666667,7.95666E-07,97,27
110.9333333,3.58273E-05,97,27
128,5.17572E-05,97,27
145.0666667,1.33346E-06,97,27
162.1333333,2.6559E-07,97,27
179.2,1.11091E-05,97,27
196.2666667,4.92816E-05,97,27
213.3333333,2.47279E-05,97,27
230.4,2.9537E-07,97,27
247.4666667,2.17823E-06,97,27
264.5333333,6.63728E-09,97,27
281.6,2.59341E-05,97,27
298.6666667,1.87065E-06,97,27
315.7333333,4.0585E-07,97,27
332.8,7.22792E-06,97,27
349.8666667,4.19814E-08,97,27
366.9333333,8.57217E-09,97,27
384,5.26663E-06,97,27
401.0666667,2.00268E-08,97,27
418.1333333,3.80175E-07,97,27
435.2,8.68787E-06,97,27
452.2666667,4.72604E-06,97,27
469.3333333,5.30643E-07,97,27
486.4,7.87704E-07,97,27
503.4666667,3.60629E-09,97,27
8.5333333,6.84E-06,97,27
25.6,0.000342885,97,27
42.6666667,9.24201E-08,97,27
59.7333333,0.000154932,97,27
76.8,4.98358E-07,97,27
93.8666667,1.33017E-05,97,27
110.9333333,2.16375E-06,97,27
128,4.57362E-05,97,27
145.0666667,5.62443E-06,97,27
162.1333333,9.82517E-05,97,27
179.2,9.93258E-06,97,27
196.2666667,4.892E-07,97,27
213.3333333,2.74972E-07,97,27
230.4,9.66178E-06,97,27
247.4666667,0.000423482,97,27
264.5333333,3.52412E-07,97,27
281.6,2.59324E-05,97,27
298.6666667,9.27755E-07,97,27
315.7333333,3.33815E-05,97,27
332.8,7.72271E-05,97,27
349.8666667,3.3067E-06,97,27
366.9333333,1.0447E-05,97,27
384,6.39549E-06,97,27
401.0666667,2.24663E-05,97,27
418.1333333,1.13327E-07,97,27
435.2,2.08219E-06,97,27
452.2666667,9.89033E-06,97,27
469.3333333,1.23565E-05,97,27
486.4,5.31612E-08,97,27
503.4666667,1.28057E-06,97,27
8.4,0.000516114,68,42
25.2,0.001163472,68,42
42,0.000346043,68,42
58.8,8.52257E-05,68,42
75.6,0.000587608,68,42
92.4,8.98513E-07,68,42
109.2,1.79698E-05,68,42
126,7.44079E-05,68,42
142.8,8.84078E-05,68,42
159.6,6.91665E-06,68,42
176.4,5.30683E-07,68,42
193.2,1.1682E-07,68,42
210,1.50797E-05,68,42
226.8,2.06051E-06,68,42
243.6,1.17693E-05,68,42
260.4,5.11928E-06,68,42
277.2,4.84384E-06,68,42
294,5.86943E-07,68,42
310.8,4.27669E-06,68,42
327.6,1.02961E-06,68,42
344.4,9.85975E-07,68,42
361.2,4.65662E-07,68,42
378,1.26225E-06,68,42
394.8,2.02632E-06,68,42
411.6,3.11876E-07,68,42
428.4,3.68232E-06,68,42
445.2,4.27675E-06,68,42
462,2.1819E-06,68,42
478.8,9.99733E-07,68,42
495.6,1.88391E-06,68,42
8.4,0.000152207,68,42
25.2,5.6953E-05,68,42
42,2.37429E-05,68,42
58.8,0.002145195,68,42
75.6,7.84928E-05,68,42
92.4,0.000111629,68,42
109.2,2.38951E-05,68,42
126,8.67776E-05,68,42
142.8,0.000186918,68,42
159.6,3.3226E-05,68,42
176.4,1.04159E-05,68,42
193.2,3.16721E-06,68,42
210,1.02501E-06,68,42
226.8,3.46766E-05,68,42
243.6,8.8959E-08,68,42
260.4,1.81529E-05,68,42
277.2,7.27091E-06,68,42
294,1.02097E-08,68,42
310.8,4.85898E-06,68,42
327.6,3.1789E-06,68,42
344.4,5.71814E-05,68,42
361.2,2.89428E-07,68,42
378,2.569E-07,68,42
394.8,1.02348E-06,68,42
411.6,4.54356E-08,68,42
428.4,2.82958E-07,68,42
445.2,1.40374E-05,68,42
462,8.39727E-07,68,42
478.8,3.99845E-06,68,42
495.6,4.62222E-06,68,42
8.4,0.000825452,68,42
25.2,0.000696076,68,42
42,0.000365342,68,42
58.8,5.45525E-05,68,42
75.6,0.000135371,68,42
92.4,9.00125E-05,68,42
109.2,7.19291E-05,68,42
126,8.9573E-05,68,42
142.8,0.000798474,68,42
159.6,1.83334E-05,68,42
176.4,0.000398056,68,42
193.2,3.07082E-06,68,42
210,5.74968E-06,68,42
226.8,1.67663E-06,68,42
243.6,0.000166266,68,42
260.4,1.01259E-05,68,42
277.2,5.00173E-06,68,42
294,2.01341E-05,68,42
310.8,6.25149E-06,68,42
327.6,2.21855E-05,68,42
344.4,2.63144E-05,68,42
361.2,1.24041E-05,68,42
378,4.18655E-06,68,42
394.8,3.82606E-06,68,42
411.6,5.74975E-06,68,42
428.4,1.98459E-05,68,42
445.2,7.71848E-08,68,42
462,8.75635E-07,68,42
478.8,2.06284E-05,68,42
495.6,2.04406E-05,68,42
8.2833333,0.001371608,181,26
24.85,2.02636E-05,181,26
41.4166667,0.000184496,181,26
57.9833333,0.000152425,181,26
74.55,5.23827E-05,181,26
91.1166667,8.12666E-06,181,26
107.6833333,3.66034E-05,181,26
124.25,8.95665E-06,181,26
140.8166667,2.03058E-05,181,26
157.3833333,2.49481E-05,181,26
173.95,1.45733E-05,181,26
190.5166667,1.98966E-05,181,26
207.0833333,1.41953E-05,181,26
223.65,2.02431E-05,181,26
240.2166667,2.24723E-05,181,26
256.7833333,1.96E-05,181,26
273.35,2.46478E-05,181,26
289.9166667,2.25533E-05,181,26
306.4833333,2.58513E-05,181,26
323.05,1.25767E-05,181,26
339.6166667,2.97133E-05,181,26
356.1833333,1.77698E-05,181,26
372.75,2.54669E-05,181,26
389.3166667,1.84092E-05,181,26
405.8833333,3.20689E-05,181,26
422.45,2.41957E-05,181,26
439.0166667,1.64246E-05,181,26
455.5833333,2.51387E-05,181,26
472.15,2.4692E-05,181,26
488.7166667,2.19124E-05,181,26
8.2833333,1.11233E-05,181,26
24.85,5.92279E-06,181,26
41.4166667,2.24734E-05,181,26
57.9833333,1.1577E-05,181,26
74.55,2.64175E-05,181,26
91.1166667,3.53587E-08,181,26
107.6833333,4.99752E-07,181,26
124.25,8.36677E-06,181,26
140.8166667,1.71605E-06,181,26
157.3833333,3.36961E-06,181,26
173.95,1.49822E-06,181,26
190.5166667,5.87677E-08,181,26
207.0833333,2.79401E-06,181,26
223.65,3.75423E-07,181,26
240.2166667,4.21368E-08,181,26
256.7833333,1.69539E-06,181,26
273.35,1.00298E-06,181,26
289.9166667,3.73315E-09,181,26
306.4833333,2.80645E-07,181,26
323.05,5.85453E-07,181,26
339.6166667,3.16193E-08,181,26
356.1833333,6.64624E-08,181,26
372.75,8.70088E-08,181,26
389.3166667,1.28682E-07,181,26
405.8833333,3.0916E-07,181,26
422.45,3.02231E-08,181,26
439.0166667,6.55085E-07,181,26
455.5833333,1.21781E-08,181,26
472.15,2.23681E-10,181,26
488.7166667,2.30342E-07,181,26
8.2833333,7.30443E-06,181,26
24.85,1.88008E-05,181,26
41.4166667,9.16403E-07,181,26
57.9833333,1.6714E-05,181,26
74.55,3.09365E-06,181,26
91.1166667,2.48916E-06,181,26
107.6833333,3.97654E-06,181,26
124.25,5.43009E-08,181,26
140.8166667,4.04228E-05,181,26
157.3833333,4.64658E-05,181,26
173.95,1.95382E-06,181,26
190.5166667,4.48897E-06,181,26
207.0833333,7.94395E-06,181,26
223.65,1.68955E-08,181,26
240.2166667,4.97004E-07,181,26
256.7833333,3.53329E-07,181,26
273.35,7.23144E-08,181,26
289.9166667,4.34858E-08,181,26
306.4833333,8.11621E-07,181,26
323.05,1.52441E-08,181,26
339.6166667,1.4905E-08,181,26
356.1833333,2.14334E-07,181,26
372.75,4.38595E-07,181,26
389.3166667,1.84795E-09,181,26
405.8833333,2.798E-07,181,26
422.45,3.30538E-08,181,26
439.0166667,1.77946E-07,181,26
455.5833333,7.08839E-07,181,26
472.15,5.21523E-07,181,26
488.7166667,8.4281E-08,181,26
8.6833333,0.001197613,254,27
26.05,0.002166206,254,27
43.4166667,0.001002881,254,27
60.7833333,0.001152321,254,27
78.15,0.000212652,254,27
95.5166667,0.00010528,254,27
112.8833333,6.15426E-05,254,27
130.25,1.73228E-05,254,27
147.6166667,3.74667E-05,254,27
164.9833333,4.69195E-05,254,27
182.35,2.6709E-06,254,27
199.7166667,2.53967E-05,254,27
217.0833333,3.38704E-05,254,27
234.45,1.05056E-05,254,27
251.8166667,1.71367E-05,254,27
269.1833333,2.49825E-05,254,27
286.55,1.2752E-05,254,27
303.9166667,3.13481E-05,254,27
321.2833333,1.2036E-05,254,27
338.65,2.25761E-05,254,27
356.0166667,3.40423E-05,254,27
373.3833333,1.72642E-05,254,27
390.75,3.53719E-05,254,27
408.1166667,2.24059E-05,254,27
